,노선ID,노선명,상하행,노선길이,굴곡도합계,셀개수,굴곡도
0,28001001,9100,상행,58.847482,371.3239889435815,351,1.0579031024033663
1,28001001,9100,하행,57.522096999999995,366.0067018242031,351,1.0427541362512909
2,28001002,9200,상행,59.881991,436.83119493063236,406,1.0759389037700304
3,28001002,9200,하행,60.264575,410.3560908658856,378,1.0855981239838244
4,28001003,9300,상행,67.030843,853.2886057886604,741,1.1515365800116875
5,28001003,9300,하행,65.31712199999998,797.3974718539582,703,1.1342780538463133
6,28001007,9201,상행,57.015235999999994,353.20275647284416,325,1.0867777122241358
7,28001007,9201,하행,55.978764000000005,349.45817232114683,325,1.075255914834298
8,28002001,14-1,상행,21.785569000000006,1770.1038839382747,1431,1.23696986997783
9,28002001,14-1,하행,20.969931000000003,1815.8304827118352,1485,1.2227814698396198
10,28002002,62,상행,19.832506,1546.9884566773258,1326,1.1666579612951176
11,28002002,62,하행,18.695075,1537.969617240639,1326,1.1598564232584005
12,28002003,14,상행,26.348737000000007,2685.125669919275,2346,1.144554846512905
13,28002003,14,하행,25.246239000000003,2400.990281989438,2080,1.1543222509564606
14,28002004,23,상행,21.800950999999998,2232.731073295284,1891,1.1807144755659884
15,28002004,23,하행,21.365210999999995,1813.5393002565909,1540,1.1776229222445396
16,28002005,79,상행,33.96664799999999,4270.597849281494,3081,1.386107708302984
17,28002005,79,하행,33.50335100000001,3899.095866845008,2775,1.4050795916558587
18,28003001,4,상행,31.943331,5948.70574132012,3321,1.7912393078350257
19,28003001,4,하행,29.655667000000005,4723.1117841145715,2701,1.7486530115196488
20,28003002,63,상행,19.752330999999998,1269.2585541457854,1081,1.1741522240016515
21,28003002,63,하행,17.501490000000004,1053.711135473619,946,1.113859551240612
22,28004001,13,상행,40.29868699999999,5597.900414274514,3321,1.6856068697002453
23,28004001,13,하행,40.144312000000006,5097.243672046725,3160,1.6130517949514953
24,28004002,46,상행,41.356626999999996,6472.693640305842,4371,1.4808267307952052
25,28004002,46,하행,40.525372000000004,6221.458828821711,4186,1.4862539008174178
26,28004005,330,상행,69.77150300000001,828.4637615569968,630,1.3150218437412649
27,28004005,330,하행,64.658998,743.1907214571498,561,1.324760644308645
28,28005001,12,상행,31.570029000000005,3544.572394825233,2628,1.348771839735629
29,28005001,12,하행,31.382121,4030.2148694841767,2926,1.377380338169575
30,28005004,76,상행,24.689549000000007,1893.8145585739105,1596,1.1866006006102197
31,28005004,76,하행,23.336536999999993,1683.5002378909203,1431,1.1764502011816353
32,28007005,42,상행,25.954368000000006,2168.132300987052,1770,1.2249335033825153
33,28007005,42,하행,25.163515000000004,1868.4821640563437,1540,1.2133001065300932
34,28008001,35,상행,32.78759200000001,3505.012479694694,2485,1.410467798669897
35,28008001,35,하행,30.989479000000003,2809.355470890192,2080,1.3506516686972077
36,28008002,65,상행,16.475416,1331.333747308291,780,1.7068381375747321
37,28008002,65,하행,16.264647,1134.2866865879103,703,1.6134945755162309
38,28008003,65-1,상행,15.941417999999997,1173.0922617301305,741,1.5831204611742653
39,28008003,65-1,하행,15.459651000000003,1246.60545942231,780,1.5982121274645
40,28008004,68,상행,13.2529,758.8617018885154,595,1.2753978183000259
41,28008004,68,하행,15.560100000000002,1237.5334442208853,820,1.5091871270986406
42,28009001,8,상행,33.757334000000014,4577.375920087283,3160,1.4485366835719249
43,28009001,8,하행,31.43822600000001,3963.570035562112,2775,1.428313526328689
44,28009003,16-1,상행,26.368086000000005,1743.877701501569,1378,1.2655135714815449
45,28009003,16-1,하행,26.167865,1622.9738328895314,1326,1.223962166583357
46,28010004,1,상행,36.67491799999999,4325.739646132895,3003,1.4404727426349968
47,28010004,1,하행,35.14539299999999,3796.877958273008,2701,1.405730454747504
48,28010007,70,상행,57.421330000000005,6882.451048038663,5995,1.1480318678963575
49,28010007,70,하행,56.14467199999999,6634.790939259648,5886,1.1272155860108135
50,28010009,60-2,상행,24.496963999999995,634.1521948693667,630,1.0065907855069312
51,28010009,60-2,하행,24.551196,672.834892984191,666,1.010262602078365
52,28010010,66,상행,42.167776999999994,5656.578053023723,4278,1.322248259238832
53,28010010,66,하행,38.69194500000001,5229.632540644028,4095,1.2770775435028152
54,28011001,2,상행,25.33515599999999,2626.3890139966334,2080,1.2626870259599199
55,28011001,2,하행,25.222845,2428.865928182832,1953,1.2436589494023715
56,28011002,10,상행,23.661464000000006,2334.7845485422326,2080,1.1224925714145348
57,28011002,10,하행,19.308541999999996,1486.5338129902902,1378,1.0787618381642163
58,28011003,45,상행,21.970300000000005,1929.990826009472,1653,1.1675685577794748
59,28011003,45,하행,22.603703000000003,1858.0495221103492,1596,1.1641914298937026
60,28012001,33,상행,25.636786999999998,1946.8257115542015,1540,1.2641725399702608
61,28012001,33,하행,25.148183000000003,1960.3621173410795,1540,1.272962413857844
62,28012002,36,상행,21.330569,2220.797082055152,1711,1.2979527072210122
63,28012002,36,하행,19.214407999999995,1576.390175910874,1326,1.1888312035526953
64,28013002,67-1,상행,18.06808300000001,1413.068900489026,1081,1.3071867719602461
65,28013002,67-1,하행,16.639743,1148.9113024432324,903,1.2723270237466584
66,28013003,11,상행,28.616309999999995,3757.458018517773,2346,1.6016445091721112
67,28013003,11,하행,27.847514999999994,3656.8292835906395,2278,1.605280633709675
68,28013005,24-1,상행,20.721213000000002,1652.133477282367,1275,1.2957909625744055
69,28013005,24-1,하행,18.704612999999995,1372.5629855228626,1081,1.269715990307921
70,28020001,790,상행,59.776260000000015,764.0646752915204,741,1.0311264173974635
71,28020001,790,하행,58.20839199999998,754.7015391636348,741,1.0184906061587515
72,28020002,영흥도,상행,0.7259909999999999,15.73080231745074,15,1.048720154496716
73,28020002,영흥도,하행,0.633769,10.239682473581148,10,1.0239682473581149
74,28022002,5-1,상행,9.282832,494.3673513605917,378,1.3078501358745813
75,28022002,5-1,하행,8.851464,512.4243767330705,406,1.2621290067317008
76,28022003,20,상행,20.820838,2169.4054536109556,1711,1.267916688258887
77,28022003,20,하행,19.607664,1938.511409339598,1540,1.2587736424283105
78,28022004,21,상행,27.09570099999999,3079.304372386023,2346,1.3125764588175715
79,28022004,21,하행,27.138299999999997,2876.531411672709,2211,1.3010092318736812
80,28022006,27,상행,24.948212,3509.9198899098824,2556,1.373208094643929
81,28022006,27,하행,24.268867,3539.53491769439,2556,1.3847945687380243
82,28022007,38,상행,27.445700999999993,4206.519096010416,2701,1.5573932232545045
83,28022007,38,하행,26.366027000000003,3303.604874013859,2211,1.4941677403952325
84,28022011,5,상행,27.243175,2762.9592902791255,2016,1.3705155209717885
85,28022011,5,하행,25.303718,2458.0238876544236,1770,1.3887140608217081
86,28023001,22,상행,31.072978999999997,4863.632842317394,3486,1.3951901440956378
87,28023001,22,하행,31.130070999999987,5037.213786955298,3570,1.410984254049103
88,28023002,6,상행,55.78749899999999,48796.01147702535,8515,5.730594418910787
89,28027001,28,상행,32.10357499999999,6499.671321429769,3741,1.7374154828735013
90,28027001,28,하행,31.04525599999999,6091.756921136459,3828,1.591368056723213
91,28027002,15,상행,28.28140099999999,3081.127799304384,2211,1.3935449114899974
92,28027002,15,하행,27.017422999999997,2842.424567793421,2145,1.3251396586449515
93,28027003,721,상행,25.503432999999998,3549.7827689165756,2556,1.388803900202103
94,28027003,721,하행,25.763391,3586.4502360193173,2556,1.4031495446084967
95,28027004,28-1,상행,31.195271999999996,5007.306674123498,2415,2.0734189126805376
96,28027004,28-1,하행,29.197554999999998,4097.428858175291,2145,1.9102232439045645
97,28030012,223,상행,31.446639,1581.9767160322463,946,1.6722798266725647
98,28030012,223,하행,29.33637100000001,1426.8355009646841,861,1.657184089389877
99,28030014,103,상행,34.91392899999999,7271.933911073124,3741,1.9438476105514901
