순번_정류장ID,1-2807485,2-2807487,3-2802551,4-2802375,5-2802965,6-2802959,7-2802964,8-2802975,9-2802981,10-2802624,11-2802636,12-2807507,13-2807526,14-2807531,15-2807534,16-2807543,17-2807510,18-2807277,19-2807554,20-2807558,21-2807561,22-2807500,23-2807499,24-2807509,25-2800107,26-2803386,27-2803399,28-2803395,29-2803392
1-2807485,0,0.962094,2.0870290000000002,4.714489,5.217112,5.617375,6.354576,6.653258,6.915115,7.216481,11.643742,13.91122,17.74767,21.173939999999998,23.325644999999998,26.331210999999996,28.240935999999998,30.300304999999998,39.270567,42.791165,44.556057,47.156507000000005,49.163858000000005,51.00727800000001,56.006387000000004,56.842254000000004,57.432087,58.794696,59.382258
2-2807487,,0,1.124935,3.752395,4.255018,4.655281,5.392481999999999,5.691164,5.953021,6.2543869999999995,10.681648,12.949126,16.785576,20.211845999999998,22.363550999999998,25.369116999999996,27.278841999999997,29.338210999999998,38.308473,41.829071,43.593963,46.194413000000004,48.201764000000004,50.045184000000006,55.044293,55.880160000000004,56.469993,57.832602,58.420164
3-2802551,,,0,2.6274599999999997,3.1300829999999995,3.5303459999999998,4.2675469999999995,4.566229,4.828086,5.129452,9.556712999999998,11.824190999999999,15.660640999999998,19.086910999999997,21.238615999999997,24.244181999999995,26.153906999999997,28.213275999999997,37.183538,40.704136,42.469028,45.069478000000004,47.076829000000004,48.920249000000005,53.919358,54.755225,55.345058,56.707667,57.295229
4-2802375,,,,0,0.5026229999999999,0.902886,1.6400869999999999,1.9387689999999997,2.2006259999999997,2.5019919999999995,6.929252999999999,9.196731,13.033180999999999,16.459450999999998,18.611155999999998,21.616721999999996,23.526446999999997,25.585815999999998,34.556078,38.076676,39.841568,42.442018000000004,44.449369000000004,46.292789000000006,51.291898,52.127765000000004,52.717598,54.080207,54.667769
5-2802965,,,,,0,0.40026300000000004,1.137464,1.436146,1.698003,1.999369,6.426629999999999,8.694108,12.530558,15.956827999999998,18.108532999999998,21.114098999999996,23.023823999999998,25.083192999999998,34.053455,37.574053,39.338945,41.939395000000005,43.946746000000005,45.790166000000006,50.789275,51.625142000000004,52.214975,53.577584,54.165146
6-2802959,,,,,,0,0.737201,1.035883,1.2977400000000001,1.5991060000000001,6.026367,8.293845,12.130295,15.556564999999999,17.70827,20.713836,22.623561000000002,24.682930000000002,33.653192000000004,37.173790000000004,38.93868200000001,41.53913200000001,43.54648300000001,45.38990300000001,50.38901200000001,51.22487900000001,51.81471200000001,53.177321000000006,53.764883000000005
7-2802964,,,,,,,0,0.298682,0.560539,0.8619049999999999,5.289166,7.556644,11.393094000000001,14.819364,16.971069,19.976635,21.886360000000003,23.945729000000004,32.915991000000005,36.436589000000005,38.20148100000001,40.80193100000001,42.80928200000001,44.65270200000001,49.65181100000001,50.48767800000001,51.07751100000001,52.44012000000001,53.027682000000006
8-2802975,,,,,,,,0,0.261857,0.563223,4.9904839999999995,7.257961999999999,11.094411999999998,14.520681999999997,16.672386999999997,19.677952999999995,21.587677999999997,23.647046999999997,32.617309,36.137907,37.902799,40.503249000000004,42.510600000000004,44.354020000000006,49.353129,50.188996,50.778829,52.141438,52.729
9-2802981,,,,,,,,,0,0.30136599999999997,4.7286269999999995,6.996105,10.832555,14.258824999999998,16.410529999999998,19.416095999999996,21.325820999999998,23.385189999999998,32.355452,35.87605,37.640942,40.241392000000005,42.248743000000005,44.092163000000006,49.091272000000004,49.927139000000004,50.516972,51.879581,52.467143
10-2802624,,,,,,,,,,0,4.427261,6.694739,10.531189000000001,13.957459,16.109164,19.11473,21.024455000000003,23.083824000000003,32.054086000000005,35.574684000000005,37.33957600000001,39.94002600000001,41.94737700000001,43.79079700000001,48.78990600000001,49.62577300000001,50.21560600000001,51.57821500000001,52.165777000000006
