순번_정류장ID,1-2805837,2-2805742,3-2805231,4-2805400,5-2804895,6-2805744,7-2806214,8-2806244,9-2805963,10-2800852,11-2801087,12-2801055,13-2801058,14-2801277,15-2801158,16-2801391,17-2801380,18-2800201,19-2800213,20-2800231,21-2801632,22-2807601,23-2807602,24-2805854,25-2807603,26-2807543,27-2807510,28-2807277,29-2807554,30-2807558,31-2807561,32-2807500,33-2807499,34-2807509,35-2800107,36-2803386,37-2803399,38-2803395,39-2803392
1-2805837,0,1.446494,1.959524,2.4576320000000003,2.9412030000000002,3.529706,4.842797,5.752237,7.514373,8.393554,9.436064,10.165235,10.579811,11.725715999999998,12.643984999999999,13.188998999999999,13.661731,15.082222999999999,16.194739,16.922914,18.132406999999997,21.999536,25.950853,26.968908,28.647367,30.97423,33.979796,35.889521,37.94889,46.919152,50.43975,52.204642,54.805092,56.812443,58.655863000000004,63.654972,64.490839,65.08067199999999,66.443281
2-2805742,,0,0.51303,1.0111379999999999,1.4947089999999998,2.0832119999999996,3.3963029999999996,4.305743,6.067879,6.94706,7.98957,8.718741,9.133317,10.279222,11.197491000000001,11.742505000000001,12.215237000000002,13.635729000000001,14.748245,15.476420000000001,16.685913,20.553041999999998,24.504358999999997,25.522413999999998,27.200872999999998,29.527735999999997,32.533302,34.443027,36.502396,45.472657999999996,48.993255999999995,50.758148,53.358598,55.365949,57.209369,62.208478,63.044345,63.634178,64.996787
3-2805231,,,0,0.498108,0.981679,1.570182,2.883273,3.792713,5.554849,6.43403,7.47654,8.205711,8.620287000000001,9.766192,10.684461,11.229475,11.702207000000001,13.122699,14.235215,14.96339,16.172883,20.040011999999997,23.991328999999997,25.009383999999997,26.687842999999997,29.014705999999997,32.020272,33.929997,35.989366,44.959627999999995,48.480225999999995,50.245118,52.845568,54.852919,56.696339,61.695448,62.531315,63.121148,64.483757
4-2805400,,,,0,0.48357100000000003,1.072074,2.3851649999999998,3.294605,5.056741,5.935922,6.978432,7.707603,8.122179,9.268083999999998,10.186352999999999,10.731366999999999,11.204099,12.624590999999999,13.737106999999998,14.465281999999998,15.674774999999999,19.541904,23.493221,24.511276,26.189735,28.516598,31.522163999999997,33.431889,35.491257999999995,44.46151999999999,47.98211799999999,49.747009999999996,52.34746,54.354811,56.198231,61.19734,62.033207,62.623039999999996,63.985648999999995
5-2804895,,,,,0,0.588503,1.901594,2.811034,4.57317,5.452351,6.494861,7.224032,7.6386080000000005,8.784513,9.702782000000001,10.247796000000001,10.720528000000002,12.141020000000001,13.253536,13.981711,15.191204,19.058333,23.00965,24.027705,25.706164,28.033027,31.038593,32.948318,35.007687,43.977948999999995,47.498546999999995,49.263439,51.863889,53.87124,55.71466,60.713769,61.549636,62.139469,63.502078
6-2805744,,,,,,0,1.313091,2.222531,3.984667,4.863848,5.906358,6.635529,7.050105,8.196010000000001,9.114279000000002,9.659293000000002,10.132025000000002,11.552517000000002,12.665033000000001,13.393208000000001,14.602701000000001,18.46983,22.421147,23.439202,25.117661000000002,27.444524,30.450090000000003,32.359815000000005,34.419184,43.389446,46.910044,48.674936,51.275386000000005,53.282737000000004,55.126157000000006,60.125266,60.961133000000004,61.550966,62.913575
7-2806214,,,,,,,0,0.9094399999999999,2.671576,3.550757,4.593267,5.322438,5.737014,6.882919,7.801188,8.346202,8.818934,10.239426,11.351942,12.080117,13.28961,17.156739,21.108056,22.126111,23.804570000000002,26.131433,29.136999000000003,31.046724000000005,33.106093,42.076355,45.596953,47.361845,49.962295000000005,51.969646000000004,53.813066000000006,58.812175,59.648042000000004,60.237875,61.600484
8-2806244,,,,,,,,0,1.7621360000000001,2.641317,3.683827,4.412998,4.827574,5.973479,6.891748,7.436762,7.909494,9.329986,10.442502,11.170677,12.38017,16.247298999999998,20.198615999999998,21.216670999999998,22.895129999999998,25.221992999999998,28.227559,30.137284,32.196653,41.166914999999996,44.687512999999996,46.452405,49.052855,51.060206,52.903626,57.902735,58.738602,59.328435,60.691044
9-2805963,,,,,,,,,0,0.879181,1.921691,2.650862,3.065438,4.211342999999999,5.129612,5.674626,6.147358,7.56785,8.680366,9.408541,10.618034,14.485163,18.43648,19.454535,21.132994,23.459857,26.465423,28.375148000000003,30.434517000000003,39.404779000000005,42.925377000000005,44.69026900000001,47.29071900000001,49.29807000000001,51.14149000000001,56.14059900000001,56.97646600000001,57.56629900000001,58.92890800000001
10-2800852,,,,,,,,,,0,1.04251,1.771681,2.186257,3.332162,4.250431,4.795445,5.268177,6.688669,7.801185,8.52936,9.738853,13.605982000000001,17.557299,18.575354,20.253813,22.580676,25.586242,27.495967,29.555336,38.525598,42.046196,43.811088000000005,46.41153800000001,48.41888900000001,50.26230900000001,55.261418000000006,56.09728500000001,56.687118000000005,58.049727000000004
