순번_정류장ID,40-2803394,41-2805673,42-2803403,43-2805014,44-2807528,45-2800108,46-2807508,47-2807498,48-2807501,49-2807560,50-2807559,51-2807555,52-2807278,53-2807511,54-2807544,55-2807606,56-2805853,57-2807604,58-2807605,59-2801202,60-2800225,61-2800198,62-2801371,63-2801389,64-2801330,65-2801275,66-2801057,67-2801052,68-2800857,69-2800853,70-2805991,71-2806243,72-2806215,73-2806633,74-2804896,75-2805221,76-2805232,77-2805333
40-2803394,0,1.526874,3.18879,4.4618389999999994,6.474907,8.278572,10.324773,11.990646,14.629757999999999,17.927941999999998,26.768366,29.189464,30.749782,33.829193,36.10232,38.187068,38.782709999999994,42.793468999999995,46.57513599999999,47.674595,49.310843999999996,50.743883,51.314671,52.091975,52.793048,53.929719999999996,54.348195999999994,55.311780999999996,56.085407,57.084360999999994,58.734928,59.702465999999994,60.859323999999994,61.522904,62.070905999999994,62.412380999999996,63.04935,64.330861
41-2805673,,0,1.661916,2.934965,4.948033000000001,6.751698000000001,8.797899000000001,10.463772,13.102884,16.401068,25.241492,27.66259,29.222908,32.302319,34.575446,36.660194,37.255835999999995,41.266594999999995,45.048261999999994,46.147721,47.78397,49.217009,49.787797,50.565101,51.266174,52.402846,52.821321999999995,53.784907,54.558533,55.557486999999995,57.208054,58.175591999999995,59.332449999999994,59.99603,60.544031999999994,60.885507,61.522476,62.803987
42-2803403,,,0,1.2730489999999999,3.286117,5.089782,7.1359829999999995,8.801855999999999,11.440967999999998,14.739151999999997,23.579575999999996,26.000673999999997,27.560991999999995,30.640402999999996,32.913529999999994,34.99827799999999,35.59391999999999,39.60467899999999,43.38634599999999,44.48580499999999,46.12205399999999,47.55509299999999,48.12588099999999,48.90318499999999,49.604257999999994,50.74092999999999,51.15940599999999,52.12299099999999,52.89661699999999,53.89557099999999,55.54613799999999,56.51367599999999,57.67053399999999,58.33411399999999,58.88211599999999,59.22359099999999,59.86055999999999,61.142070999999994
43-2805014,,,,0,2.013068,3.816733,5.862934,7.5288070000000005,10.167919000000001,13.466103,22.306527000000003,24.727625000000003,26.287943000000002,29.367354000000002,31.640481,33.725229,34.320871,38.33163,42.113296999999996,43.212756,44.849005,46.282044,46.852832,47.630136,48.331209,49.467881,49.886357,50.849942,51.623568,52.622522,54.273089,55.240626999999996,56.397484999999996,57.061065,57.609066999999996,57.950542,58.587511,59.869022
44-2807528,,,,,0,1.803665,3.849866,5.515739,8.154851,11.453035,20.293459,22.714557,24.274874999999998,27.354286,29.627412999999997,31.712161,32.307803,36.318562,40.100229,41.199688,42.835937,44.268976,44.839764,45.617068,46.318141000000004,47.454813,47.873289,48.836874,49.6105,50.609454,52.260021,53.227559,54.384417,55.047997,55.595999,55.937474,56.574443,57.855954000000004
45-2800108,,,,,,0,2.046201,3.712074,6.351186,9.64937,18.489794,20.910892,22.47121,25.550621,27.823748,29.908496,30.504138,34.514897,38.296564,39.396023,41.032272,42.465311,43.036099,43.813403,44.514476,45.651148,46.069624,47.033209,47.806835,48.805789,50.456356,51.423894,52.580752,53.244332,53.792334,54.133809,54.770778,56.052289
46-2807508,,,,,,,0,1.665873,4.304985,7.603168999999999,16.443593,18.864691,20.425009,23.50442,25.777547,27.862295,28.457937,32.468696,36.250363,37.349822,38.986071,40.41911,40.989898000000004,41.767202000000005,42.468275000000006,43.604947,44.023423,44.987008,45.760634,46.759588,48.410155,49.377693,50.534551,51.198131000000004,51.746133,52.087608,52.724577000000004,54.006088000000005
47-2807498,,,,,,,,0,2.639112,5.937296,14.77772,17.198818,18.759135999999998,21.838547,24.111673999999997,26.196422,26.792064,30.802823,34.58449,35.683949000000005,37.320198000000005,38.753237000000006,39.324025000000006,40.10132900000001,40.80240200000001,41.939074000000005,42.35755,43.321135000000005,44.094761000000005,45.093715,46.744282000000005,47.71182,48.868678,49.532258000000006,50.08026,50.421735000000005,51.058704000000006,52.34021500000001
48-2807501,,,,,,,,,0,3.2981839999999996,12.138608,14.559705999999998,16.120023999999997,19.199434999999998,21.472561999999996,23.557309999999998,24.152952,28.163711,31.945377999999998,33.044837,34.681086,36.114125,36.684913,37.462217,38.16329,39.299962,39.718438,40.682023,41.455649,42.454603,44.10517,45.072708,46.229566,46.893146,47.441148,47.782623,48.419592,49.701103
49-2807560,,,,,,,,,,0,8.840424,11.261522,12.82184,15.901251,18.174378,20.259126000000002,20.854768000000004,24.865527000000004,28.647194000000002,29.746653000000002,31.382902,32.815941,33.386729,34.164033,34.865106000000004,36.001778,36.420254,37.383839,38.157465,39.156419,40.806986,41.774524,42.931382,43.594962,44.142964,44.484439,45.121408,46.402919000000004
