순번_정류장ID,1-2806423,2-2806421,3-2805953,4-2806634,5-2806428,6-2806770,7-2807112,8-2806514,9-2801853,10-2805585,11-2802147,12-2801897,13-2801895,14-2802108,15-2801822,16-2802049,17-2804800,18-2802084,19-2802107,20-2802126,21-2802120,22-2802068,23-2802032,24-2802007,25-2801994,26-2801979,27-2801967,28-2801973,29-2801974,30-2801964,31-2801955,32-2801952,33-2801992,34-2802022,35-2802038,36-2802672,37-2802683,38-2802685,39-2802695,40-2802702,41-2802707,42-2802715,43-2802729,44-2805440,45-2802632,46-2803129,47-2803120,48-2805594,49-2803115,50-2803134,51-2803231,52-2803226
1-2806423,0,0.294321,1.113231,1.6875810000000002,2.063282,2.458771,2.752741,3.2149599999999996,3.431535,3.7850789999999996,4.067437,4.2387,4.477097,4.81586,5.352778,5.674865,5.87751,6.167931,6.499350000000001,7.187524000000001,7.598649000000001,7.823634000000001,8.199874000000001,8.606057000000002,8.994341000000002,9.232268000000001,9.558161000000002,9.962746000000003,10.319723000000003,10.761619000000003,11.223771000000003,12.052995000000003,12.460553000000003,12.922805000000002,13.356461000000003,13.866220000000004,14.085614000000003,14.489432000000003,14.819880000000003,15.236187000000003,15.465543000000002,15.964324000000001,16.162758,16.420425,16.721409,17.007669,17.200346,17.496124,17.946122999999996,18.354848999999998,18.755138,19.509877
2-2806421,,0,0.81891,1.3932600000000002,1.7689610000000002,2.1644500000000004,2.4584200000000003,2.9206390000000004,3.1372140000000006,3.4907580000000005,3.7731160000000004,3.9443790000000005,4.1827760000000005,4.521539000000001,5.058457000000001,5.380544,5.583189000000001,5.873610000000001,6.2050290000000015,6.8932030000000015,7.304328000000002,7.529313000000002,7.905553000000002,8.311736000000002,8.700020000000002,8.937947000000001,9.263840000000002,9.668425000000003,10.025402000000003,10.467298000000003,10.929450000000003,11.758674000000003,12.166232000000003,12.628484000000002,13.062140000000003,13.571899000000004,13.791293000000003,14.195111000000002,14.525559000000003,14.941866000000003,15.171222000000002,15.670003000000001,15.868437000000002,16.126104,16.427088,16.713348,16.906025,17.201802999999998,17.651801999999996,18.060527999999998,18.460817,19.215556
3-2805953,,,0,0.57435,0.950051,1.34554,1.63951,2.1017289999999997,2.318304,2.671848,2.9542059999999997,3.125469,3.363866,3.702629,4.239547,4.561634,4.764279,5.0547,5.386119000000001,6.074293000000001,6.485418000000001,6.710403000000001,7.086643000000001,7.492826000000002,7.881110000000001,8.119037000000002,8.444930000000003,8.849515000000004,9.206492000000004,9.648388000000004,10.110540000000004,10.939764000000004,11.347322000000004,11.809574000000003,12.243230000000004,12.752989000000005,12.972383000000004,13.376201000000004,13.706649000000004,14.122956000000004,14.352312000000003,14.851093000000002,15.049527000000003,15.307194000000003,15.608178000000002,15.894438000000003,16.087115000000004,16.382893000000003,16.832892,17.241618000000003,17.641907000000003,18.396646000000004
4-2806634,,,,0,0.375701,0.77119,1.06516,1.527379,1.743954,2.097498,2.3798559999999997,2.551119,2.789516,3.128279,3.665197,3.987284,4.189929,4.4803500000000005,4.811769000000001,5.499943000000001,5.911068000000001,6.136053000000001,6.512293000000001,6.918476000000002,7.3067600000000015,7.5446870000000015,7.870580000000001,8.275165000000001,8.632142000000002,9.074038000000002,9.536190000000001,10.365414000000001,10.772972000000001,11.235224,11.668880000000001,12.178639000000002,12.398033000000002,12.801851000000001,13.132299000000001,13.548606000000001,13.777962,14.276743,14.475177,14.732844,15.033828,15.320088,15.512765,15.808543,16.258542,16.667268,17.067557,17.822296
5-2806428,,,,,0,0.395489,0.689459,1.151678,1.368253,1.721797,2.004155,2.175418,2.413815,2.752578,3.289496,3.6115830000000004,3.8142280000000004,4.104649,4.436068000000001,5.124242000000001,5.535367000000001,5.760352000000001,6.136592000000001,6.542775000000002,6.931059000000001,7.168986000000001,7.494879000000001,7.899464000000001,8.256441,8.698337,9.160489,9.989713,10.397271,10.859523,11.293178999999999,11.802938,12.022331999999999,12.426149999999998,12.756597999999999,13.172904999999998,13.402260999999998,13.901041999999997,14.099475999999997,14.357142999999997,14.658126999999997,14.944386999999997,15.137063999999997,15.432841999999997,15.882840999999997,16.291566999999997,16.691855999999998,17.446595
6-2806770,,,,,,0,0.29397,0.756189,0.972764,1.326308,1.608666,1.7799289999999999,2.018326,2.357089,2.894007,3.216094,3.418739,3.70916,4.040579,4.728753,5.139878,5.364863000000001,5.741103000000001,6.147286000000001,6.535570000000001,6.773497000000001,7.0993900000000005,7.5039750000000005,7.860952,8.302848000000001,8.765,9.594224,10.001782,10.464034,10.89769,11.407449000000002,11.626843000000001,12.030661,12.361109,12.777416,13.006772,13.505552999999999,13.703987,13.961654,14.262637999999999,14.548898,14.741575,15.037353,15.487352,15.896078,16.296367,17.051106
7-2807112,,,,,,,0,0.46221899999999994,0.6787939999999999,1.032338,1.314696,1.485959,1.724356,2.063119,2.600037,2.922124,3.124769,3.41519,3.746609,4.4347829999999995,4.845908,5.070893,5.447133,5.853316,6.2416,6.479527,6.80542,7.210005,7.566981999999999,8.008878,8.471029999999999,9.300253999999999,9.707811999999999,10.170063999999998,10.60372,11.113479,11.332873,11.736690999999999,12.067139,12.483445999999999,12.712801999999998,13.211582999999997,13.410016999999998,13.667683999999998,13.968667999999997,14.254927999999998,14.447604999999998,14.743382999999998,15.193381999999998,15.602107999999998,16.002397,16.757136
8-2806514,,,,,,,,0,0.216575,0.570119,0.852477,1.02374,1.262137,1.6009000000000002,2.137818,2.459905,2.66255,2.952971,3.2843899999999997,3.9725639999999998,4.3836889999999995,4.608674,4.984914,5.391097,5.779381,6.017308,6.343201,6.747786,7.104762999999999,7.546658999999999,8.008811,8.838035,9.245593,9.707844999999999,10.141500999999998,10.651259999999999,10.870653999999998,11.274471999999998,11.604919999999998,12.021226999999998,12.250582999999997,12.749363999999996,12.947797999999997,13.205464999999997,13.506448999999996,13.792708999999997,13.985385999999997,14.281163999999997,14.731162999999997,15.139888999999997,15.540177999999997,16.294916999999998
9-2801853,,,,,,,,,0,0.353544,0.635902,0.8071649999999999,1.0455619999999999,1.384325,1.921243,2.2433300000000003,2.4459750000000002,2.736396,3.067815,3.755989,4.167114,4.392099,4.768339,5.1745220000000005,5.562806,5.800733,6.126626,6.531211,6.8881879999999995,7.330083999999999,7.792235999999999,8.621459999999999,9.029017999999999,9.491269999999998,9.924926,10.434685,10.654079,11.057896999999999,11.388345,11.804651999999999,12.034007999999998,12.532788999999998,12.731222999999998,12.988889999999998,13.289873999999998,13.576133999999998,13.768810999999998,14.064588999999998,14.514587999999998,14.923313999999998,15.323602999999999,16.078342
10-2805585,,,,,,,,,,0,0.282358,0.453621,0.692018,1.0307810000000002,1.5676990000000002,1.8897860000000002,2.0924310000000004,2.382852,2.714271,3.402445,3.8135700000000003,4.038555000000001,4.414795000000001,4.820978000000001,5.209262000000001,5.447189000000001,5.7730820000000005,6.1776670000000005,6.534644,6.97654,7.438692,8.267916,8.675474,9.137725999999999,9.571382,10.081141,10.300535,10.704353,11.034801,11.451108,11.680463999999999,12.179244999999998,12.377678999999999,12.635345999999998,12.936329999999998,13.222589999999999,13.415266999999998,13.711044999999999,14.161043999999999,14.569769999999998,14.970059,15.724798
11-2802147,,,,,,,,,,,0,0.171263,0.40965999999999997,0.7484230000000001,1.285341,1.607428,1.810073,2.100494,2.4319129999999998,3.120087,3.531212,3.7561970000000002,4.132437,4.538620000000001,4.926904,5.164831,5.490724,5.895309,6.252286,6.694182,7.156333999999999,7.985557999999999,8.393116,8.855367999999999,9.289023999999998,9.798782999999998,10.018176999999998,10.421994999999997,10.752442999999998,11.168749999999998,11.398105999999997,11.896886999999996,12.095320999999997,12.352987999999996,12.653971999999996,12.940231999999996,13.132908999999996,13.428686999999996,13.878685999999997,14.287411999999996,14.687700999999997,15.442439999999998
12-2801897,,,,,,,,,,,,0,0.23839699999999997,0.57716,1.1140780000000001,1.4361650000000001,1.63881,1.9292310000000001,2.26065,2.948824,3.3599490000000003,3.5849340000000005,3.9611740000000006,4.367357000000001,4.755641000000001,4.993568000000001,5.319461,5.724046,6.081023,6.522919,6.985071,7.8142949999999995,8.221853,8.684104999999999,9.117760999999998,9.627519999999999,9.846913999999998,10.250731999999998,10.581179999999998,10.997486999999998,11.226842999999997,11.725623999999996,11.924057999999997,12.181724999999997,12.482708999999996,12.768968999999997,12.961645999999996,13.257423999999997,13.707422999999997,14.116148999999997,14.516437999999997,15.271176999999998
13-2801895,,,,,,,,,,,,,0,0.33876300000000004,0.875681,1.197768,1.400413,1.690834,2.022253,2.710427,3.1215520000000003,3.3465370000000005,3.7227770000000007,4.128960000000001,4.517244000000001,4.755171000000001,5.0810640000000005,5.485649,5.842626,6.284522,6.746674,7.575898,7.983455999999999,8.445708,8.879363999999999,9.389123,9.608516999999999,10.012334999999998,10.342782999999999,10.759089999999999,10.988445999999998,11.487226999999997,11.685660999999998,11.943327999999998,12.244311999999997,12.530571999999998,12.723248999999997,13.019026999999998,13.469025999999998,13.877751999999997,14.278040999999998,15.032779999999999
14-2802108,,,,,,,,,,,,,,0,0.536918,0.859005,1.06165,1.352071,1.68349,2.371664,2.782789,3.0077740000000004,3.3840140000000005,3.7901970000000005,4.1784810000000006,4.4164080000000006,4.742301,5.146886,5.503863,5.945759,6.4079109999999995,7.237134999999999,7.644692999999999,8.106945,8.540600999999999,9.05036,9.269753999999999,9.673571999999998,10.004019999999999,10.420326999999999,10.649682999999998,11.148463999999997,11.346897999999998,11.604564999999997,11.905548999999997,12.191808999999997,12.384485999999997,12.680263999999998,13.130262999999998,13.538988999999997,13.939277999999998,14.694016999999999
15-2801822,,,,,,,,,,,,,,,0,0.322087,0.524732,0.815153,1.146572,1.834746,2.245871,2.4708560000000004,2.8470960000000005,3.2532790000000005,3.6415630000000005,3.8794900000000005,4.205383,4.609968,4.966945,5.408841,5.8709929999999995,6.700216999999999,7.107774999999999,7.570027,8.003682999999999,8.513442,8.732835999999999,9.136653999999998,9.467101999999999,9.883408999999999,10.112764999999998,10.611545999999997,10.809979999999998,11.067646999999997,11.368630999999997,11.654890999999997,11.847567999999997,12.143345999999998,12.593344999999998,13.002070999999997,13.402359999999998,14.157098999999999
16-2802049,,,,,,,,,,,,,,,,0,0.202645,0.493066,0.824485,1.512659,1.923784,2.1487689999999997,2.525009,2.931192,3.319476,3.557403,3.8832959999999996,4.287881,4.644857999999999,5.086753999999999,5.548905999999999,6.378129999999999,6.785687999999999,7.247939999999999,7.681595999999999,8.191355,8.410749,8.814566999999998,9.145014999999999,9.561321999999999,9.790677999999998,10.289458999999997,10.487892999999998,10.745559999999998,11.046543999999997,11.332803999999998,11.525480999999997,11.821258999999998,12.271257999999998,12.679983999999997,13.080272999999998,13.835011999999999
17-2804800,,,,,,,,,,,,,,,,,0,0.290421,0.62184,1.3100139999999998,1.7211389999999998,1.9461239999999997,2.322364,2.728547,3.116831,3.354758,3.680651,4.085236,4.442213,4.884109,5.346260999999999,6.175484999999999,6.583042999999999,7.045294999999999,7.4789509999999995,7.988709999999999,8.208103999999999,8.611921999999998,8.942369999999999,9.358676999999998,9.588032999999998,10.086813999999997,10.285247999999998,10.542914999999997,10.843898999999997,11.130158999999997,11.322835999999997,11.618613999999997,12.068612999999997,12.477338999999997,12.877627999999998,13.632366999999999
18-2802084,,,,,,,,,,,,,,,,,,0,0.331419,1.019593,1.430718,1.655703,2.031943,2.438126,2.82641,3.064337,3.39023,3.794815,4.1517919999999995,4.593687999999999,5.055839999999999,5.885063999999999,6.292621999999999,6.754873999999999,7.188529999999999,7.698288999999999,7.917682999999999,8.321501,8.651949,9.068256,9.297611999999999,9.796392999999998,9.994826999999999,10.252493999999999,10.553477999999998,10.839737999999999,11.032414999999999,11.328192999999999,11.778191999999999,12.186917999999999,12.587207,13.341946
19-2802107,,,,,,,,,,,,,,,,,,,0,0.688174,1.099299,1.324284,1.7005240000000001,2.106707,2.494991,2.732918,3.0588110000000004,3.4633960000000004,3.8203730000000005,4.262269000000001,4.724421,5.553645,5.961203,6.423455000000001,6.857111000000001,7.3668700000000005,7.586264000000001,7.990082000000001,8.320530000000002,8.736837000000001,8.966193,9.464974,9.663408,9.921075,10.222059,10.508319,10.700996,10.996774,11.446773,11.855499,12.255788,13.010527000000002
20-2802126,,,,,,,,,,,,,,,,,,,,0,0.411125,0.63611,1.01235,1.418533,1.8068170000000001,2.044744,2.3706370000000003,2.7752220000000003,3.1321990000000004,3.5740950000000002,4.036247,4.865471,5.273029,5.7352810000000005,6.168937000000001,6.678696,6.898090000000001,7.301908000000001,7.632356000000001,8.048663000000001,8.278019,8.7768,8.975234,9.232901,9.533885,9.820145,10.012822,10.3086,10.758599,11.167325,11.567614,12.322353000000001
21-2802120,,,,,,,,,,,,,,,,,,,,,0,0.224985,0.601225,1.007408,1.3956920000000002,1.6336190000000002,1.9595120000000001,2.364097,2.721074,3.16297,3.625122,4.454346,4.861904,5.324156,5.757812,6.267571,6.4869650000000005,6.890783000000001,7.221231,7.637538,7.866894,8.365675,8.564109,8.821776,9.12276,9.40902,9.601697,9.897475,10.347474,10.7562,11.156489,11.911228000000001
