순번_정류장ID,1-2807209,2-2807287,3-2803338,4-2803336,5-2803326,6-2803324,7-2803329,8-2803204,9-2803316,10-2803319,11-2803305,12-2802994,13-2803011,14-2803018,15-2803022,16-2803021,17-2802976,18-2802957,19-2802933,20-2802911,21-2802891,22-2802879,23-2802621,24-2802809,25-2802773,26-2802745,27-2802737,28-2805441,29-2802629,30-2802719,31-2802709,32-2802678,33-2802656,34-2803050,35-2800814,36-2800793,37-2800785,38-2800766,39-2800748,40-2800721,41-2800703,42-2800699,43-2800693,44-2800683,45-2800675,46-2800662,47-2800650,48-2800641,49-2800632,50-2800334,51-2800617,52-2806242,53-2806244,54-2801157,55-2801153,56-2801147,57-2801135,58-2801131,59-2801122,60-2801119,61-2801111,62-2800833,63-2801087,64-2801055,65-2801043,66-2801024,67-2801003,68-2806687,69-2800966
1-2807209,0,0.666912,0.8533059999999999,1.1697529999999998,1.3215259999999998,1.7128749999999997,2.0207819999999996,2.4249819999999995,3.3523949999999996,3.8950139999999998,4.37385,4.8345270000000005,5.047364000000001,5.203105000000001,5.387646000000001,5.895682000000001,6.155234000000001,6.340193000000001,6.509681000000001,6.706543000000002,6.9116360000000014,7.285316000000002,8.018147000000003,8.470043000000002,8.866907000000003,9.109578000000003,9.325743000000003,9.735820000000002,9.996899000000003,10.294837000000003,10.966196000000004,11.365336000000003,11.687509000000002,12.006513000000002,12.709225000000002,12.900934000000001,13.363788000000001,13.615622000000002,14.034192000000003,14.279119000000003,14.684242000000003,14.909365000000003,15.288453000000002,15.640075000000003,15.966349000000003,16.210682000000002,16.351253000000003,16.623451000000003,16.902729000000004,17.256000000000004,18.460573000000004,18.770191000000004,19.565816000000005,19.997540000000004,20.232541000000005,20.804686000000004,21.016096000000005,21.460193000000004,21.659709000000003,21.867293000000004,22.412499000000004,22.578016000000005,23.307187000000006,23.838122000000006,24.227015000000005,24.589375000000004,25.302234000000006,25.583037000000004,26.027382000000003
2-2807287,,0,0.186394,0.502841,0.654614,1.045963,1.3538700000000001,1.75807,2.685483,3.228102,3.7069379999999996,4.167615,4.380452,4.536193,4.720734,5.22877,5.488322,5.673281,5.8427690000000005,6.039631000000001,6.244724000000001,6.618404000000001,7.351235000000001,7.8031310000000005,8.199995000000001,8.442666000000001,8.658831000000001,9.068908,9.329987000000001,9.627925000000001,10.299284000000002,10.698424000000001,11.020597,11.339601,12.042313,12.234022,12.696876,12.94871,13.367280000000001,13.612207000000001,14.017330000000001,14.242453000000001,14.621541,14.973163000000001,15.299437000000001,15.54377,15.684341,15.956539,16.235817,16.589088,17.793661,18.103279,18.898904,19.330628,19.565629,20.137774,20.349184,20.793281,20.992797,21.200381,21.745587,21.911104,22.640275000000003,23.171210000000002,23.560103,23.922463,24.635322000000002,24.916125,25.36047
3-2803338,,,0,0.316447,0.46821999999999997,0.859569,1.1674760000000002,1.571676,2.499089,3.041708,3.5205439999999997,3.9812209999999997,4.194058,4.349799,4.53434,5.042376,5.301928,5.486887,5.656375000000001,5.853237000000001,6.058330000000001,6.432010000000001,7.164841000000001,7.6167370000000005,8.013601000000001,8.256272000000001,8.472437000000001,8.882514,9.143593000000001,9.441531000000001,10.112890000000002,10.512030000000001,10.834203,11.153207,11.855919,12.047628,12.510482,12.762316,13.180886000000001,13.425813000000002,13.830936000000001,14.056059000000001,14.435147,14.786769000000001,15.113043000000001,15.357376,15.497947,15.770145,16.049423,16.402694,17.607267,17.916885,18.71251,19.144234,19.379235,19.95138,20.16279,20.606887,20.806403,21.013987,21.559193,21.72471,22.453881000000003,22.984816000000002,23.373709,23.736069,24.448928000000002,24.729731,25.174076
4-2803336,,,,0,0.151773,0.543122,0.851029,1.255229,2.182642,2.7252609999999997,3.2040969999999995,3.6647739999999995,3.8776109999999995,4.033352,4.217893,4.725929,4.985481,5.17044,5.3399280000000005,5.536790000000001,5.7418830000000005,6.115563000000001,6.848394000000001,7.30029,7.697154,7.939825,8.15599,8.566066999999999,8.827145999999999,9.125084,9.796443,10.195583,10.517755999999999,10.836759999999998,11.539471999999998,11.731180999999998,12.194034999999998,12.445868999999998,12.864438999999999,13.109366,13.514489,13.739612,14.118699999999999,14.470322,14.796596,15.040928999999998,15.181499999999998,15.453697999999997,15.732975999999997,16.086246999999997,17.290819999999997,17.600437999999997,18.396062999999998,18.827786999999997,19.062787999999998,19.634932999999997,19.846342999999997,20.290439999999997,20.489955999999996,20.697539999999996,21.242745999999997,21.408262999999998,22.137434,22.668369,23.057261999999998,23.419621999999997,24.132481,24.413283999999997,24.857628999999996
5-2803326,,,,,0,0.391349,0.6992560000000001,1.103456,2.030869,2.573488,3.052324,3.513001,3.725838,3.881579,4.06612,4.5741559999999994,4.833708,5.018667,5.188155,5.385017,5.59011,5.96379,6.696621,7.148517,7.545381,7.7880519999999995,8.004216999999999,8.414293999999998,8.675372999999999,8.973310999999999,9.64467,10.043809999999999,10.365982999999998,10.684986999999998,11.387698999999998,11.579407999999997,12.042261999999997,12.294095999999998,12.712665999999999,12.957593,13.362715999999999,13.587838999999999,13.966926999999998,14.318548999999999,14.644822999999999,14.889155999999998,15.029726999999998,15.301924999999997,15.581202999999997,15.934473999999996,17.139046999999998,17.448665,18.24429,18.676014,18.911015,19.483159999999998,19.69457,20.138666999999998,20.338182999999997,20.545766999999998,21.090972999999998,21.25649,21.985661,22.516596,22.905489,23.267849,23.980708,24.261511,24.705855999999997
6-2803324,,,,,,0,0.30790700000000004,0.712107,1.63952,2.1821390000000003,2.660975,3.121652,3.334489,3.49023,3.674771,4.1828069999999995,4.442359,4.627318,4.796806,4.993668,5.198761,5.572441,6.305272,6.757168,7.154032,7.396703,7.612868,8.022945,8.284024,8.581962,9.253321000000001,9.652461,9.974634,10.293638,10.99635,11.188058999999999,11.650913,11.902747,12.321317,12.566244000000001,12.971367,13.19649,13.575578,13.927200000000001,14.253474,14.497807,14.638378,14.910575999999999,15.189853999999999,15.543124999999998,16.747698,17.057316,17.852941,18.284665,18.519666,19.091811,19.303221,19.747318,19.946834,20.154418,20.699624,20.865141,21.594312000000002,22.125247,22.51414,22.8765,23.589359,23.870162,24.314507
7-2803329,,,,,,,0,0.4042,1.331613,1.874232,2.353068,2.813745,3.026582,3.182323,3.3668639999999996,3.8748999999999993,4.134452,4.319411,4.488899,4.685761,4.890854,5.264534,5.997365,6.449261,6.846125,7.088795999999999,7.304961,7.715038,7.9761169999999995,8.274054999999999,8.945414,9.344553999999999,9.666726999999998,9.985730999999998,10.688442999999998,10.880151999999997,11.343005999999997,11.594839999999998,12.013409999999999,12.258337,12.663459999999999,12.888582999999999,13.267670999999998,13.619292999999999,13.945566999999999,14.189899999999998,14.330470999999998,14.602668999999997,14.881946999999997,15.235217999999996,16.439790999999996,16.749408999999996,17.545033999999998,17.976757999999997,18.211758999999997,18.783903999999996,18.995313999999997,19.439410999999996,19.638926999999995,19.846510999999996,20.391716999999996,20.557233999999998,21.286405,21.817339999999998,22.206232999999997,22.568592999999996,23.281451999999998,23.562254999999997,24.006599999999995
8-2803204,,,,,,,,0,0.9274129999999999,1.4700319999999998,1.9488679999999998,2.409545,2.622382,2.778123,2.9626639999999997,3.4707,3.730252,3.915211,4.0846990000000005,4.281561000000001,4.486654000000001,4.860334000000001,5.593165000000001,6.0450610000000005,6.441925,6.684596,6.900761,7.310838,7.571917,7.869855,8.541214,8.940354,9.262526999999999,9.581530999999998,10.284242999999998,10.475951999999998,10.938805999999998,11.190639999999998,11.60921,11.854137,12.25926,12.484383,12.863470999999999,13.215093,13.541367,13.785699999999999,13.926270999999998,14.198468999999998,14.477746999999997,14.831017999999997,16.035590999999997,16.345208999999997,17.140833999999998,17.572557999999997,17.807558999999998,18.379703999999997,18.591113999999997,19.035210999999997,19.234726999999996,19.442310999999997,19.987516999999997,20.153033999999998,20.882205,21.41314,21.802032999999998,22.164392999999997,22.877252,23.158054999999997,23.602399999999996
9-2803316,,,,,,,,,0,0.542619,1.021455,1.482132,1.694969,1.8507099999999999,2.0352509999999997,2.5432869999999994,2.8028389999999996,2.9877979999999997,3.1572859999999996,3.3541479999999995,3.559240999999999,3.9329209999999994,4.6657519999999995,5.117647999999999,5.514511999999999,5.757182999999999,5.973347999999999,6.383424999999999,6.644503999999999,6.942441999999999,7.613800999999999,8.012940999999998,8.335113999999997,8.654117999999997,9.356829999999997,9.548538999999996,10.011392999999996,10.263226999999997,10.681796999999998,10.926723999999998,11.331846999999998,11.556969999999998,11.936057999999997,12.287679999999998,12.613953999999998,12.858286999999997,12.998857999999997,13.271055999999996,13.550333999999996,13.903604999999995,15.108177999999995,15.417795999999996,16.213420999999997,16.645144999999996,16.880145999999996,17.452290999999995,17.663700999999996,18.107797999999995,18.307313999999995,18.514897999999995,19.060103999999995,19.225620999999997,19.954791999999998,20.485726999999997,20.874619999999997,21.236979999999996,21.949838999999997,22.230641999999996,22.674986999999994
10-2803319,,,,,,,,,,0,0.478836,0.939513,1.15235,1.3080910000000001,1.4926320000000002,2.000668,2.2602200000000003,2.4451790000000004,2.6146670000000003,2.811529,3.016622,3.390302,4.123133,4.575029,4.971893,5.214563999999999,5.4307289999999995,5.840806,6.101884999999999,6.399823,7.071181999999999,7.4703219999999995,7.792495,8.111499,8.814211,9.00592,9.468774,9.720608,10.139178000000001,10.384105000000002,10.789228000000001,11.014351000000001,11.393439,11.745061000000002,12.071335000000001,12.315668,12.456239,12.728437,13.007715,13.360985999999999,14.565558999999999,14.875176999999999,15.670801999999998,16.102525999999997,16.337526999999998,16.909671999999997,17.121081999999998,17.565178999999997,17.764694999999996,17.972278999999997,18.517484999999997,18.683002,19.412173,19.943108,20.332000999999998,20.694360999999997,21.40722,21.688022999999998,22.132367999999996
