순번_정류장ID,1-2805981,2-2803328,3-2803305,4-2803293,5-2803289,6-2802621,7-2807483,8-2802850,9-2802858,10-2802886,11-2802984,12-2803020,13-2802429,14-2802467,15-2802469,16-2802465,17-2802460,18-2802450,19-2802455,20-2802476,21-2802523,22-2802537,23-2802364,24-2802544,25-2802365,26-2804851,27-2802597,28-2802596,29-2802602,30-2803624,31-2804420,32-2807598,33-2803359,34-2805065,35-2807232,36-2807362
1-2805981,0,0.443362,0.9398059999999999,1.569545,2.050664,2.672415,2.95589,3.254099,3.666462,4.430168,4.912008,5.913095,6.441347,7.153374,7.3083480000000005,7.770469,8.169933,8.514007,8.898914,10.141072,10.612765999999999,10.838458999999999,11.150459999999999,11.982530999999998,12.958661999999999,14.567896999999999,15.32092,15.665704,16.220445,16.502013,33.460893,44.428081999999996,44.890811,64.259242,64.638406,68.25368300000001
2-2803328,,0,0.49644399999999994,1.126183,1.6073019999999998,2.229053,2.512528,2.810737,3.2231,3.986806,4.468646,5.469733,5.997985,6.710012,6.864986,7.327107,7.726571,8.070644999999999,8.455551999999999,9.697709999999999,10.169403999999998,10.395096999999998,10.707097999999998,11.539168999999998,12.515299999999998,14.124534999999998,14.877557999999999,15.222342,15.777083,16.058650999999998,33.01753099999999,43.98471999999999,44.44744899999999,63.81587999999999,64.195044,67.810321
3-2803305,,,0,0.629739,1.110858,1.732609,2.016084,2.314293,2.726656,3.490362,3.9722020000000002,4.973289,5.5015410000000005,6.213568,6.368542000000001,6.830663,7.230127,7.574201,7.9591080000000005,9.201266,9.67296,9.898653,10.210654,11.042724999999999,12.018856,13.628091,14.381114,14.725898,15.280639,15.562207,32.521086999999994,43.48827599999999,43.951004999999995,63.319435999999996,63.6986,67.313877
4-2803293,,,,0,0.48111899999999996,1.10287,1.386345,1.6845539999999999,2.096917,2.860623,3.342463,4.3435500000000005,4.871802000000001,5.583829000000001,5.738803000000001,6.2009240000000005,6.600388000000001,6.944462000000001,7.329369000000001,8.571527000000001,9.043221,9.268914,9.580915000000001,10.412986,11.389117,12.998352,13.751375000000001,14.096159000000002,14.650900000000002,14.932468000000002,31.891348,42.858537,43.321266,62.689697,63.068861000000005,66.684138
5-2803289,,,,,0,0.621751,0.9052260000000001,1.203435,1.615798,2.379504,2.861344,3.862431,4.390683,5.10271,5.257684,5.719805,6.119269,6.463343,6.84825,8.090408,8.562102,8.787795,9.099796,9.931866999999999,10.907998,12.517233,13.270256,13.61504,14.169781,14.451349,31.410228999999998,42.377418,42.840147,62.208578,62.587742000000006,66.20301900000001
6-2802621,,,,,,0,0.283475,0.581684,0.994047,1.7577530000000001,2.239593,3.2406800000000002,3.7689320000000004,4.480959,4.6359330000000005,5.098054,5.497518,5.841592,6.2264990000000004,7.468657,7.940351000000001,8.166044000000001,8.478045000000002,9.310116,10.286247000000001,11.895482000000001,12.648505000000002,12.993289000000003,13.548030000000002,13.829598000000003,30.788477999999998,41.755666999999995,42.218396,61.586827,61.965991,65.58126800000001
7-2807483,,,,,,,0,0.298209,0.710572,1.474278,1.956118,2.957205,3.4854570000000002,4.197484,4.352458,4.814579,5.214043,5.558117,5.943024,7.185182,7.6568760000000005,7.882569,8.19457,9.026641,10.002772,11.612007,12.36503,12.709814000000001,13.264555000000001,13.546123000000001,30.505003,41.472192,41.934921,61.303352000000004,61.68251600000001,65.29779300000001
8-2802850,,,,,,,,0,0.41236300000000004,1.176069,1.657909,2.658996,3.1872480000000003,3.8992750000000003,4.054249,4.51637,4.915834,5.259908,5.644815,6.886973,7.3586670000000005,7.58436,7.896361000000001,8.728432,9.704563,11.313798,12.066821000000001,12.411605000000002,12.966346000000001,13.247914000000002,30.206794,41.173983,41.636712,61.005143000000004,61.38430700000001,64.99958400000001
9-2802858,,,,,,,,,0,0.763706,1.245546,2.246633,2.7748850000000003,3.4869120000000002,3.6418860000000004,4.104007,4.503471,4.847545,5.232452,6.47461,6.9463040000000005,7.171997,7.483998000000001,8.316069,9.292200000000001,10.901435000000001,11.654458000000002,11.999242000000002,12.553983000000002,12.835551000000002,29.794431,40.76162,41.224349000000004,60.592780000000005,60.97194400000001,64.58722100000001
10-2802886,,,,,,,,,,0,0.48184,1.482927,2.0111790000000003,2.7232060000000002,2.8781800000000004,3.340301,3.7397650000000002,4.083839,4.468746,5.710904,6.1825980000000005,6.408291,6.720292000000001,7.552363000000001,8.528494,10.137729,10.890752,11.235536000000002,11.790277000000001,12.071845000000001,29.030724999999997,39.997913999999994,40.460643,59.829074,60.208238,63.823515
