순번_정류장ID,1-2807578,2-2803343,3-2803340,4-2803339,5-2803331,6-2803325,7-2803320,8-2803314,9-2803311,10-2803316,11-2803319,12-2803328,13-2803305,14-2803293,15-2803281,16-2803275,17-2803257,18-2803253,19-2803249,20-2803226,21-2803132,22-2803135,23-2803124,24-2803100,25-2803087,26-2802667,27-2802631,28-2802668,29-2802655,30-2803050,31-2800814,32-2800787,33-2800773,34-2800760,35-2800741,36-2800725,37-2800691,38-2800684,39-2800676,40-2800667,41-2800657,42-2800340,43-2800624,44-2800619,45-2806214,46-2806242,47-2806244,48-2801157,49-2801155,50-2801151,51-2801145,52-2801140,53-2801302,54-2801321,55-2801307,56-2801299,57-2801315,58-2801356,59-2801414,60-2801492,61-2801524,62-2801602,63-2801647,64-2806781,65-2801573,66-2801558,67-2801532,68-2801571,69-2801641,70-2801649,71-2801651,72-2804430,73-2804914
1-2807578,0,0.5883010000000001,0.8372350000000001,1.3727930000000002,1.650057,1.9415300000000002,2.12995,2.612322,2.965261,3.892674,4.676931,5.120292999999999,5.616737,6.184504,6.574344999999999,7.059669999999999,7.4966789999999985,7.803462999999999,8.443475,9.198214,9.634334,9.973917,10.494474,10.786124000000001,11.170587000000001,11.579218000000001,11.85589,12.509117,12.868789,13.187793,14.305909999999999,14.807946999999999,15.082374999999999,15.370776,15.656379999999999,16.046934,16.287137,16.600021,16.940072,17.112603,17.400753,17.946002,18.226297,18.689031999999997,19.288854999999998,19.598473,20.394098,20.790161,21.07747,21.576041,22.036141,22.355749,22.609136,23.003988,23.308322,23.789516,24.225376,24.774733,25.514949,25.815523000000002,26.289021,26.914263000000002,27.558715000000003,27.944729000000002,28.155576000000003,28.604287000000003,28.830816000000002,29.429391000000003,29.847822000000004,30.204766000000003,30.501334000000003,31.073264,31.256211
2-2803343,,0,0.24893400000000002,0.784492,1.061756,1.3532289999999998,1.5416489999999998,2.024021,2.37696,3.304373,4.08863,4.531992,5.028436,5.596203,5.986044,6.471368999999999,6.908377999999999,7.215161999999999,7.855174,8.609913,9.046033000000001,9.385616,9.906173,10.197823000000001,10.582286000000002,10.990917000000001,11.267589000000001,11.920816,12.280488,12.599492,13.717609,14.219646,14.494074,14.782475,15.068079,15.458632999999999,15.698835999999998,16.011719999999997,16.351770999999996,16.524301999999995,16.812451999999997,17.357700999999995,17.637995999999994,18.100730999999993,18.700553999999993,19.010171999999994,19.805796999999995,20.201859999999996,20.489168999999997,20.987739999999995,21.447839999999996,21.767447999999995,22.020834999999995,22.415686999999995,22.720020999999996,23.201214999999994,23.637074999999996,24.186431999999996,24.926647999999997,25.227221999999998,25.700719999999997,26.325961999999997,26.970413999999998,27.356427999999998,27.567275,28.015985999999998,28.242514999999997,28.841089999999998,29.259521,29.616464999999998,29.913033,30.484963,30.66791
3-2803340,,,0,0.535558,0.8128219999999999,1.104295,1.292715,1.775087,2.128026,3.0554390000000002,3.839696,4.283058,4.779502,5.347269,5.7371099999999995,6.222434999999999,6.659443999999999,6.966227999999999,7.60624,8.360979,8.797099000000001,9.136682,9.657239,9.948889000000001,10.333352000000001,10.741983000000001,11.018655,11.671882,12.031554,12.350558,13.468675,13.970711999999999,14.24514,14.533541,14.819144999999999,15.209698999999999,15.449901999999998,15.762785999999998,16.102836999999997,16.275367999999997,16.563518,17.108766999999997,17.389061999999996,17.851796999999994,18.451619999999995,18.761237999999995,19.556862999999996,19.952925999999998,20.240235,20.738805999999997,21.198905999999997,21.518513999999996,21.771900999999996,22.166752999999996,22.471086999999997,22.952280999999996,23.388140999999997,23.937497999999998,24.677713999999998,24.978288,25.451786,26.077028,26.72148,27.107494,27.318341,27.767052,27.993581,28.592156,29.010587,29.367531,29.664099,30.236029000000002,30.418976
4-2803339,,,,0,0.277264,0.568737,0.7571570000000001,1.239529,1.5924680000000002,2.5198810000000003,3.304138,3.7475,4.243944,4.811711,5.2015519999999995,5.686876999999999,6.123885999999999,6.430669999999999,7.070682,7.8254209999999995,8.261541,8.601123999999999,9.121680999999999,9.413331,9.797794,10.206425,10.483096999999999,11.136323999999998,11.495995999999998,11.814999999999998,12.933116999999998,13.435153999999997,13.709581999999997,13.997982999999998,14.283586999999997,14.674140999999997,14.914343999999996,15.227227999999997,15.567278999999997,15.739809999999997,16.027959999999997,16.573208999999995,16.853503999999994,17.316238999999992,17.916061999999993,18.225679999999993,19.021304999999995,19.417367999999996,19.704676999999997,20.203247999999995,20.663347999999996,20.982955999999994,21.236342999999994,21.631194999999995,21.935528999999995,22.416722999999994,22.852582999999996,23.401939999999996,24.142155999999996,24.442729999999997,24.916227999999997,25.541469999999997,26.185921999999998,26.571935999999997,26.782783,27.231493999999998,27.458022999999997,28.056597999999997,28.475029,28.831972999999998,29.128541,29.700471,29.883418
5-2803331,,,,,0,0.291473,0.479893,0.962265,1.315204,2.242617,3.0268740000000003,3.4702360000000003,3.96668,4.534447,4.924288,5.409613,5.846622,6.153406,6.793418000000001,7.548157000000001,7.9842770000000005,8.32386,8.844417,9.136067,9.52053,9.929161,10.205833,10.85906,11.218732,11.537735999999999,12.655852999999999,13.157889999999998,13.432317999999999,13.720718999999999,14.006322999999998,14.396876999999998,14.637079999999997,14.949963999999998,15.290014999999999,15.462545999999998,15.750695999999998,16.295944999999996,16.576239999999995,17.038974999999994,17.638797999999994,17.948415999999995,18.744040999999996,19.140103999999997,19.427412999999998,19.925983999999996,20.386083999999997,20.705691999999996,20.959078999999996,21.353930999999996,21.658264999999997,22.139458999999995,22.575318999999997,23.124675999999997,23.864891999999998,24.165466,24.638963999999998,25.264205999999998,25.908658,26.294672,26.505519,26.95423,27.180759,27.779334,28.197765,28.554709,28.851277,29.423206999999998,29.606153999999997
6-2803325,,,,,,0,0.18842,0.670792,1.0237310000000002,1.9511440000000002,2.7354010000000004,3.1787630000000004,3.6752070000000003,4.242974,4.632815,5.11814,5.555149,5.8619330000000005,6.501945000000001,7.256684000000001,7.692804000000001,8.032387,8.552944,8.844594,9.229057000000001,9.637688,9.91436,10.567587,10.927259,11.246262999999999,12.364379999999999,12.866416999999998,13.140844999999999,13.429246,13.714849999999998,14.105403999999998,14.345606999999998,14.658490999999998,14.998541999999999,15.171072999999998,15.459222999999998,16.004471999999996,16.284766999999995,16.747501999999994,17.347324999999994,17.656942999999995,18.452567999999996,18.848630999999997,19.135939999999998,19.634510999999996,20.094610999999997,20.414218999999996,20.667605999999996,21.062457999999996,21.366791999999997,21.847985999999995,22.283845999999997,22.833202999999997,23.573418999999998,23.873993,24.347490999999998,24.972732999999998,25.617185,26.003199,26.214046,26.662757,26.889286,27.487861,27.906292,28.263236,28.559804,29.131734,29.314681
7-2803320,,,,,,,0,0.482372,0.835311,1.762724,2.5469809999999997,2.9903429999999998,3.4867869999999996,4.0545539999999995,4.444394999999999,4.92972,5.366728999999999,5.673513,6.313525,7.068264,7.504384,7.843967,8.364524,8.656174,9.040637,9.449268,9.72594,10.379166999999999,10.738838999999999,11.057842999999998,12.175959999999998,12.677996999999998,12.952424999999998,13.240825999999998,13.526429999999998,13.916983999999998,14.157186999999997,14.470070999999997,14.810121999999998,14.982652999999997,15.270802999999997,15.816051999999997,16.096346999999998,16.559081999999997,17.158904999999997,17.468522999999998,18.264148,18.660211,18.94752,19.446091,19.906191,20.225799,20.479186,20.874038,21.178372,21.659565999999998,22.095426,22.644783,23.384999,23.685573,24.159071,24.784313,25.428765000000002,25.814779,26.025626000000003,26.474337000000002,26.700866,27.299441,27.717872000000003,28.074816000000002,28.371384000000003,28.943314,29.126261
8-2803314,,,,,,,,0,0.352939,1.280352,2.064609,2.507971,3.004415,3.5721819999999997,3.962023,4.447348,4.884357,5.191141,5.8311530000000005,6.585892,7.022012,7.361595,7.8821520000000005,8.173802,8.558265,8.966896,9.243568,9.896795,10.256466999999999,10.575470999999999,11.693587999999998,12.195624999999998,12.470052999999998,12.758453999999999,13.044057999999998,13.434611999999998,13.674814999999997,13.987698999999997,14.327749999999998,14.500280999999998,14.788430999999997,15.333679999999998,15.613974999999998,16.07671,16.676533,16.986151,17.781776,18.177839000000002,18.465148000000003,18.963719,19.423819,19.743427,19.996814,20.391666,20.696,21.177194,21.613054,22.162411000000002,22.902627000000003,23.203201000000004,23.676699000000003,24.301941000000003,24.946393000000004,25.332407000000003,25.543254000000005,25.991965000000004,26.218494000000003,26.817069000000004,27.235500000000005,27.592444000000004,27.889012000000005,28.460942000000003,28.643889
9-2803311,,,,,,,,,0,0.9274129999999999,1.7116699999999998,2.155032,2.6514759999999997,3.2192429999999996,3.6090839999999997,4.094409,4.5314179999999995,4.838202,5.4782139999999995,6.232952999999999,6.669072999999999,7.008655999999999,7.5292129999999995,7.820862999999999,8.205326,8.613957,8.890628999999999,9.543855999999998,9.903527999999998,10.222531999999998,11.340648999999997,11.842685999999997,12.117113999999997,12.405514999999998,12.691118999999997,13.081672999999997,13.321875999999996,13.634759999999996,13.974810999999997,14.147341999999997,14.435491999999996,14.980740999999997,15.261035999999997,15.723770999999997,16.323593999999996,16.633211999999997,17.428836999999998,17.8249,18.112209,18.61078,19.07088,19.390487999999998,19.643874999999998,20.038726999999998,20.343061,20.824254999999997,21.260115,21.809472,22.549688,22.850262,23.32376,23.949002,24.593454,24.979468,25.190315000000002,25.639026,25.865555,26.46413,26.882561000000003,27.239505,27.536073000000002,28.108003000000004,28.290950000000002
10-2803316,,,,,,,,,,0,0.784257,1.227619,1.724063,2.29183,2.681671,3.166996,3.6040050000000003,3.9107890000000003,4.550801,5.30554,5.7416599999999995,6.081243,6.6018,6.89345,7.277913,7.686544,7.963215999999999,8.616442999999999,8.976114999999998,9.295118999999998,10.413235999999998,10.915272999999997,11.189700999999998,11.478101999999998,11.763705999999997,12.154259999999997,12.394462999999996,12.707346999999997,13.047397999999998,13.219928999999997,13.508078999999997,14.053327999999997,14.333622999999998,14.796357999999998,15.396180999999999,15.705798999999999,16.501424,16.897487,17.184796000000002,17.683367,18.143467,18.463075,18.716462,19.111314,19.415648,19.896842,20.332702,20.882059,21.622275000000002,21.922849000000003,22.396347000000002,23.021589000000002,23.666041000000003,24.052055000000003,24.262902000000004,24.711613000000003,24.938142000000003,25.536717000000003,25.955148000000005,26.312092000000003,26.608660000000004,27.180590000000002,27.363537
