순번_정류장ID,61-2806621,62-2806503,63-2806507,64-2802175,65-2801848,66-2802172,67-2802162,68-2802153,69-2801846,70-2802103,71-2802052,72-2801847,73-2801990,74-2801952,75-2801805,76-2801799,77-2801777,78-2801772,79-2801770,80-2801762,81-2800774,82-2800762,83-2800757,84-2800769,85-2800766,86-2800748,87-2800721,88-2800703,89-2800699,90-2800693,91-2800683,92-2800676,93-2800667,94-2800657,95-2800340,96-2800624,97-2800619,98-2806215,99-2807461,100-2806729,101-2806731,102-2805743,103-2804896,104-2805564,105-2804968,106-2804905,107-2805413,108-2805842,109-2805498,110-2805576,111-2805225,112-2805227,113-2805742,114-2805229,115-2805231,116-2807633
61-2806621,0,0.32614299999999996,0.7216339999999999,1.0677839999999998,1.3330609999999998,1.7773929999999998,2.084815,2.3980189999999997,3.0349259999999996,3.3363369999999994,3.8081549999999993,4.082615,4.378482,4.887634,5.399643,5.7562750000000005,6.370858,6.624299,7.070694,7.44762,8.090339,8.422816000000001,8.803392,9.066029,9.73559,9.987424,10.405994000000002,10.650921000000002,11.056044000000002,11.281167000000002,11.660255000000001,12.627543000000001,12.967594000000002,13.140125000000001,13.428275000000001,13.973524000000001,14.253819000000002,15.043330000000001,15.529418000000001,15.886161000000001,16.273561,16.636290000000002,16.889768000000004,17.226171000000004,17.627631000000004,17.984196000000004,18.219944000000005,18.478160000000006,18.775773000000004,19.130768000000003,19.295450000000002,19.758132000000003,19.94825,20.156728,20.461280000000002,23.677148000000003
62-2806503,,0,0.395491,0.741641,1.006918,1.45125,1.7586719999999998,2.0718759999999996,2.7087829999999995,3.0101939999999994,3.482011999999999,3.756471999999999,4.052338999999999,4.561490999999999,5.073499999999999,5.4301319999999995,6.044714999999999,6.298155999999999,6.744550999999999,7.121476999999999,7.764195999999998,8.096673,8.477248999999999,8.739885999999998,9.409446999999998,9.661280999999999,10.079851,10.324778,10.729901,10.955024,11.334112,12.3014,12.641451,12.813982,13.102132,13.647381,13.927676,14.717187,15.203275,15.560018,15.947417999999999,16.310147,16.563625000000002,16.900028000000002,17.301488000000003,17.658053000000002,17.893801000000003,18.152017000000004,18.449630000000003,18.804625,18.969307,19.431989,19.622107,19.830585,20.135137,23.351005
63-2806507,,,0,0.34615,0.6114269999999999,1.055759,1.363181,1.676385,2.313292,2.614703,3.086521,3.3609809999999998,3.6568479999999997,4.1659999999999995,4.678008999999999,5.034641,5.649223999999999,5.902664999999999,6.349059999999999,6.725985999999999,7.3687049999999985,7.701181999999998,8.081757999999999,8.344394999999999,9.013955999999999,9.265789999999999,9.68436,9.929287,10.33441,10.559533,10.938621,11.905909,12.24596,12.418491,12.706641,13.25189,13.532185,14.321696,14.807784,15.164527,15.551927,15.914655999999999,16.168134,16.504537,16.905997,17.262562,17.49831,17.756526,18.054139,18.409133999999998,18.573815999999997,19.036497999999998,19.226616,19.435094,19.739646,22.955514
64-2802175,,,,0,0.265277,0.7096089999999999,1.0170309999999998,1.3302349999999998,1.967142,2.268553,2.7403709999999997,3.0148309999999996,3.3106979999999995,3.8198499999999997,4.331859,4.688491,5.303074,5.556514999999999,6.002909999999999,6.379835999999999,7.022554999999999,7.355031999999999,7.735607999999999,7.998244999999999,8.667805999999999,8.91964,9.33821,9.583137,9.98826,10.213383,10.592471,11.559759,11.89981,12.072341,12.360491,12.90574,13.186035,13.975546,14.461634,14.818377,15.205777,15.568506,15.821983999999999,16.158386999999998,16.559846999999998,16.916411999999998,17.15216,17.410376,17.707988999999998,18.062983999999997,18.227665999999996,18.690347999999997,18.880466,19.088943999999998,19.393496,22.609364
65-2801848,,,,,0,0.44433199999999995,0.7517539999999999,1.0649579999999998,1.7018649999999997,2.0032759999999996,2.4750939999999995,2.7495539999999994,3.0454209999999993,3.5545729999999995,4.0665819999999995,4.423214,5.037796999999999,5.291237999999999,5.737632999999999,6.114558999999999,6.757277999999999,7.0897549999999985,7.470330999999998,7.732967999999998,8.402528999999998,8.654362999999998,9.072932999999999,9.31786,9.722983,9.948106,10.327193999999999,11.294481999999999,11.634533,11.807063999999999,12.095213999999999,12.640462999999999,12.920758,13.710268999999998,14.196356999999999,14.553099999999999,14.940499999999998,15.303228999999998,15.556706999999998,15.893109999999998,16.294569999999997,16.651134999999996,16.886882999999997,17.145099,17.442711999999997,17.797706999999996,17.962388999999995,18.425070999999996,18.615188999999994,18.823666999999993,19.128218999999994,22.344086999999995
66-2802172,,,,,,0,0.307422,0.6206259999999999,1.257533,1.558944,2.030762,2.305222,2.601089,3.1102410000000003,3.62225,3.978882,4.593465,4.846906,5.293301,5.670227,6.312945999999999,6.645422999999999,7.025998999999999,7.288635999999999,7.958196999999998,8.210030999999999,8.628601,8.873528,9.278651,9.503774,9.882862,10.85015,11.190201,11.362732,11.650882,12.196131,12.476426,13.265937,13.752025,14.108768,14.496167999999999,14.858896999999999,15.112374999999998,15.448777999999999,15.850238,16.206803,16.442551,16.700767000000003,16.99838,17.353375,17.518057,17.980739,18.170856999999998,18.379334999999998,18.683887,21.899755
67-2802162,,,,,,,0,0.313204,0.9501109999999999,1.251522,1.72334,1.9978,2.293667,2.8028190000000004,3.3148280000000003,3.67146,4.286043,4.539484,4.985879,5.362805,6.005523999999999,6.338000999999999,6.718577,6.981214,7.650774999999999,7.902608999999999,8.321178999999999,8.566106,8.971229,9.196352,9.575439999999999,10.542727999999999,10.882779,11.055309999999999,11.343459999999999,11.888708999999999,12.169004,12.958514999999998,13.444602999999999,13.801345999999999,14.188745999999998,14.551474999999998,14.804952999999998,15.141355999999998,15.542815999999998,15.899380999999998,16.135129,16.393345,16.690958,17.045952999999997,17.210634999999996,17.673316999999997,17.863434999999996,18.071912999999995,18.376464999999996,21.592332999999996
68-2802153,,,,,,,,0,0.636907,0.938318,1.410136,1.684596,1.9804629999999999,2.4896149999999997,3.0016239999999996,3.3582559999999995,3.9728389999999996,4.226279999999999,4.672674999999999,5.049600999999999,5.692319999999999,6.024796999999999,6.405372999999999,6.668009999999999,7.337570999999999,7.589404999999998,8.007974999999998,8.252901999999999,8.658024999999999,8.883147999999998,9.262235999999998,10.229523999999998,10.569574999999999,10.742105999999998,11.030255999999998,11.575504999999998,11.855799999999999,12.645310999999998,13.131398999999998,13.488141999999998,13.875541999999998,14.238270999999997,14.491748999999997,14.828151999999998,15.229611999999998,15.586176999999998,15.821924999999997,16.080140999999998,16.377753999999996,16.732748999999995,16.897430999999994,17.360112999999995,17.550230999999997,17.758708999999996,18.063260999999997,21.279128999999998
69-2801846,,,,,,,,,0,0.30141100000000004,0.773229,1.047689,1.343556,1.852708,2.364717,2.721349,3.335932,3.589373,4.035768,4.412694,5.055413,5.38789,5.768466,6.031103,6.700664,6.952497999999999,7.371067999999999,7.615994999999999,8.021118,8.246241,8.625328999999999,9.592616999999999,9.932668,10.105198999999999,10.393348999999999,10.938597999999999,11.218893,12.008403999999999,12.494492,12.851234999999999,13.238634999999999,13.601363999999998,13.854841999999998,14.191244999999999,14.592704999999999,14.949269999999999,15.185017999999998,15.443233999999997,15.740846999999997,16.095841999999998,16.260523999999997,16.723205999999998,16.913323999999996,17.121801999999995,17.426353999999996,20.642221999999997
70-2802103,,,,,,,,,,0,0.471818,0.746278,1.042145,1.5512970000000001,2.0633060000000003,2.419938,3.0345210000000002,3.2879620000000003,3.734357,4.111283,4.754002,5.086479,5.467055,5.729692,6.399253,6.6510869999999995,7.069656999999999,7.314583999999999,7.719706999999999,7.944829999999999,8.323917999999999,9.291205999999999,9.631257,9.803787999999999,10.091937999999999,10.637186999999999,10.917482,11.706992999999999,12.193081,12.549824,12.937223999999999,13.299952999999999,13.553430999999998,13.889833999999999,14.291293999999999,14.647858999999999,14.883606999999998,15.141822999999999,15.439435999999999,15.794431,15.959112999999999,16.421795,16.611913,16.820391,17.124943000000002,20.340811000000002
