순번_정류장ID,41-2802708,42-2802731,43-2802755,44-2802776,45-2802813,46-2802853,47-2802903,48-2802942,49-2802439,50-2802476,51-2802513,52-2802490,53-2802458,54-2802446,55-2802443,56-2802431,57-2802372,58-2802474,59-2802487,60-2802530,61-2802544,62-2802548,63-2802290,64-2802292,65-2803631,66-2801866,67-2802304,68-2802312,69-2802313,70-2802327,71-2802334,72-2802337,73-2802335,74-2802587,75-2802580,76-2802578,77-2802585,78-2802374
41-2802708,0,0.36809000000000003,0.623445,1.026415,1.493011,1.7479,2.237051,2.539374,4.405121,4.7987720000000005,5.927246,6.089597,6.578867000000001,6.974516,7.330277000000001,7.834009000000001,8.29296,8.688043,8.906684,9.322855,9.817316,10.029408,10.419081,10.632562,10.966327,11.36595,11.69501,12.294228,12.7193,13.151782,13.557281000000001,13.746548,14.054869,14.866459,15.368513,15.632176,15.91785,16.126064
42-2802731,,0,0.255355,0.658325,1.124921,1.37981,1.868961,2.171284,4.037031,4.430682,5.559156,5.721507,6.210777,6.606426,6.962187,7.465919,7.92487,8.319953,8.538594,8.954765,9.449226,9.661318,10.050991,10.264472,10.598237,10.99786,11.32692,11.926138,12.35121,12.783692,13.189191000000001,13.378458,13.686779,14.498369,15.000423,15.264085999999999,15.54976,15.757973999999999
43-2802755,,,0,0.40297,0.8695660000000001,1.124455,1.6136059999999999,1.9159289999999998,3.781676,4.175327,5.303801,5.466152,5.955422,6.351071,6.706832,7.210564000000001,7.6695150000000005,8.064598,8.283239,8.69941,9.193871,9.405963,9.795636,10.009117,10.342882,10.742505,11.071565,11.670783,12.095855,12.528337,12.933836000000001,13.123103,13.431424,14.243014,14.745068,15.008731,15.294405,15.502619
44-2802776,,,,0,0.466596,0.7214849999999999,1.210636,1.512959,3.378706,3.7723570000000004,4.900831,5.063182,5.552452000000001,5.948101,6.3038620000000005,6.807594000000001,7.266545000000001,7.661628,7.880269,8.29644,8.790901,9.002993,9.392666,9.606147,9.939912,10.339535,10.668595,11.267813,11.692885,12.125367,12.530866000000001,12.720133,13.028454,13.840044,14.342098,14.605761,14.891435,15.099649
45-2802813,,,,,0,0.254889,0.74404,1.046363,2.91211,3.3057610000000004,4.434235,4.596586,5.085856000000001,5.481505,5.8372660000000005,6.340998000000001,6.799949000000001,7.195032,7.413673,7.8298440000000005,8.324305,8.536397000000001,8.926070000000001,9.139551,9.473316,9.872939,10.201999,10.801217000000001,11.226289000000001,11.658771000000002,12.064270000000002,12.253537000000001,12.561858,13.373448000000002,13.875502000000001,14.139165,14.424839,14.633053
46-2802853,,,,,,0,0.489151,0.791474,2.657221,3.050872,4.179346,4.341697,4.830967,5.226616,5.582377,6.086109,6.54506,6.940143,7.158784,7.574955,8.069416,8.281508,8.671181,8.884662,9.218427,9.61805,9.94711,10.546328,10.971400000000001,11.403882000000001,11.809381000000002,11.998648000000001,12.306969,13.118559000000001,13.620613,13.884276,14.16995,14.378164
47-2802903,,,,,,,0,0.302323,2.16807,2.5617210000000004,3.690195,3.8525460000000002,4.341816000000001,4.737465,5.0932260000000005,5.596958000000001,6.055909000000001,6.450992,6.669633,7.085804,7.580265000000001,7.792357000000001,8.182030000000001,8.395511,8.729276,9.128899,9.457959,10.057177000000001,10.482249000000001,10.914731000000002,11.320230000000002,11.509497000000001,11.817818,12.629408000000002,13.131462,13.395125,13.680799,13.889013
48-2802942,,,,,,,,0,1.865747,2.259398,3.3878719999999998,3.550223,4.039493,4.435142,4.790903,5.294635,5.753586,6.148669,6.36731,6.783481,7.277942,7.4900340000000005,7.879707000000001,8.093188000000001,8.426953000000001,8.826576000000001,9.155636000000001,9.754854000000002,10.179926000000002,10.612408000000002,11.017907000000003,11.207174000000002,11.515495000000001,12.327085000000002,12.829139000000001,13.092802,13.378476000000001,13.58669
49-2802439,,,,,,,,,0,0.39365100000000003,1.522125,1.6844759999999999,2.173746,2.569395,2.9251560000000003,3.428888,3.887839,4.282922,4.501563,4.917734,5.4121950000000005,5.624287000000001,6.013960000000001,6.227441000000001,6.561206,6.960829,7.2898890000000005,7.889107000000001,8.314179000000001,8.746661000000001,9.152160000000002,9.341427000000001,9.649748,10.461338000000001,10.963392,11.227055,11.512729,11.720943
50-2802476,,,,,,,,,,0,1.128474,1.290825,1.7800949999999998,2.175744,2.531505,3.035237,3.494188,3.889271,4.107912,4.524083,5.018544,5.2306360000000005,5.620309000000001,5.8337900000000005,6.167555,6.567178,6.896238,7.495456000000001,7.920528000000001,8.353010000000001,8.758509000000002,8.947776000000001,9.256097,10.067687000000001,10.569741,10.833404,11.119078,11.327292
51-2802513,,,,,,,,,,,0,0.162351,0.651621,1.04727,1.403031,1.9067629999999998,2.3657139999999997,2.7607969999999997,2.9794379999999996,3.3956089999999994,3.8900699999999993,4.102161999999999,4.491834999999999,4.705315999999999,5.039080999999999,5.438703999999999,5.767763999999999,6.366981999999998,6.7920539999999985,7.224535999999999,7.630034999999999,7.819301999999999,8.127622999999998,8.939212999999999,9.441266999999998,9.704929999999997,9.990603999999998,10.198817999999997
52-2802490,,,,,,,,,,,,0,0.48927,0.884919,1.24068,1.744412,2.203363,2.598446,2.817087,3.2332579999999997,3.7277189999999996,3.9398109999999997,4.329484,4.542965,4.876729999999999,5.276352999999999,5.6054129999999995,6.204630999999999,6.629702999999999,7.0621849999999995,7.467683999999999,7.656950999999999,7.965272,8.776862,9.278915999999999,9.542578999999998,9.828252999999998,10.036466999999998
53-2802458,,,,,,,,,,,,,0,0.395649,0.7514099999999999,1.2551419999999998,1.7140929999999996,2.1091759999999997,2.3278169999999996,2.7439879999999994,3.2384489999999992,3.4505409999999994,3.8402139999999996,4.053694999999999,4.387459999999999,4.787082999999999,5.116142999999999,5.715361,6.140433,6.572915,6.978414,7.167681,7.476002,8.287592,8.789646,9.053308999999999,9.338982999999999,9.547196999999999
54-2802446,,,,,,,,,,,,,,0,0.355761,0.859493,1.318444,1.713527,1.9321679999999999,2.3483389999999997,2.8427999999999995,3.0548919999999997,3.444565,3.6580459999999997,3.9918109999999998,4.391433999999999,4.7204939999999995,5.319711999999999,5.744783999999999,6.1772659999999995,6.582764999999999,6.772031999999999,7.080353,7.8919429999999995,8.393996999999999,8.657659999999998,8.943333999999998,9.151547999999998
