순번_정류장ID,40-2802708,41-2802731,42-2802755,43-2802776,44-2802813,45-2802853,46-2802903,47-2802942,48-2802439,49-2802449,50-2802370,51-2802459,52-2802473,53-2802495,54-2802517,55-2802506,56-2802514,57-2802522,58-2802375,59-2802504,60-2806677,61-2806675,62-2802558,63-2802569,64-2802560,65-2802555,66-2802556,67-2802553,68-2802543,69-2802537,70-2802364,71-2802544,72-2802548,73-2802365,74-2802570,75-2802571,76-2802576,77-2802578,78-2802585,79-2802374
40-2802708,0,0.255355,0.658325,1.124921,1.37981,1.868961,2.171284,4.037031,4.3390759999999995,4.540687999999999,4.907337999999999,5.413424999999999,5.6769039999999995,5.870394999999999,6.134791999999999,6.297960999999999,6.501260999999999,6.879688999999999,7.185483999999999,7.760999999999999,8.362003,9.036244,9.707843,10.384011000000001,10.724971000000002,11.034454000000002,11.569695000000001,11.899775000000002,12.133536000000001,12.359229000000001,12.671230000000001,12.883322000000001,13.503300000000001,13.788472,14.039527,14.317803,14.45909,14.744764,14.952978,15.091561
41-2802731,,0,0.40297,0.8695660000000001,1.124455,1.6136059999999999,1.9159289999999998,3.781676,4.083721,4.285333,4.6519829999999995,5.1580699999999995,5.421549,5.61504,5.879436999999999,6.042605999999999,6.245905999999999,6.624333999999999,6.930128999999999,7.5056449999999995,8.106648,8.780889,9.452488,10.128656000000001,10.469616000000002,10.779099000000002,11.314340000000001,11.644420000000002,11.878181000000001,12.103874000000001,12.415875000000002,12.627967000000002,13.247945000000001,13.533117,13.784172000000002,14.062448000000002,14.203735000000002,14.489409000000002,14.697623000000002,14.836206000000002
42-2802755,,,0,0.466596,0.7214849999999999,1.210636,1.512959,3.378706,3.6807510000000003,3.8823630000000002,4.249013000000001,4.7551000000000005,5.018579000000001,5.212070000000001,5.476467,5.639636,5.842936,6.221364,6.527159,7.1026750000000005,7.703678,8.377919,9.049518,9.725686000000001,10.066646000000002,10.376129000000002,10.911370000000002,11.241450000000002,11.475211000000002,11.700904000000001,12.012905000000002,12.224997000000002,12.844975000000002,13.130147000000001,13.381202000000002,13.659478000000002,13.800765000000002,14.086439000000002,14.294653000000002,14.433236000000003
43-2802776,,,,0,0.254889,0.74404,1.046363,2.91211,3.2141550000000003,3.415767,3.782417,4.288504,4.551983,4.745474,5.0098709999999995,5.173039999999999,5.376339999999999,5.754767999999999,6.060562999999999,6.636079,7.237081999999999,7.911322999999999,8.582922,9.25909,9.600050000000001,9.909533000000001,10.444774,10.774854000000001,11.008615,11.234308,11.546309,11.758401000000001,12.378379,12.663551,12.914606,13.192881999999999,13.334169,13.619843,13.828057,13.96664
44-2802813,,,,,0,0.489151,0.791474,2.657221,2.959266,3.160878,3.5275279999999998,4.033614999999999,4.2970939999999995,4.490584999999999,4.754981999999999,4.918150999999999,5.121450999999999,5.499878999999999,5.805673999999999,6.381189999999999,6.982192999999999,7.656433999999999,8.328033,9.004201,9.345161000000001,9.654644000000001,10.189885,10.519965000000001,10.753726,10.979419,11.29142,11.503512,12.12349,12.408662,12.659717,12.937993,13.07928,13.364954000000001,13.573168,13.711751000000001
45-2802853,,,,,,0,0.302323,2.16807,2.4701150000000003,2.671727,3.038377,3.544464,3.807943,4.001434,4.2658309999999995,4.428999999999999,4.632299999999999,5.010727999999999,5.316522999999999,5.892039,6.493041999999999,7.167282999999999,7.838881999999999,8.515049999999999,8.85601,9.165493,9.700733999999999,10.030814,10.264574999999999,10.490267999999999,10.802268999999999,11.014361,11.634338999999999,11.919510999999998,12.170565999999997,12.448841999999997,12.590128999999997,12.875802999999998,13.084016999999998,13.222599999999998
46-2802903,,,,,,,0,1.865747,2.167792,2.369404,2.7360539999999998,3.2421409999999997,3.5056199999999995,3.6991109999999994,3.963507999999999,4.126676999999999,4.329976999999999,4.708404999999999,5.014199999999999,5.589715999999999,6.190719,6.86496,7.536559,8.212727,8.553687,8.86317,9.398411,9.728491,9.962252,10.187945,10.499946,10.712038,11.332016,11.617187999999999,11.868243,12.146519,12.287806,12.57348,12.781694,12.920277
47-2802942,,,,,,,,0,0.302045,0.503657,0.8703069999999999,1.376394,1.639873,1.833364,2.097761,2.26093,2.46423,2.842658,3.148453,3.723969,4.324972,4.999213,5.670812,6.346979999999999,6.687939999999999,6.9974229999999995,7.532664,7.862743999999999,8.096504999999999,8.322197999999998,8.634198999999999,8.846290999999999,9.466268999999999,9.751440999999998,10.002495999999997,10.280771999999997,10.422058999999997,10.707732999999998,10.915946999999997,11.054529999999998
48-2802439,,,,,,,,,0,0.20161199999999999,0.5682619999999999,1.0743489999999998,1.3378279999999998,1.5313189999999999,1.7957159999999999,1.958885,2.162185,2.540613,2.846408,3.4219239999999997,4.022926999999999,4.697168,5.368766999999999,6.044934999999999,6.385894999999999,6.695377999999999,7.230618999999999,7.560698999999999,7.794459999999999,8.020152999999999,8.332154,8.544246,9.164223999999999,9.449395999999998,9.700450999999997,9.978726999999997,10.120013999999998,10.405687999999998,10.613901999999998,10.752484999999998
49-2802449,,,,,,,,,,0,0.36665,0.8727369999999999,1.136216,1.329707,1.594104,1.757273,1.9605730000000001,2.339001,2.644796,3.220312,3.821315,4.495556,5.167154999999999,5.843322999999999,6.184282999999999,6.493765999999999,7.029006999999999,7.359086999999999,7.592847999999999,7.818540999999999,8.130541999999998,8.342633999999999,8.962611999999998,9.247783999999998,9.498838999999997,9.777114999999997,9.918401999999997,10.204075999999997,10.412289999999997,10.550872999999998
