순번_정류장ID,1-2806671,2-2807350,3-2807351,4-2807354,5-2807356,6-2802556,7-2802553,8-2802543,9-2802537,10-2802364,11-2802544,12-2802548,13-2802351,14-2802573,15-2802308,16-2802315,17-2802317,18-2802320,19-2802321,20-2802322,21-2802318,22-2802307,23-2802299,24-2802288,25-2802284,26-2802277,27-2802269,28-2801819,29-2803807,30-2804958,31-2803816,32-2803801,33-2803802,34-2805002,35-2803803
1-2806671,0,0.506328,0.8557859999999999,1.132413,1.65564,2.190881,2.5209610000000002,2.754722,2.9804150000000003,3.2924160000000002,3.5045080000000004,3.8606830000000003,4.315472000000001,4.759587000000001,5.382289000000001,5.896320000000001,6.367614000000001,6.755396000000001,7.279526000000001,7.701182000000001,7.973118000000001,8.296916000000001,8.631602,8.855688,9.407493,9.801371000000001,10.064184000000001,10.349548,10.581395,11.035805,11.232295,11.866364,12.210221,12.493214,12.698648
2-2807350,,0,0.349458,0.626085,1.1493120000000001,1.6845530000000002,2.0146330000000003,2.2483940000000002,2.4740870000000004,2.7860880000000003,2.9981800000000005,3.3543550000000004,3.8091440000000003,4.253259,4.875961,5.389992,5.861286000000001,6.249068,6.773198000000001,7.194854000000001,7.466790000000001,7.790588000000001,8.125274000000001,8.34936,8.901165,9.295043000000001,9.557856000000001,9.84322,10.075067,10.529477,10.725967,11.360036000000001,11.703893,11.986886,12.19232
3-2807351,,,0,0.276627,0.7998540000000001,1.335095,1.665175,1.8989360000000002,2.124629,2.43663,2.6487220000000002,3.004897,3.459686,3.903801,4.526503,5.040534,5.511828,5.89961,6.4237400000000004,6.845396000000001,7.117332000000001,7.441130000000001,7.775816000000001,7.9999020000000005,8.551707,8.945585000000001,9.208398,9.493762,9.725609,10.180019,10.376509,11.010578,11.354435,11.637428,11.842862
4-2807354,,,,0,0.523227,1.058468,1.3885480000000001,1.6223090000000002,1.8480020000000001,2.160003,2.3720950000000003,2.72827,3.183059,3.627174,4.249876,4.763907000000001,5.235201000000001,5.6229830000000005,6.147113000000001,6.568769000000001,6.840705000000002,7.164503000000002,7.499189000000001,7.723275000000001,8.27508,8.668958000000002,8.931771000000001,9.217135,9.448982,9.903392,10.099882000000001,10.733951000000001,11.077808000000001,11.360801,11.566235
5-2807356,,,,,0,0.535241,0.865321,1.0990820000000001,1.324775,1.636776,1.848868,2.205043,2.6598319999999998,3.103947,3.726649,4.24068,4.7119740000000006,5.099756,5.623886000000001,6.045542000000001,6.317478000000001,6.641276000000001,6.975962000000001,7.200048000000001,7.7518530000000005,8.145731000000001,8.408544000000001,8.693908,8.925755,9.380165,9.576655,10.210724,10.554581,10.837574,11.043008
6-2802556,,,,,,0,0.33008000000000004,0.563841,0.789534,1.101535,1.3136269999999999,1.6698019999999998,2.1245909999999997,2.5687059999999997,3.191408,3.705439,4.1767330000000005,4.564515,5.088645,5.510301,5.782237,6.106035,6.440721,6.664807,7.216612,7.6104899999999995,7.873303,8.158667,8.390514,8.844923999999999,9.041414,9.675483,10.01934,10.302332999999999,10.507767
7-2802553,,,,,,,0,0.23376100000000002,0.45945400000000003,0.771455,0.983547,1.339722,1.7945110000000002,2.238626,2.8613280000000003,3.3753590000000004,3.8466530000000003,4.234435,4.758565000000001,5.180221000000001,5.4521570000000015,5.7759550000000015,6.110641000000001,6.334727000000001,6.886532000000001,7.280410000000001,7.543223000000001,7.8285870000000015,8.060434,8.514844,8.711334,9.345403000000001,9.68926,9.972253,10.177687
8-2802543,,,,,,,,0,0.22569299999999998,0.537694,0.7497860000000001,1.1059610000000002,1.5607500000000003,2.004865,2.627567,3.141598,3.612892,4.000674,4.524804,4.94646,5.218396,5.542194,5.87688,6.100966,6.6527709999999995,7.0466489999999995,7.309462,7.594826,7.826673,8.281083,8.477573000000001,9.111642000000002,9.455499000000001,9.738492,9.943926000000001
9-2802537,,,,,,,,,0,0.31200100000000003,0.524093,0.880268,1.3350570000000002,1.7791720000000002,2.4018740000000003,2.9159050000000004,3.3871990000000003,3.7749810000000004,4.299111,4.720767,4.992703000000001,5.316501000000001,5.651187,5.875273,6.427078,6.820956,7.083769,7.369133000000001,7.600980000000001,8.055390000000001,8.251880000000002,8.885949000000002,9.229806000000002,9.512799000000001,9.718233000000001
10-2802364,,,,,,,,,,0,0.212092,0.5682670000000001,1.0230560000000002,1.4671710000000002,2.0898730000000003,2.6039040000000004,3.0751980000000003,3.4629800000000004,3.9871100000000004,4.408766,4.680702,5.0045,5.339186,5.5632719999999996,6.115076999999999,6.508954999999999,6.771768,7.057132,7.288979,7.7433890000000005,7.939879,8.573948,8.917805,9.200797999999999,9.406232
