순번_정류장ID,79-2805804,80-2801168,81-2803645,82-2801666,83-2801633,84-2801192,85-2801604,86-2801555,87-2801181,88-2801508,89-2801482,90-2801450,91-2801438,92-2805321,93-2801461,94-2801462,95-2804438,96-2803644,97-2800676,98-2800667,99-2800657,100-2800340,101-2800624,102-2800619,103-2806215,104-2807461,105-2806729,106-2806175,107-2806745,108-2806743,109-2806902,110-2800582,111-2800579,112-2800570,113-2800558,114-2800552,115-2800338,116-2800538,117-2800525,118-2800520,119-2800513,120-2805304,121-2800498,122-2800497,123-2800493,124-2800489,125-2800483,126-2800475,127-2800471,128-2800467,129-2800449,130-2800441,131-2800436,132-2800433,133-2800425,134-2800321,135-2803560,136-2803561,137-2803562,138-2800395,139-2800397,140-2800399,141-2800316,142-2805901,143-2800410,144-2800434,145-2800443,146-2800458,147-2800330,148-2800473,149-2805322,150-2800356,151-2800358,152-2800360
79-2805804,0,0.156038,0.400333,0.615194,1.060651,1.312205,1.930671,2.676512,2.948778,3.2784139999999997,3.7031069999999997,4.112576,4.549713,5.1483289999999995,5.2968589999999995,5.483734999999999,6.0475389999999996,8.099544,8.83035,9.170401,9.342932,9.631082,10.176331,10.456626,11.246137,11.732225,12.088968,12.552807999999999,12.948405,14.018047,14.364524,14.526105,14.947574999999999,15.226740999999999,15.469862,15.75385,16.028909,16.565822999999998,17.200664999999997,17.564120999999997,18.055197999999997,18.495112999999996,19.511780999999996,19.791514999999997,20.291924999999996,20.735806999999994,20.935357999999994,21.168708999999993,21.300382999999993,21.533041999999995,22.189680999999993,22.998627999999993,23.292458999999994,23.542307999999995,24.228383999999995,24.825585999999994,25.826187999999995,26.642090999999994,26.994462999999993,27.364931999999992,27.61842499999999,27.836049999999993,27.983589999999992,28.71440399999999,29.55902699999999,30.37720099999999,30.67334799999999,30.99592499999999,31.23474199999999,31.55638799999999,32.84611499999999,33.63851099999999,34.10102699999999,34.35634199999999
80-2801168,,0,0.24429499999999998,0.459156,0.904613,1.156167,1.774633,2.520474,2.7927400000000002,3.122376,3.547069,3.956538,4.393675,4.992291,5.140821,5.327697,5.891501,7.943505999999999,8.674311999999999,9.014363,9.186893999999999,9.475043999999999,10.020292999999999,10.300588,11.090098999999999,11.576187,11.932929999999999,12.396769999999998,12.792366999999999,13.862008999999999,14.208485999999999,14.370066999999999,14.791536999999998,15.070702999999998,15.313823999999999,15.597812,15.872871,16.409785,17.044627,17.408082999999998,17.89916,18.339074999999998,19.355742999999997,19.635476999999998,20.135886999999997,20.579768999999995,20.779319999999995,21.012670999999994,21.144344999999994,21.377003999999996,22.033642999999994,22.842589999999994,23.136420999999995,23.386269999999996,24.072345999999996,24.669547999999995,25.670149999999996,26.486052999999995,26.838424999999994,27.208893999999994,27.462386999999993,27.680011999999994,27.827551999999994,28.558365999999992,29.40298899999999,30.22116299999999,30.51730999999999,30.83988699999999,31.07870399999999,31.400349999999992,32.690076999999995,33.48247299999999,33.94498899999999,34.200303999999996
81-2803645,,,0,0.21486100000000002,0.660318,0.911872,1.530338,2.276179,2.548445,2.878081,3.302774,3.712243,4.14938,4.747996,4.896526,5.0834019999999995,5.647206,7.699211,8.430017,8.770068,8.942599,9.230749,9.775998,10.056293,10.845804,11.331892,11.688635,12.152474999999999,12.548072,13.617714,13.964191,14.125772,14.547241999999999,14.826407999999999,15.069529,15.353517,15.628576,16.165490000000002,16.800332,17.163788,17.654865,18.09478,19.111448,19.391182,19.891592,20.335473999999998,20.535024999999997,20.768375999999996,20.900049999999997,21.132709,21.789347999999997,22.598294999999997,22.892125999999998,23.141975,23.828051,24.425252999999998,25.425855,26.241757999999997,26.594129999999996,26.964598999999996,27.218091999999995,27.435716999999997,27.583256999999996,28.314070999999995,29.158693999999993,29.976867999999993,30.273014999999994,30.595591999999993,30.834408999999994,31.156054999999995,32.445781999999994,33.23817799999999,33.70069399999999,33.956008999999995
82-2801666,,,,0,0.445457,0.697011,1.315477,2.061318,2.333584,2.66322,3.087913,3.497382,3.934519,4.533135,4.681665,4.868541,5.432345,7.484349999999999,8.215155999999999,8.555207,8.727737999999999,9.015887999999999,9.561136999999999,9.841432,10.630942999999998,11.117030999999999,11.473773999999999,11.937613999999998,12.333210999999999,13.402852999999999,13.749329999999999,13.910910999999999,14.332380999999998,14.611546999999998,14.854667999999998,15.138656,15.413715,15.950629,16.585471,16.948926999999998,17.440004,17.879918999999997,18.896586999999997,19.176320999999998,19.676730999999997,20.120612999999995,20.320163999999995,20.553514999999994,20.685188999999994,20.917847999999996,21.574486999999994,22.383433999999994,22.677264999999995,22.927113999999996,23.613189999999996,24.210391999999995,25.210993999999996,26.026896999999995,26.379268999999994,26.749737999999994,27.003230999999992,27.220855999999994,27.368395999999994,28.099209999999992,28.94383299999999,29.76200699999999,30.05815399999999,30.38073099999999,30.61954799999999,30.941193999999992,32.230920999999995,33.02331699999999,33.48583299999999,33.741147999999995
83-2801633,,,,,0,0.251554,0.87002,1.615861,1.8881269999999999,2.2177629999999997,2.6424559999999997,3.0519249999999998,3.4890619999999997,4.0876779999999995,4.2362079999999995,4.423083999999999,4.9868879999999995,7.038893,7.769699,8.10975,8.282281,8.570431,9.11568,9.395975,10.185486,10.671574,11.028317,11.492156999999999,11.887754,12.957396,13.303873,13.465454,13.886923999999999,14.166089999999999,14.409210999999999,14.693199,14.968258,15.505172,16.140014,16.50347,16.994547,17.434462,18.45113,18.730864,19.231274,19.675155999999998,19.874706999999997,20.108057999999996,20.239731999999997,20.472391,21.129029999999997,21.937976999999997,22.231807999999997,22.481657,23.167733,23.764934999999998,24.765537,25.581439999999997,25.933811999999996,26.304280999999996,26.557773999999995,26.775398999999997,26.922938999999996,27.653752999999995,28.498375999999993,29.316549999999992,29.612696999999994,29.935273999999993,30.174090999999994,30.495736999999995,31.785463999999994,32.577859999999994,33.040375999999995,33.295691
84-2801192,,,,,,0,0.618466,1.364307,1.6365729999999998,1.9662089999999999,2.390902,2.800371,3.237508,3.836124,3.984654,4.17153,4.735334,6.787338999999999,7.518145,7.8581959999999995,8.030726999999999,8.318876999999999,8.864125999999999,9.144421,9.933931999999999,10.42002,10.776762999999999,11.240602999999998,11.636199999999999,12.705841999999999,13.052318999999999,13.213899999999999,13.635369999999998,13.914535999999998,14.157656999999999,14.441645,14.716704,15.253618,15.88846,16.251916,16.742993000000002,17.182908,18.199576,18.47931,18.97972,19.423602,19.623153,19.856503999999997,19.988177999999998,20.220837,20.877475999999998,21.686422999999998,21.980254,22.230103,22.916179,23.513381,24.513983,25.329886,25.682257999999997,26.052726999999997,26.306219999999996,26.523844999999998,26.671384999999997,27.402198999999996,28.246821999999995,29.064995999999994,29.361142999999995,29.683719999999994,29.922536999999995,30.244182999999996,31.533909999999995,32.326305999999995,32.788821999999996,33.044137
85-2801604,,,,,,,0,0.745841,1.018107,1.3477430000000001,1.7724360000000001,2.181905,2.619042,3.217658,3.366188,3.553064,4.116868,6.168873,6.899679,7.23973,7.412261,7.700411,8.245659999999999,8.525955,9.315465999999999,9.801554,10.158297,10.622136999999999,11.017733999999999,12.087375999999999,12.433853,12.595434,13.016903999999998,13.296069999999999,13.539190999999999,13.823179,14.098238,14.635152,15.269994,15.63345,16.124527,16.564442,17.58111,17.860844,18.361254,18.805135999999997,19.004686999999997,19.238037999999996,19.369711999999996,19.602370999999998,20.259009999999996,21.067956999999996,21.361787999999997,21.611636999999998,22.297712999999998,22.894914999999997,23.895516999999998,24.711419999999997,25.063791999999996,25.434260999999996,25.687753999999995,25.905378999999996,26.052918999999996,26.783732999999994,27.628355999999993,28.446529999999992,28.742676999999993,29.065253999999992,29.304070999999993,29.625716999999995,30.915443999999994,31.707839999999994,32.17035599999999,32.425670999999994
86-2801555,,,,,,,,0,0.272266,0.601902,1.0265950000000001,1.4360640000000002,1.8732010000000003,2.4718170000000006,2.6203470000000006,2.8072230000000005,3.3710270000000007,5.423032000000001,6.153838000000001,6.493889000000001,6.666420000000001,6.954570000000001,7.499819000000001,7.780114000000001,8.569625,9.055713,9.412456,9.876296,10.271893,11.341535,11.688012,11.849593,12.271063,12.550229,12.79335,13.077338000000001,13.352397000000002,13.889311000000001,14.524153000000002,14.887609000000001,15.378686000000002,15.818601000000001,16.835269,17.115003,17.615413,18.059295,18.258846,18.492196999999997,18.623870999999998,18.85653,19.513168999999998,20.322115999999998,20.615947,20.865796,21.551872,22.149074,23.149676,23.965578999999998,24.317950999999997,24.688419999999997,24.941912999999996,25.159537999999998,25.307077999999997,26.037891999999996,26.882514999999994,27.700688999999993,27.996835999999995,28.319412999999994,28.558229999999995,28.879875999999996,30.169602999999995,30.961998999999995,31.424514999999996,31.679829999999995
87-2801181,,,,,,,,,0,0.32963600000000004,0.754329,1.163798,1.6009350000000002,2.1995510000000005,2.3480810000000005,2.5349570000000003,3.0987610000000005,5.150766000000001,5.881572000000001,6.221623000000001,6.394154000000001,6.682304000000001,7.227553000000001,7.507848000000001,8.297359,8.783447,9.14019,9.60403,9.999627,11.069269,11.415746,11.577327,11.998797,12.277963,12.521084,12.805072000000001,13.080131000000002,13.617045000000001,14.251887000000002,14.615343000000001,15.106420000000002,15.546335000000001,16.563003000000002,16.842737000000003,17.343147000000002,17.787029,17.98658,18.219931,18.351605,18.584264,19.240903,20.04985,20.343681,20.59353,21.279606,21.876808,22.87741,23.693313,24.045685,24.416154,24.669646999999998,24.887272,25.034812,25.765625999999997,26.610248999999996,27.428422999999995,27.724569999999996,28.047146999999995,28.285963999999996,28.607609999999998,29.897336999999997,30.689732999999997,31.152248999999998,31.407563999999997
88-2801508,,,,,,,,,,0,0.42469300000000004,0.8341620000000001,1.271299,1.869915,2.018445,2.2053209999999996,2.769125,4.82113,5.551936,5.891987,6.0645180000000005,6.352668,6.8979170000000005,7.178212,7.967723,8.453811,8.810554,9.274394,9.669991,10.739633,11.08611,11.247691,11.669160999999999,11.948326999999999,12.191448,12.475436,12.750495,13.287409,13.922251000000001,14.285707,14.776784000000001,15.216699,16.233367,16.513101000000002,17.013511,17.457393,17.656944,17.890295,18.021969,18.254628,18.911267,19.720214,20.014045,20.263894,20.94997,21.547172,22.547774,23.363677,23.716048999999998,24.086517999999998,24.340010999999997,24.557636,24.705175999999998,25.435989999999997,26.280612999999995,27.098786999999994,27.394933999999996,27.717510999999995,27.956327999999996,28.277973999999997,29.567700999999996,30.360096999999996,30.822612999999997,31.077927999999996
