순번_정류장ID,48-2801595,49-2801562,50-2800171,51-2800236,52-2801472,53-2801453,54-2801416,55-2801198,56-2801378,57-2801385,58-2801389,59-2801400,60-2801406,61-2801399,62-2801370,63-2801341,64-2801316,65-2801297,66-2801318,67-2801356,68-2801388,69-2801414,70-2801438,71-2805321,72-2801462,73-2805642,74-2801544,75-2801187,76-2801581,77-2801606,78-2800694,79-2800726,80-2800751,81-2800765,82-2800782,83-2800797,84-2800813,85-2803049,86-2803063,87-2803062,88-2803058,89-2800370,90-2800369
48-2801595,0,0.15448,0.419808,0.692497,1.038551,1.313472,1.680526,1.883527,2.295335,2.5545470000000003,2.7676190000000003,3.057519,3.253706,3.501145,3.790413,4.047806,4.3688519999999995,4.669925999999999,5.028626999999999,5.455982,5.755519,6.005338999999999,6.316991999999999,6.915607999999999,7.251012999999999,7.940626999999998,8.260652999999998,8.541123999999998,8.748788999999999,9.165669999999999,10.108800999999998,10.482780999999997,10.890159999999998,11.108305999999999,11.539988999999998,11.818109999999999,12.446962999999998,12.801689999999999,13.324639999999999,13.540537999999998,14.207427999999998,14.927262999999998,16.194885
49-2801562,,0,0.265328,0.538017,0.8840709999999999,1.158992,1.526046,1.729047,2.140855,2.400067,2.613139,2.9030389999999997,3.099226,3.346665,3.6359329999999996,3.8933259999999996,4.214372,4.515446,4.874147,5.301502,5.601039,5.850859,6.1625119999999995,6.761127999999999,7.096532999999999,7.786146999999999,8.106172999999998,8.386643999999999,8.594308999999999,9.01119,9.954320999999998,10.328300999999998,10.735679999999999,10.953826,11.385508999999999,11.66363,12.292482999999999,12.64721,13.17016,13.386057999999998,14.052947999999999,14.772782999999999,16.040405
50-2800171,,,0,0.272689,0.618743,0.893664,1.260718,1.463719,1.875527,2.1347389999999997,2.3478109999999996,2.6377109999999995,2.8338979999999996,3.0813369999999995,3.3706049999999994,3.6279979999999994,3.9490439999999993,4.250118,4.6088189999999996,5.036174,5.335711,5.585531,5.897183999999999,6.495799999999999,6.831204999999999,7.520818999999999,7.840844999999999,8.121315999999998,8.328980999999999,8.745861999999999,9.688992999999998,10.062972999999998,10.470351999999998,10.688498,11.120180999999999,11.398302,12.027154999999999,12.381882,12.904831999999999,13.120729999999998,13.787619999999999,14.507454999999998,15.775076999999998
51-2800236,,,,0,0.346054,0.620975,0.988029,1.19103,1.602838,1.86205,2.075122,2.3650219999999997,2.561209,2.808648,3.0979159999999997,3.3553089999999997,3.6763549999999996,3.9774289999999994,4.33613,4.763485,5.063022,5.312842,5.624495,6.223110999999999,6.558515999999999,7.248129999999999,7.568155999999999,7.848627,8.056292,8.473173,9.416303999999998,9.790283999999998,10.197662999999999,10.415809,10.847491999999999,11.125613,11.754465999999999,12.109193,12.632143,12.848040999999998,13.514930999999999,14.234765999999999,15.502387999999998
52-2801472,,,,,0,0.274921,0.641975,0.844976,1.256784,1.515996,1.7290679999999998,2.0189679999999997,2.2151549999999998,2.4625939999999997,2.7518619999999996,3.0092549999999996,3.3303009999999995,3.6313749999999994,3.9900759999999993,4.417431,4.716968,4.966787999999999,5.278440999999999,5.877056999999999,6.212461999999999,6.902075999999998,7.222101999999999,7.502572999999999,7.7102379999999995,8.127119,9.07025,9.44423,9.851609,10.069755,10.501438,10.779559,11.408412,11.763139,12.286089,12.501987,13.168877,13.888712,15.156334
53-2801453,,,,,,0,0.367054,0.570055,0.9818629999999999,1.241075,1.4541469999999999,1.744047,1.9402339999999998,2.1876729999999998,2.4769409999999996,2.7343339999999996,3.0553799999999995,3.3564539999999994,3.7151549999999993,4.14251,4.442047,4.691866999999999,5.003519999999999,5.602135999999999,5.937540999999999,6.627154999999998,6.947180999999999,7.227651999999999,7.4353169999999995,7.852198,8.795328999999999,9.169308999999998,9.576687999999999,9.794834,10.226517,10.504638,11.133491,11.488218,12.011168,12.227065999999999,12.893956,13.613790999999999,14.881412999999998
54-2801416,,,,,,,0,0.203001,0.6148089999999999,0.8740209999999999,1.0870929999999999,1.376993,1.5731799999999998,1.8206189999999998,2.1098869999999996,2.3672799999999996,2.6883259999999995,2.9893999999999994,3.3481009999999993,3.7754559999999993,4.074992999999999,4.324812999999999,4.636465999999999,5.2350819999999985,5.570486999999998,6.260100999999998,6.580126999999998,6.860597999999999,7.068262999999999,7.485143999999999,8.428275,8.802254999999999,9.209634,9.42778,9.859463,10.137584,10.766437,11.121164,11.644114,11.860012,12.526902,13.246737,14.514358999999999
55-2801198,,,,,,,,0,0.411808,0.67102,0.8840919999999999,1.173992,1.3701789999999998,1.6176179999999998,1.9068859999999996,2.1642789999999996,2.4853249999999996,2.7863989999999994,3.1450999999999993,3.5724549999999993,3.871991999999999,4.121811999999999,4.433464999999999,5.032080999999999,5.367485999999999,6.057099999999998,6.377125999999999,6.657596999999999,6.8652619999999995,7.282143,8.225273999999999,8.599253999999998,9.006632999999999,9.224779,9.656462,9.934583,10.563436,10.918163,11.441113,11.657010999999999,12.323901,13.043735999999999,14.311357999999998
56-2801378,,,,,,,,,0,0.259212,0.472284,0.762184,0.958371,1.20581,1.495078,1.752471,2.073517,2.3745909999999997,2.7332919999999996,3.1606469999999995,3.4601839999999995,3.7100039999999996,4.021656999999999,4.620272999999999,4.955677999999999,5.645291999999999,5.965317999999999,6.245788999999999,6.453454,6.870335,7.813466,8.187446,8.594825,8.812971000000001,9.244654,9.522775000000001,10.151628,10.506355000000001,11.029305,11.245203,11.912093,12.631928,13.89955
57-2801385,,,,,,,,,,0,0.21307199999999998,0.502972,0.699159,0.9465979999999999,1.235866,1.493259,1.8143049999999998,2.115379,2.47408,2.9014349999999998,3.2009719999999997,3.450792,3.762445,4.361061,4.696466,5.38608,5.706106,5.9865770000000005,6.194242000000001,6.611123000000001,7.554254000000001,7.928234000000002,8.335613000000002,8.553759000000003,8.985442000000003,9.263563000000003,9.892416000000003,10.247143000000003,10.770093000000003,10.985991000000002,11.652881000000002,12.372716000000002,13.640338000000002
