순번_정류장ID,70-2804913,71-2803088,72-2803090,73-2803102,74-2803108,75-2803114,76-2805713,77-2803122,78-2803104,79-2803094,80-2803080,81-2803077,82-2803101,83-2805595,84-2803123,85-2803131,86-2803137,87-2805441,88-2802629,89-2802719,90-2802709,91-2802718,92-2802712,93-2802708,94-2802738,95-2802728,96-2802744,97-2802767,98-2802775,99-2802164,100-2802159,101-2802163,102-2802174,103-2802618,104-2802176,105-2806506,106-2806502,107-2806620,108-2807216,109-2806842,110-2806773,111-2801853,112-2805585,113-2805678,114-2806524,115-2806523,116-2806522,117-2806521,118-2805659,119-2802210,120-2802213,121-2802220,122-2801901,123-2805900,124-2801903,125-2801864,126-2801842,127-2801851,128-2801832,129-2801830,130-2802241,131-2802244,132-2805898,133-2805895,134-2805893,135-2803802,136-2805002
70-2804913,0,0.570746,0.950639,1.182757,1.376198,1.597987,2.160549,2.355913,2.5764180000000003,2.8085480000000005,3.3075030000000005,3.6306140000000005,4.000178,4.256291,4.45398,4.7592289999999995,4.989114999999999,5.220515999999999,5.630592999999999,5.891671999999999,6.189609999999999,7.320055999999999,7.54095,8.117567,8.907024,9.410675,9.751634,10.064286,10.480366,10.768939,11.056636,11.443689,11.882397999999998,12.149878,12.396179,12.76838,13.159145,13.48596,14.122836,15.416393,16.773187,17.196797,17.413372,17.769451999999998,18.193900999999997,18.576164999999996,18.864372999999997,19.037681999999997,19.567355999999997,21.127582999999998,21.270253999999998,21.487389999999998,21.783433,22.488985999999997,22.698465,23.132042,23.482671,23.804858,24.555977,24.748032,25.121496999999998,25.25011,25.568841,25.934829999999998,26.094765999999996,26.410832999999997,26.754689999999997
71-2803088,,0,0.379893,0.612011,0.805452,1.0272409999999998,1.5898029999999999,1.785167,2.005672,2.2378020000000003,2.7367570000000003,3.0598680000000003,3.4294320000000003,3.6855450000000003,3.8832340000000003,4.188483000000001,4.418369,4.64977,5.059847,5.320926,5.618864,6.74931,6.970204000000001,7.5468210000000004,8.336278,8.839929,9.180888,9.49354,9.90962,10.198193,10.48589,10.872943,11.311651999999999,11.579132,11.825433,12.197634,12.588399,12.915214,13.55209,14.845647,16.202441,16.626051,16.842626,17.198705999999998,17.623154999999997,18.005418999999996,18.293626999999997,18.466935999999997,18.996609999999997,20.556836999999998,20.699507999999998,20.916643999999998,21.212687,21.918239999999997,22.127719,22.561296,22.911925,23.234112,23.985231,24.177286,24.550750999999998,24.679364,24.998095,25.364084,25.524019999999997,25.840086999999997,26.183943999999997
72-2803090,,,0,0.232118,0.425559,0.647348,1.20991,1.4052740000000001,1.625779,1.857909,2.356864,2.6799749999999998,3.0495389999999998,3.305652,3.503341,3.8085899999999997,4.038475999999999,4.269876999999999,4.6799539999999995,4.941032999999999,5.238970999999999,6.369416999999999,6.590311,7.1669279999999995,7.956384999999999,8.460035999999999,8.800994999999999,9.113646999999998,9.529726999999998,9.818299999999997,10.105996999999997,10.493049999999997,10.931758999999996,11.199238999999997,11.445539999999998,11.817740999999998,12.208505999999998,12.535320999999998,13.172196999999997,14.465753999999997,15.822547999999998,16.246157999999998,16.462732999999997,16.818812999999995,17.243261999999994,17.625525999999994,17.913733999999994,18.087042999999994,18.616716999999994,20.176943999999995,20.319614999999995,20.536750999999995,20.832793999999996,21.538346999999995,21.747825999999996,22.181402999999996,22.532031999999997,22.854218999999997,23.605337999999996,23.797392999999996,24.170857999999996,24.299470999999997,24.618201999999997,24.984190999999996,25.144126999999994,25.460193999999994,25.804050999999994
73-2803102,,,,0,0.193441,0.41523,0.977792,1.173156,1.393661,1.625791,2.124746,2.447857,2.817421,3.073534,3.271223,3.576472,3.806358,4.037759,4.447836000000001,4.708915,5.006853,6.1372990000000005,6.358193000000001,6.934810000000001,7.724267,8.227918,8.568877,8.881529,9.297609000000001,9.586182,9.873879,10.260932,10.699641,10.967121,11.213422000000001,11.585623000000002,11.976388000000002,12.303203000000002,12.940079,14.233636,15.590430000000001,16.01404,16.230615,16.586695,17.011143999999998,17.393407999999997,17.681615999999998,17.854924999999998,18.384598999999998,19.944826,20.087497,20.304633,20.600676,21.306229,21.515708,21.949285,22.299914,22.622101,23.37322,23.565275,23.93874,24.067353,24.386084,24.752073,24.912008999999998,25.228075999999998,25.571932999999998
74-2803108,,,,,0,0.221789,0.784351,0.979715,1.20022,1.43235,1.931305,2.254416,2.62398,2.880093,3.077782,3.383031,3.612917,3.844318,4.254395,4.515473999999999,4.813412,5.943858,6.164752,6.741369,7.530825999999999,8.034476999999999,8.375435999999999,8.688087999999999,9.104167999999998,9.392740999999997,9.680437999999997,10.067490999999997,10.506199999999996,10.773679999999997,11.019980999999998,11.392181999999998,11.782946999999998,12.109761999999998,12.746637999999997,14.040194999999997,15.396988999999998,15.820598999999998,16.037173999999997,16.393253999999995,16.817702999999995,17.199966999999994,17.488174999999995,17.661483999999994,18.191157999999994,19.751384999999996,19.894055999999996,20.111191999999996,20.407234999999996,21.112787999999995,21.322266999999997,21.755843999999996,22.106472999999998,22.428659999999997,23.179778999999996,23.371833999999996,23.745298999999996,23.873911999999997,24.192642999999997,24.558631999999996,24.718567999999994,25.034634999999994,25.378491999999994
75-2803114,,,,,,0,0.562562,0.757926,0.978431,1.210561,1.709516,2.032627,2.402191,2.6583040000000002,2.8559930000000002,3.161242,3.391128,3.622529,4.032606,4.293685,4.591623,5.722069,5.942963000000001,6.51958,7.309037,7.812688,8.153647,8.466299,8.882379,9.170952,9.458649,9.845702,10.284410999999999,10.551891,10.798192,11.170393,11.561158,11.887973,12.524849,13.818406,15.1752,15.59881,15.815385000000001,16.171465,16.595914,16.978178,17.266386,17.439695,17.969369,19.529596,19.672267,19.889403,20.185446000000002,20.890999,21.100478000000003,21.534055000000002,21.884684000000004,22.206871000000003,22.957990000000002,23.150045000000002,23.52351,23.652123000000003,23.970854000000003,24.336843000000002,24.496779,24.812846,25.156703
76-2805713,,,,,,,0,0.195364,0.41586900000000004,0.6479990000000001,1.146954,1.470065,1.839629,2.095742,2.293431,2.59868,2.828566,3.059967,3.4700439999999997,3.7311229999999997,4.029061,5.159507,5.380401,5.957018,6.746474999999999,7.250126,7.591085,7.903737,8.319817,8.60839,8.896087,9.28314,9.721848999999999,9.989329,10.23563,10.607831000000001,10.998596000000001,11.325411,11.962287,13.255844,14.612638,15.036248,15.252823000000001,15.608903000000002,16.033352,16.415616,16.703824,16.877133,17.406807,18.967034,19.109705,19.326841,19.622884000000003,20.328437,20.537916000000003,20.971493000000002,21.322122000000004,21.644309000000003,22.395428000000003,22.587483000000002,22.960948000000002,23.089561000000003,23.408292000000003,23.774281000000002,23.934217,24.250284,24.594141
77-2803122,,,,,,,,0,0.220505,0.452635,0.95159,1.274701,1.644265,1.9003780000000001,2.0980670000000003,2.4033160000000002,2.6332020000000003,2.8646030000000002,3.27468,3.535759,3.833697,4.964143,5.185037,5.761654,6.551111,7.054762,7.395721,7.708373,8.124452999999999,8.413025999999999,8.700722999999998,9.087775999999998,9.526484999999997,9.793964999999998,10.040265999999999,10.412467,10.803232,11.130047,11.766922999999998,13.060479999999998,14.417273999999999,14.840883999999999,15.057459,15.413539,15.837988,16.220252,16.50846,16.681769,17.211443,18.77167,18.914341,19.131477,19.42752,20.133073,20.342552,20.776129,21.126758000000002,21.448945000000002,22.200064,22.392119,22.765584,22.894197000000002,23.212928,23.578917,23.738853,24.05492,24.398777
78-2803104,,,,,,,,,0,0.23213000000000003,0.7310850000000001,1.0541960000000001,1.4237600000000001,1.6798730000000002,1.8775620000000002,2.182811,2.412697,2.644098,3.054175,3.315254,3.6131919999999997,4.743638,4.964532,5.541149,6.3306059999999995,6.834256999999999,7.175215999999999,7.487867999999999,7.903947999999999,8.192521,8.480217999999999,8.867270999999999,9.305979999999998,9.573459999999999,9.819761,10.191962,10.582727,10.909542,11.546418,12.839974999999999,14.196769,14.620379,14.836954,15.193034,15.617483,15.999747,16.287955,16.461264,16.990938,18.551165,18.693836,18.910972,19.207015000000002,19.912568,20.122047000000002,20.555624,20.906253000000003,21.228440000000003,21.979559000000002,22.171614,22.545079,22.673692000000003,22.992423000000002,23.358412,23.518348,23.834415,24.178272
79-2803094,,,,,,,,,,0,0.49895500000000004,0.8220660000000001,1.19163,1.447743,1.645432,1.9506809999999999,2.180567,2.411968,2.822045,3.083124,3.381062,4.511508,4.732402,5.309019,6.098476,6.602126999999999,6.943085999999999,7.255737999999999,7.671817999999999,7.9603909999999996,8.248088,8.635140999999999,9.073849999999998,9.34133,9.587631,9.959832,10.350597,10.677412,11.314288000000001,12.607845000000001,13.964639000000002,14.388249000000002,14.604824000000002,14.960904000000003,15.385353000000002,15.767617000000001,16.055825000000002,16.229134000000002,16.758808000000002,18.319035000000003,18.461706000000003,18.678842000000003,18.974885000000004,19.680438000000002,19.889917000000004,20.323494000000004,20.674123000000005,20.996310000000005,21.747429000000004,21.939484000000004,22.312949000000003,22.441562000000005,22.760293000000004,23.126282000000003,23.286218,23.602285000000002,23.946142000000002
