순번_정류장ID,85-2800086,86-2800083,87-2800082,88-2800084,89-2800080,90-2800088,91-2800093,92-2800095,93-2800061,94-2800096,95-2802014,96-2807182,97-2801997,98-2802002,99-2802005,100-2802034,101-2802061,102-2802077,103-2802085,104-2802096,105-2802083,106-2802070,107-2802055,108-2802058,109-2802082,110-2802086,111-2802074,112-2802047,113-2802054,114-2802098,115-2802129,116-2802158,117-2802168,118-2802175,119-2801848,120-2802181,121-2802178,122-2802797,123-2802795,124-2802778,125-2802792,126-2802800,127-2802815,128-2802826,129-2802803,130-2802774,131-2802754,132-2802726,133-2802725,134-2802735,135-2802761,136-2802762,137-2803139,138-2803138,139-2803231,140-2803226,141-2803127,142-2805712,143-2803122,144-2803104,145-2803094,146-2803079,147-2803068,148-2807615,149-2803044,150-2803041,151-2803066,152-2803064,153-2802652,154-2803058,155-2800805,156-2800798,157-2800786,158-2800754,159-2800716,160-2805583,161-2800690,162-2800677,163-2800668,164-2800335,165-2800638,166-2800635,167-2800639,168-2800327,169-2805935
85-2800086,0,0.227562,0.46168699999999996,0.670704,1.412037,1.891546,2.203138,2.453595,3.074306,3.78191,4.321375,4.964314,5.416898,5.643778999999999,6.30974,6.695702,6.996002,7.180226,7.407642,7.62261,7.720304,7.9163,8.10069,8.53475,8.626233000000001,8.958187,9.303591,9.702366000000001,10.373005000000001,10.745042000000002,11.259955000000001,11.584892000000002,11.937613000000002,12.202890000000002,12.533357000000002,12.943001000000002,13.169148000000002,13.367832000000002,13.850935000000002,14.367226000000002,14.823042000000003,15.181125000000003,15.532410000000004,15.951601000000004,16.338425000000004,16.695076000000004,17.471072000000003,17.924589000000005,18.372614000000006,19.158360000000005,19.533818000000004,19.901330000000005,20.351288000000004,20.694539000000002,21.094828000000003,21.303727000000002,21.746769,21.994772,22.215277,22.447407000000002,22.757597,22.968808,23.232833,23.561998,23.781753,23.945422999999998,24.288310999999997,24.79837,25.153170999999997,25.651429999999998,25.892566999999996,26.323344999999996,26.969760999999995,27.464181999999994,27.649208999999995,27.845397999999996,28.296108999999994,28.711944999999993,29.087941999999995,29.302795999999994,29.549605999999994,29.878817999999992,30.17389199999999,30.59853099999999,30.84213299999999
86-2800083,,0,0.234125,0.44314200000000004,1.184475,1.663984,1.9755759999999998,2.2260329999999997,2.8467439999999997,3.5543479999999996,4.093813,4.736752,5.189336,5.416217,6.082178,6.46814,6.76844,6.952664,7.18008,7.395048,7.492742,7.688738,7.8731279999999995,8.307188,8.398671,8.730625,9.076029,9.474804,10.145443,10.51748,11.032393,11.357330000000001,11.710051000000002,11.975328000000001,12.305795000000002,12.715439000000002,12.941586000000001,13.140270000000001,13.623373,14.139664000000002,14.595480000000002,14.953563000000003,15.304848000000003,15.724039000000003,16.110863000000002,16.467514,17.24351,17.697027000000002,18.145052000000003,18.930798000000003,19.306256,19.673768000000003,20.123726,20.466977,20.867266,21.076165,21.519206999999998,21.76721,21.987714999999998,22.219845,22.530034999999998,22.741245999999997,23.005270999999997,23.334435999999997,23.554190999999996,23.717860999999996,24.060748999999994,24.570807999999992,24.92560899999999,25.42386799999999,25.66500499999999,26.09578299999999,26.74219899999999,27.236619999999988,27.42164699999999,27.61783599999999,28.068546999999988,28.484382999999987,28.86037999999999,29.075233999999988,29.322043999999988,29.651255999999986,29.946329999999985,30.370968999999985,30.614570999999984
87-2800082,,,0,0.209017,0.95035,1.429859,1.741451,1.991908,2.612619,3.320223,3.859688,4.5026269999999995,4.955210999999999,5.182091999999999,5.848052999999999,6.234014999999999,6.534314999999999,6.718539,6.945955,7.1609229999999995,7.258616999999999,7.454612999999999,7.639002999999999,8.073063,8.164546,8.4965,8.841904,9.240679,9.911318,10.283355,10.798268,11.123205,11.475926000000001,11.741203,12.071670000000001,12.481314000000001,12.707461,12.906145,13.389248,13.905539000000001,14.361355000000001,14.719438000000002,15.070723000000003,15.489914000000002,15.876738000000003,16.233389000000003,17.009385,17.462902000000003,17.910927000000004,18.696673000000004,19.072131000000002,19.439643000000004,19.889601000000003,20.232852,20.633141000000002,20.84204,21.285082,21.533085,21.75359,21.98572,22.29591,22.507120999999998,22.771145999999998,23.100310999999998,23.320065999999997,23.483735999999997,23.826623999999995,24.336682999999994,24.691483999999992,25.189742999999993,25.43087999999999,25.86165799999999,26.50807399999999,27.00249499999999,27.18752199999999,27.38371099999999,27.83442199999999,28.250257999999988,28.62625499999999,28.84110899999999,29.08791899999999,29.417130999999987,29.712204999999987,30.136843999999986,30.380445999999985
88-2800084,,,,0,0.741333,1.220842,1.5324339999999999,1.7828909999999998,2.403602,3.1112059999999997,3.6506709999999996,4.293609999999999,4.746193999999999,4.973074999999999,5.639035999999999,6.024997999999999,6.325297999999999,6.509522,6.736937999999999,6.951905999999999,7.049599999999999,7.245595999999999,7.429985999999999,7.864045999999998,7.9555289999999985,8.287482999999998,8.632886999999998,9.031661999999999,9.702300999999999,10.074338,10.589250999999999,10.914188,11.266909,11.532186,11.862653,12.272297,12.498444,12.697128,13.180231,13.696522,14.152338,14.510421000000001,14.861706000000002,15.280897000000001,15.667721000000002,16.024372000000003,16.800368000000002,17.253885000000004,17.701910000000005,18.487656000000005,18.863114000000003,19.230626000000004,19.680584000000003,20.023835000000002,20.424124000000003,20.633023,21.076065,21.324068,21.544573,21.776703,22.086893,22.298104,22.562129,22.891294,23.111048999999998,23.274718999999997,23.617606999999996,24.127665999999998,24.482466999999996,24.980725999999997,25.221862999999995,25.652640999999996,26.299056999999994,26.793477999999993,26.978504999999995,27.174693999999995,27.625404999999994,28.041240999999992,28.417237999999994,28.632091999999993,28.878901999999993,29.20811399999999,29.50318799999999,29.92782699999999,30.17142899999999
89-2800080,,,,,0,0.479509,0.791101,1.0415580000000002,1.6622690000000002,2.369873,2.909338,3.552277,4.004861,4.231742,4.897703,5.283665,5.583965,5.7681890000000005,5.995605,6.210573,6.308267,6.504263,6.6886529999999995,7.122712999999999,7.214195999999999,7.546149999999999,7.891553999999999,8.290329,8.960968,9.333005,9.847918,10.172855,10.525576000000001,10.790853,11.12132,11.530964,11.757111,11.955795,12.438898,12.955189,13.411005000000001,13.769088000000002,14.120373000000003,14.539564000000002,14.926388000000003,15.283039000000002,16.059035,16.512552000000003,16.960577000000004,17.746323000000004,18.121781000000002,18.489293000000004,18.939251000000002,19.282502,19.682791,19.89169,20.334732,20.582735,20.80324,21.03537,21.34556,21.556770999999998,21.820795999999998,22.149960999999998,22.369715999999997,22.533385999999997,22.876273999999995,23.386332999999993,23.74113399999999,24.239392999999993,24.48052999999999,24.91130799999999,25.55772399999999,26.05214499999999,26.23717199999999,26.43336099999999,26.88407199999999,27.299907999999988,27.67590499999999,27.89075899999999,28.13756899999999,28.466780999999987,28.761854999999986,29.186493999999986,29.430095999999985
90-2800088,,,,,,0,0.311592,0.562049,1.18276,1.890364,2.429829,3.072768,3.525352,3.752233,4.418194,4.804156,5.104456,5.28868,5.516096,5.731064,5.828758,6.024754,6.209143999999999,6.643203999999999,6.734686999999999,7.066640999999999,7.412044999999999,7.810819999999999,8.481459,8.853496,9.368409,9.693346,10.046067,10.311344,10.641811,11.051455,11.277602,11.476286,11.959389,12.47568,12.931496000000001,13.289579000000002,13.640864000000002,14.060055000000002,14.446879000000003,14.803530000000002,15.579526000000001,16.033043000000003,16.481068000000004,17.266814000000004,17.642272000000002,18.009784000000003,18.459742000000002,18.802993,19.203282,19.412181,19.855223,20.103226,20.323731,20.555861,20.866051,21.077261999999997,21.341286999999998,21.670451999999997,21.890206999999997,22.053876999999996,22.396764999999995,22.906823999999993,23.26162499999999,23.759883999999992,24.00102099999999,24.43179899999999,25.07821499999999,25.57263599999999,25.75766299999999,25.95385199999999,26.40456299999999,26.820398999999988,27.19639599999999,27.41124999999999,27.65805999999999,27.987271999999987,28.282345999999986,28.706984999999985,28.950586999999985
91-2800093,,,,,,,0,0.25045700000000004,0.871168,1.578772,2.118237,2.7611760000000003,3.21376,3.4406410000000003,4.1066020000000005,4.492564000000001,4.792864000000001,4.977088000000001,5.204504000000001,5.419472000000001,5.5171660000000005,5.7131620000000005,5.897552,6.331612,6.423095,6.755049,7.100453,7.499228,8.169867,8.541904,9.056817,9.381754,9.734475000000002,9.999752,10.330219000000001,10.739863000000001,10.96601,11.164694,11.647797,12.164088000000001,12.619904000000002,12.977987000000002,13.329272000000003,13.748463000000003,14.135287000000003,14.491938000000003,15.267934000000002,15.721451000000002,16.169476000000003,16.955222000000003,17.33068,17.698192000000002,18.14815,18.491401,18.89169,19.100589,19.543630999999998,19.791634,20.012138999999998,20.244269,20.554458999999998,20.765669999999997,21.029694999999997,21.358859999999996,21.578614999999996,21.742284999999995,22.085172999999994,22.595231999999996,22.950032999999994,23.448291999999995,23.689428999999993,24.120206999999994,24.766622999999992,25.26104399999999,25.446070999999993,25.642259999999993,26.09297099999999,26.50880699999999,26.884803999999992,27.09965799999999,27.34646799999999,27.67567999999999,27.97075399999999,28.395392999999988,28.638994999999987
92-2800095,,,,,,,,0,0.620711,1.328315,1.8677799999999998,2.510719,2.963303,3.190184,3.8561449999999997,4.242107,4.542407,4.726631,4.954047,5.169015,5.266709,5.462705,5.647094999999999,6.081154999999999,6.172637999999999,6.504591999999999,6.849995999999999,7.248770999999999,7.919409999999999,8.291447,8.80636,9.131297,9.484018,9.749295,10.079762,10.489406,10.715553,10.914237,11.39734,11.913631,12.369447000000001,12.727530000000002,13.078815000000002,13.498006000000002,13.884830000000003,14.241481000000002,15.017477000000001,15.470994000000001,15.919019,16.704765000000002,17.080223,17.447735,17.897693,18.240944,18.641233,18.850132,19.293173999999997,19.541176999999998,19.761681999999997,19.993812,20.304001999999997,20.515212999999996,20.779237999999996,21.108402999999996,21.328157999999995,21.491827999999995,21.834715999999993,22.34477499999999,22.69957599999999,23.19783499999999,23.43897199999999,23.86974999999999,24.516165999999988,25.010586999999987,25.19561399999999,25.39180299999999,25.842513999999987,26.258349999999986,26.634346999999988,26.849200999999987,27.096010999999987,27.425222999999985,27.720296999999984,28.144935999999984,28.388537999999983
93-2800061,,,,,,,,,0,0.707604,1.247069,1.890008,2.342592,2.569473,3.2354339999999997,3.621396,3.921696,4.10592,4.333336,4.548304,4.645998,4.841994,5.026383999999999,5.460443999999999,5.551926999999999,5.883880999999999,6.229284999999999,6.628059999999999,7.298698999999999,7.670735999999999,8.185649,8.510586,8.863307,9.128584,9.459051,9.868695,10.094842,10.293526,10.776629,11.29292,11.748736000000001,12.106819000000002,12.458104000000002,12.877295000000002,13.264119000000003,13.620770000000002,14.396766000000001,14.850283000000001,15.298308,16.084054000000002,16.459512,16.827024,17.276982,17.620233,18.020522,18.229421,18.672462999999997,18.920465999999998,19.140970999999997,19.373101,19.683290999999997,19.894501999999996,20.158526999999996,20.487691999999996,20.707446999999995,20.871116999999995,21.214004999999993,21.72406399999999,22.07886499999999,22.57712399999999,22.81826099999999,23.24903899999999,23.895454999999988,24.389875999999987,24.57490299999999,24.77109199999999,25.221802999999987,25.637638999999986,26.013635999999988,26.228489999999987,26.475299999999987,26.804511999999985,27.099585999999984,27.524224999999984,27.767826999999983
94-2800096,,,,,,,,,,0,0.539465,1.182404,1.634988,1.861869,2.52783,2.913792,3.214092,3.398316,3.6257319999999997,3.8406999999999996,3.9383939999999997,4.13439,4.318779999999999,4.752839999999999,4.844322999999999,5.176276999999999,5.521680999999999,5.920455999999999,6.591094999999999,6.963131999999999,7.478044999999999,7.802981999999999,8.155702999999999,8.420979999999998,8.751446999999999,9.161090999999999,9.387237999999998,9.585921999999998,10.069024999999998,10.585315999999999,11.041132,11.399215,11.7505,12.169691,12.556515000000001,12.913166,13.689162,14.142679,14.590703999999999,15.376449999999998,15.751907999999998,16.119419999999998,16.569377999999997,16.912628999999995,17.312917999999996,17.521816999999995,17.964858999999993,18.212861999999994,18.433366999999993,18.665496999999995,18.975686999999994,19.186897999999992,19.450922999999992,19.780087999999992,19.99984299999999,20.16351299999999,20.50640099999999,21.016459999999988,21.371260999999986,21.869519999999987,22.110656999999986,22.541434999999986,23.187850999999984,23.682271999999983,23.867298999999985,24.063487999999985,24.514198999999984,24.930034999999982,25.306031999999984,25.520885999999983,25.767695999999983,26.09690799999998,26.39198199999998,26.81662099999998,27.06022299999998
