순번_정류장ID,1-2805045,2-2803524,3-2803525,4-2805055,5-2802388,6-2806726,7-2805771,8-2807230,9-2807357,10-2807447,11-2807445,12-2803579,13-2802358,14-2804867,15-2802347,16-2805062,17-2802383,18-2802381,19-2802387,20-2802384,21-2802603,22-2802361,23-2802362,24-2802595,25-2802598,26-2805538,27-2802587,28-2802580,29-2802578,30-2803629,31-2802575,32-2802567,33-2802553,34-2802543,35-2802525,36-2802513,37-2802490,38-2802458,39-2802446,40-2802433,41-2802422,42-2802418,43-2802415,44-2802398,45-2802396,46-2804816,47-2802864,48-2802824,49-2802618,50-2802176,51-2802169,52-2802154,53-2802137,54-2802117,55-2802074,56-2802046,57-2802029,58-2802013,59-2802003,60-2802033,61-2802057,62-2802105,63-2802127,64-2802131,65-2802148,66-2802155,67-2806098,68-2806513,69-2807111,70-2806524,71-2806523,72-2806522,73-2806521,74-2805659,75-2802210,76-2802213,77-2802220,78-2801901,79-2805900,80-2801903,81-2803532,82-2801819,83-2803807,84-2804958,85-2803818,86-2804899,87-2805043,88-2804852,89-2804854,90-2805422,91-2806045,92-2806046,93-2805420,94-2802323,95-2803539,96-2803540,97-2802319,98-2802316,99-2802312,100-2802309,101-2802565,102-2802545,103-2802546,104-2802562,105-2802571,106-2802576,107-2802581,108-2804851,109-2802597,110-2802594,111-2802591,112-2802596,113-2802604,114-2802385,115-2802386,116-2802380,117-2802382,118-2804909,119-2802345,120-2802359,121-2803520,122-2807446,123-2807448,124-2807358,125-2807231,126-2805770,127-2806725,128-2805822,129-2805054,130-2803522,131-2805654
1-2805045,0,0.6510630000000001,0.9365970000000001,1.4673910000000001,1.9552880000000001,2.320644,2.498073,3.064406,3.561152,3.7897429999999996,4.070571999999999,4.580525999999999,5.032335999999999,5.543819999999999,5.8611949999999995,6.395267,6.904413,7.124897,7.402265,7.877394,8.203161999999999,8.512761999999999,8.936555999999998,9.222348999999998,9.459212999999998,9.806326999999998,11.185592999999997,11.687646999999997,11.951309999999996,12.107399999999997,12.355495999999997,12.684821999999997,13.025913999999997,13.355993999999997,13.866066999999997,14.258376999999998,14.420727999999997,14.909997999999996,15.305646999999997,15.633477999999997,15.874911999999997,16.151779999999995,16.503830999999995,17.575798999999996,18.036785999999996,18.526508999999997,19.278558999999998,19.529480999999997,19.881441999999996,20.127742999999995,20.499924999999994,20.900642999999995,21.541282999999996,22.204163999999995,22.552891999999996,22.918330999999995,23.307456999999996,23.772217999999995,24.136310999999996,24.667289999999994,24.810205999999994,25.184973999999993,25.960955999999992,26.308193999999993,26.68629599999999,27.083802999999993,27.527016999999994,28.668601999999993,28.961216999999994,29.452464999999993,29.834728999999992,30.122936999999993,30.296245999999993,30.825919999999993,32.386146999999994,32.528817999999994,32.745954,33.041996999999995,33.74755,33.957029,34.248754999999996,34.483216999999996,34.768581,35.000428,35.301073,35.810669000000004,36.045134000000004,36.353934,36.575865,36.721517,36.845428,37.198161999999996,37.428763,37.961112,38.324698,38.826767,39.36500899999999,39.90173599999999,40.303363999999995,40.76159799999999,41.63625599999999,42.25654199999999,42.54846599999999,42.87223999999999,43.165747999999994,43.44402399999999,43.606095999999994,44.26465199999999,45.87388699999999,46.11079699999999,46.30804199999999,46.62690899999999,47.00161099999999,47.24101699999999,47.733743999999994,48.003958,48.226834999999994,48.784713999999994,49.45620699999999,50.10300099999999,50.56022599999999,51.147507999999995,51.45320999999999,51.66671499999999,52.09224299999999,52.51679099999999,52.82318499999999,53.19745799999999,53.80401499999999,54.169028999999995,54.61261999999999
2-2803524,,0,0.285534,0.8163279999999999,1.304225,1.669581,1.84701,2.4133430000000002,2.910089,3.13868,3.4195089999999997,3.9294629999999997,4.381273,4.8927570000000005,5.210132000000001,5.744204000000001,6.253350000000001,6.473834000000001,6.751202000000001,7.226331000000001,7.552099000000001,7.861699000000001,8.285493,8.571286,8.808150000000001,9.155264,10.53453,11.036584,11.300246999999999,11.456337,11.704433,12.033759,12.374851,12.704931,13.215004,13.607314,13.769665,14.258935,14.654584,14.982415,15.223849,15.500717,15.852768,16.924736,17.385723,17.875446,18.627496,18.878418,19.230379,19.476679999999998,19.848861999999997,20.249579999999998,20.89022,21.553100999999998,21.901829,22.267267999999998,22.656394,23.121154999999998,23.485248,24.016226999999997,24.159142999999997,24.533910999999996,25.309892999999995,25.657130999999996,26.035232999999995,26.432739999999995,26.875953999999997,28.017538999999996,28.310153999999997,28.801401999999996,29.183665999999995,29.471873999999996,29.645182999999996,30.174856999999996,31.735083999999997,31.877754999999997,32.094891,32.390933999999994,33.096486999999996,33.305966,33.597691999999995,33.832153999999996,34.117518,34.349365,34.65001,35.159606000000004,35.394071000000004,35.702871,35.924802,36.070454,36.194365,36.547098999999996,36.777699999999996,37.31004899999999,37.67363499999999,38.17570399999999,38.713945999999986,39.250672999999985,39.65230099999999,40.110534999999985,40.98519299999998,41.60547899999998,41.89740299999998,42.22117699999998,42.514684999999986,42.792960999999984,42.955032999999986,43.61358899999998,45.22282399999998,45.45973399999998,45.656978999999986,45.97584599999998,46.35054799999998,46.589953999999985,47.08268099999999,47.35289499999999,47.575771999999986,48.133650999999986,48.805143999999984,49.451937999999984,49.909162999999985,50.49644499999999,50.802146999999984,51.01565199999998,51.44117999999998,51.86572799999998,52.17212199999998,52.54639499999998,53.152951999999985,53.51796599999999,53.961556999999985
3-2803525,,,0,0.530794,1.018691,1.384047,1.561476,2.127809,2.624555,2.8531459999999997,3.1339749999999995,3.6439289999999995,4.095739,4.607223,4.9245980000000005,5.458670000000001,5.967816000000001,6.188300000000001,6.465668000000001,6.940797000000001,7.266565000000001,7.5761650000000005,7.9999590000000005,8.285752,8.522616000000001,8.86973,10.248996,10.75105,11.014712999999999,11.170803,11.418899,11.748225,12.089317,12.419397,12.92947,13.32178,13.484131,13.973400999999999,14.36905,14.696881,14.938315,15.215183,15.567234,16.639201999999997,17.100188999999997,17.589911999999998,18.341962,18.592883999999998,18.944844999999997,19.191145999999996,19.563327999999995,19.964045999999996,20.604685999999997,21.267566999999996,21.616294999999997,21.981733999999996,22.370859999999997,22.835620999999996,23.199713999999997,23.730692999999995,23.873608999999995,24.248376999999994,25.024358999999993,25.371596999999994,25.749698999999993,26.147205999999994,26.590419999999995,27.732004999999994,28.024619999999995,28.515867999999994,28.898131999999993,29.186339999999994,29.359648999999994,29.889322999999994,31.449549999999995,31.592220999999995,31.809356999999995,32.105399999999996,32.810953,33.020432,33.312158,33.54662,33.831984,34.063831,34.364476,34.874072000000005,35.108537000000005,35.417337,35.639268,35.78492,35.908831,36.261565,36.492166,37.024514999999994,37.38810099999999,37.89016999999999,38.42841199999999,38.965138999999986,39.36676699999999,39.825000999999986,40.69965899999998,41.31994499999998,41.611868999999984,41.935642999999985,42.22915099999999,42.507426999999986,42.66949899999999,43.328054999999985,44.93728999999998,45.174199999999985,45.37144499999999,45.690311999999984,46.065013999999984,46.304419999999986,46.79714699999999,47.06736099999999,47.29023799999999,47.84811699999999,48.519609999999986,49.166403999999986,49.62362899999999,50.21091099999999,50.516612999999985,50.73011799999998,51.15564599999998,51.580193999999985,51.88658799999998,52.260860999999984,52.86741799999999,53.23243199999999,53.67602299999999
4-2805055,,,,0,0.487897,0.853253,1.030682,1.597015,2.093761,2.3223520000000004,2.603181,3.113135,3.5649450000000003,4.076429,4.393804,4.927876,5.437022000000001,5.657506000000001,5.934874000000001,6.410003000000001,6.735771000000001,7.045371,7.469165,7.754958,7.991822,8.338936,9.718202,10.220256,10.483918999999998,10.640009,10.888105,11.217431,11.558523,11.888603,12.398676,12.790986,12.953337,13.442606999999999,13.838256,14.166087,14.407521,14.684389,15.036439999999999,16.108407999999997,16.569394999999997,17.059117999999998,17.811168,18.062089999999998,18.414050999999997,18.660351999999996,19.032533999999995,19.433251999999996,20.073891999999997,20.736772999999996,21.085500999999997,21.450939999999996,21.840065999999997,22.304826999999996,22.668919999999996,23.199898999999995,23.342814999999995,23.717582999999994,24.493564999999993,24.840802999999994,25.218904999999992,25.616411999999993,26.059625999999994,27.201210999999994,27.493825999999995,27.985073999999994,28.367337999999993,28.655545999999994,28.828854999999994,29.358528999999994,30.918755999999995,31.061426999999995,31.278562999999995,31.574605999999996,32.280159,32.489638,32.781363999999996,33.015826,33.30119,33.533037,33.833682,34.343278000000005,34.577743000000005,34.886543,35.108474,35.254126,35.378037,35.730771,35.961372,36.493720999999994,36.85730699999999,37.35937599999999,37.89761799999999,38.434344999999986,38.83597299999999,39.294206999999986,40.16886499999998,40.78915099999998,41.081074999999984,41.404848999999984,41.69835699999999,41.976632999999985,42.13870499999999,42.797260999999985,44.40649599999998,44.643405999999985,44.84065099999999,45.159517999999984,45.53421999999998,45.773625999999986,46.26635299999999,46.53656699999999,46.75944399999999,47.31732299999999,47.988815999999986,48.635609999999986,49.09283499999999,49.68011699999999,49.985818999999985,50.19932399999998,50.62485199999998,51.049399999999984,51.35579399999998,51.730066999999984,52.336623999999986,52.70163799999999,53.145228999999986
5-2802388,,,,,0,0.365356,0.5427850000000001,1.109118,1.605864,1.834455,2.115284,2.625238,3.077048,3.588532,3.905907,4.439979,4.949125,5.169609,5.446977,5.922106,6.247874,6.557474,6.981268,7.267061,7.503925,7.851039,9.230305,9.732358999999999,9.996021999999998,10.152111999999999,10.400208,10.729534,11.070625999999999,11.400706,11.910779,12.303089,12.46544,12.954709999999999,13.350359,13.678189999999999,13.919623999999999,14.196492,14.548542999999999,15.620510999999999,16.081498,16.571221,17.323271000000002,17.574193,17.926154,18.172455,18.544636999999998,18.945355,19.585995,20.248876,20.597604,20.963043,21.352169,21.81693,22.181023,22.712002,22.854917999999998,23.229685999999997,24.005667999999996,24.352905999999997,24.731007999999996,25.128514999999997,25.571728999999998,26.713313999999997,27.005929,27.497176999999997,27.879440999999996,28.167648999999997,28.340957999999997,28.870631999999997,30.430858999999998,30.573529999999998,30.790665999999998,31.086709,31.792261999999997,32.001740999999996,32.29346699999999,32.52792899999999,32.813292999999994,33.045139999999996,33.345785,33.855381,34.089846,34.398646,34.620577,34.766228999999996,34.890139999999995,35.24287399999999,35.47347499999999,36.00582399999999,36.36940999999999,36.87147899999999,37.40972099999998,37.94644799999998,38.348075999999985,38.80630999999998,39.68096799999998,40.30125399999998,40.59317799999998,40.91695199999998,41.21045999999998,41.48873599999998,41.650807999999984,42.30936399999998,43.91859899999998,44.15550899999998,44.35275399999998,44.67162099999998,45.04632299999998,45.28572899999998,45.778455999999984,46.04866999999999,46.271546999999984,46.829425999999984,47.50091899999998,48.14771299999998,48.60493799999998,49.192219999999985,49.49792199999998,49.71142699999998,50.13695499999998,50.56150299999998,50.86789699999998,51.24216999999998,51.84872699999998,52.213740999999985,52.65733199999998
6-2806726,,,,,,0,0.177429,0.743762,1.2405080000000002,1.4690990000000002,1.7499280000000002,2.259882,2.711692,3.2231760000000005,3.5405510000000007,4.074623000000001,4.583769000000001,4.804253000000001,5.081621000000001,5.556750000000001,5.882518000000001,6.192118000000001,6.615912000000001,6.901705000000001,7.138569,7.485683000000001,8.864949000000001,9.367003,9.630666,9.786756,10.034852,10.364178,10.70527,11.035350000000001,11.545423000000001,11.937733000000001,12.100084,12.589354,12.985003,13.312834,13.554268,13.831136,14.183187,15.255155,15.716142,16.205865,16.957915,17.208837,17.560798,17.807098999999997,18.179280999999996,18.579998999999997,19.220639,19.883519999999997,20.232248,20.597686999999997,20.986812999999998,21.451573999999997,21.815666999999998,22.346645999999996,22.489561999999996,22.864329999999995,23.640311999999994,23.987549999999995,24.365651999999994,24.763158999999995,25.206372999999996,26.347957999999995,26.640572999999996,27.131820999999995,27.514084999999994,27.802292999999995,27.975601999999995,28.505275999999995,30.065502999999996,30.208173999999996,30.425309999999996,30.721352999999997,31.426905999999995,31.636384999999997,31.928110999999998,32.162572999999995,32.447936999999996,32.679784,32.980429,33.490025,33.72449,34.03329,34.255221,34.400873,34.524784,34.877517999999995,35.108118999999995,35.640468,36.004054,36.506122999999995,37.04436499999999,37.58109199999999,37.98271999999999,38.44095399999999,39.31561199999999,39.93589799999999,40.22782199999999,40.55159599999999,40.84510399999999,41.12337999999999,41.28545199999999,41.94400799999999,43.55324299999999,43.79015299999999,43.98739799999999,44.30626499999999,44.68096699999999,44.92037299999999,45.41309999999999,45.683313999999996,45.90619099999999,46.46406999999999,47.13556299999999,47.78235699999999,48.23958199999999,48.82686399999999,49.13256599999999,49.34607099999999,49.77159899999999,50.19614699999999,50.50254099999999,50.87681399999999,51.48337099999999,51.84838499999999,52.29197599999999
7-2805771,,,,,,,0,0.566333,1.063079,1.29167,1.572499,2.082453,2.534263,3.0457470000000004,3.3631220000000006,3.8971940000000007,4.406340000000001,4.626824000000001,4.904192000000001,5.379321000000001,5.705089000000001,6.014689000000001,6.438483000000001,6.724276000000001,6.96114,7.308254000000001,8.687520000000001,9.189574,9.453237,9.609327,9.857423,10.186749,10.527841,10.857921000000001,11.367994000000001,11.760304000000001,11.922655,12.411925,12.807574,13.135405,13.376839,13.653707,14.005758,15.077726,15.538713,16.028436,16.780486,17.031408,17.383369,17.629669999999997,18.001851999999996,18.402569999999997,19.04321,19.706090999999997,20.054819,20.420257999999997,20.809383999999998,21.274144999999997,21.638237999999998,22.169216999999996,22.312132999999996,22.686900999999995,23.462882999999994,23.810120999999995,24.188222999999994,24.585729999999995,25.028943999999996,26.170528999999995,26.463143999999996,26.954391999999995,27.336655999999994,27.624863999999995,27.798172999999995,28.327846999999995,29.888073999999996,30.030744999999996,30.247880999999996,30.543923999999997,31.249476999999995,31.458955999999997,31.750681999999998,31.985144,32.270508,32.502355,32.803000000000004,33.312596000000006,33.54706100000001,33.855861000000004,34.077792,34.223444,34.347355,34.700089,34.93069,35.463038999999995,35.82662499999999,36.32869399999999,36.86693599999999,37.40366299999999,37.80529099999999,38.26352499999999,39.138182999999984,39.758468999999984,40.050392999999985,40.374166999999986,40.66767499999999,40.94595099999999,41.10802299999999,41.766578999999986,43.375813999999984,43.612723999999986,43.80996899999999,44.128835999999986,44.503537999999985,44.74294399999999,45.23567099999999,45.50588499999999,45.72876199999999,46.28664099999999,46.95813399999999,47.60492799999999,48.06215299999999,48.64943499999999,48.955136999999986,49.168641999999984,49.594169999999984,50.018717999999986,50.32511199999998,50.699384999999985,51.30594199999999,51.67095599999999,52.11454699999999
8-2807230,,,,,,,,0,0.496746,0.725337,1.006166,1.51612,1.96793,2.4794140000000002,2.7967890000000004,3.3308610000000005,3.8400070000000004,4.060491000000001,4.337859000000001,4.812988000000001,5.138756000000001,5.448356,5.87215,6.157943,6.394807,6.7419210000000005,8.121187,8.623241,8.886904,9.042994,9.29109,9.620416,9.961508,10.291588,10.801661000000001,11.193971000000001,11.356322,11.845592,12.241241,12.569072,12.810506,13.087374,13.439425,14.511393,14.97238,15.462102999999999,16.214153,16.465075,16.817035999999998,17.063336999999997,17.435518999999996,17.836236999999997,18.476876999999998,19.139757999999997,19.488485999999998,19.853924999999997,20.243050999999998,20.707811999999997,21.071904999999997,21.602883999999996,21.745799999999996,22.120567999999995,22.896549999999994,23.243787999999995,23.621889999999993,24.019396999999994,24.462610999999995,25.604195999999995,25.896810999999996,26.388058999999995,26.770322999999994,27.058530999999995,27.231839999999995,27.761513999999995,29.321740999999996,29.464411999999996,29.681547999999996,29.977590999999997,30.683143999999995,30.892622999999997,31.184348999999997,31.418810999999998,31.704175,31.936021999999998,32.236667,32.746263,32.980728,33.289528,33.511458999999995,33.65711099999999,33.78102199999999,34.13375599999999,34.36435699999999,34.896705999999995,35.26029199999999,35.76236099999999,36.30060299999999,36.83732999999999,37.23895799999999,37.69719199999999,38.57184999999998,39.192135999999984,39.484059999999985,39.807833999999986,40.10134199999999,40.37961799999999,40.54168999999999,41.200245999999986,42.809480999999984,43.046390999999986,43.24363599999999,43.562502999999985,43.937204999999985,44.17661099999999,44.66933799999999,44.93955199999999,45.16242899999999,45.72030799999999,46.39180099999999,47.03859499999999,47.49581999999999,48.08310199999999,48.388803999999986,48.602308999999984,49.027836999999984,49.452384999999985,49.75877899999998,50.133051999999985,50.73960899999999,51.10462299999999,51.54821399999999
9-2807357,,,,,,,,,0,0.228591,0.50942,1.019374,1.471184,1.982668,2.300043,2.834115,3.343261,3.563745,3.841113,4.316242,4.64201,4.95161,5.375404,5.661197,5.898060999999999,6.245175,7.624440999999999,8.126494999999998,8.390157999999998,8.546247999999999,8.794343999999999,9.123669999999999,9.464761999999999,9.794842,10.304915,10.697225,10.859575999999999,11.348845999999998,11.744494999999999,12.072325999999999,12.313759999999998,12.590627999999999,12.942678999999998,14.014646999999998,14.475633999999998,14.965356999999997,15.717406999999998,15.968328999999997,16.320289999999996,16.566590999999995,16.938772999999994,17.339490999999995,17.980130999999997,18.643011999999995,18.991739999999997,19.357178999999995,19.746304999999996,20.211065999999995,20.575158999999996,21.106137999999994,21.249053999999994,21.623821999999993,22.399803999999992,22.747041999999993,23.12514399999999,23.522650999999993,23.965864999999994,25.107449999999993,25.400064999999994,25.891312999999993,26.273576999999992,26.561784999999993,26.735093999999993,27.264767999999993,28.824994999999994,28.967665999999994,29.184801999999994,29.480844999999995,30.186397999999993,30.395876999999995,30.687602999999996,30.922064999999996,31.207428999999998,31.439275999999996,31.739920999999995,32.249517,32.483982,32.792781999999995,33.01471299999999,33.16036499999999,33.28427599999999,33.63700999999999,33.86761099999999,34.39995999999999,34.76354599999999,35.26561499999999,35.80385699999999,36.340583999999986,36.74221199999999,37.200445999999985,38.07510399999998,38.69538999999998,38.987313999999984,39.311087999999984,39.60459599999999,39.882871999999985,40.04494399999999,40.703499999999984,42.31273499999998,42.549644999999984,42.746889999999986,43.065756999999984,43.44045899999998,43.679864999999985,44.17259199999999,44.44280599999999,44.66568299999999,45.22356199999999,45.895054999999985,46.541848999999985,46.999073999999986,47.58635599999999,47.892057999999984,48.10556299999998,48.53109099999998,48.955638999999984,49.26203299999998,49.63630599999998,50.242862999999986,50.60787699999999,51.051467999999986
10-2807447,,,,,,,,,,0,0.280829,0.790783,1.242593,1.754077,2.0714520000000003,2.6055240000000004,3.1146700000000003,3.335154,3.6125220000000002,4.087651,4.413419,4.723019,5.146813,5.432606,5.66947,6.016584,7.395849999999999,7.897904,8.161567,8.317657,8.565753,8.895079,9.236171,9.566251000000001,10.076324000000001,10.468634000000002,10.630985,11.120255,11.515904,11.843735,12.085169,12.362037,12.714088,13.786056,14.247043,14.736766,15.488816,15.739738,16.091699,16.337999999999997,16.710181999999996,17.110899999999997,17.75154,18.414420999999997,18.763149,19.128587999999997,19.517713999999998,19.982474999999997,20.346567999999998,20.877546999999996,21.020462999999996,21.395230999999995,22.171212999999995,22.518450999999995,22.896552999999994,23.294059999999995,23.737273999999996,24.878858999999995,25.171473999999996,25.662721999999995,26.044985999999994,26.333193999999995,26.506502999999995,27.036176999999995,28.596403999999996,28.739074999999996,28.956210999999996,29.252253999999997,29.957806999999995,30.167285999999997,30.459011999999998,30.693474,30.978838,31.210684999999998,31.511329999999997,32.020925999999996,32.255390999999996,32.564190999999994,32.78612199999999,32.93177399999999,33.05568499999999,33.40841899999999,33.63901999999999,34.171368999999984,34.53495499999998,35.03702399999998,35.57526599999998,36.11199299999998,36.51362099999998,36.97185499999998,37.84651299999997,38.46679899999997,38.758722999999975,39.082496999999975,39.37600499999998,39.654280999999976,39.81635299999998,40.474908999999975,42.084143999999974,42.321053999999975,42.51829899999998,42.837165999999975,43.211867999999974,43.45127399999998,43.94400099999998,44.21421499999998,44.43709199999998,44.99497099999998,45.666463999999976,46.313257999999976,46.77048299999998,47.35776499999998,47.663466999999976,47.876971999999974,48.302499999999974,48.727047999999975,49.03344199999997,49.407714999999975,50.01427199999998,50.37928599999998,50.82287699999998
