순번_정류장ID,1-2802588,2-2802586,3-2802584,4-2802575,5-2802567,6-2802553,7-2802543,8-2802364,9-2802548,10-2802290,11-2802292,12-2802287,13-2802283,14-2802280,15-2802281,16-2802270,17-2802262,18-2802238,19-2802226,20-2802222,21-2802192,22-2802185,23-2802169,24-2802154,25-2801846,26-2802103,27-2802052,28-2801847,29-2801990,30-2801952,31-2801805,32-2801799,33-2801777,34-2801772,35-2801775,36-2801789,37-2801796,38-2800812,39-2800808,40-2800802,41-2800807,42-2804926,43-2800773,44-2800760,45-2800741,46-2800725,47-2800691,48-2800684,49-2800676,50-2800667,51-2800657,52-2800340,53-2800624,54-2800619,55-2806214,56-2806242,57-2806244,58-2801157,59-2801155,60-2801151,61-2801149,62-2801324,63-2801332,64-2801379,65-2801433,66-2801474,67-2801464,68-2801178,69-2801179,70-2801439,71-2801180,72-2801495,73-2801506,74-2801512,75-2801523,76-2801563,77-2801598,78-2801623,79-2801653,80-2801676,81-2801186,82-2801710,83-2801727,84-2801741,85-2801750,86-2801755,87-2801765
1-2802588,0,0.30411900000000003,0.526139,0.755915,1.085241,1.4263329999999999,1.7564129999999998,2.215867,2.73996,3.129633,3.343114,3.684809,3.914814,4.397139,4.871157,5.327943,5.538263000000001,5.948215,6.2311250000000005,6.684789,8.315182,9.424828999999999,10.069341999999999,10.470059999999998,10.892876999999999,11.194287999999998,11.666106,11.940565999999999,12.236432999999998,12.745584999999998,13.257594,13.614225999999999,14.228808999999998,14.482249999999999,14.834423999999999,15.073071999999998,15.417989999999998,15.848453999999998,16.287447,16.590294,17.689487,18.334807,18.794421,19.068849,19.35725,19.642854,20.033408,20.273611000000002,20.586495000000003,20.926546000000002,21.099077,21.387227000000003,21.932476,22.212771,22.675506,23.275329,23.584947,24.380572,24.776635000000002,25.063944000000003,25.514168,25.859664000000002,26.008095,26.371388,26.880709,27.393083999999998,27.632975,28.053193999999998,28.635025999999996,28.924320999999996,29.478772999999997,29.917410999999998,30.153492999999997,30.360585999999998,30.626110999999998,31.060653,31.228697999999998,31.482499999999998,31.651252999999997,32.01497,32.417764,32.654019,32.898472999999996,33.276287999999994,33.67569699999999,34.05829299999999,34.43105099999999
2-2802586,,0,0.22202,0.451796,0.781122,1.122214,1.4522940000000002,1.9117480000000002,2.4358410000000004,2.8255140000000005,3.0389950000000003,3.3806900000000004,3.6106950000000007,4.093020000000001,4.567038000000001,5.023824000000001,5.2341440000000015,5.644096000000001,5.927006000000001,6.380670000000001,8.011063000000002,9.120710000000003,9.765223000000002,10.165941000000002,10.588758000000002,10.890169000000002,11.361987000000003,11.636447000000002,11.932314000000002,12.441466000000002,12.953475000000003,13.310107000000002,13.924690000000002,14.178131000000002,14.530305000000002,14.768953000000002,15.113871000000001,15.544335000000002,15.983328000000002,16.286175000000004,17.385368000000003,18.030688000000005,18.490302000000003,18.764730000000004,19.053131000000004,19.338735000000003,19.729289000000005,19.969492000000006,20.282376000000006,20.622427000000005,20.794958000000005,21.083108000000006,21.628357000000005,21.908652000000004,22.371387000000002,22.971210000000003,23.280828000000003,24.076453000000004,24.472516000000006,24.759825000000006,25.210049000000005,25.555545000000006,25.703976000000004,26.067269000000003,26.576590000000003,27.088965,27.328856000000002,27.749075,28.330907,28.620202,29.174654,29.613292,29.849374,30.056467,30.321992,30.756534000000002,30.924579,31.178381,31.347134,31.710851,32.113645,32.3499,32.594353999999996,32.972168999999994,33.37157799999999,33.75417399999999,34.12693199999999
3-2802584,,,0,0.229776,0.559102,0.9001939999999999,1.230274,1.6897280000000001,2.2138210000000003,2.6034940000000004,2.8169750000000002,3.1586700000000003,3.388675,3.871,4.345018,4.801804,5.012124,5.422076,5.704986,6.15865,7.7890429999999995,8.898689999999998,9.543202999999998,9.943920999999998,10.366737999999998,10.668148999999998,11.139966999999999,11.414426999999998,11.710293999999998,12.219445999999998,12.731454999999999,13.088086999999998,13.702669999999998,13.956110999999998,14.308284999999998,14.546932999999997,14.891850999999997,15.322314999999998,15.761307999999998,16.064155,17.163348,17.808668,18.268282,18.54271,18.831111,19.116715,19.507269,19.747472000000002,20.060356000000002,20.400407,20.572938,20.861088000000002,21.406337,21.686632,22.149366999999998,22.74919,23.058808,23.854433,24.250496000000002,24.537805000000002,24.988029,25.333525,25.481956,25.845249,26.35457,26.866944999999998,27.106835999999998,27.527054999999997,28.108886999999996,28.398181999999995,28.952633999999996,29.391271999999997,29.627353999999997,29.834446999999997,30.099971999999998,30.534513999999998,30.702558999999997,30.956360999999998,31.125113999999996,31.488830999999998,31.891624999999998,32.12788,32.372333999999995,32.75014899999999,33.14955799999999,33.53215399999999,33.90491199999999
4-2802575,,,,0,0.329326,0.670418,1.0004979999999999,1.459952,1.984045,2.373718,2.587199,2.928894,3.158899,3.641224,4.115242,4.572028,4.782348000000001,5.1923,5.475210000000001,5.928874,7.559267,8.668914000000001,9.313427,9.714145,10.136962,10.438373,10.910191000000001,11.184651,11.480518,11.98967,12.501679000000001,12.858311,13.472894,13.726335,14.078509,14.317157,14.662075,15.092539,15.531532,15.834379,16.933572,17.578892000000003,18.038506,18.312934000000002,18.601335000000002,18.886939,19.277493000000003,19.517696000000004,19.830580000000005,20.170631000000004,20.343162000000003,20.631312000000005,21.176561000000003,21.456856000000002,21.919591,22.519414,22.829032,23.624657000000003,24.020720000000004,24.308029000000005,24.758253000000003,25.103749000000004,25.252180000000003,25.615473,26.124794,26.637169,26.87706,27.297279,27.879110999999998,28.168405999999997,28.722858,29.161496,29.397578,29.604671,29.870196,30.304738,30.472783,30.726585,30.895338,31.259055,31.661849,31.898104,32.142558,32.520373,32.919782,33.302378,33.675135999999995
5-2802567,,,,,0,0.341092,0.6711720000000001,1.1306260000000001,1.654719,2.044392,2.257873,2.599568,2.829573,3.311898,3.785916,4.2427019999999995,4.453022,4.8629739999999995,5.145884,5.5995479999999995,7.229940999999999,8.339588,8.984100999999999,9.384818999999998,9.807635999999999,10.109046999999999,10.580865,10.855324999999999,11.151191999999998,11.660343999999998,12.172353,12.528984999999999,13.143567999999998,13.397008999999999,13.749182999999999,13.987830999999998,14.332748999999998,14.763212999999999,15.202205999999999,15.505052999999998,16.604246,17.249566,17.70918,17.983608,18.272009,18.557613,18.948167,19.188370000000003,19.501254000000003,19.841305000000002,20.013836,20.301986000000003,20.847235,21.12753,21.590265,22.190088,22.499706,23.295331,23.691394000000003,23.978703000000003,24.428927,24.774423000000002,24.922854,25.286147,25.795468,26.307843,26.547734,26.967952999999998,27.549784999999996,27.839079999999996,28.393531999999997,28.832169999999998,29.068251999999998,29.275344999999998,29.540869999999998,29.975412,30.143456999999998,30.397259,30.566011999999997,30.929729,31.332523,31.568778,31.813232,32.191047,32.590455999999996,32.973051999999996,33.34580999999999
6-2802553,,,,,,0,0.33008000000000004,0.789534,1.3136269999999999,1.7032999999999998,1.9167809999999998,2.258476,2.488481,2.970806,3.444824,3.9016100000000002,4.11193,4.521882,4.804792,5.258456,6.888849,7.998495999999999,8.643009,9.043726999999999,9.466543999999999,9.767954999999999,10.239773,10.514232999999999,10.810099999999998,11.319251999999999,11.831261,12.187892999999999,12.802475999999999,13.055916999999999,13.408090999999999,13.646738999999998,13.991656999999998,14.422120999999999,14.861113999999999,15.163960999999999,16.263154,16.908474000000002,17.368088,17.642516,17.930917,18.216521,18.607075000000002,18.847278000000003,19.160162000000003,19.500213000000002,19.672744,19.960894000000003,20.506143,20.786438,21.249173,21.848996,22.158614,22.954239,23.350302000000003,23.637611000000003,24.087835000000002,24.433331000000003,24.581762,24.945055,25.454376,25.966751,26.206642,26.626860999999998,27.208692999999997,27.497987999999996,28.052439999999997,28.491077999999998,28.727159999999998,28.934253,29.199778,29.63432,29.802364999999998,30.056167,30.224919999999997,30.588637,30.991431,31.227686,31.47214,31.849955,32.249364,32.63196,33.004718
7-2802543,,,,,,,0,0.459454,0.983547,1.3732199999999999,1.586701,1.9283959999999998,2.1584009999999996,2.6407259999999995,3.1147439999999995,3.5715299999999996,3.7818499999999995,4.191801999999999,4.474711999999999,4.928375999999999,6.558768999999999,7.668415999999999,8.312928999999999,8.713646999999998,9.136463999999998,9.437874999999998,9.909692999999999,10.184152999999998,10.480019999999998,10.989171999999998,11.501180999999999,11.857812999999998,12.472395999999998,12.725836999999999,13.078010999999998,13.316658999999998,13.661576999999998,14.092040999999998,14.531033999999998,14.833880999999998,15.933073999999998,16.578394,17.038007999999998,17.312435999999998,17.600837,17.886440999999998,18.276995,18.517198,18.830082,19.170133,19.342664,19.630814,20.176063,20.456357999999998,20.919092999999997,21.518915999999997,21.828533999999998,22.624159,23.020222,23.307531,23.757755,24.103251,24.251682,24.614974999999998,25.124295999999998,25.636670999999996,25.876561999999996,26.296780999999996,26.878612999999994,27.167907999999994,27.722359999999995,28.160997999999996,28.397079999999995,28.604172999999996,28.869697999999996,29.304239999999997,29.472284999999996,29.726086999999996,29.894839999999995,30.258556999999996,30.661350999999996,30.897605999999996,31.142059999999997,31.519875,31.919283999999998,32.30188,32.674637999999995
8-2802364,,,,,,,,0,0.524093,0.9137660000000001,1.127247,1.4689420000000002,1.6989470000000002,2.1812720000000003,2.6552900000000004,3.1120760000000005,3.3223960000000003,3.7323480000000004,4.015258,4.468922,6.099315,7.208962,7.8534749999999995,8.254192999999999,8.67701,8.978420999999999,9.450239,9.724699,10.020565999999999,10.529717999999999,11.041727,11.398359,12.012941999999999,12.266383,12.618557,12.857204999999999,13.202122999999998,13.632587,14.071579999999999,14.374426999999999,15.473619999999999,16.11894,16.578553999999997,16.852981999999997,17.141382999999998,17.426986999999997,17.817541,18.057744,18.370628,18.710679,18.88321,19.17136,19.716609,19.996903999999997,20.459638999999996,21.059461999999996,21.369079999999997,22.164704999999998,22.560768,22.848077,23.298301,23.643797,23.792227999999998,24.155520999999997,24.664841999999997,25.177216999999995,25.417107999999995,25.837326999999995,26.419158999999993,26.708453999999993,27.262905999999994,27.701543999999995,27.937625999999995,28.144718999999995,28.410243999999995,28.844785999999996,29.012830999999995,29.266632999999995,29.435385999999994,29.799102999999995,30.201896999999995,30.438151999999995,30.682605999999996,31.060420999999998,31.459829999999997,31.842425999999996,32.215183999999994
9-2802548,,,,,,,,,0,0.389673,0.603154,0.9448489999999999,1.1748539999999998,1.6571789999999997,2.131197,2.587983,2.7983029999999998,3.208255,3.4911649999999996,3.9448289999999995,5.575221999999999,6.684868999999999,7.329381999999999,7.730099999999999,8.152916999999999,8.454327999999999,8.926146,9.200605999999999,9.496472999999998,10.005624999999998,10.517634,10.874265999999999,11.488848999999998,11.742289999999999,12.094463999999999,12.333111999999998,12.678029999999998,13.108493999999999,13.547486999999999,13.850333999999998,14.949526999999998,15.594846999999998,16.054460999999996,16.328888999999997,16.617289999999997,16.902893999999996,17.293447999999998,17.533651,17.846535,18.186586,18.359116999999998,18.647267,19.192515999999998,19.472810999999997,19.935545999999995,20.535368999999996,20.844986999999996,21.640611999999997,22.036675,22.323984,22.774207999999998,23.119704,23.268134999999997,23.631427999999996,24.140748999999996,24.653123999999995,24.893014999999995,25.313233999999994,25.895065999999993,26.184360999999992,26.738812999999993,27.177450999999994,27.413532999999994,27.620625999999994,27.886150999999995,28.320692999999995,28.488737999999994,28.742539999999995,28.911292999999993,29.275009999999995,29.677803999999995,29.914058999999995,30.158512999999996,30.536327999999997,30.935736999999996,31.318332999999996,31.691090999999997
10-2802290,,,,,,,,,,0,0.213481,0.555176,0.785181,1.267506,1.741524,2.19831,2.40863,2.818582,3.1014920000000004,3.555156,5.185549,6.295196,6.939709,7.340427,7.763244,8.064655,8.536473,8.810933,9.1068,9.615952,10.127961,10.484593,11.099176,11.352617,11.704791,11.943439,12.288357,12.718821,13.157814,13.460661,14.559854,15.205174,15.664788,15.939216,16.227617,16.513220999999998,16.903775,17.143978,17.456862,17.796913,17.969444,18.257594,18.802843,19.083137999999998,19.545872999999997,20.145695999999997,20.455313999999998,21.250939,21.647002,21.934311,22.384535,22.730031,22.878462,23.241754999999998,23.751075999999998,24.263450999999996,24.503341999999996,24.923560999999996,25.505392999999994,25.794687999999994,26.349139999999995,26.787777999999996,27.023859999999996,27.230952999999996,27.496477999999996,27.931019999999997,28.099064999999996,28.352866999999996,28.521619999999995,28.885336999999996,29.288130999999996,29.524385999999996,29.768839999999997,30.146654999999996,30.546063999999994,30.928659999999994,31.301417999999995
