순번_정류장ID,88-2801766,89-2801756,90-2801749,91-2801743,92-2801725,93-2801708,94-2801694,95-2801196,96-2801657,97-2801618,98-2801596,99-2801560,100-2801527,101-2801514,102-2801509,103-2801497,104-2801482,105-2801450,106-2801438,107-2805321,108-2801461,109-2801462,110-2801469,111-2801430,112-2801376,113-2801336,114-2801322,115-2807006,116-2801150,117-2801154,118-2801156,119-2806243,120-2806241,121-2806215,122-2800622,123-2800627,124-2800336,125-2800658,126-2800670,127-2800682,128-2800695,129-2800723,130-2800745,131-2800759,132-2800776,133-2800796,134-2800803,135-2800809,136-2800811,137-2801795,138-2801793,139-2801779,140-2801773,141-2801774,142-2801787,143-2801806,144-2801954,145-2801977,146-2802024,147-2802051,148-2802098,149-2802129,150-2802158,151-2802168,152-2802828,153-2802193,154-2802221,155-2802224,156-2802242,157-2802265,158-2802279,159-2802278,160-2802282,161-2802291,162-2802549,163-2802545,164-2802367,165-2802541,166-2802552,167-2802566,168-2802366,169-2802585,170-2802374
88-2801766,0,0.371271,0.775729,1.106318,1.522787,1.7724019999999998,2.0160609999999997,2.4038919999999995,2.7920129999999994,3.0027639999999995,3.2080309999999996,3.3392669999999995,3.7801239999999994,4.028688999999999,4.207702999999999,4.507203999999999,4.9313259999999985,5.340794999999998,5.777931999999998,6.376547999999998,6.525077999999998,6.711953999999998,7.182940999999998,7.557683999999997,8.079865999999997,8.412962999999998,8.588779999999998,9.064390999999999,9.297614,9.610284,10.05498,10.844816,11.202627,11.812354,12.928543999999999,13.273682999999998,13.718592999999998,13.97858,14.240614999999998,14.653101999999999,15.105735999999998,15.451923999999998,15.789935999999997,15.984064999999998,16.374972999999997,16.764130999999995,17.917202999999994,18.284217999999992,18.652730999999992,19.062723999999992,19.47378699999999,19.70767999999999,20.077670999999988,20.25347699999999,20.75810599999999,21.27410699999999,21.80416199999999,22.17254599999999,22.61338899999999,22.805866999999992,23.265198999999992,23.63723599999999,24.15214899999999,24.47708599999999,25.15002799999999,26.27937999999999,27.85859999999999,28.174150999999988,28.68138899999999,29.05037999999999,29.66058499999999,30.22672499999999,30.58575999999999,31.07644399999999,31.48969199999999,31.88902999999999,32.32659699999999,32.774719999999995,33.127607999999995,33.449718999999995,33.758973999999995,34.067474999999995,34.27568899999999
89-2801756,,0,0.404458,0.735047,1.151516,1.401131,1.64479,2.032621,2.4207419999999997,2.631493,2.83676,2.967996,3.4088529999999997,3.657418,3.836432,4.135933,4.560054999999999,4.969523999999999,5.406660999999999,6.005276999999999,6.153806999999999,6.3406829999999985,6.811669999999999,7.186412999999998,7.708594999999998,8.041691999999998,8.217508999999998,8.693119999999999,8.926343,9.239013,9.683709,10.473545,10.831356,11.441082999999999,12.557272999999999,12.902411999999998,13.347321999999998,13.607308999999999,13.869343999999998,14.281830999999999,14.734464999999998,15.080652999999998,15.418664999999997,15.612793999999997,16.003701999999997,16.392859999999995,17.545931999999993,17.912946999999992,18.281459999999992,18.691452999999992,19.10251599999999,19.33640899999999,19.706399999999988,19.88220599999999,20.38683499999999,20.90283599999999,21.43289099999999,21.80127499999999,22.24211799999999,22.434595999999992,22.893927999999992,23.26596499999999,23.78087799999999,24.10581499999999,24.778756999999988,25.90810899999999,27.48732899999999,27.802879999999988,28.31011799999999,28.67910899999999,29.28931399999999,29.85545399999999,30.21448899999999,30.70517299999999,31.11842099999999,31.51775899999999,31.955325999999992,32.403448999999995,32.756336999999995,33.078447999999995,33.387702999999995,33.696203999999994,33.90441799999999
90-2801749,,,0,0.33058899999999997,0.747058,0.996673,1.240332,1.628163,2.016284,2.2270350000000003,2.4323020000000004,2.5635380000000003,3.004395,3.2529600000000003,3.4319740000000003,3.7314750000000005,4.155597,4.565066,5.002203,5.6008189999999995,5.749349,5.936224999999999,6.4072119999999995,6.781954999999999,7.304136999999999,7.637233999999999,7.813051,8.288662,8.521885000000001,8.834555000000002,9.279251000000002,10.069087000000001,10.426898000000001,11.036625,12.152815,12.497954,12.942864,13.202851,13.464886,13.877373,14.330007,14.676195,15.014206999999999,15.208336,15.599243999999999,15.988401999999999,17.141474,17.508488999999997,17.877001999999997,18.286994999999997,18.698057999999996,18.931950999999994,19.301941999999993,19.477747999999995,19.982376999999996,20.498377999999995,21.028432999999996,21.396816999999995,21.837659999999996,22.030137999999997,22.489469999999997,22.861506999999996,23.376419999999996,23.701356999999994,24.374298999999993,25.503650999999994,27.082870999999994,27.398421999999993,27.905659999999994,28.274650999999995,28.884855999999996,29.450995999999996,29.810030999999995,30.300714999999997,30.713962999999996,31.113300999999996,31.550867999999998,31.998990999999997,32.351879,32.673989999999996,32.983245,33.291745999999996,33.499959999999994
91-2801743,,,,0,0.416469,0.666084,0.909743,1.297574,1.685695,1.896446,2.101713,2.232949,2.673806,2.922371,3.101385,3.400886,3.825008,4.234477,4.671614,5.27023,5.41876,5.605636,6.076623,6.451365999999999,6.973547999999999,7.306645,7.482462,7.958073,8.191296,8.503966,8.948662,9.738498,10.096309,10.706036,11.822225999999999,12.167364999999998,12.612274999999999,12.872262,13.134297,13.546784,13.999418,14.345606,14.683618,14.877747,15.268654999999999,15.657812999999999,16.810885,17.177899999999998,17.546412999999998,17.956405999999998,18.367468999999996,18.601361999999995,18.971352999999993,19.147158999999995,19.651787999999996,20.167788999999996,20.697843999999996,21.066227999999995,21.507070999999996,21.699548999999998,22.158880999999997,22.530917999999996,23.045830999999996,23.370767999999995,24.043709999999994,25.173061999999994,26.752281999999994,27.067832999999993,27.575070999999994,27.944061999999995,28.554266999999996,29.120406999999997,29.479441999999995,29.970125999999997,30.383373999999996,30.782711999999997,31.220278999999998,31.668401999999997,32.02128999999999,32.34340099999999,32.65265599999999,32.96115699999999,33.16937099999999
92-2801725,,,,,0,0.249615,0.493274,0.881105,1.269226,1.4799769999999999,1.685244,1.8164799999999999,2.2573369999999997,2.505902,2.684916,2.9844169999999997,3.4085389999999998,3.818008,4.255145,4.8537609999999995,5.002291,5.189166999999999,5.6601539999999995,6.034896999999999,6.557078999999999,6.8901759999999985,7.065992999999999,7.541603999999999,7.774826999999998,8.087496999999999,8.532193,9.322028999999999,9.679839999999999,10.289566999999998,11.405756999999998,11.750895999999997,12.195805999999997,12.455792999999998,12.717827999999997,13.130314999999998,13.582948999999997,13.929136999999997,14.267148999999996,14.461277999999997,14.852185999999996,15.241343999999996,16.394415999999996,16.761430999999995,17.129943999999995,17.539936999999995,17.950999999999993,18.18489299999999,18.55488399999999,18.730689999999992,19.235318999999993,19.751319999999993,20.281374999999993,20.649758999999992,21.090601999999993,21.283079999999995,21.742411999999995,22.114448999999993,22.629361999999993,22.954298999999992,23.62724099999999,24.75659299999999,26.33581299999999,26.65136399999999,27.15860199999999,27.527592999999992,28.137797999999993,28.703937999999994,29.062972999999992,29.553656999999994,29.966904999999993,30.366242999999994,30.803809999999995,31.251932999999994,31.604820999999994,31.926931999999994,32.236186999999994,32.544687999999994,32.75290199999999
93-2801708,,,,,,0,0.24365900000000001,0.63149,1.019611,1.230362,1.435629,1.566865,2.007722,2.256287,2.435301,2.734802,3.1589240000000003,3.5683930000000004,4.00553,4.604146,4.752676,4.939552,5.410539,5.785282,6.3074639999999995,6.640561,6.816378,7.291989,7.525212,7.837882,8.282577999999999,9.072413999999998,9.430224999999998,10.039951999999998,11.156141999999997,11.501280999999997,11.946190999999997,12.206177999999998,12.468212999999999,12.8807,13.333333999999999,13.679521999999999,14.017533999999998,14.211662999999998,14.602570999999998,14.991728999999998,16.144800999999998,16.511815999999996,16.880328999999996,17.290321999999996,17.701384999999995,17.935277999999993,18.305268999999992,18.481074999999993,18.985703999999995,19.501704999999994,20.031759999999995,20.400143999999994,20.840986999999995,21.033464999999996,21.492796999999996,21.864833999999995,22.379746999999995,22.704683999999993,23.377625999999992,24.506977999999993,26.086197999999992,26.40174899999999,26.908986999999993,27.277977999999994,27.888182999999994,28.454322999999995,28.813357999999994,29.304041999999995,29.717289999999995,30.116627999999995,30.554194999999996,31.002317999999995,31.355205999999995,31.677316999999995,31.986571999999995,32.295072999999995,32.50328699999999
94-2801694,,,,,,,0,0.387831,0.775952,0.986703,1.19197,1.3232059999999999,1.7640629999999997,2.012628,2.191642,2.491143,2.915265,3.3247340000000003,3.761871,4.360487,4.509017,4.695893,5.16688,5.5416229999999995,6.0638049999999994,6.396901999999999,6.572718999999999,7.048329999999999,7.281552999999999,7.594222999999999,8.038918999999998,8.828754999999997,9.186565999999997,9.796292999999997,10.912482999999996,11.257621999999996,11.702531999999996,11.962518999999997,12.224553999999998,12.637040999999998,13.089674999999998,13.435862999999998,13.773874999999997,13.968003999999997,14.358911999999997,14.748069999999997,15.901141999999997,16.268156999999995,16.636669999999995,17.046662999999995,17.457725999999994,17.691618999999992,18.06160999999999,18.237415999999993,18.742044999999994,19.258045999999993,19.788100999999994,20.156484999999993,20.597327999999994,20.789805999999995,21.249137999999995,21.621174999999994,22.136087999999994,22.461024999999992,23.13396699999999,24.263318999999992,25.84253899999999,26.15808999999999,26.66532799999999,27.034318999999993,27.644523999999993,28.210663999999994,28.569698999999993,29.060382999999995,29.473630999999994,29.872968999999994,30.310535999999995,30.758658999999994,31.111546999999995,31.433657999999994,31.742912999999994,32.051413999999994,32.25962799999999
95-2801196,,,,,,,,0,0.388121,0.5988720000000001,0.804139,0.9353750000000001,1.376232,1.6247969999999998,1.8038109999999998,2.103312,2.527434,2.936903,3.37404,3.9726559999999997,4.121186,4.308062,4.779049,5.153791999999999,5.675973999999999,6.009070999999999,6.184887999999999,6.660498999999999,6.893721999999999,7.206391999999998,7.651087999999998,8.440923999999997,8.798734999999997,9.408461999999997,10.524651999999996,10.869790999999996,11.314700999999996,11.574687999999997,11.836722999999996,12.249209999999996,12.701843999999996,13.048031999999996,13.386043999999995,13.580172999999995,13.971080999999995,14.360238999999995,15.513310999999995,15.880325999999995,16.248838999999993,16.658831999999993,17.069894999999992,17.30378799999999,17.67377899999999,17.84958499999999,18.354213999999992,18.87021499999999,19.400269999999992,19.76865399999999,20.209496999999992,20.401974999999993,20.861306999999993,21.233343999999992,21.74825699999999,22.07319399999999,22.74613599999999,23.87548799999999,25.45470799999999,25.77025899999999,26.27749699999999,26.64648799999999,27.25669299999999,27.822832999999992,28.18186799999999,28.672551999999992,29.085799999999992,29.485137999999992,29.922704999999993,30.370827999999992,30.723715999999992,31.045826999999992,31.355081999999992,31.663582999999992,31.871796999999994
96-2801657,,,,,,,,,0,0.21075100000000002,0.416018,0.547254,0.988111,1.2366759999999999,1.41569,1.715191,2.139313,2.548782,2.985919,3.584535,3.733065,3.9199409999999997,4.390928,4.765670999999999,5.287852999999999,5.620949999999999,5.796766999999999,6.272377999999999,6.505600999999999,6.818270999999998,7.262966999999998,8.052802999999997,8.410613999999997,9.020340999999997,10.136530999999996,10.481669999999996,10.926579999999996,11.186566999999997,11.448601999999998,11.861088999999998,12.313722999999998,12.659910999999997,12.997922999999997,13.192051999999997,13.582959999999996,13.972117999999996,15.125189999999996,15.492204999999997,15.860717999999997,16.270711,16.681773999999997,16.915666999999996,17.285657999999994,17.461463999999996,17.966092999999997,18.482093999999996,19.012148999999997,19.380532999999996,19.821375999999997,20.013854,20.473186,20.845222999999997,21.360135999999997,21.685072999999996,22.358014999999995,23.487366999999995,25.066586999999995,25.382137999999994,25.889375999999995,26.258366999999996,26.868571999999997,27.434711999999998,27.793746999999996,28.284430999999998,28.697678999999997,29.097016999999997,29.534584,29.982706999999998,30.335594999999998,30.657705999999997,30.966960999999998,31.275461999999997,31.483676
97-2801618,,,,,,,,,,0,0.205267,0.336503,0.7773599999999999,1.025925,1.204939,1.50444,1.9285619999999999,2.338031,2.775168,3.3737839999999997,3.5223139999999997,3.7091899999999995,4.180177,4.554919999999999,5.077101999999999,5.410198999999999,5.586015999999999,6.061626999999999,6.2948499999999985,6.607519999999998,7.052215999999998,7.842051999999998,8.199862999999999,8.809589999999998,9.925779999999998,10.270918999999997,10.715828999999998,10.975815999999998,11.237851,11.650338,12.102972,12.44916,12.787171999999998,12.981300999999998,13.372208999999998,13.761366999999998,14.914438999999998,15.281453999999998,15.649966999999998,16.059959999999997,16.471022999999995,16.704915999999994,17.074906999999993,17.250712999999994,17.755341999999995,18.271342999999995,18.801397999999995,19.169781999999994,19.610624999999995,19.803102999999997,20.262434999999996,20.634471999999995,21.149384999999995,21.474321999999994,22.147263999999993,23.276615999999994,24.855835999999993,25.171386999999992,25.678624999999993,26.047615999999994,26.657820999999995,27.223960999999996,27.582995999999994,28.073679999999996,28.486927999999995,28.886265999999996,29.323832999999997,29.771955999999996,30.124843999999996,30.446954999999996,30.756209999999996,31.064710999999996,31.272924999999997
