순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2804748,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2806301,11-2803848,12-2806298,13-2803849,14-2803851,15-2803852,16-2803854,17-2806296,18-2803605,19-2803855,20-2803856,21-2806231,22-2803857,23-2803610,24-2803612,25-2806226,26-2803613,27-2803860,28-2803861,29-2800256,30-2806225,31-2803862,32-2803865,33-2806899,34-2806359,35-2804721,36-2803870,37-2800254,38-2803874,39-2803876,40-2803878,41-2803880,42-2803882,43-2803884,44-2803886,45-2803888,46-2806219,47-2803890,48-2803892,49-2803894,50-2803896,51-2807380,52-2807379,53-2803898,54-2803900,55-2806222,56-2804630,57-2803902,58-2803904,59-2807377,60-2803906,61-2803909,62-2803910,63-2803912,64-2804628,65-2806314,66-2803914,67-2804626,68-2804099,69-2804624,70-2804622,71-2804096,72-2804620,73-2804095,74-2804618,75-2804616,76-2804092,77-2804090,78-2806224,79-2804088,80-2804614,81-2804087,82-2804612,83-2804067,84-2804571,85-2804538,86-2804536,87-2804065,88-2800297,89-2800261,90-2803997,91-2804792,92-2800289,93-2803934,94-2806662,95-2800286,96-2803932,97-2803596,98-2800283,99-2800281,100-2800280,101-2800278,102-2806663,103-2804031,104-2800260,105-2800275,106-2804713,107-2803598,108-2803600,109-2800273,110-2803601,111-2804331,112-2803581,113-2800271,114-2805489,115-2807150,116-2804581,117-2804582,118-2800267,119-2804032
1-2800269,0,0.41885600000000006,0.775061,1.216895,1.7300490000000002,1.970074,2.13424,2.396001,2.785864,3.549917,3.8695570000000004,4.150482,4.6594880000000005,5.250293000000001,5.731132000000001,5.891259000000001,6.225085000000001,6.719396000000001,7.039803000000001,7.477903000000001,7.833264000000002,8.185478000000002,9.384364000000001,9.734738000000002,10.458146000000001,10.684534000000001,10.98024,12.027233,12.54631,12.669736,12.87978,13.413091,13.670791,14.103659,15.486317,15.838269,16.015036000000002,16.331669,17.181600000000003,17.526342000000003,18.207913000000005,18.598224000000005,19.021193000000004,19.671222000000004,20.075193000000002,20.849349000000004,22.193538000000004,22.642805000000003,22.933516000000004,23.550015000000005,23.778270000000006,24.879003000000004,25.095976000000004,25.327442000000005,25.618504000000005,26.077331000000004,26.834351000000005,27.271937000000005,27.665044000000005,27.961372000000004,28.378770000000003,28.818714000000003,29.273967000000003,29.604501000000003,30.014649000000002,30.246877,30.543324000000002,31.048094000000003,31.358172000000003,32.035407000000006,32.55331900000001,33.19229200000001,33.50533400000001,33.859735000000015,34.67216600000001,34.98276100000001,35.50966100000001,35.811580000000006,36.388996000000006,36.83676500000001,37.31240900000001,37.92299300000001,38.713707000000014,39.550688000000015,39.93662000000001,40.44598600000001,40.662920000000014,41.24376800000002,41.46303600000002,42.05356900000002,42.55724100000002,42.95928800000002,43.416093000000025,43.778102000000025,44.72307800000002,45.60924000000002,45.89550000000002,46.88696700000002,47.33139600000002,48.04083600000002,48.61305500000002,48.749989000000014,49.690815000000015,50.332132000000016,50.56486000000002,50.89053900000002,51.06868300000002,51.57981900000002,52.02274800000002,52.225357000000024,52.40697300000002,52.66129300000002,53.142625000000024,53.64955500000002,54.01380400000002,54.35473900000002,54.655992000000026,55.01618000000003,55.65490500000003
2-2805488,,0,0.356205,0.7980389999999999,1.3111929999999998,1.5512179999999998,1.7153839999999998,1.9771449999999997,2.367008,3.131061,3.450701,3.731626,4.240632,4.831436999999999,5.312275999999999,5.472402999999999,5.806228999999999,6.300539999999999,6.620946999999999,7.059047,7.414408,7.766622,8.965508,9.315882,10.03929,10.265678,10.561383999999999,11.608376999999999,12.127453999999998,12.250879999999999,12.460923999999999,12.994234999999998,13.251934999999998,13.684802999999999,15.067460999999998,15.419412999999999,15.596179999999999,15.912812999999998,16.762743999999998,17.107485999999998,17.789057,18.179368,18.602337,19.252366,19.656336999999997,20.430493,21.774682,22.223948999999998,22.51466,23.131159,23.359414,24.460147,24.67712,24.908586,25.199648,25.658475,26.415495,26.853081,27.246188,27.542516,27.959913999999998,28.399858,28.855110999999997,29.185644999999997,29.595792999999997,29.828020999999996,30.124467999999997,30.629237999999997,30.939315999999998,31.616550999999998,32.134463,32.773436,33.086478,33.440879,34.25331,34.563905,35.090804999999996,35.392723999999994,35.970139999999994,36.417908999999995,36.893553,37.504137,38.294851,39.131832,39.517764,40.02713,40.244064,40.824912000000005,41.044180000000004,41.634713000000005,42.13838500000001,42.54043200000001,42.99723700000001,43.35924600000001,44.30422200000001,45.19038400000001,45.47664400000001,46.46811100000001,46.91254000000001,47.62198000000001,48.194199000000005,48.331133,49.271959,49.913276,50.146004000000005,50.471683000000006,50.64982700000001,51.16096300000001,51.60389200000001,51.80650100000001,51.98811700000001,52.24243700000001,52.72376900000001,53.23069900000001,53.59494800000001,53.93588300000001,54.237136000000014,54.597324000000015,55.236049000000015
3-2807373,,,0,0.441834,0.954988,1.1950129999999999,1.359179,1.62094,2.010803,2.774856,3.0944960000000004,3.3754210000000002,3.8844270000000005,4.475232,4.956071,5.116198,5.450024,5.944335,6.264742,6.702842,7.058203000000001,7.410417000000001,8.609303,8.959677000000001,9.683085,9.909473,10.205179,11.252172,11.771249,11.894675,12.104719,12.638029999999999,12.895729999999999,13.328598,14.711255999999999,15.063208,15.239975,15.556607999999999,16.406539,16.751281,17.432852,17.823163,18.246132,18.896161,19.300131999999998,20.074288,21.418477,21.867744,22.158455,22.774954,23.003209000000002,24.103942000000004,24.320915000000003,24.552381000000004,24.843443000000004,25.302270000000004,26.059290000000004,26.496876000000004,26.889983000000004,27.186311000000003,27.603709000000002,28.043653000000003,28.498906,28.82944,29.239588,29.471816,29.768263,30.273033,30.583111000000002,31.260346000000002,31.778258,32.417231,32.730273000000004,33.08467400000001,33.897105,34.2077,34.7346,35.036519,35.613935,36.061704,36.537348,37.147932000000004,37.938646000000006,38.77562700000001,39.161559000000004,39.670925000000004,39.887859000000006,40.46870700000001,40.68797500000001,41.27850800000001,41.78218000000001,42.184227000000014,42.64103200000002,43.00304100000002,43.948017000000014,44.83417900000001,45.12043900000001,46.11190600000001,46.55633500000001,47.26577500000001,47.83799400000001,47.974928000000006,48.91575400000001,49.55707100000001,49.78979900000001,50.11547800000001,50.29362200000001,50.804758000000014,51.24768700000001,51.450296000000016,51.631912000000014,51.886232000000014,52.367564000000016,52.87449400000001,53.238743000000014,53.579678000000015,53.88093100000002,54.24111900000002,54.87984400000002
4-2804748,,,,0,0.513154,0.753179,0.9173450000000001,1.179106,1.568969,2.333022,2.6526620000000003,2.933587,3.4425930000000005,4.033398,4.514237,4.674364,5.00819,5.502501,5.822908,6.261008,6.616369000000001,6.968583000000001,8.167469,8.517843000000001,9.241251,9.467639,9.763345,10.810338,11.329415,11.452841,11.662885,12.196195999999999,12.453895999999999,12.886764,14.269421999999999,14.621374,14.798141,15.114773999999999,15.964704999999999,16.309447,16.991018,17.381329,17.804298,18.454327,18.858297999999998,19.632454,20.976643,21.42591,21.716621,22.33312,22.561375,23.662108000000003,23.879081000000003,24.110547000000004,24.401609000000004,24.860436000000004,25.617456000000004,26.055042000000004,26.448149000000004,26.744477000000003,27.161875000000002,27.601819000000003,28.057072,28.387606,28.797754,29.029982,29.326429,29.831199,30.141277000000002,30.818512000000002,31.336424,31.975397,32.288439000000004,32.64284000000001,33.455271,33.765866,34.292766,34.594685,35.172101,35.61987,36.095514,36.706098000000004,37.496812000000006,38.33379300000001,38.719725000000004,39.229091000000004,39.446025000000006,40.02687300000001,40.24614100000001,40.83667400000001,41.34034600000001,41.742393000000014,42.19919800000002,42.56120700000002,43.506183000000014,44.39234500000001,44.67860500000001,45.67007200000001,46.11450100000001,46.82394100000001,47.39616000000001,47.533094000000006,48.47392000000001,49.11523700000001,49.34796500000001,49.67364400000001,49.85178800000001,50.362924000000014,50.80585300000001,51.008462000000016,51.190078000000014,51.444398000000014,51.925730000000016,52.43266000000001,52.796909000000014,53.137844000000015,53.43909700000002,53.79928500000002,54.43801000000002
5-2803582,,,,,0,0.240025,0.40419099999999997,0.665952,1.055815,1.819868,2.139508,2.420433,2.9294390000000003,3.5202440000000004,4.001083,4.1612100000000005,4.495036000000001,4.989347,5.309754000000001,5.747854000000001,6.103215000000001,6.455429000000001,7.654315000000001,8.004689,8.728097,8.954485,9.250191,10.297184,10.816260999999999,10.939687,11.149731,11.683041999999999,11.940741999999998,12.37361,13.756267999999999,14.10822,14.284987,14.601619999999999,15.451550999999998,15.796292999999999,16.477864,16.868175,17.291144,17.941173,18.345143999999998,19.1193,20.463489,20.912755999999998,21.203467,21.819966,22.048221,23.148954000000003,23.365927000000003,23.597393000000004,23.888455000000004,24.347282000000003,25.104302000000004,25.541888000000004,25.934995000000004,26.231323000000003,26.648721000000002,27.088665000000002,27.543918,27.874452,28.2846,28.516828,28.813275,29.318045,29.628123000000002,30.305358000000002,30.82327,31.462243,31.775285,32.129686,32.942116999999996,33.252711999999995,33.77961199999999,34.08153099999999,34.65894699999999,35.10671599999999,35.582359999999994,36.192944,36.983658,37.820639,38.206571,38.715937,38.932871,39.513719,39.732987,40.32352,40.827192000000004,41.22923900000001,41.68604400000001,42.04805300000001,42.99302900000001,43.879191000000006,44.165451000000004,45.156918000000005,45.601347000000004,46.310787000000005,46.883006,47.01994,47.960766,48.602083,48.834811,49.16049,49.338634000000006,49.84977000000001,50.292699000000006,50.49530800000001,50.67692400000001,50.93124400000001,51.41257600000001,51.919506000000005,52.283755000000006,52.62469000000001,52.92594300000001,53.28613100000001,53.92485600000001
6-2803603,,,,,,0,0.164166,0.42592700000000006,0.81579,1.5798429999999999,1.899483,2.180408,2.689414,3.280219,3.7610580000000002,3.9211850000000004,4.2550110000000005,4.749322,5.069729000000001,5.507829000000001,5.863190000000001,6.215404000000001,7.414290000000001,7.764664000000002,8.488072,8.71446,9.010166,10.057159,10.576236,10.699662,10.909706,11.443017,11.700717,12.133585,13.516243,13.868195,14.044962,14.361595,15.211526,15.556268,16.237839,16.62815,17.051119,17.701148,18.105119,18.879275,20.223464,20.672731,20.963442,21.579941,21.808196000000002,22.908929,23.125902,23.357368,23.64843,24.107257,24.864277,25.301863,25.69497,25.991298,26.408696,26.84864,27.303893,27.634427,28.044575,28.276802999999997,28.573249999999998,29.07802,29.388098,30.065333,30.583244999999998,31.222217999999998,31.535259999999997,31.889660999999997,32.70209199999999,33.01268699999999,33.53958699999999,33.84150599999999,34.41892199999999,34.86669099999999,35.34233499999999,35.952918999999994,36.743632999999996,37.580614,37.966545999999994,38.475911999999994,38.692845999999996,39.273694,39.492962,40.083495,40.587167,40.989214000000004,41.44601900000001,41.80802800000001,42.753004000000004,43.639166,43.925426,44.916893,45.361322,46.070762,46.642981,46.779914999999995,47.720741,48.362058,48.594786,48.920465,49.098609,49.609745000000004,50.052674,50.255283000000006,50.436899000000004,50.691219000000004,51.172551000000006,51.679481,52.043730000000004,52.384665000000005,52.68591800000001,53.04610600000001,53.68483100000001
7-2803602,,,,,,,0,0.261761,0.651624,1.415677,1.7353170000000002,2.016242,2.5252480000000004,3.1160530000000004,3.5968920000000004,3.7570190000000006,4.090845000000001,4.5851560000000005,4.905563000000001,5.343663000000001,5.699024000000001,6.0512380000000014,7.250124000000001,7.600498000000002,8.323906000000001,8.550294000000001,8.846,9.892993,10.41207,10.535496,10.74554,11.278851,11.536551,11.969418999999998,13.352076999999998,13.704028999999998,13.880795999999998,14.197428999999998,15.047359999999998,15.392101999999998,16.073673,16.463984,16.886953,17.536982,17.940952999999997,18.715108999999998,20.059298,20.508564999999997,20.799276,21.415775,21.64403,22.744763,22.961736,23.193202,23.484264,23.943091,24.700111,25.137697,25.530804,25.827132,26.244529999999997,26.684473999999998,27.139726999999997,27.470260999999997,27.880408999999997,28.112636999999996,28.409083999999996,28.913853999999997,29.223931999999998,29.901166999999997,30.419078999999996,31.058051999999996,31.371093999999996,31.725494999999995,32.53792599999999,32.84852099999999,33.37542099999999,33.67733999999999,34.254755999999986,34.70252499999999,35.17816899999999,35.78875299999999,36.579466999999994,37.416447999999995,37.80237999999999,38.31174599999999,38.528679999999994,39.109528,39.328796,39.919329,40.423001,40.825048,41.281853000000005,41.643862000000006,42.588838,43.475,43.76126,44.752727,45.197156,45.906596,46.478815,46.615748999999994,47.556574999999995,48.197891999999996,48.43062,48.756299,48.934443,49.445579,49.888508,50.091117000000004,50.272733,50.527053,51.008385000000004,51.515315,51.879564,52.220499000000004,52.521752000000006,52.88194000000001,53.52066500000001
8-2800274,,,,,,,,0,0.389863,1.153916,1.4735559999999999,1.7544809999999997,2.2634869999999996,2.8542919999999996,3.3351309999999996,3.4952579999999998,3.829084,4.323395,4.643802,5.081902,5.437263000000001,5.789477000000001,6.9883630000000005,7.338737,8.062145,8.288533,8.584238999999998,9.631231999999999,10.150308999999998,10.273734999999999,10.483778999999998,11.017089999999998,11.274789999999998,11.707657999999999,13.090315999999998,13.442267999999999,13.619034999999998,13.935667999999998,14.785598999999998,15.130340999999998,15.811911999999998,16.202222999999996,16.625191999999995,17.275220999999995,17.679191999999993,18.453347999999995,19.797536999999995,20.246803999999994,20.537514999999996,21.154013999999997,21.382268999999997,22.483002,22.699975,22.931441,23.222503,23.68133,24.43835,24.875936,25.269043,25.565371,25.982768999999998,26.422712999999998,26.877965999999997,27.208499999999997,27.618647999999997,27.850875999999996,28.147322999999997,28.652092999999997,28.962170999999998,29.639405999999997,30.157317999999997,30.796290999999997,31.109332999999996,31.463733999999995,32.27616499999999,32.58675999999999,33.11365999999999,33.41557899999999,33.992994999999986,34.44076399999999,34.91640799999999,35.52699199999999,36.317705999999994,37.154686999999996,37.54061899999999,38.04998499999999,38.266918999999994,38.847767,39.067035,39.657568,40.16124,40.563287,41.020092000000005,41.382101000000006,42.327077,43.213239,43.499499,44.490966,44.935395,45.644835,46.217054,46.353987999999994,47.294813999999995,47.936130999999996,48.168859,48.494538,48.672682,49.183818,49.626747,49.829356000000004,50.010972,50.265292,50.746624000000004,51.253554,51.617803,51.958738000000004,52.25999100000001,52.62017900000001,53.25890400000001
9-2803847,,,,,,,,,0,0.764053,1.083693,1.364618,1.8736240000000002,2.464429,2.945268,3.105395,3.4392210000000003,3.9335320000000005,4.253939000000001,4.692039000000001,5.047400000000001,5.3996140000000015,6.598500000000001,6.948874000000002,7.672282000000002,7.898670000000002,8.194376000000002,9.241369000000002,9.760446000000002,9.883872000000002,10.093916000000002,10.627227000000001,10.884927000000001,11.317795,12.700453,13.052405,13.229172,13.545805,14.395736,14.740478,15.422049,15.81236,16.235329,16.885358,17.289329,18.063485,19.407674,19.856941,20.147652,20.764151000000002,20.992406000000003,22.093139,22.310112,22.541578,22.83264,23.291467,24.048487,24.486073,24.87918,25.175508,25.592906,26.03285,26.488103,26.818637,27.228785,27.461012999999998,27.75746,28.26223,28.572308,29.249543,29.767454999999998,30.406428,30.719469999999998,31.073870999999997,31.886301999999997,32.196897,32.723797,33.025715999999996,33.603131999999995,34.050900999999996,34.526545,35.137129,35.927843,36.764824000000004,37.150756,37.660122,37.877056,38.457904000000006,38.677172000000006,39.26770500000001,39.77137700000001,40.17342400000001,40.630229000000014,40.992238000000015,41.93721400000001,42.82337600000001,43.10963600000001,44.10110300000001,44.54553200000001,45.25497200000001,45.827191000000006,45.964125,46.904951000000004,47.546268000000005,47.77899600000001,48.10467500000001,48.28281900000001,48.79395500000001,49.23688400000001,49.43949300000001,49.62110900000001,49.87542900000001,50.35676100000001,50.86369100000001,51.22794000000001,51.56887500000001,51.870128000000015,52.230316000000016,52.86904100000002
10-2806301,,,,,,,,,,0,0.31964000000000004,0.600565,1.109571,1.700376,2.181215,2.341342,2.675168,3.169479,3.489886,3.9279859999999998,4.283347,4.635561,5.834447,6.1848209999999995,6.9082289999999995,7.1346169999999995,7.430323,8.477316,8.996393,9.119819,9.329863,9.863173999999999,10.120873999999999,10.553742,11.936399999999999,12.288352,12.465119,12.781752,13.631682999999999,13.976424999999999,14.657995999999999,15.048307,15.471276,16.121305,16.525275999999998,17.299432,18.643621,19.092888,19.383599,20.000098,20.228353000000002,21.329086000000004,21.546059000000003,21.777525000000004,22.068587000000004,22.527414000000004,23.284434000000005,23.722020000000004,24.115127000000005,24.411455000000004,24.828853000000002,25.268797000000003,25.724050000000002,26.054584000000002,26.464732,26.69696,26.993407,27.498177000000002,27.808255000000003,28.485490000000002,29.003402,29.642375,29.955417,30.309818,31.122249,31.432844,31.959744,32.261663,32.839079,33.286848,33.762492,34.373076000000005,35.163790000000006,36.00077100000001,36.386703000000004,36.896069000000004,37.113003000000006,37.69385100000001,37.91311900000001,38.50365200000001,39.00732400000001,39.409371000000014,39.86617600000002,40.22818500000002,41.173161000000015,42.05932300000001,42.34558300000001,43.33705000000001,43.78147900000001,44.49091900000001,45.06313800000001,45.200072000000006,46.14089800000001,46.78221500000001,47.01494300000001,47.34062200000001,47.518766000000014,48.029902000000014,48.47283100000001,48.675440000000016,48.857056000000014,49.111376000000014,49.592708000000016,50.09963800000001,50.463887000000014,50.804822000000016,51.10607500000002,51.46626300000002,52.10498800000002
