순번_정류장ID,18-2804112,19-2804114,20-2804116,21-2804119,22-2807386,23-2804120,24-2804122,25-2804124,26-2804126,27-2804128,28-2804130,29-2804132,30-2804134,31-2800263,32-2800267,33-2804032
18-2804112,0,0.466376,0.747755,1.269634,1.992048,2.241224,2.7364729999999997,2.9596569999999995,3.2233009999999993,3.472330999999999,4.189076999999999,4.396450999999999,4.827115999999999,5.111275999999999,5.363299,6.002024
19-2804114,,0,0.281379,0.803258,1.5256720000000001,1.7748480000000002,2.2700970000000003,2.493281,2.756925,3.0059549999999997,3.722701,3.930075,4.36074,4.6449,4.896923,5.535648
20-2804116,,,0,0.521879,1.2442929999999999,1.493469,1.988718,2.211902,2.4755459999999996,2.7245759999999994,3.4413219999999995,3.6486959999999997,4.079361,4.3635209999999995,4.615544,5.254269
21-2804119,,,,0,0.722414,0.97159,1.466839,1.690023,1.953667,2.202697,2.9194430000000002,3.1268170000000004,3.5574820000000003,3.8416420000000002,4.0936650000000006,4.7323900000000005
22-2807386,,,,,0,0.249176,0.744425,0.967609,1.2312530000000002,1.4802830000000002,2.197029,2.4044030000000003,2.835068,3.119228,3.371251,4.009976
23-2804120,,,,,,0,0.495249,0.718433,0.982077,1.231107,1.9478529999999998,2.155227,2.585892,2.870052,3.1220749999999997,3.7607999999999997
24-2804122,,,,,,,0,0.22318400000000002,0.48682800000000004,0.7358580000000001,1.452604,1.659978,2.090643,2.374803,2.626826,3.265551
25-2804124,,,,,,,,0,0.263644,0.5126740000000001,1.2294200000000002,1.4367940000000001,1.8674590000000002,2.151619,2.403642,3.042367
26-2804126,,,,,,,,,0,0.24903000000000003,0.965776,1.17315,1.603815,1.887975,2.139998,2.778723
27-2804128,,,,,,,,,,0,0.716746,0.9241199999999999,1.354785,1.6389449999999999,1.890968,2.529693
28-2804130,,,,,,,,,,,0,0.20737399999999998,0.6380389999999999,0.9221989999999999,1.1742219999999999,1.8129469999999999
29-2804132,,,,,,,,,,,,0,0.43066499999999996,0.7148249999999999,0.9668479999999999,1.605573
30-2804134,,,,,,,,,,,,,0,0.28415999999999997,0.536183,1.1749079999999998
31-2800263,,,,,,,,,,,,,,0,0.252023,0.890748
32-2800267,,,,,,,,,,,,,,,0,0.638725
33-2804032,,,,,,,,,,,,,,,,0
