순번_정류장ID,1-2800269,2-2804581,3-2804582,4-2800267,5-2804034,6-2804035,7-2804037,8-2804039,9-2804041,10-2804589,11-2804043,12-2804591,13-2804762,14-2806393,15-2806336,16-2803920,17-2804766,18-2806338,19-2803922,20-2804771,21-2807393,22-2803924,23-2807390,24-2800260,25-2800275,26-2804713,27-2803598,28-2803600,29-2800273,30-2803601,31-2804331,32-2803581,33-2800271,34-2805489,35-2807150,36-2804581,37-2804582,38-2800267,39-2804032
1-2800269,0,0.350736,0.6519889999999999,1.0121769999999999,1.775726,2.3893429999999998,2.657472,3.012339,3.341815,3.737661,4.0238190000000005,5.1043210000000006,5.478192000000001,5.728545,6.299971,6.5588500000000005,6.798672000000001,7.107541,7.41193,7.6668709999999995,8.039377,8.324719,8.590665,8.787127,9.019855,9.345533999999999,9.523677999999999,10.034813999999999,10.477742999999998,10.680352,10.861968,11.116287999999999,11.59762,12.10455,12.468798999999999,12.809733999999999,13.110986999999998,13.471174999999999,14.1099
2-2804581,,0,0.301253,0.661441,1.42499,2.038607,2.306736,2.661603,2.991079,3.386925,3.673083,4.753585,5.1274560000000005,5.377809000000001,5.949235000000001,6.208114000000001,6.447936000000001,6.756805000000001,7.061194,7.316135,7.6886410000000005,7.9739830000000005,8.239929,8.436391,8.669119,8.994798,9.172941999999999,9.684078,10.127006999999999,10.329616,10.511232,10.765552,11.246884,11.753814,12.118063,12.458998,12.760251,13.120439000000001,13.759164000000002
3-2804582,,,0,0.360188,1.123737,1.7373539999999998,2.005483,2.36035,2.689826,3.085672,3.37183,4.452332,4.8262030000000005,5.076556,5.647982,5.906861,6.146683,6.455552,6.7599409999999995,7.014881999999999,7.387388,7.67273,7.938675999999999,8.135138,8.367866,8.693544999999999,8.871688999999998,9.382824999999999,9.825753999999998,10.028362999999999,10.209978999999999,10.464298999999999,10.945630999999999,11.452561,11.816809999999998,12.157744999999998,12.458997999999998,12.819185999999998,13.457911
4-2800267,,,,0,0.763549,1.377166,1.645295,2.000162,2.329638,2.7254840000000002,3.011642,4.092144,4.4660150000000005,4.716368000000001,5.287794000000001,5.546673000000001,5.786495000000001,6.095364000000001,6.3997530000000005,6.654694,7.027200000000001,7.3125420000000005,7.578488,7.7749500000000005,8.007678,8.333357,8.511500999999999,9.022637,9.465565999999999,9.668175,9.849791,10.104111,10.585443,11.092373,11.456622,11.797557,12.09881,12.458998000000001,13.097723000000002
5-2804034,,,,,0,0.613617,0.8817459999999999,1.236613,1.566089,1.961935,2.248093,3.328595,3.702466,3.952819,4.524245,4.783124,5.022946,5.331815,5.636203999999999,5.891144999999999,6.263650999999999,6.548992999999999,6.814938999999999,7.011400999999999,7.244128999999999,7.569807999999999,7.747951999999999,8.259087999999998,8.702016999999998,8.904625999999999,9.086241999999999,9.340561999999998,9.821893999999999,10.328824,10.693072999999998,11.034007999999998,11.335261,11.695449,12.334174
6-2804035,,,,,,0,0.268129,0.622996,0.952472,1.348318,1.6344759999999998,2.714978,3.0888489999999997,3.339202,3.910628,4.169507,4.4093290000000005,4.718198,5.022587,5.277527999999999,5.650034,5.935376,6.201321999999999,6.397784,6.6305119999999995,6.956191,7.134334999999999,7.645470999999999,8.088399999999998,8.291008999999999,8.472624999999999,8.726944999999999,9.208276999999999,9.715207,10.079455999999999,10.420390999999999,10.721643999999998,11.081831999999999,11.720557
7-2804037,,,,,,,0,0.354867,0.684343,1.080189,1.366347,2.4468490000000003,2.82072,3.071073,3.642499,3.901378,4.1411999999999995,4.450068999999999,4.754457999999999,5.009398999999998,5.381904999999998,5.667246999999998,5.9331929999999975,6.129654999999998,6.362382999999998,6.688061999999998,6.866205999999997,7.377341999999997,7.820270999999997,8.022879999999997,8.204495999999997,8.458815999999997,8.940147999999997,9.447077999999998,9.811326999999997,10.152261999999997,10.453514999999996,10.813702999999997,11.452427999999998
8-2804039,,,,,,,,0,0.32947600000000005,0.725322,1.01148,2.091982,2.4658529999999996,2.7162059999999997,3.2876319999999994,3.5465109999999993,3.786332999999999,4.095201999999999,4.399590999999998,4.654531999999998,5.0270379999999975,5.312379999999997,5.578325999999997,5.774787999999997,6.007515999999997,6.333194999999997,6.511338999999997,7.0224749999999965,7.465403999999997,7.668012999999997,7.849628999999997,8.103948999999997,8.585280999999997,9.092210999999997,9.456459999999996,9.797394999999996,10.098647999999997,10.458835999999998,11.097560999999999
9-2804041,,,,,,,,,0,0.39584600000000003,0.682004,1.7625060000000001,2.136377,2.38673,2.958156,3.2170349999999996,3.4568569999999994,3.7657259999999995,4.0701149999999995,4.325055999999999,4.697562,4.9829039999999996,5.248849999999999,5.4453119999999995,5.678039999999999,6.003718999999999,6.181862999999999,6.692998999999999,7.135927999999999,7.338536999999999,7.520152999999999,7.774472999999999,8.255804999999999,8.762735,9.126983999999998,9.467918999999998,9.769171999999998,10.129359999999998,10.768085
10-2804589,,,,,,,,,,0,0.28615799999999997,1.36666,1.740531,1.990884,2.56231,2.821189,3.0610109999999997,3.3698799999999998,3.674269,3.92921,4.301716,4.587058,4.853004,5.049466000000001,5.2821940000000005,5.6078730000000006,5.786017,6.297153,6.740082,6.942691,7.124307,7.378627,7.859959,8.366889,8.731138,9.072073,9.373325999999999,9.733514,10.372239
