순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2804336,8-2804260,9-2807394,10-2804761,11-2804759,12-2804258,13-2804256,14-2806229,15-2806399,16-2804255,17-2804253,18-2806397,19-2804251,20-2804249,21-2804754,22-2806335,23-2804757,24-2804247,25-2804581,26-2804582,27-2800267,28-2804032
1-2800270,0,0.789313,1.060607,1.372924,1.512173,1.762855,2.107892,2.1861990000000002,2.4182520000000003,2.6695450000000003,2.9398910000000003,3.410299,3.8990370000000003,4.175292000000001,4.8196330000000005,5.1660010000000005,5.655126,6.23742,6.862928,7.462865,7.757633,8.147416,8.545509,8.892909999999999,9.407596999999999,9.708849999999998,10.069037999999999,10.707763
2-2800268,,0,0.271294,0.583611,0.7228600000000001,0.9735420000000001,1.3185790000000002,1.396886,1.6289390000000001,1.8802320000000001,2.1505780000000003,2.6209860000000003,3.1097240000000004,3.3859790000000003,4.030320000000001,4.376688000000001,4.865813,5.448107,6.073615,6.673552,6.96832,7.358103,7.756196,8.103597,8.618284000000001,8.919537000000002,9.279725000000003,9.918450000000004
3-2800264,,,0,0.312317,0.451566,0.702248,1.047285,1.125592,1.357645,1.608938,1.879284,2.349692,2.8384300000000002,3.114685,3.759026,4.105394,4.594519,5.176813,5.802321,6.402258,6.697026,7.086809000000001,7.484902000000001,7.8323030000000005,8.34699,8.648243,9.008431000000002,9.647156000000003
4-2807245,,,,0,0.139249,0.389931,0.7349680000000001,0.8132750000000001,1.045328,1.296621,1.566967,2.037375,2.526113,2.802368,3.446709,3.793077,4.282202,4.864496,5.490004,6.089941,6.384709,6.774492,7.172585000000001,7.519986,8.034673,8.335926,8.696114000000001,9.334839000000002
5-2800262,,,,,0,0.250682,0.595719,0.674026,0.9060790000000001,1.157372,1.427718,1.898126,2.386864,2.663119,3.30746,3.653828,4.142952999999999,4.7252469999999995,5.3507549999999995,5.950691999999999,6.24546,6.635242999999999,7.033335999999999,7.380736999999999,7.895423999999999,8.196677,8.556865,9.19559
6-2807367,,,,,,0,0.345037,0.423344,0.655397,0.90669,1.177036,1.647444,2.136182,2.4124369999999997,3.0567779999999996,3.4031459999999996,3.8922709999999996,4.474564999999999,5.100072999999999,5.700009999999999,5.994777999999999,6.384561,6.782654,7.130055,7.644742,7.945995,8.306183,8.944908000000002
7-2804336,,,,,,,0,0.078307,0.31036,0.561653,0.8319989999999999,1.3024069999999999,1.7911449999999998,2.0673999999999997,2.7117409999999995,3.0581089999999995,3.5472339999999996,4.129528,4.755036,5.354972999999999,5.649741,6.039524,6.437617,6.785018,7.299705,7.600958,7.961146,8.599871
8-2804260,,,,,,,,0,0.232053,0.483346,0.753692,1.2241,1.712838,1.989093,2.633434,2.979802,3.468927,4.051221,4.676729,5.276666,5.571434,5.9612169999999995,6.35931,6.706710999999999,7.221398,7.522651,7.882839,8.521564
9-2807394,,,,,,,,,0,0.251293,0.521639,0.9920469999999999,1.480785,1.75704,2.4013809999999998,2.7477489999999998,3.236874,3.819168,4.444675999999999,5.044612999999999,5.3393809999999995,5.729163999999999,6.127256999999999,6.474657999999999,6.989344999999999,7.290597999999999,7.650785999999999,8.289511
10-2804761,,,,,,,,,,0,0.27034600000000003,0.740754,1.229492,1.505747,2.1500879999999998,2.496456,2.985581,3.567875,4.193383,4.79332,5.088088,5.477871,5.875964000000001,6.223365,6.738052000000001,7.039305000000001,7.3994930000000005,8.038218
