순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2806340,15-2803928,16-2806388,17-2806390,18-2803926
1-2800269,0,0.41885600000000006,0.775061,1.343418,1.730049,1.9700739999999999,2.1342399999999997,2.3960009999999996,2.7858639999999997,3.3335209999999997,3.5393429999999997,3.8124939999999996,4.0860639999999995,4.493535,4.914476,5.538526999999999,5.881385999999999,6.454790999999999
2-2805488,,0,0.356205,0.924562,1.311193,1.551218,1.715384,1.9771450000000002,2.3670080000000002,2.9146650000000003,3.1204870000000002,3.393638,3.667208,4.074679,4.49562,5.119670999999999,5.462529999999999,6.035934999999999
3-2807373,,,0,0.568357,0.954988,1.1950129999999999,1.359179,1.62094,2.010803,2.55846,2.764282,3.037433,3.311003,3.718474,4.139415,4.763465999999999,5.106324999999999,5.679729999999999
4-2800272,,,,0,0.386631,0.626656,0.790822,1.052583,1.4424460000000001,1.990103,2.195925,2.469076,2.7426459999999997,3.150117,3.571058,4.1951089999999995,4.537967999999999,5.1113729999999995
5-2803582,,,,,0,0.240025,0.40419099999999997,0.665952,1.055815,1.603472,1.809294,2.082445,2.3560149999999997,2.763486,3.184427,3.808478,4.151337,4.724742
6-2803603,,,,,,0,0.164166,0.42592700000000006,0.81579,1.3634469999999999,1.5692689999999998,1.8424199999999997,2.1159899999999996,2.5234609999999997,2.9444019999999997,3.568453,3.9113119999999997,4.484717
7-2803602,,,,,,,0,0.261761,0.651624,1.199281,1.405103,1.678254,1.9518239999999998,2.359295,2.780236,3.404287,3.747146,4.320551
8-2800274,,,,,,,,0,0.389863,0.9375199999999999,1.1433419999999999,1.416493,1.6900629999999999,2.097534,2.518475,3.142526,3.485385,4.05879
9-2803847,,,,,,,,,0,0.547657,0.7534789999999999,1.02663,1.3001999999999998,1.707671,2.128612,2.752663,3.095522,3.668927
10-2803599,,,,,,,,,,0,0.20582199999999998,0.478973,0.752543,1.1600139999999999,1.5809549999999999,2.205006,2.547865,3.12127
11-2804712,,,,,,,,,,,0,0.27315100000000003,0.546721,0.954192,1.375133,1.999184,2.3420430000000003,2.9154480000000005
12-2800276,,,,,,,,,,,,0,0.27357,0.681041,1.101982,1.7260330000000002,2.068892,2.642297
13-2800277,,,,,,,,,,,,,0,0.407471,0.828412,1.452463,1.795322,2.3687270000000002
14-2806340,,,,,,,,,,,,,,0,0.420941,1.0449920000000001,1.3878510000000002,1.961256
15-2803928,,,,,,,,,,,,,,,0,0.624051,0.96691,1.540315
16-2806388,,,,,,,,,,,,,,,,0,0.342859,0.9162640000000001
17-2806390,,,,,,,,,,,,,,,,,0,0.573405
18-2803926,,,,,,,,,,,,,,,,,,0
