순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2804147,14-2804149,15-2804151,16-2804162,17-2804164,18-2804166,19-2804656,20-2804168,21-2806206,22-2804171,23-2804173,24-2804745,25-2804177,26-2806147,27-2806148,28-2804178,29-2806374,30-2804180,31-2804182,32-2804184,33-2804744,34-2804746,35-2804640,36-2804188,37-2806152,38-2804190,39-2804192,40-2804642,41-2804796,42-2804323,43-2804320,44-2804319,45-2804317,46-2804314,47-2804739,48-2804312,49-2804310,50-2806209,51-2806211,52-2806210,53-2806208,54-2804309,55-2804747,56-2804305,57-2804302,58-2804301
1-2800270,0,0.789313,1.060607,1.372924,1.512173,1.762855,2.05268,2.6922,3.0206440000000003,3.155848,3.582986,3.995159,4.424955,5.029285,6.104265,7.059479,8.048841,8.700479999999999,9.170888,9.495616,10.246026,11.012734,11.805382999999999,12.117177,12.684999,13.26146,13.489442,13.847788,14.096893,14.30673,14.626286,15.081914000000001,15.706299000000001,16.032411,16.597037,16.951015,17.23832,17.413203000000003,17.917102000000003,18.080706000000003,18.472448000000004,18.772198000000003,19.007860000000004,19.199614000000004,19.456882000000004,19.729265000000005,19.918605000000007,20.265528000000007,20.628864000000007,21.55464200000001,21.95783700000001,22.093653000000007,22.300392000000006,22.777786000000006,23.259434000000006,23.549807000000005,24.144258000000004,24.904023000000006
2-2800268,,0,0.271294,0.583611,0.7228600000000001,0.9735420000000001,1.2633670000000001,1.9028870000000002,2.2313310000000004,2.3665350000000003,2.793673,3.205846,3.6356420000000003,4.239972,5.314952,6.270166,7.2595279999999995,7.911167,8.381575,8.706303,9.456713,10.223421,11.01607,11.327864,11.895686,12.472147,12.700129,13.058475,13.30758,13.517417,13.836973,14.292601000000001,14.916986000000001,15.243098000000002,15.807724000000002,16.161702000000002,16.449007,16.623890000000003,17.127789000000003,17.291393000000003,17.683135000000004,17.982885000000003,18.218547000000004,18.410301000000004,18.667569000000004,18.939952000000005,19.129292000000007,19.476215000000007,19.839551000000007,20.76532900000001,21.16852400000001,21.304340000000007,21.511079000000006,21.988473000000006,22.470121000000006,22.760494000000005,23.354945000000004,24.114710000000006
3-2800264,,,0,0.312317,0.451566,0.702248,0.992073,1.631593,1.960037,2.095241,2.522379,2.934552,3.364348,3.968678,5.043658,5.9988719999999995,6.988233999999999,7.639873,8.110281,8.435009,9.185419000000001,9.952127,10.744776000000002,11.056570000000002,11.624392000000002,12.200853000000002,12.428835000000003,12.787181000000002,13.036286000000002,13.246123000000003,13.565679000000003,14.021307000000004,14.645692000000004,14.971804000000004,15.536430000000005,15.890408000000004,16.177713000000004,16.352596000000005,16.856495000000006,17.020099000000005,17.411841000000006,17.711591000000006,17.947253000000007,18.139007000000007,18.396275000000006,18.668658000000008,18.85799800000001,19.20492100000001,19.56825700000001,20.49403500000001,20.89723000000001,21.03304600000001,21.23978500000001,21.71717900000001,22.19882700000001,22.489200000000007,23.083651000000007,23.84341600000001
4-2807245,,,,0,0.139249,0.389931,0.679756,1.319276,1.6477199999999999,1.782924,2.2100619999999997,2.622235,3.052031,3.656361,4.731341,5.686554999999999,6.675916999999999,7.3275559999999995,7.7979639999999995,8.122691999999999,8.873102,9.639809999999999,10.432458999999998,10.744252999999999,11.312074999999998,11.888535999999998,12.116518,12.474863999999998,12.723968999999999,12.933805999999999,13.253362,13.70899,14.333375,14.659487,15.224113000000001,15.578091,15.865396,16.040279,16.544178000000002,16.707782,17.099524000000002,17.399274000000002,17.634936000000003,17.826690000000003,18.083958000000003,18.356341000000004,18.545681000000005,18.892604000000006,19.255940000000006,20.181718000000007,20.584913000000007,20.720729000000006,20.927468000000005,21.404862000000005,21.886510000000005,22.176883000000004,22.771334000000003,23.531099000000005
5-2800262,,,,,0,0.250682,0.5405070000000001,1.180027,1.508471,1.643675,2.0708130000000002,2.4829860000000004,2.9127820000000004,3.5171120000000005,4.592092,5.547306,6.536668,7.188307,7.658715,7.983443,8.733853,9.500561,10.293209999999998,10.605004,11.172825999999999,11.749286999999999,11.977269,12.335614999999999,12.584719999999999,12.794557,13.114113,13.569741,14.194126,14.520238,15.084864000000001,15.438842000000001,15.726147000000001,15.90103,16.404929,16.568533,16.960275,17.260025,17.495687,17.687441,17.944709,18.217092,18.406432000000002,18.753355000000003,19.116691000000003,20.042469000000004,20.445664000000004,20.581480000000003,20.788219,21.265613000000002,21.747261,22.037634,22.632085,23.39185
6-2807367,,,,,,0,0.289825,0.929345,1.257789,1.3929930000000001,1.8201310000000002,2.232304,2.6621,3.26643,4.34141,5.2966239999999996,6.285985999999999,6.937625,7.408033,7.732761,8.483171,9.249879,10.042528,10.354322000000002,10.922144000000001,11.498605000000001,11.726587000000002,12.084933000000001,12.334038000000001,12.543875000000002,12.863431000000002,13.319059000000003,13.943444000000003,14.269556000000003,14.834182000000004,15.188160000000003,15.475465000000003,15.650348000000003,16.154247,16.317851,16.709593,17.009343,17.245005000000003,17.436759000000002,17.694027000000002,17.966410000000003,18.155750000000005,18.502673000000005,18.866009000000005,19.791787000000006,20.194982000000007,20.330798000000005,20.537537000000004,21.014931000000004,21.496579000000004,21.786952000000003,22.381403000000002,23.141168000000004
7-2800265,,,,,,,0,0.63952,0.967964,1.1031680000000001,1.5303060000000002,1.942479,2.372275,2.976605,4.051585,5.006799,5.996161,6.6478,7.118208,7.442936,8.193346,8.960054,9.752703,10.064497000000001,10.632319,11.20878,11.436762000000002,11.795108,12.044213000000001,12.254050000000001,12.573606000000002,13.029234000000002,13.653619000000003,13.979731000000003,14.544357000000003,14.898335000000003,15.185640000000003,15.360523000000002,15.864422000000003,16.028026000000004,16.419768000000005,16.719518000000004,16.955180000000006,17.146934000000005,17.404202000000005,17.676585000000006,17.865925000000008,18.212848000000008,18.57618400000001,19.50196200000001,19.90515700000001,20.040973000000008,20.247712000000007,20.725106000000007,21.206754000000007,21.497127000000006,22.091578000000005,22.851343000000007
8-2803682,,,,,,,,0,0.328444,0.463648,0.8907860000000001,1.302959,1.732755,2.337085,3.412065,4.367279,5.356641,6.00828,6.478688,6.803416,7.553826000000001,8.320534,9.113183,9.424977,9.992799,10.56926,10.797242,11.155588,11.404693,11.61453,11.934086,12.389714000000001,13.014099000000002,13.340211000000002,13.904837000000002,14.258815000000002,14.546120000000002,14.721003000000001,15.224902000000002,15.388506000000001,15.780248000000002,16.079998000000003,16.315660000000005,16.507414000000004,16.764682000000004,17.037065000000005,17.226405000000007,17.573328000000007,17.936664000000007,18.86244200000001,19.26563700000001,19.401453000000007,19.608192000000006,20.085586000000006,20.567234000000006,20.857607000000005,21.452058000000005,22.211823000000006
9-2807369,,,,,,,,,0,0.135204,0.562342,0.974515,1.404311,2.008641,3.083621,4.038835,5.028197,5.679836,6.150244,6.474972,7.225382,7.992089999999999,8.784738999999998,9.096532999999999,9.664354999999999,10.240815999999999,10.468798,10.827143999999999,11.076248999999999,11.286086,11.605642,12.06127,12.685655,13.011767,13.576393000000001,13.930371000000001,14.217676,14.392559,14.896458,15.060062,15.451804000000001,15.751554,15.987216,16.17897,16.436238,16.708621,16.897961000000002,17.244884000000003,17.608220000000003,18.533998000000004,18.937193000000004,19.073009000000003,19.279748,19.757142,20.23879,20.529163,21.123614,21.883379
10-2804135,,,,,,,,,,0,0.427138,0.8393109999999999,1.269107,1.873437,2.948417,3.903631,4.892993,5.544632,6.01504,6.339768,7.090178,7.856885999999999,8.649535,8.961329000000001,9.529151,10.105612,10.333594000000002,10.69194,10.941045,11.150882000000001,11.470438000000001,11.926066000000002,12.550451000000002,12.876563000000003,13.441189000000003,13.795167000000003,14.082472000000003,14.257355000000002,14.761254000000003,14.924858000000002,15.316600000000003,15.616350000000002,15.852012000000002,16.043766,16.301034,16.573417000000003,16.762757000000004,17.109680000000004,17.473016000000005,18.398794000000006,18.801989000000006,18.937805000000004,19.144544000000003,19.621938000000004,20.103586000000004,20.393959000000002,20.988410000000002,21.748175000000003
