순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2803686,14-2803687,15-2804667,16-2803688,17-2803689,18-2803690,19-2803691,20-2803740,21-2803692,22-2803694,23-2803696,24-2803698,25-2804776,26-2803701,27-2804737,28-2806144,29-2806401,30-2804747,31-2804305,32-2804302,33-2804301
1-2800270,0,0.789313,1.060607,1.372924,1.512173,1.762855,2.05268,2.6922,3.0206440000000003,3.155848,3.582986,3.995159,4.733763,5.203373999999999,5.847453999999999,6.207977999999999,6.749029999999999,6.973820999999999,8.034306999999998,8.832025999999999,9.052921999999999,9.341835,9.793033,10.135238,10.447901,10.650507,10.9323,12.231028,12.984561,13.562434,13.852807,14.447258,15.207023
2-2800268,,0,0.271294,0.583611,0.7228600000000001,0.9735420000000001,1.2633670000000001,1.9028870000000002,2.2313310000000004,2.3665350000000003,2.793673,3.205846,3.9444500000000002,4.414061,5.058141,5.418665,5.9597169999999995,6.184507999999999,7.244993999999999,8.042713,8.263608999999999,8.552522,9.00372,9.345925,9.658588,9.861194,10.142987,11.441715,12.195248,12.773121,13.063494,13.657945,14.41771
3-2800264,,,0,0.312317,0.451566,0.702248,0.992073,1.631593,1.960037,2.095241,2.522379,2.934552,3.673156,4.142767,4.786847,5.147371,5.688423,5.913214,6.9737,7.771419,7.992315,8.281228,8.732426,9.074631,9.387294,9.5899,9.871693,11.170421000000001,11.923954000000002,12.501827000000002,12.792200000000003,13.386651000000002,14.146416000000002
4-2807245,,,,0,0.139249,0.389931,0.679756,1.319276,1.6477199999999999,1.782924,2.2100619999999997,2.622235,3.360839,3.83045,4.47453,4.8350539999999995,5.376106,5.600897,6.661383,7.459102,7.679997999999999,7.968910999999999,8.420109,8.762314,9.074977,9.277583,9.559376,10.858104,11.611637000000002,12.189510000000002,12.479883000000003,13.074334000000002,13.834099000000002
5-2800262,,,,,0,0.250682,0.5405070000000001,1.180027,1.508471,1.643675,2.0708130000000002,2.4829860000000004,3.2215900000000004,3.6912010000000004,4.335281,4.695805,5.2368570000000005,5.461648,6.522134,7.319853,7.540749,7.829662,8.28086,8.623065,8.935728000000001,9.138334,9.420127,10.718855000000001,11.472388000000002,12.050261000000003,12.340634000000003,12.935085000000003,13.694850000000002
6-2807367,,,,,,0,0.289825,0.929345,1.257789,1.3929930000000001,1.8201310000000002,2.232304,2.970908,3.440519,4.084599,4.445123,4.986174999999999,5.210965999999999,6.271451999999999,7.069170999999999,7.290066999999999,7.578979999999999,8.030178,8.372383,8.685046,8.887652,9.169445,10.468173,11.221706000000001,11.799579000000001,12.089952000000002,12.684403000000001,13.444168000000001
7-2800265,,,,,,,0,0.63952,0.967964,1.1031680000000001,1.5303060000000002,1.942479,2.681083,3.150694,3.7947740000000003,4.155298,4.696350000000001,4.921141,5.9816270000000005,6.779346,7.000242,7.289155,7.740353,8.082558,8.395221000000001,8.597827,8.879620000000001,10.178348000000002,10.931881,11.509754000000001,11.800127000000002,12.394578000000001,13.154343
8-2803682,,,,,,,,0,0.328444,0.463648,0.8907860000000001,1.302959,2.041563,2.511174,3.1552540000000002,3.515778,4.05683,4.2816209999999995,5.3421069999999995,6.139825999999999,6.360721999999999,6.649634999999999,7.100832999999999,7.443037999999999,7.755700999999998,7.958306999999999,8.240099999999998,9.538827999999999,10.292361,10.870234,11.160607,11.755058,12.514823
9-2807369,,,,,,,,,0,0.135204,0.562342,0.974515,1.713119,2.18273,2.82681,3.187334,3.728386,3.953177,5.013663,5.811382,6.032278,6.321191,6.7723889999999995,7.114593999999999,7.427256999999999,7.629862999999999,7.911655999999999,9.210384,9.963916999999999,10.541789999999999,10.832163,11.426613999999999,12.186378999999999
10-2804135,,,,,,,,,,0,0.427138,0.8393109999999999,1.577915,2.047526,2.691606,3.05213,3.593182,3.8179730000000003,4.878459,5.676178,5.897074,6.185987,6.637185,6.9793899999999995,7.292052999999999,7.4946589999999995,7.776451999999999,9.07518,9.828713,10.406586,10.696959000000001,11.29141,12.051175
11-2803684,,,,,,,,,,,0,0.41217299999999996,1.150777,1.620388,2.264468,2.6249919999999998,3.166044,3.390835,4.451321,5.24904,5.469936,5.758849,6.210046999999999,6.552251999999999,6.864914999999999,7.067520999999999,7.349314,8.648042,9.401575000000001,9.979448000000001,10.269821000000002,10.864272000000001,11.624037000000001
12-2803685,,,,,,,,,,,,0,0.738604,1.208215,1.852295,2.212819,2.753871,2.9786620000000004,4.039148000000001,4.836867000000001,5.0577630000000005,5.346676,5.797874,6.140079,6.452742,6.655348,6.9371410000000004,8.235869000000001,8.989402000000002,9.567275000000002,9.857648000000003,10.452099000000002,11.211864000000002
13-2803686,,,,,,,,,,,,,0,0.46961099999999995,1.113691,1.474215,2.015267,2.2400580000000003,3.3005440000000004,4.098263,4.319159,4.608072,5.05927,5.401475,5.714137999999999,5.916744,6.198537,7.4972650000000005,8.250798,8.828671,9.119044,9.713495,10.47326
14-2803687,,,,,,,,,,,,,,0,0.64408,1.004604,1.5456560000000001,1.770447,2.830933,3.6286519999999998,3.849548,4.138461,4.589659,4.931864,5.244527,5.447133,5.7289259999999995,7.027654,7.781187,8.35906,8.649433,9.243884,10.003649
15-2804667,,,,,,,,,,,,,,,0,0.36052399999999996,0.901576,1.1263670000000001,2.186853,2.984572,3.205468,3.494381,3.945579,4.287784,4.600447,4.803053,5.084846000000001,6.383574000000001,7.137107000000001,7.7149800000000015,8.005353000000001,8.599804,9.359569
16-2803688,,,,,,,,,,,,,,,,0,0.5410520000000001,0.765843,1.826329,2.624048,2.8449440000000004,3.1338570000000003,3.585055,3.92726,4.239923,4.442529,4.724322000000001,6.023050000000001,6.776583000000001,7.354456000000002,7.644829000000001,8.23928,8.999045
17-2803689,,,,,,,,,,,,,,,,,0,0.224791,1.285277,2.082996,2.3038920000000003,2.5928050000000002,3.044003,3.386208,3.698871,3.901477,4.18327,5.481998000000001,6.235531000000001,6.813404000000001,7.103777000000001,7.698228000000001,8.457993000000002
18-2803690,,,,,,,,,,,,,,,,,,0,1.060486,1.8582049999999999,2.079101,2.368014,2.819212,3.1614169999999997,3.47408,3.6766859999999997,3.9584789999999996,5.257206999999999,6.010739999999999,6.588613,6.878985999999999,7.473437,8.233202
19-2803691,,,,,,,,,,,,,,,,,,,0,0.797719,1.018615,1.307528,1.758726,2.100931,2.4135940000000002,2.6162,2.897993,4.196721,4.950254,5.5281270000000005,5.8185,6.4129510000000005,7.172716
20-2803740,,,,,,,,,,,,,,,,,,,,0,0.220896,0.5098090000000001,0.961007,1.303212,1.615875,1.818481,2.1002739999999998,3.399002,4.152535,4.730408000000001,5.020781,5.615232000000001,6.3749970000000005
21-2803692,,,,,,,,,,,,,,,,,,,,,0,0.28891300000000003,0.740111,1.082316,1.3949790000000002,1.5975850000000003,1.8793780000000002,3.1781060000000005,3.9316390000000006,4.509512000000001,4.799885000000001,5.394336000000001,6.154101000000001
22-2803694,,,,,,,,,,,,,,,,,,,,,,0,0.45119799999999993,0.793403,1.106066,1.308672,1.590465,2.889193,3.642726,4.220599,4.510972,5.105423,5.865188
23-2803696,,,,,,,,,,,,,,,,,,,,,,,0,0.34220500000000004,0.654868,0.8574740000000001,1.139267,2.437995,3.191528,3.769401,4.059774,4.654225,5.41399
24-2803698,,,,,,,,,,,,,,,,,,,,,,,,0,0.312663,0.515269,0.7970619999999999,2.09579,2.849323,3.427196,3.717569,4.31202,5.071785
25-2804776,,,,,,,,,,,,,,,,,,,,,,,,,0,0.202606,0.48439899999999997,1.7831270000000001,2.5366600000000004,3.114533,3.4049060000000004,3.9993570000000007,4.7591220000000005
26-2803701,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.28179299999999996,1.580521,2.334054,2.911927,3.2023,3.7967510000000004,4.556516
27-2804737,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.298728,2.052261,2.630134,2.9205069999999997,3.514958,4.274723
28-2806144,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.753533,1.3314059999999999,1.6217789999999999,2.21623,2.9759949999999997
29-2806401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.577873,0.868246,1.462697,2.2224619999999997
30-2804747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.290373,0.884824,1.6445889999999999
31-2804305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5944510000000001,1.354216
32-2804302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7597649999999999
33-2804301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
