순번_정류장ID,54-2804092,55-2804090,56-2806224,57-2804088,58-2804614,59-2804087,60-2803988,61-2803986,62-2803984,63-2803981,64-2806017,65-2805721,66-2805719,67-2803976,68-2803974,69-2803875,70-2800253,71-2803871,72-2804720,73-2806360,74-2803868,75-2803866,76-2803863,77-2803864,78-2800255,79-2803615,80-2803614,81-2803859,82-2806227,83-2803858,84-2803611,85-2803609,86-2806232,87-2803608,88-2803607,89-2803606,90-2806297,91-2803616,92-2803853,93-2803850,94-2803617,95-2806299,96-2803618,97-2806300,98-2803600,99-2800273,100-2803601,101-2804331,102-2803581,103-2800271,104-2805489,105-2807150,106-2804581,107-2804582,108-2800267,109-2804032
54-2804092,0,0.301919,0.879335,1.3271039999999998,1.8027479999999998,2.740405,3.522733,3.8608700000000002,4.198476,4.891998,5.752823,5.955919000000001,6.278009000000001,6.920734000000001,7.355170000000001,7.679567000000001,7.857903000000001,8.199777000000001,9.606496000000002,10.003440000000001,10.366927,10.805913,11.007619,11.139286,11.681658,12.645979,13.02311,13.250397000000001,13.936449000000001,14.285748000000002,15.468519000000002,15.844771000000001,16.165618000000002,16.677542000000003,16.970824000000004,17.513793000000003,17.838532000000004,18.037423000000004,18.439312000000005,19.027302000000006,19.557491000000006,19.828029000000004,20.145398000000004,20.846160000000005,21.289089000000004,21.491698000000003,21.673314000000005,21.927634000000005,22.408966000000003,22.915896000000004,23.280145000000005,23.621080000000006,23.922333000000005,24.282521000000006,24.921246000000007,25.117344000000006
55-2804090,,0,0.577416,1.025185,1.500829,2.438486,3.2208140000000003,3.5589510000000004,3.8965570000000005,4.590079,5.450904,5.654000000000001,5.976090000000001,6.6188150000000014,7.053251000000001,7.3776480000000015,7.555984000000001,7.897858000000001,9.304577000000002,9.701521000000001,10.065008,10.503994,10.7057,10.837367,11.379739,12.34406,12.721191000000001,12.948478000000001,13.634530000000002,13.983829000000002,15.166600000000003,15.542852000000002,15.863699000000002,16.375623,16.668905000000002,17.211874,17.536613000000003,17.735504000000002,18.137393000000003,18.725383000000004,19.255572000000004,19.526110000000003,19.843479000000002,20.544241000000003,20.987170000000003,21.189779,21.371395,21.625715,22.107046999999998,22.613977,22.978226,23.319161,23.620414,23.980602,24.619327000000002,24.815425
56-2806224,,,0,0.447769,0.9234129999999999,1.8610699999999998,2.643398,2.981535,3.319141,4.012663,4.873488,5.076584,5.398674000000001,6.041399,6.475835,6.800232,6.978568,7.320442,8.727161,9.124105,9.487592,9.926578,10.128283999999999,10.259951,10.802323,11.766644,12.143775,12.371062,13.057114,13.406413,14.589184000000001,14.965436,15.286283000000001,15.798207000000001,16.091489000000003,16.634458000000002,16.959197000000003,17.158088000000003,17.559977000000003,18.147967000000005,18.678156000000005,18.948694000000003,19.266063000000003,19.966825000000004,20.409754000000003,20.612363000000002,20.793979,21.048299,21.529631,22.036561,22.40081,22.741745,23.042998,23.403186,24.041911000000002,24.238009
57-2804088,,,,0,0.47564399999999996,1.413301,2.195629,2.533766,2.871372,3.564894,4.425719,4.628815,4.9509050000000006,5.593630000000001,6.028066000000001,6.352463000000001,6.530799000000001,6.872673000000001,8.279392000000001,8.676336000000001,9.039823,9.478809,9.680515,9.812182,10.354554,11.318875,11.696006,11.923293000000001,12.609345000000001,12.958644000000001,14.141415000000002,14.517667000000001,14.838514000000002,15.350438000000002,15.643720000000002,16.186689,16.511428000000002,16.710319000000002,17.112208000000003,17.700198000000004,18.230387000000004,18.500925000000002,18.818294,19.519056000000003,19.961985000000002,20.164594,20.34621,20.60053,21.081861999999997,21.588791999999998,21.953041,22.293976,22.595229,22.955417,23.594142,23.79024
58-2804614,,,,,0,0.937657,1.7199849999999999,2.058122,2.395728,3.08925,3.950075,4.153171,4.475261000000001,5.117986,5.552422,5.876819,6.055155,6.397029,7.803748,8.200692,8.564179,9.003165,9.204870999999999,9.336538,9.87891,10.843231,11.220362,11.447649,12.133701,12.483,13.665771000000001,14.042023,14.362870000000001,14.874794000000001,15.168076000000001,15.711045,16.035784,16.234675,16.636564,17.224554,17.754743,18.025281,18.34265,19.043412,19.486341,19.68895,19.870565999999997,20.124885999999996,20.606217999999995,21.113147999999995,21.477396999999996,21.818331999999998,22.119584999999997,22.479772999999998,23.118498,23.314595999999998
59-2804087,,,,,,0,0.782328,1.120465,1.4580710000000001,2.151593,3.0124180000000003,3.215514,3.537604,4.180329,4.614765,4.9391620000000005,5.117498,5.459372,6.866091,7.263035,7.6265220000000005,8.065508000000001,8.267214000000001,8.398881000000001,8.941253000000001,9.905574000000001,10.282705000000002,10.509992000000002,11.196044000000002,11.545343000000003,12.728114000000003,13.104366000000002,13.425213000000003,13.937137000000003,14.230419000000003,14.773388000000002,15.098127000000002,15.297018000000001,15.698907000000002,16.286897000000003,16.817086000000003,17.087624,17.404993,18.105755000000002,18.548684,18.751293,18.932909000000002,19.187229000000002,19.668561,20.175491,20.539740000000002,20.880675000000004,21.181928000000003,21.542116000000004,22.180841000000004,22.376939000000004
60-2803988,,,,,,,0,0.33813699999999997,0.675743,1.369265,2.2300899999999997,2.4331859999999996,2.7552759999999994,3.3980009999999994,3.832436999999999,4.156833999999999,4.335169999999999,4.677043999999999,6.0837629999999985,6.480706999999999,6.844193999999999,7.283179999999999,7.484885999999999,7.616552999999999,8.158924999999998,9.123245999999998,9.500376999999999,9.727663999999999,10.413715999999999,10.763015,11.945786,12.322038,12.642885,13.154809,13.448091,13.99106,14.315798999999998,14.514689999999998,14.916578999999999,15.504568999999998,16.034757999999997,16.305295999999995,16.622664999999994,17.323426999999995,17.766355999999995,17.968964999999994,18.150580999999995,18.404900999999995,18.886232999999994,19.393162999999994,19.757411999999995,20.098346999999997,20.399599999999996,20.759787999999997,21.398512999999998,21.594610999999997
61-2803986,,,,,,,,0,0.337606,1.031128,1.891953,2.095049,2.4171389999999997,3.0598639999999997,3.4942999999999995,3.8186969999999993,3.997032999999999,4.338906999999999,5.745625999999999,6.142569999999999,6.506056999999999,6.945042999999999,7.146748999999999,7.278415999999999,7.820787999999999,8.785108999999999,9.162239999999999,9.389527,10.075579,10.424878,11.607649,11.983901,12.304748,12.816672,13.109954,13.652923,13.977661999999999,14.176552999999998,14.578441999999999,15.166431999999999,15.696620999999999,15.967158999999999,16.284527999999998,16.98529,17.428219,17.630827999999998,17.812444,18.066764,18.548095999999997,19.055025999999998,19.419275,19.76021,20.061463,20.421651,21.060376,21.256474
62-2803984,,,,,,,,,0,0.693522,1.554347,1.7574429999999999,2.0795329999999996,2.7222579999999996,3.1566939999999994,3.4810909999999993,3.659426999999999,4.001300999999999,5.408019999999999,5.804963999999999,6.168450999999999,6.607436999999999,6.809142999999999,6.940809999999999,7.483181999999999,8.447503,8.824634,9.051921,9.737973,10.087272,11.270043000000001,11.646295,11.967142,12.479066000000001,12.772348000000001,13.315317,13.640056,13.838947,14.240836,14.828826,15.359015,15.629553,15.946921999999999,16.647683999999998,17.090612999999998,17.293221999999997,17.474838,17.729157999999998,18.210489999999997,18.717419999999997,19.081668999999998,19.422604,19.723857,20.084045,20.72277,20.918868
63-2803981,,,,,,,,,,0,0.860825,1.063921,1.3860109999999999,2.028736,2.4631719999999997,2.7875689999999995,2.9659049999999993,3.307778999999999,4.714497999999999,5.111441999999999,5.4749289999999995,5.913914999999999,6.115620999999999,6.247287999999999,6.78966,7.753981,8.131112,8.358399,9.044451,9.39375,10.576521000000001,10.952773,11.273620000000001,11.785544000000002,12.078826000000001,12.621795,12.946534,13.145425,13.547314,14.135304,14.665493,14.936031,15.2534,15.954161999999998,16.397091,16.5997,16.781315999999997,17.035635999999997,17.516967999999995,18.023897999999996,18.388146999999996,18.729082,19.030334999999997,19.390522999999998,20.029248,20.225346
