순번_정류장ID,48-2803875,49-2800253,50-2803871,51-2804720,52-2806360,53-2803869,54-2803971,55-2803970,56-2803968,57-2803966,58-2803964,59-2803962,60-2803960,61-2803958,62-2803956,63-2803954,64-2803952,65-2803993,66-2803995,67-2800298,68-2803997,69-2800290,70-2800289,71-2803934,72-2806662,73-2800286,74-2803932,75-2803596,76-2800283,77-2800281,78-2800280,79-2800278,80-2806663,81-2804031,82-2800260,83-2800275,84-2804713,85-2803598,86-2803600,87-2800273,88-2803601,89-2804331,90-2803581,91-2800271,92-2805489,93-2807150,94-2804581,95-2804582,96-2800267,97-2804032
48-2803875,0,0.178336,0.52021,1.926929,2.27683,2.586259,3.256358,3.570946,4.177274000000001,4.602727000000001,4.9255960000000005,5.656291,6.071639,6.623371000000001,7.166666,7.717893,8.512795,8.826594,8.964693,10.18134,10.720868000000001,11.087059000000002,11.543864000000001,11.905873000000001,12.850849000000002,13.737011000000003,14.023271000000003,15.014738000000003,15.459167000000003,16.168607,16.740826000000002,16.877760000000002,17.818586000000003,18.459903000000004,18.692631000000006,19.018310000000007,19.196454000000006,19.707590000000007,20.150519000000006,20.353128000000005,20.534744000000003,20.789064000000003,21.270396,21.777326000000002,22.141575000000003,22.482510000000005,22.783763000000004,23.143951000000005,23.782676000000006,23.978774000000005
49-2800253,,0,0.34187399999999996,1.748593,2.098494,2.4079230000000003,3.0780220000000003,3.3926100000000003,3.9989380000000003,4.424391,4.74726,5.477955,5.8933029999999995,6.445035,6.9883299999999995,7.539556999999999,8.334458999999999,8.648257999999998,8.786356999999999,10.003003999999999,10.542532,10.908723,11.365528,11.727537,12.672513,13.558675000000001,13.844935000000001,14.836402000000001,15.280831000000001,15.990271000000002,16.56249,16.699424,17.64025,18.281567000000003,18.514295000000004,18.839974000000005,19.018118000000005,19.529254000000005,19.972183000000005,20.174792000000004,20.356408000000002,20.610728,21.09206,21.59899,21.963239,22.304174000000003,22.605427000000002,22.965615000000003,23.604340000000004,23.800438000000003
50-2803871,,,0,1.406719,1.75662,2.066049,2.736148,3.050736,3.657064,4.082517,4.405386,5.136081,5.551429,6.103161,6.646456,7.197683,7.992585,8.306384,8.444483,9.66113,10.200658,10.566849000000001,11.023654,11.385663000000001,12.330639000000001,13.216801000000002,13.503061000000002,14.494528000000003,14.938957000000002,15.648397000000003,16.220616000000003,16.357550000000003,17.298376000000005,17.939693000000005,18.172421000000007,18.498100000000008,18.676244000000008,19.187380000000008,19.630309000000008,19.832918000000006,20.014534000000005,20.268854000000005,20.750186000000003,21.257116000000003,21.621365000000004,21.962300000000006,22.263553000000005,22.623741000000006,23.262466000000007,23.458564000000006
51-2804720,,,,0,0.349901,0.65933,1.329429,1.644017,2.2503450000000003,2.6757980000000003,2.998667,3.729362,4.14471,4.696442,5.239737,5.790964,6.585865999999999,6.899665,7.037764,8.254411000000001,8.793939000000002,9.160130000000002,9.616935000000002,9.978944000000002,10.923920000000003,11.810082000000003,12.096342000000003,13.087809000000004,13.532238000000003,14.241678000000004,14.813897000000004,14.950831000000004,15.891657000000004,16.532974000000003,16.765702000000005,17.091381000000005,17.269525000000005,17.780661000000006,18.223590000000005,18.426199000000004,18.607815000000002,18.862135000000002,19.343467,19.850397,20.214646000000002,20.555581000000004,20.856834000000003,21.217022000000004,21.855747000000004,22.051845000000004
52-2806360,,,,,0,0.309429,0.979528,1.294116,1.900444,2.325897,2.6487659999999997,3.3794609999999996,3.7948089999999994,4.346540999999999,4.889835999999999,5.441062999999999,6.235964999999998,6.549763999999999,6.687862999999999,7.904509999999999,8.444037999999999,8.810229,9.267033999999999,9.629043,10.574019,11.460181,11.746441,12.737908000000001,13.182337,13.891777000000001,14.463996000000002,14.600930000000002,15.541756000000001,16.183073,16.415801000000002,16.741480000000003,16.919624000000002,17.430760000000003,17.873689000000002,18.076298,18.257914,18.512234,18.993565999999998,19.500496,19.864745,20.20568,20.506933,20.867121,21.505846000000002,21.701944
53-2803869,,,,,,0,0.670099,0.9846870000000001,1.591015,2.016468,2.339337,3.070032,3.4853799999999997,4.037112,4.580406999999999,5.131633999999999,5.926535999999999,6.240334999999999,6.3784339999999995,7.5950809999999995,8.134609,8.5008,8.957605,9.319614,10.26459,11.150752,11.437012000000001,12.428479000000001,12.872908,13.582348000000001,14.154567000000002,14.291501000000002,15.232327000000002,15.873644000000002,16.106372000000004,16.432051000000005,16.610195000000004,17.121331000000005,17.564260000000004,17.766869000000003,17.948485000000005,18.202805000000005,18.684137000000003,19.191067000000004,19.555316000000005,19.896251000000007,20.197504000000006,20.557692000000007,21.196417000000007,21.392515000000007
54-2803971,,,,,,,0,0.31458800000000003,0.9209160000000001,1.3463690000000001,1.6692380000000002,2.3999330000000003,2.815281,3.367013,3.910308,4.4615350000000005,5.256437,5.570236,5.708335000000001,6.924982000000001,7.464510000000001,7.830701,8.287506,8.649515000000001,9.594491000000001,10.480653000000002,10.766913000000002,11.758380000000002,12.202809000000002,12.912249000000003,13.484468000000003,13.621402000000003,14.562228000000003,15.203545000000004,15.436273000000003,15.761952000000003,15.940096000000002,16.451232,16.894161,17.09677,17.278385999999998,17.532705999999997,18.014037999999996,18.520967999999996,18.885216999999997,19.226152,19.527404999999998,19.887593,20.526318,20.722416
55-2803970,,,,,,,,0,0.606328,1.031781,1.3546500000000001,2.0853450000000002,2.500693,3.052425,3.59572,4.146947,4.9418489999999995,5.255648,5.393747,6.610394,7.149922,7.516113,7.972918,8.334927,9.279903000000001,10.166065000000001,10.452325000000002,11.443792000000002,11.888221000000001,12.597661000000002,13.169880000000003,13.306814000000003,14.247640000000002,14.888957000000003,15.121685000000003,15.447364000000002,15.625508000000002,16.136644,16.579573,16.782182,16.963797999999997,17.218117999999997,17.699449999999995,18.206379999999996,18.570628999999997,18.911564,19.212816999999998,19.573005,20.21173,20.407828
56-2803968,,,,,,,,,0,0.42545299999999997,0.7483219999999999,1.4790169999999998,1.8943649999999996,2.4460969999999995,2.9893919999999996,3.5406189999999995,4.335521,4.64932,4.787419000000001,6.004066000000001,6.543594000000001,6.909785,7.36659,7.728599000000001,8.673575000000001,9.559737000000002,9.845997000000002,10.837464000000002,11.281893000000002,11.991333000000003,12.563552000000003,12.700486000000003,13.641312000000003,14.282629000000004,14.515357000000003,14.841036000000003,15.019180000000002,15.530316000000003,15.973245000000002,16.175854,16.35747,16.61179,17.093121999999997,17.600051999999998,17.964301,18.305236,18.606489,18.966677,19.605402,19.8015
57-2803966,,,,,,,,,,0,0.322869,1.053564,1.468912,2.020644,2.563939,3.115166,3.910068,4.223867,4.361966000000001,5.578613000000001,6.1181410000000005,6.484332,6.941137,7.303146,8.248122,9.134284000000001,9.420544000000001,10.412011000000001,10.856440000000001,11.565880000000002,12.138099000000002,12.275033000000002,13.215859000000002,13.857176000000003,14.089904000000002,14.415583000000002,14.593727000000001,15.104863000000002,15.547792000000001,15.750401000000002,15.932017000000002,16.186337,16.667669,17.174599,17.538848,17.879783000000003,18.181036000000002,18.541224000000003,19.179949000000004,19.376047000000003
