순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2804585,21-2804587,22-2804722,23-2804725,24-2807143,25-2807144,26-2804785,27-2806426,28-2804787,29-2804789,30-2804793,31-2800291,32-2807413,33-2800297
1-2800269,0,0.356205,0.924562,1.311193,1.551218,1.715384,1.9771450000000002,2.3670080000000002,2.9146650000000003,3.1204870000000002,3.393638,3.667208,4.354881,5.258456,5.418951,5.969111,6.671404,7.112706,8.291371,8.625003,8.920352,9.37746,9.786980999999999,10.455905,10.789899,11.261038000000001,11.857119,12.870723000000002,13.047682000000002,13.557885000000002,13.951937000000003,14.396908000000003,14.616176000000003
2-2805488,,0,0.568357,0.954988,1.1950129999999999,1.359179,1.62094,2.010803,2.55846,2.764282,3.037433,3.311003,3.9986759999999997,4.902251,5.062746,5.612906,6.315199,6.756501,7.935166000000001,8.268798,8.564147,9.021255,9.430776,10.0997,10.433694000000001,10.904833000000002,11.500914000000002,12.514518000000002,12.691477000000003,13.201680000000003,13.595732000000003,14.040703000000004,14.259971000000004
3-2807373,,,0,0.386631,0.626656,0.790822,1.052583,1.4424460000000001,1.990103,2.195925,2.469076,2.7426459999999997,3.430319,4.333894,4.494389,5.044549,5.746842,6.188144,7.366809,7.700441,7.9957899999999995,8.452898,8.862419,9.531343,9.865337,10.336476000000001,10.932557000000001,11.946161000000002,12.123120000000002,12.633323000000003,13.027375000000003,13.472346000000003,13.691614000000003
4-2800272,,,,0,0.240025,0.40419099999999997,0.665952,1.055815,1.603472,1.809294,2.082445,2.3560149999999997,3.0436879999999995,3.9472629999999995,4.107758,4.657918,5.360211,5.801513,6.980178,7.31381,7.609159,8.066267,8.475788,9.144712,9.478706,9.949845000000002,10.545926000000001,11.559530000000002,11.736489000000002,12.246692000000003,12.640744000000003,13.085715000000004,13.304983000000004
5-2803582,,,,,0,0.164166,0.42592700000000006,0.81579,1.3634469999999999,1.5692689999999998,1.8424199999999997,2.1159899999999996,2.8036629999999994,3.7072379999999994,3.8677329999999994,4.417892999999999,5.1201859999999995,5.561488,6.740152999999999,7.073784999999999,7.369133999999999,7.826241999999999,8.235762999999999,8.904687,9.238681,9.70982,10.305901,11.319505000000001,11.496464000000001,12.006667000000002,12.400719000000002,12.845690000000003,13.064958000000003
6-2803603,,,,,,0,0.261761,0.651624,1.199281,1.405103,1.678254,1.9518239999999998,2.6394969999999995,3.5430719999999996,3.7035669999999996,4.253727,4.95602,5.397322,6.575987,6.909618999999999,7.204967999999999,7.662075999999999,8.071596999999999,8.740521,9.074515,9.545654,10.141735,11.155339000000001,11.332298000000002,11.842501000000002,12.236553000000002,12.681524000000003,12.900792000000003
7-2803602,,,,,,,0,0.389863,0.9375199999999999,1.1433419999999999,1.416493,1.6900629999999999,2.3777359999999996,3.2813109999999996,3.4418059999999997,3.9919659999999997,4.694259,5.135561,6.314226,6.647857999999999,6.943206999999999,7.400314999999999,7.809835999999999,8.47876,8.812754,9.283893,9.879974,10.893578000000002,11.070537000000002,11.580740000000002,11.974792000000003,12.419763000000003,12.639031000000003
8-2800274,,,,,,,,0,0.547657,0.7534789999999999,1.02663,1.3001999999999998,1.9878729999999998,2.8914479999999996,3.0519429999999996,3.6021029999999996,4.304396,4.745698,5.924363,6.257994999999999,6.553343999999999,7.010451999999999,7.419972999999999,8.088897,8.422891,8.89403,9.490111,10.503715000000001,10.680674000000002,11.190877000000002,11.584929000000002,12.029900000000003,12.249168000000003
9-2803847,,,,,,,,,0,0.20582199999999998,0.478973,0.752543,1.440216,2.343791,2.504286,3.054446,3.756739,4.198041,5.376706,5.710338,6.005687,6.462795,6.872316,7.541239999999999,7.875233999999999,8.346373,8.942454,9.956058,10.133017,10.643220000000001,11.037272000000002,11.482243000000002,11.701511000000002
10-2803599,,,,,,,,,,0,0.27315100000000003,0.546721,1.234394,2.137969,2.298464,2.848624,3.550917,3.992219,5.170884,5.504516,5.799865,6.2569729999999995,6.666493999999999,7.335417999999999,7.669411999999999,8.140550999999999,8.736631999999998,9.750236,9.927195,10.437398,10.83145,11.276421000000001,11.495689
