순번_정류장ID,1-2800900,2-2805288,3-2800898,4-2805292,5-2805297,6-2800888,7-2800823,8-2800868,9-2805867,10-2805868,11-2805870,12-2805864,13-2800847,14-2800877,15-2800822,16-2805940,17-2800875,18-2800924,19-2800926,20-2800933,21-2800939,22-2800842,23-2800989,24-2800979,25-2800990,26-2801012,27-2801023,28-2801040,29-2801058,30-2801268,31-2801277,32-2801161,33-2801158,34-2801391,35-2801386,36-2801380,37-2800209,38-2800204,39-2800201,40-2800197,41-2800199,42-2800207,43-2800212,44-2800218,45-2800219,46-2800223,47-2800231,48-2806090
1-2800900,0,0.392453,0.796573,1.275367,2.245585,2.8537470000000003,4.2342450000000005,4.465317000000001,4.6241080000000006,5.480748,5.69825,5.919976999999999,6.152502999999999,6.361999999999999,6.692254999999999,7.014753,7.2197569999999995,7.497682999999999,8.109634,8.481493,8.708009,9.328411000000001,9.772827000000001,10.184536000000001,10.495453000000001,10.794245000000002,11.033127000000002,11.399485000000002,11.899933000000003,12.873893000000002,13.045838000000003,13.543243000000004,13.964107000000004,14.509121000000004,14.752050000000004,14.981853000000005,15.533423000000004,16.184764000000005,16.416345000000003,17.068936000000004,17.465231000000003,17.686320000000002,18.080455,18.316226,18.439059,18.732504,19.007535999999998,19.797755
2-2805288,,0,0.40412,0.882914,1.853132,2.461294,3.841792,4.072864,4.231655,5.088295,5.305796999999999,5.527524,5.76005,5.9695469999999995,6.299802,6.6223,6.827304,7.10523,7.717181,8.08904,8.315556,8.935958000000001,9.380374000000002,9.792083000000002,10.103000000000002,10.401792000000002,10.640674000000002,11.007032000000002,11.507480000000003,12.481440000000003,12.653385000000004,13.150790000000004,13.571654000000004,14.116668000000004,14.359597000000004,14.589400000000005,15.140970000000005,15.792311000000005,16.023892000000004,16.676483000000005,17.072778000000003,17.293867000000002,17.688002,17.923773,18.046606,18.340051,18.615083,19.405302
3-2800898,,,0,0.47879399999999994,1.449012,2.057174,3.437672,3.6687440000000002,3.827535,4.684175,4.901676999999999,5.123403999999999,5.355929999999999,5.565426999999999,5.895681999999999,6.218179999999999,6.423183999999999,6.701109999999999,7.313060999999999,7.684919999999999,7.911435999999999,8.531837999999999,8.976253999999999,9.387963,9.698879999999999,9.997672,10.236554,10.602912,11.10336,12.07732,12.249265000000001,12.746670000000002,13.167534000000002,13.712548000000002,13.955477000000002,14.185280000000002,14.736850000000002,15.388191000000003,15.619772000000003,16.272363000000002,16.668658,16.889747,17.283882,17.519652999999998,17.642485999999998,17.935930999999997,18.210962999999996,19.001181999999996
4-2805292,,,,0,0.970218,1.5783800000000001,2.9588780000000003,3.1899500000000005,3.3487410000000004,4.205381,4.422883,4.64461,4.877136,5.086633,5.416888,5.7393860000000005,5.94439,6.222316,6.8342670000000005,7.206126,7.432642,8.053044,8.49746,8.909169,9.220086,9.518878,9.757760000000001,10.124118000000001,10.624566000000002,11.598526000000001,11.770471,12.267876000000001,12.688740000000001,13.233754000000001,13.476683000000001,13.706486000000002,14.258056000000002,14.909397000000002,15.140978000000002,15.793569000000002,16.189864,16.410953,16.805087999999998,17.040858999999998,17.163691999999998,17.457136999999996,17.732168999999995,18.522387999999996
5-2805297,,,,,0,0.608162,1.9886599999999999,2.219732,2.378523,3.235163,3.452665,3.674392,3.906918,4.116415,4.44667,4.7691680000000005,4.974172,5.252098,5.8640490000000005,6.235908,6.462424,7.082826000000001,7.527242000000001,7.938951000000001,8.249868000000001,8.548660000000002,8.787542000000002,9.153900000000002,9.654348000000002,10.628308000000002,10.800253000000001,11.297658000000002,11.718522000000002,12.263536000000002,12.506465000000002,12.736268000000003,13.287838000000002,13.939179000000003,14.170760000000003,14.823351000000002,15.219646000000003,15.440735000000002,15.834870000000002,16.070641000000002,16.193474000000002,16.486919,16.761951,17.55217
6-2800888,,,,,,0,1.380498,1.61157,1.7703609999999999,2.627001,2.844503,3.06623,3.298756,3.508253,3.838508,4.161006,4.36601,4.643936,5.255887,5.627746,5.854262,6.474664000000001,6.919080000000001,7.330789000000001,7.641706000000001,7.940498000000001,8.17938,8.545738,9.046186,10.020146,10.192091000000001,10.689496000000002,11.110360000000002,11.655374000000002,11.898303000000002,12.128106000000002,12.679676000000002,13.331017000000003,13.562598000000003,14.215189000000002,14.611484000000003,14.832573000000002,15.226708000000002,15.462479000000002,15.585312000000002,15.878757000000002,16.153789000000003,16.944008000000004
7-2800823,,,,,,,0,0.23107199999999997,0.38986299999999996,1.246503,1.464005,1.685732,1.918258,2.127755,2.4580100000000003,2.780508,2.9855120000000004,3.2634380000000003,3.875389,4.247248,4.473764,5.094166,5.538582000000001,5.950291000000001,6.261208000000001,6.5600000000000005,6.798882000000001,7.165240000000001,7.665688000000001,8.639648000000001,8.811593000000002,9.308998000000003,9.729862000000002,10.274876000000003,10.517805000000003,10.747608000000003,11.299178000000003,11.950519000000003,12.182100000000004,12.834691000000003,13.230986000000003,13.452075000000002,13.846210000000003,14.081981000000003,14.204814000000002,14.498259000000003,14.773291000000002,15.563510000000003
8-2800868,,,,,,,,0,0.15879100000000002,1.015431,1.232933,1.45466,1.687186,1.8966830000000001,2.226938,2.549436,2.75444,3.032366,3.644317,4.016176,4.242692,4.863094,5.307510000000001,5.719219000000001,6.030136000000001,6.328928,6.567810000000001,6.9341680000000006,7.434616,8.408576,8.580521000000001,9.077926000000001,9.498790000000001,10.043804000000002,10.286733000000002,10.516536000000002,11.068106000000002,11.719447000000002,11.951028000000003,12.603619000000002,12.999914000000002,13.221003000000001,13.615138000000002,13.850909000000001,13.973742000000001,14.267187000000002,14.542219000000001,15.332438000000002
9-2805867,,,,,,,,,0,0.85664,1.074142,1.295869,1.528395,1.737892,2.068147,2.390645,2.5956490000000003,2.873575,3.485526,3.8573850000000003,4.083901,4.704303,5.148719000000001,5.560428000000001,5.871345000000001,6.170137,6.409019000000001,6.775377000000001,7.275825000000001,8.249785000000001,8.42173,8.919135,9.339999,9.885013,10.127942000000001,10.357745000000001,10.909315000000001,11.560656000000002,11.792237000000002,12.444828000000001,12.841123000000001,13.062212,13.456347000000001,13.692118,13.814951,14.108396,14.383428,15.173647
10-2805868,,,,,,,,,,0,0.217502,0.439229,0.671755,0.8812519999999999,1.211507,1.5340049999999998,1.7390089999999998,2.0169349999999997,2.6288859999999996,3.0007449999999998,3.227261,3.847663,4.292079,4.703788,5.014705,5.313497,5.552379,5.918737,6.419185000000001,7.3931450000000005,7.5650900000000005,8.062495,8.483359,9.028373,9.271302,9.501105,10.052675,10.704016000000001,10.935597000000001,11.588188,11.984483,12.205572,12.599707,12.835478,12.958311,13.251756,13.526788,14.317007
11-2805870,,,,,,,,,,,0,0.221727,0.454253,0.6637500000000001,0.994005,1.316503,1.521507,1.799433,2.411384,2.783243,3.0097590000000003,3.630161,4.074577000000001,4.486286000000001,4.7972030000000006,5.095995,5.3348770000000005,5.7012350000000005,6.201683000000001,7.175643000000001,7.347588000000001,7.8449930000000005,8.265857,8.810871,9.0538,9.283603000000001,9.835173000000001,10.486514000000001,10.718095000000002,11.370686000000001,11.766981000000001,11.98807,12.382205,12.617976,12.740809,13.034254,13.309286,14.099505
12-2805864,,,,,,,,,,,,0,0.232526,0.442023,0.772278,1.094776,1.29978,1.577706,2.189657,2.561516,2.7880320000000003,3.408434,3.85285,4.264559,4.575476,4.874268,5.11315,5.479508,5.979956,6.9539159999999995,7.125861,7.623265999999999,8.04413,8.589144,8.832073,9.061876,9.613446,10.264787,10.496368,11.148959,11.545254,11.766342999999999,12.160478,12.396249,12.519082,12.812527,13.087558999999999,13.877778
13-2800847,,,,,,,,,,,,,0,0.209497,0.539752,0.86225,1.067254,1.34518,1.957131,2.32899,2.5555060000000003,3.175908,3.620324,4.032033,4.34295,4.641742,4.880624,5.246982,5.74743,6.7213899999999995,6.8933349999999995,7.390739999999999,7.811603999999999,8.356618,8.599547,8.82935,9.38092,10.032261,10.263842,10.916433,11.312728,11.533816999999999,11.927952,12.163723,12.286556,12.580001,12.855032999999999,13.645252
14-2800877,,,,,,,,,,,,,,0,0.330255,0.652753,0.857757,1.135683,1.7476340000000001,2.1194930000000003,2.3460090000000005,2.9664110000000004,3.4108270000000003,3.8225360000000004,4.133453,4.432245,4.671127,5.037485,5.537933000000001,6.511893000000001,6.683838000000001,7.181243,7.602107,8.147121,8.39005,8.619853,9.171423,9.822764000000001,10.054345000000001,10.706936,11.103231000000001,11.32432,11.718455,11.954226,12.077059,12.370504,12.645536,13.435755
15-2800822,,,,,,,,,,,,,,,0,0.322498,0.527502,0.805428,1.417379,1.7892379999999999,2.015754,2.6361559999999997,3.0805719999999996,3.4922809999999997,3.8031979999999996,4.10199,4.340872,4.70723,5.207678,6.1816379999999995,6.3535829999999995,6.850987999999999,7.271851999999999,7.816865999999999,8.059795,8.289598,8.841168,9.492509,9.72409,10.376681,10.772976,10.994064999999999,11.3882,11.623971,11.746804,12.040249,12.315280999999999,13.1055
16-2805940,,,,,,,,,,,,,,,,0,0.205004,0.48292999999999997,1.094881,1.46674,1.6932559999999999,2.3136579999999998,2.7580739999999997,3.169783,3.4806999999999997,3.779492,4.018374,4.384732,4.88518,5.85914,6.031085,6.52849,6.949354,7.494368,7.737297,7.9671,8.51867,9.170011,9.401592,10.054183,10.450478,10.671567,11.065702,11.301473,11.424306,11.717751,11.992783,12.783002
17-2800875,,,,,,,,,,,,,,,,,0,0.277926,0.889877,1.261736,1.488252,2.108654,2.55307,2.964779,3.275696,3.574488,3.81337,4.179728,4.6801759999999994,5.654135999999999,5.826080999999999,6.323485999999999,6.744349999999999,7.289363999999999,7.532292999999999,7.762096,8.313666,8.965007,9.196588,9.849179,10.245474,10.466562999999999,10.860698,11.096468999999999,11.219301999999999,11.512747,11.787778999999999,12.577998
18-2800924,,,,,,,,,,,,,,,,,,0,0.611951,0.9838100000000001,1.210326,1.8307280000000001,2.275144,2.686853,2.99777,3.296562,3.535444,3.901802,4.40225,5.37621,5.548155,6.04556,6.466424,7.011438,7.254367,7.484170000000001,8.03574,8.687081000000001,8.918662000000001,9.571253,9.967548,10.188637,10.582772,10.818543,10.941376,11.234821,11.509853,12.300072
19-2800926,,,,,,,,,,,,,,,,,,,0,0.371859,0.598375,1.218777,1.663193,2.074902,2.3858189999999997,2.684611,2.9234929999999997,3.2898509999999996,3.7902989999999996,4.764259,4.936204,5.433609,5.854473,6.399487,6.642416,6.872219,7.423789,8.07513,8.306711,8.959302,9.355597,9.576685999999999,9.970820999999999,10.206591999999999,10.329424999999999,10.622869999999999,10.897901999999998,11.688120999999999
20-2800933,,,,,,,,,,,,,,,,,,,,0,0.226516,0.8469180000000001,1.291334,1.703043,2.01396,2.312752,2.551634,2.917992,3.41844,4.3924,4.564345,5.06175,5.482614,6.027628,6.270557,6.500360000000001,7.0519300000000005,7.703271000000001,7.934852000000001,8.587443,8.983738,9.204827,9.598962,9.834733,9.957566,10.251011,10.526043,11.316262
