순번_정류장ID,49-2800225,50-2800222,51-2800221,52-2800216,53-2800211,54-2800206,55-2800200,56-2800195,57-2800198,58-2800203,59-2800208,60-2801378,61-2801385,62-2801389,63-2801160,64-2801330,65-2801287,66-2801270,67-2801057,68-2801043,69-2801024,70-2801015,71-2801008,72-2800986,73-2800980,74-2800988,75-2800971,76-2800941,77-2800927,78-2800925,79-2800923,80-2800874,81-2805941,82-2800821,83-2800876,84-2800846,85-2805865,86-2805871,87-2805869,88-2805866,89-2800867,90-2800824,91-2806788,92-2800889,93-2805296,94-2805295,95-2800899,96-2805370
49-2800225,0,0.183837,0.44802,0.779577,1.1774339999999999,1.4249249999999998,1.7667359999999999,2.30689,2.612378,3.30434,3.8504329999999998,4.1096449999999995,4.322717,4.5851239999999995,5.10002,5.531492999999999,5.925854999999999,6.937766,7.34711,7.736003,7.9445570000000005,8.178006,8.445713,8.726227,9.065528,9.517574,10.123702,10.51134,10.762829,11.353161,11.620303,11.836638,12.12554,12.482000000000001,12.703674000000001,12.923280000000002,13.171659000000002,13.367963000000001,14.157236000000001,14.384029000000002,14.591386000000002,15.061962000000001,16.018441000000003,16.608823,17.632253000000002,17.951914000000002,18.360470000000003,18.830829
50-2800222,,0,0.264183,0.5957399999999999,0.993597,1.241088,1.582899,2.123053,2.428541,3.1205030000000002,3.666596,3.925808,4.13888,4.401287,4.916183,5.347656,5.742018,6.753928999999999,7.163272999999999,7.552166,7.76072,7.994169,8.261876,8.542390000000001,8.881691000000002,9.333737000000001,9.939865000000001,10.327503000000002,10.578992000000001,11.169324000000001,11.436466000000001,11.652801000000002,11.941703000000002,12.298163000000002,12.519837000000003,12.739443000000003,12.987822000000003,13.184126000000003,13.973399000000002,14.200192000000003,14.407549000000003,14.878125000000002,15.834604000000002,16.424986000000004,17.448416000000005,17.768077000000005,18.176633000000006,18.646992000000004
51-2800221,,,0,0.331557,0.729414,0.976905,1.318716,1.85887,2.164358,2.85632,3.402413,3.661625,3.874697,4.137104,4.652,5.083473,5.477835,6.489746,6.89909,7.2879830000000005,7.496537000000001,7.729986000000001,7.997693000000001,8.278207,8.617508,9.069554,9.675682,10.063320000000001,10.314809,10.905141,11.172283,11.388618000000001,11.677520000000001,12.033980000000001,12.255654000000002,12.475260000000002,12.723639000000002,12.919943000000002,13.709216000000001,13.936009000000002,14.143366000000002,14.613942000000002,15.570421000000001,16.160803,17.184233000000003,17.503894000000003,17.912450000000003,18.382809
52-2800216,,,,0,0.397857,0.645348,0.9871590000000001,1.5273130000000001,1.8328010000000001,2.524763,3.070856,3.330068,3.5431399999999997,3.805547,4.320443,4.751916,5.146278,6.158189,6.567533,6.956426,7.164980000000001,7.398429000000001,7.666136000000001,7.946650000000001,8.285951,8.737997,9.344125,9.731763,9.983252,10.573584,10.840726,11.057061000000001,11.345963000000001,11.702423000000001,11.924097000000002,12.143703000000002,12.392082000000002,12.588386000000002,13.377659000000001,13.604452000000002,13.811809000000002,14.282385000000001,15.238864000000001,15.829246000000001,16.852676000000002,17.172337000000002,17.580893000000003,18.051252
53-2800211,,,,,0,0.247491,0.589302,1.129456,1.434944,2.126906,2.672999,2.9322109999999997,3.1452829999999996,3.4076899999999997,3.922586,4.3540589999999995,4.748421,5.760332,6.169676,6.558569,6.767123000000001,7.000572000000001,7.268279000000001,7.548793000000001,7.888094000000001,8.34014,8.946268,9.333906,9.585395,10.175727,10.442869,10.659204,10.948106000000001,11.304566000000001,11.526240000000001,11.745846000000002,11.994225000000002,12.190529000000002,12.979802000000001,13.206595000000002,13.413952000000002,13.884528000000001,14.841007000000001,15.431389000000001,16.454819,16.77448,17.183036,17.653395
54-2800206,,,,,,0,0.34181100000000003,0.8819650000000001,1.187453,1.879415,2.425508,2.6847200000000004,2.8977920000000004,3.1601990000000004,3.6750950000000007,4.106568,4.50093,5.512841,5.922185,6.311078,6.5196320000000005,6.753081000000001,7.0207880000000005,7.301302000000001,7.6406030000000005,8.092649,8.698777,9.086415,9.337904,9.928236,10.195378,10.411713,10.700615,11.057075000000001,11.278749000000001,11.498355000000002,11.746734000000002,11.943038000000001,12.732311000000001,12.959104000000002,13.166461000000002,13.637037000000001,14.593516000000001,15.183898000000001,16.207328,16.526989,16.935545,17.405904
55-2800200,,,,,,,0,0.540154,0.845642,1.537604,2.083697,2.3429089999999997,2.5559809999999996,2.8183879999999997,3.333284,3.764757,4.159119,5.17103,5.580374,5.969267,6.177821000000001,6.411270000000001,6.678977000000001,6.959491000000001,7.298792000000001,7.750838000000001,8.356966,8.744604,8.996093,9.586425,9.853567,10.069902,10.358804000000001,10.715264000000001,10.936938000000001,11.156544000000002,11.404923000000002,11.601227000000002,12.390500000000001,12.617293000000002,12.824650000000002,13.295226000000001,14.251705000000001,14.842087000000001,15.865517,16.185178,16.593734,17.064093
56-2800195,,,,,,,,0,0.30548800000000004,0.99745,1.543543,1.802755,2.0158270000000003,2.2782340000000003,2.7931300000000006,3.2246030000000006,3.6189650000000007,4.630876000000001,5.040220000000001,5.429113000000001,5.637667000000001,5.8711160000000016,6.138823000000001,6.419337000000001,6.758638000000001,7.210684000000001,7.816812000000001,8.204450000000001,8.455939,9.046271,9.313413,9.529748000000001,9.818650000000002,10.175110000000002,10.396784000000002,10.616390000000003,10.864769000000003,11.061073000000002,11.850346000000002,12.077139000000003,12.284496000000003,12.755072000000002,13.711551000000002,14.301933000000002,15.325363000000001,15.645024000000001,16.05358,16.523939
57-2800198,,,,,,,,,0,0.691962,1.2380550000000001,1.4972670000000001,1.710339,1.972746,2.487642,2.919115,3.3134770000000002,4.325388,4.734732,5.1236250000000005,5.332179000000001,5.565628000000001,5.833335000000001,6.113849000000001,6.453150000000001,6.905196000000001,7.511324000000001,7.898962000000001,8.150451,8.740783,9.007925,9.224260000000001,9.513162000000001,9.869622000000001,10.091296000000002,10.310902000000002,10.559281000000002,10.755585000000002,11.544858000000001,11.771651000000002,11.979008000000002,12.449584000000002,13.406063000000001,13.996445000000001,15.019875,15.339536,15.748092000000002,16.218451
58-2800203,,,,,,,,,,0,0.546093,0.805305,1.018377,1.2807840000000001,1.7956800000000002,2.227153,2.621515,3.633426,4.04277,4.431663,4.640217000000001,4.873666000000001,5.141373000000001,5.421887000000001,5.761188000000001,6.213234000000001,6.819362000000001,7.207000000000001,7.458489000000001,8.048821,8.315963,8.532298,8.821200000000001,9.177660000000001,9.399334000000001,9.618940000000002,9.867319000000002,10.063623000000002,10.852896000000001,11.079689000000002,11.287046000000002,11.757622000000001,12.714101000000001,13.304483000000001,14.327913,14.647574,15.056130000000001,15.526489000000002
59-2800208,,,,,,,,,,,0,0.259212,0.472284,0.734691,1.249587,1.68106,2.075422,3.087333,3.496677,3.88557,4.094124,4.327573,4.59528,4.875794,5.215095,5.667141,6.273269,6.660907,6.912396,7.502728,7.76987,7.986205,8.275107,8.631567,8.853241,9.072847000000001,9.321226000000001,9.51753,10.306803,10.533596000000001,10.740953000000001,11.211529,12.168008,12.75839,13.78182,14.101481,14.510037,14.980396
60-2801378,,,,,,,,,,,,0,0.21307199999999998,0.475479,0.990375,1.421848,1.8162099999999999,2.828121,3.237465,3.6263579999999997,3.8349119999999997,4.0683609999999994,4.336067999999999,4.616581999999999,4.955882999999999,5.407928999999999,6.014056999999999,6.401694999999999,6.6531839999999995,7.243516,7.510657999999999,7.726992999999999,8.015894999999999,8.372354999999999,8.594028999999999,8.813635,9.062014,9.258318,10.047590999999999,10.274384,10.481741,10.952316999999999,11.908795999999999,12.499177999999999,13.522607999999998,13.842268999999998,14.250824999999999,14.721184
61-2801385,,,,,,,,,,,,,0,0.262407,0.7773030000000001,1.208776,1.603138,2.615049,3.024393,3.413286,3.6218399999999997,3.8552889999999995,4.122996,4.40351,4.742811,5.194857,5.800985,6.188623,6.440112,7.030444,7.297586,7.513921,7.802823,8.159283,8.380957,8.600563000000001,8.848942000000001,9.045246,9.834519,10.061312000000001,10.268669000000001,10.739245,11.695724,12.286106,13.309536,13.629197,14.037753,14.508112
62-2801389,,,,,,,,,,,,,,0,0.514896,0.946369,1.340731,2.352642,2.761986,3.1508789999999998,3.3594329999999997,3.5928819999999995,3.8605889999999996,4.141102999999999,4.480403999999999,4.932449999999999,5.538577999999999,5.926215999999999,6.177705,6.768037,7.035178999999999,7.251513999999999,7.540416,7.896876,8.118549999999999,8.338156,8.586535,8.782839,9.572111999999999,9.798905,10.006262,10.476837999999999,11.433316999999999,12.023698999999999,13.047128999999998,13.366789999999998,13.775345999999999,14.245705
63-2801160,,,,,,,,,,,,,,,0,0.43147299999999994,0.8258349999999999,1.8377459999999999,2.24709,2.635983,2.844537,3.0779859999999997,3.345693,3.626207,3.965508,4.417554,5.023682,5.41132,5.662809,6.253141,6.520283,6.736618,7.02552,7.38198,7.603654000000001,7.82326,8.071639000000001,8.267943,9.057216,9.284009000000001,9.491366000000001,9.961942,10.918421,11.508803,12.532233,12.851894,13.26045,13.730809
