순번_정류장ID,1-2807273,2-2800328,3-2800630,4-2807080,5-2807078,6-2806214,7-2806242,8-2806244,9-2801157,10-2801151,11-2801145,12-2806923,13-2801128,14-2801120,15-2800852,16-2800845,17-2800854,18-2801087,19-2801055,20-2801043,21-2801024,22-2801003,23-2800969,24-2800959,25-2800941,26-2800927,27-2800925,28-2800923,29-2800874,30-2805941,31-2800821,32-2800876,33-2800846,34-2807334,35-2804991,36-2800830,37-2800828,38-2803432,39-2803438,40-2803451,41-2803453,42-2803433
1-2807273,0,0.30878,0.850511,1.198458,2.0362489999999998,2.6360719999999995,2.9456899999999995,3.7413149999999993,4.424687,4.923258,5.2245539999999995,5.550837,5.736037,5.963006999999999,6.134666999999999,6.490342999999999,7.005516999999999,7.734687999999999,8.265623,8.654516,9.016876,9.496415,9.682517,10.349217000000001,10.736855000000002,10.988344000000001,11.578676000000002,11.845818000000001,12.062153000000002,12.351055000000002,12.707515000000003,12.929189000000003,13.209053000000003,13.722786000000003,16.905893000000003,17.255088000000004,19.565153000000006,19.984786000000007,21.205198000000006,22.975514000000008,24.17110300000001,25.334395000000008
2-2800328,,0,0.5417310000000001,0.8896780000000001,1.7274690000000001,2.327292,2.63691,3.4325349999999997,4.115907,4.614478,4.915774,5.242057,5.427257,5.654227,5.825887,6.181563,6.696737,7.425908,7.956843,8.345736,8.708096000000001,9.187635000000002,9.373737000000002,10.040437000000002,10.428075000000003,10.679564000000003,11.269896000000003,11.537038000000003,11.753373000000003,12.042275000000004,12.398735000000004,12.620409000000004,12.900273000000004,13.414006000000004,16.597113000000004,16.946308000000005,19.256373000000007,19.676006000000008,20.896418000000008,22.66673400000001,23.86232300000001,25.02561500000001
3-2800630,,,0,0.347947,1.185738,1.785561,2.095179,2.890804,3.574176,4.072747,4.3740429999999995,4.700326,4.885526,5.112495999999999,5.284155999999999,5.639831999999999,6.155005999999999,6.884176999999999,7.415112,7.804005,8.166365,8.645904000000002,8.832006000000002,9.498706000000002,9.886344000000003,10.137833000000002,10.728165000000002,10.995307000000002,11.211642000000003,11.500544000000003,11.857004000000003,12.078678000000004,12.358542000000003,12.872275000000004,16.055382000000005,16.404577000000007,18.71464200000001,19.13427500000001,20.35468700000001,22.12500300000001,23.320592000000012,24.48388400000001
4-2807080,,,,0,0.837791,1.437614,1.747232,2.5428569999999997,3.2262289999999996,3.7247999999999997,4.026096,4.352379,4.537579,4.764549,4.936209,5.291885,5.807059,6.53623,7.067165,7.4560580000000005,7.818418,8.297957,8.484059,9.150759,9.538397000000002,9.789886000000001,10.380218000000001,10.64736,10.863695000000002,11.152597000000002,11.509057000000002,11.730731000000002,12.010595000000002,12.524328000000002,15.707435000000002,16.056630000000002,18.366695000000004,18.786328000000005,20.006740000000004,21.777056000000005,22.972645000000007,24.135937000000006
5-2807078,,,,,0,0.599823,0.9094409999999999,1.705066,2.388438,2.887009,3.1883049999999997,3.514588,3.699788,3.926758,4.098418,4.4540939999999996,4.969268,5.698439,6.229374,6.618267,6.980627,7.460166,7.646268,8.312968,8.700606,8.952095,9.542427,9.809569,10.025904,10.314806,10.671266000000001,10.892940000000001,11.172804000000001,11.686537000000001,14.869644000000001,15.218839000000001,17.528904,17.948537,19.168949,20.939265000000002,22.134854000000004,23.298146000000003
6-2806214,,,,,,0,0.309618,1.105243,1.788615,2.287186,2.588482,2.914765,3.099965,3.326935,3.4985950000000003,3.8542710000000002,4.369445000000001,5.098616000000001,5.629551000000001,6.0184440000000015,6.380804000000001,6.860343000000001,7.046445000000001,7.713145000000001,8.100783000000002,8.352272000000001,8.942604000000001,9.209746,9.426081000000002,9.714983000000002,10.071443000000002,10.293117000000002,10.572981000000002,11.086714000000002,14.269821000000002,14.619016000000002,16.929081000000004,17.348714000000005,18.569126000000004,20.339442000000005,21.535031000000004,22.698323000000002
7-2806242,,,,,,,0,0.795625,1.4789970000000001,1.9775680000000002,2.2788640000000004,2.6051470000000005,2.7903470000000006,3.0173170000000007,3.188977000000001,3.5446530000000007,4.059827,4.788998,5.319933000000001,5.708826000000001,6.071186000000001,6.550725000000001,6.736827000000001,7.403527,7.791165,8.042654,8.632986,8.900128,9.116463000000001,9.405365000000002,9.761825000000002,9.983499000000002,10.263363000000002,10.777096000000002,13.960203000000002,14.309398000000002,16.619463000000003,17.039096000000004,18.259508000000004,20.029824000000005,21.225413000000003,22.388705
8-2806244,,,,,,,,0,0.683372,1.181943,1.483239,1.8095219999999999,1.9947219999999999,2.221692,2.393352,2.749028,3.264202,3.993373,4.524308,4.913201000000001,5.275561000000001,5.7551000000000005,5.9412020000000005,6.607902,6.99554,7.247029,7.8373610000000005,8.104503000000001,8.320838000000002,8.609740000000002,8.966200000000002,9.187874000000003,9.467738000000002,9.981471000000003,13.164578000000002,13.513773000000002,15.823838000000002,16.243471000000003,17.463883000000003,19.234199000000004,20.429788000000002,21.59308
9-2801157,,,,,,,,,0,0.498571,0.799867,1.12615,1.31135,1.53832,1.7099799999999998,2.0656559999999997,2.5808299999999997,3.3100009999999997,3.8409359999999997,4.229829,4.592188999999999,5.071727999999999,5.257829999999999,5.924529999999999,6.312167999999999,6.563656999999999,7.153988999999999,7.421130999999999,7.637465999999999,7.926367999999999,8.282827999999999,8.504501999999999,8.784365999999999,9.298098999999999,12.481205999999998,12.830400999999998,15.140465999999998,15.560098999999997,16.780510999999997,18.550826999999998,19.746415999999996,20.909707999999995
10-2801151,,,,,,,,,,0,0.301296,0.627579,0.812779,1.039749,1.211409,1.567085,2.082259,2.81143,3.342365,3.731258,4.093618,4.573157,4.759259,5.425959,5.813597,6.065086,6.655418,6.92256,7.138895,7.427797,7.784257,8.005931,8.285795,8.799528,11.982635,12.33183,14.641895,15.061528,16.28194,18.052256,19.247844999999998,20.411136999999997
