순번_정류장ID,1-2805045,2-2805996,3-2803524,4-2803525,5-2803666,6-2805655,7-2802345,8-2802359,9-2803520,10-2807446,11-2807448,12-2807358,13-2806723,14-2807169,15-2807359,16-2806052,17-2807043,18-2805032,19-2805030,20-2805778,21-2805779,22-2806084,23-2806085,24-2806086,25-2806087,26-2805780,27-2807044,28-2805781,29-2805208,30-2803663,31-2802597,32-2802594,33-2802591,34-2802590,35-2802593,36-2802600,37-2804872,38-2806624,39-2805009,40-2805006,41-2806093,42-2806094,43-2805553,44-2806833,45-2805205,46-2807361,47-2806918,48-2804444,49-2805879,50-2807453,51-2807457,52-2806050,53-2806582,54-2807454,55-2806056
1-2805045,0,0.37855500000000003,0.651063,0.9365969999999999,1.4105789999999998,2.149635,2.347709,2.994503,3.451728,4.03901,4.344712,4.558217,5.096739,5.4810870000000005,5.85637,6.141525,6.77527,7.403092,7.859861,8.280831000000001,8.631810000000002,9.103922,9.338999000000001,10.073586,10.323854,10.819355000000002,11.217378000000002,11.475789000000002,11.695303000000003,12.406608000000002,12.907890000000002,13.144800000000002,13.342045000000002,13.543246000000002,13.869298000000002,14.021269000000002,14.441048000000002,14.876057000000003,15.258445000000004,15.566608000000004,16.243239000000003,16.440753000000004,16.617469000000003,16.708150000000003,16.806606000000002,17.291899,17.795663,18.204694,18.857246,19.375277,19.922776,21.10003,21.562484,22.584434,24.073345000000003
2-2805996,,0,0.272508,0.5580419999999999,1.0320239999999998,1.77108,1.969154,2.615948,3.0731729999999997,3.660455,3.966157,4.1796619999999995,4.718184,5.102532,5.477815,5.762969999999999,6.3967149999999995,7.024537,7.481306,7.902276,8.253255,8.725366999999999,8.960443999999999,9.695030999999998,9.945298999999999,10.4408,10.838823,11.097234,11.316748,12.028053,12.529335,12.766245,12.96349,13.164691,13.490743,13.642714,14.062493,14.497502,14.879890000000001,15.188053000000002,15.864684000000002,16.062198000000002,16.238914,16.329595,16.428051,16.913344,17.417108,17.826138999999998,18.478690999999998,18.996722,19.544220999999997,20.721474999999998,21.183929,22.205879,23.69479
3-2803524,,,0,0.285534,0.759516,1.498572,1.696646,2.34344,2.8006650000000004,3.3879470000000005,3.6936490000000006,3.9071540000000007,4.445676000000001,4.830024000000001,5.205307,5.490462,6.124207,6.752029,7.208798,7.629767999999999,7.980746999999999,8.452858999999998,8.687935999999999,9.422522999999998,9.672790999999998,10.168292,10.566315,10.824726,11.04424,11.755545,12.256827,12.493737,12.690982,12.892183,13.218235,13.370206,13.789985,14.224994,14.607382000000001,14.915545000000002,15.592176000000002,15.789690000000002,15.966406000000003,16.057087000000003,16.155543,16.640836,17.1446,17.553631,18.206183,18.724214,19.271713,20.448967,20.911421,21.933371,23.422282000000003
4-2803525,,,,0,0.47398199999999996,1.213038,1.4111120000000001,2.057906,2.5151310000000002,3.1024130000000003,3.4081150000000004,3.6216200000000005,4.1601420000000005,4.544490000000001,4.919773,5.204928,5.838673,6.466495,6.923264,7.344233999999999,7.695212999999999,8.167324999999998,8.402401999999999,9.136988999999998,9.387256999999998,9.882757999999999,10.280781,10.539192,10.758706,11.470011,11.971293,12.208203,12.405448,12.606648999999999,12.932701,13.084672,13.504451,13.93946,14.321848000000001,14.630011000000001,15.306642000000002,15.504156000000002,15.680872000000003,15.771553000000003,15.870009000000003,16.355302000000002,16.859066000000002,17.268097,17.920649,18.43868,18.986179,20.163433,20.625887000000002,21.647837000000003,23.136748000000004
5-2803666,,,,,0,0.739056,0.93713,1.583924,2.041149,2.628431,2.934133,3.147638,3.68616,4.070508,4.445791,4.730945999999999,5.364691,5.992513,6.449282,6.870252,7.2212309999999995,7.693343,7.92842,8.663007,8.913275,9.408776000000001,9.806799000000002,10.065210000000002,10.284724000000002,10.996029000000002,11.497311000000002,11.734221000000002,11.931466000000002,12.132667000000001,12.458719000000002,12.610690000000002,13.030469000000002,13.465478000000003,13.847866000000003,14.156029000000004,14.832660000000004,15.030174000000004,15.206890000000005,15.297571000000005,15.396027000000005,15.881320000000006,16.385084000000006,16.794115000000005,17.446667000000005,17.964698000000006,18.512197000000004,19.689451000000005,20.151905000000006,21.173855000000007,22.66276600000001
6-2805655,,,,,,0,0.198074,0.844868,1.302093,1.8893749999999998,2.195077,2.408582,2.947104,3.331452,3.706735,3.99189,4.625635,5.253457,5.7102260000000005,6.131196,6.482175,6.954287,7.189364,7.923951000000001,8.174219,8.669720000000002,9.067743000000002,9.326154000000002,9.545668000000003,10.256973000000002,10.758255000000002,10.995165000000002,11.192410000000002,11.393611000000002,11.719663000000002,11.871634000000002,12.291413000000002,12.726422000000003,13.108810000000004,13.416973000000004,14.093604000000004,14.291118000000004,14.467834000000005,14.558515000000005,14.656971000000006,15.142264000000006,15.646028000000006,16.055059000000007,16.707611000000007,17.225642000000008,17.773141000000006,18.950395000000007,19.41284900000001,20.43479900000001,21.92371000000001
7-2802345,,,,,,,0,0.646794,1.104019,1.6913010000000002,1.997003,2.210508,2.74903,3.133378,3.508661,3.793816,4.427561,5.055383,5.512152,5.933122,6.284101,6.756213,6.99129,7.7258770000000005,7.976145000000001,8.471646000000002,8.869669000000002,9.128080000000002,9.347594000000003,10.058899000000002,10.560181000000002,10.797091000000002,10.994336000000002,11.195537000000002,11.521589000000002,11.673560000000002,12.093339000000002,12.528348000000003,12.910736000000004,13.218899000000004,13.895530000000004,14.093044000000004,14.269760000000005,14.360441000000005,14.458897000000006,14.944190000000006,15.447954000000006,15.856985000000007,16.50953700000001,17.02756800000001,17.575067000000008,18.75232100000001,19.21477500000001,20.23672500000001,21.725636000000012
8-2802359,,,,,,,,0,0.457225,1.0445069999999999,1.3502089999999998,1.5637139999999998,2.102236,2.486584,2.861867,3.147022,3.780767,4.408589,4.8653580000000005,5.286328,5.637307,6.109419,6.344496,7.079083000000001,7.329351000000001,7.824852000000001,8.222875,8.481286,8.700800000000001,9.412105,9.913387,10.150297,10.347542,10.548743,10.874795,11.026766,11.446545,11.881554000000001,12.263942000000002,12.572105000000002,13.248736000000003,13.446250000000003,13.622966000000003,13.713647000000003,13.812103000000004,14.297396000000004,14.801160000000005,15.210191000000005,15.862743000000005,16.380774000000006,16.928273000000004,18.105527000000006,18.567981000000007,19.589931000000007,21.07884200000001
9-2803520,,,,,,,,,0,0.587282,0.892984,1.106489,1.6450110000000002,2.0293590000000004,2.4046420000000004,2.6897970000000004,3.3235420000000007,3.9513640000000008,4.408133000000001,4.829103000000001,5.1800820000000005,5.652194000000001,5.887271000000001,6.621858000000001,6.8721260000000015,7.3676270000000015,7.765650000000002,8.024061000000001,8.243575000000002,8.954880000000001,9.456162,9.693072,9.890317000000001,10.091518,10.417570000000001,10.569541000000001,10.989320000000001,11.424329000000002,11.806717000000003,12.114880000000003,12.791511000000003,12.989025000000003,13.165741000000004,13.256422000000004,13.354878000000005,13.840171000000005,14.343935000000005,14.752966000000006,15.405518000000006,15.923549000000007,16.471048000000007,17.648302000000008,18.11075600000001,19.13270600000001,20.62161700000001
10-2807446,,,,,,,,,,0,0.305702,0.519207,1.0577290000000001,1.4420770000000003,1.8173600000000003,2.1025150000000004,2.7362600000000006,3.3640820000000007,3.8208510000000007,4.241821000000001,4.5928,5.0649120000000005,5.299989000000001,6.034576000000001,6.284844000000001,6.780345000000001,7.178368000000002,7.436779000000001,7.656293000000002,8.367598000000001,8.86888,9.10579,9.303035000000001,9.504236,9.830288000000001,9.982259,10.402038000000001,10.837047000000002,11.219435000000002,11.527598000000003,12.204229000000003,12.401743000000003,12.578459000000004,12.669140000000004,12.767596000000005,13.252889000000005,13.756653000000005,14.165684000000006,14.818236000000006,15.336267000000007,15.883766000000007,17.061020000000006,17.523474000000007,18.545424000000008,20.03433500000001
11-2807448,,,,,,,,,,,0,0.21350500000000003,0.7520270000000001,1.1363750000000001,1.5116580000000002,1.7968130000000002,2.4305580000000004,3.0583800000000005,3.5151490000000005,3.9361190000000006,4.287098,4.75921,4.994287000000001,5.728874000000001,5.979142000000001,6.474643000000001,6.8726660000000015,7.131077000000001,7.350591000000001,8.061896,8.563178,8.800088,8.997333000000001,9.198534,9.524586000000001,9.676557,10.096336,10.531345000000002,10.913733000000002,11.221896000000003,11.898527000000003,12.096041000000003,12.272757000000004,12.363438000000004,12.461894000000004,12.947187000000005,13.450951000000005,13.859982000000006,14.512534000000006,15.030565000000006,15.578064000000007,16.755318000000006,17.217772000000007,18.239722000000008,19.72863300000001
