순번_정류장ID,1-2801796,2-2801793,3-2801779,4-2801766,5-2801756,6-2801749,7-2801743,8-2801185,9-2801687,10-2801184,11-2801665,12-2801604,13-2801520,14-2801485,15-2801450,16-2801438,17-2805321,18-2801462,19-2804438,20-2803644,21-2803555,22-2800688,23-2805582,24-2800715,25-2800729,26-2807073,27-2807056,28-2800799,29-2800804,30-2803056,31-2802651,32-2802638,33-2803669,34-2803046,35-2803045,36-2803071,37-2803082,38-2803093,39-2803107,40-2803121,41-2803125,42-2803232,43-2803181,44-2803254,45-2803258,46-2803263,47-2806495,48-2802802,49-2802806,50-2802840,51-2802886,52-2802934,53-2802984,54-2803020,55-2802429,56-2802467,57-2802470,58-2802465,59-2802463,60-2802460,61-2802450,62-2802455,63-2802438,64-2803517,65-2802422,66-2802418,67-2802415,68-2802412,69-2802372,70-2802474,71-2802487,72-2802530,73-2802546,74-2802562,75-2802571,76-2802581,77-2804851,78-2802588,79-2806672
1-2801796,0,0.943724,1.177617,1.544937,1.9162080000000001,2.320666,2.651255,3.195947,3.587827,4.059191,4.326875,4.971825,5.505497,5.816505,6.135730000000001,6.5728670000000005,7.171483,7.506888,8.070692,10.122696999999999,10.797965999999999,11.393982,11.597021,11.767112,11.999421,12.614714,13.076082,13.545885,13.781927,14.145688999999999,14.64781,14.866794,15.226841,15.544906000000001,15.670573000000001,15.836125000000001,16.137891,16.540838,16.802401,16.996139,17.647539,18.081446,18.486646,18.817942,19.180664999999998,19.494660999999997,19.848964,20.136060999999998,20.587483999999996,21.115980999999998,21.517878999999997,22.011722999999996,22.281584999999996,22.763424999999994,23.764511999999996,24.292763999999995,24.869665999999995,25.159764999999997,25.357807999999995,25.621886999999994,26.021350999999992,26.36542499999999,26.76200099999999,27.07502699999999,27.733340999999992,28.010208999999993,28.362259999999992,28.72210799999999,29.176519999999993,29.571602999999993,29.790243999999994,30.206414999999993,30.71189199999999,31.035665999999992,31.32917399999999,31.76952199999999,32.42807799999999,32.81200799999999,32.96081799999999
2-2801793,,0,0.233893,0.601213,0.972484,1.376942,1.7075310000000001,2.252223,2.644103,3.1154669999999998,3.383151,4.0281009999999995,4.561773,4.872781,5.192006,5.629143,6.227759,6.5631639999999996,7.126968,9.178973,9.854242,10.450258,10.653297,10.823388,11.055697,11.67099,12.132358,12.602161,12.838203,13.201965,13.704086,13.923070000000001,14.283117,14.601182000000001,14.726849000000001,14.892401000000001,15.194167000000002,15.597114000000001,15.858677000000002,16.052415000000003,16.703815000000002,17.137722000000004,17.542922000000004,17.874218000000003,18.236941,18.550937,18.905240000000003,19.192337000000002,19.64376,20.172257000000002,20.574155,21.067999,21.337861,21.819701,22.820788,23.34904,23.925942,24.216041,24.414084,24.678162999999998,25.077626999999996,25.421700999999995,25.818276999999995,26.131302999999996,26.789616999999996,27.066484999999997,27.418535999999996,27.778383999999996,28.232795999999997,28.627878999999997,28.846519999999998,29.262690999999997,29.768167999999996,30.091941999999996,30.385449999999995,30.825797999999995,31.484353999999996,31.868283999999996,32.01709399999999
3-2801779,,,0,0.36732,0.738591,1.143049,1.473638,2.0183299999999997,2.4102099999999997,2.8815739999999996,3.1492579999999997,3.794208,4.3278799999999995,4.638888,4.958113,5.39525,5.993866,6.329270999999999,6.893075,8.945079999999999,9.620349,10.216365,10.419404,10.589495,10.821804,11.437097,11.898465,12.368268,12.60431,12.968072,13.470193,13.689177,14.049224,14.367289000000001,14.492956000000001,14.658508000000001,14.960274000000002,15.363221000000001,15.624784000000002,15.818522000000002,16.469922,16.903829,17.309029000000002,17.640325,18.003048,18.317044,18.671347,18.958444,19.409867,19.938364,20.340262,20.834106,21.103968,21.585807999999997,22.586895,23.115146999999997,23.692048999999997,23.982148,24.180190999999997,24.444269999999996,24.843733999999994,25.187807999999993,25.584383999999993,25.897409999999994,26.555723999999994,26.832591999999995,27.184642999999994,27.544490999999994,27.998902999999995,28.393985999999995,28.612626999999996,29.028797999999995,29.534274999999994,29.858048999999994,30.151556999999993,30.591904999999993,31.250460999999994,31.634390999999994,31.783200999999995
4-2801766,,,,0,0.371271,0.775729,1.106318,1.6510099999999999,2.04289,2.5142539999999998,2.781938,3.426888,3.96056,4.271568,4.590793000000001,5.0279300000000005,5.626546,5.961951,6.525755,8.57776,9.253029,9.849045,10.052084,10.222175,10.454484,11.069777,11.531145,12.000948000000001,12.23699,12.600752,13.102873,13.321857000000001,13.681904000000001,13.999969000000002,14.125636000000002,14.291188000000002,14.592954000000002,14.995901000000002,15.257464000000002,15.451202000000002,16.102602,16.536509000000002,16.941709000000003,17.273005,17.635728,17.949724,18.304027,18.591124,19.042547,19.571044,19.972942,20.466786,20.736648,21.218487999999997,22.219575,22.747826999999997,23.324728999999998,23.614828,23.812870999999998,24.076949999999997,24.476413999999995,24.820487999999994,25.217063999999993,25.530089999999994,26.188403999999995,26.465271999999995,26.817322999999995,27.177170999999994,27.631582999999996,28.026665999999995,28.245306999999997,28.661477999999995,29.166954999999994,29.490728999999995,29.784236999999994,30.224584999999994,30.883140999999995,31.267070999999994,31.415880999999995
5-2801756,,,,,0,0.404458,0.735047,1.279739,1.671619,2.142983,2.410667,3.0556170000000002,3.5892890000000004,3.9002970000000006,4.219522,4.656659,5.255275,5.59068,6.154484,8.206489,8.881758,9.477774,9.680813,9.850904,10.083213,10.698506,11.159874,11.629677000000001,11.865719,12.229481,12.731602,12.950586000000001,13.310633000000001,13.628698000000002,13.754365000000002,13.919917000000002,14.221683000000002,14.624630000000002,14.886193000000002,15.079931000000002,15.731331000000003,16.165238000000002,16.570438000000003,16.901734,17.264457,17.578453,17.932756,18.219853,18.671276,19.199773,19.601671,20.095515,20.365377,20.847216999999997,21.848304,22.376555999999997,22.953457999999998,23.243557,23.441599999999998,23.705678999999996,24.105142999999995,24.449216999999994,24.845792999999993,25.158818999999994,25.817132999999995,26.094000999999995,26.446051999999995,26.805899999999994,27.260311999999995,27.655394999999995,27.874035999999997,28.290206999999995,28.795683999999994,29.119457999999995,29.412965999999994,29.853313999999994,30.511869999999995,30.895799999999994,31.044609999999995
6-2801749,,,,,,0,0.33058899999999997,0.875281,1.267161,1.738525,2.006209,2.6511590000000003,3.1848310000000004,3.4958390000000006,3.8150640000000005,4.252201,4.850817,5.186222,5.750026,7.8020309999999995,8.4773,9.073316,9.276355,9.446446,9.678755,10.294048,10.755416,11.225219000000001,11.461261,11.825023,12.327144,12.546128000000001,12.906175000000001,13.224240000000002,13.349907000000002,13.515459000000002,13.817225000000002,14.220172000000002,14.481735000000002,14.675473000000002,15.326873000000003,15.760780000000002,16.16598,16.497276,16.859999,17.173994999999998,17.528298,17.815395,18.266817999999997,18.795315,19.197212999999998,19.691056999999997,19.960918999999997,20.442758999999995,21.443845999999994,21.972097999999992,22.548999999999992,22.839098999999994,23.037141999999992,23.30122099999999,23.70068499999999,24.04475899999999,24.441334999999988,24.75436099999999,25.41267499999999,25.68954299999999,26.04159399999999,26.40144199999999,26.85585399999999,27.25093699999999,27.46957799999999,27.88574899999999,28.39122599999999,28.71499999999999,29.00850799999999,29.44885599999999,30.10741199999999,30.49134199999999,30.64015199999999
7-2801743,,,,,,,0,0.544692,0.936572,1.4079359999999999,1.6756199999999999,2.32057,2.854242,3.1652500000000003,3.484475,3.921612,4.520228,4.855633,5.419437,7.471442,8.146711,8.742727,8.945766,9.115857,9.348166,9.963459,10.424827,10.894630000000001,11.130672,11.494434,11.996555,12.215539000000001,12.575586000000001,12.893651000000002,13.019318000000002,13.184870000000002,13.486636000000003,13.889583000000002,14.151146000000002,14.344884000000002,14.996284000000003,15.430191000000002,15.835391000000003,16.166687000000003,16.529410000000002,16.843406,17.197709000000003,17.484806000000003,17.936229,18.464726000000002,18.866624,19.360468,19.63033,20.11217,21.113256999999997,21.641508999999996,22.218410999999996,22.508509999999998,22.706552999999996,22.970631999999995,23.370095999999993,23.714169999999992,24.110745999999992,24.423771999999992,25.082085999999993,25.358953999999994,25.711004999999993,26.070852999999993,26.525264999999994,26.920347999999994,27.138988999999995,27.555159999999994,28.060636999999993,28.384410999999993,28.677918999999992,29.118266999999992,29.776822999999993,30.160752999999993,30.309562999999994
8-2801185,,,,,,,,0,0.39188,0.863244,1.130928,1.775878,2.30955,2.6205580000000004,2.9397830000000003,3.37692,3.975536,4.310941,4.874745,6.92675,7.602019,8.198035,8.401074000000001,8.571165,8.803474000000001,9.418767,9.880135000000001,10.349938000000002,10.585980000000001,10.949742,11.451863000000001,11.670847000000002,12.030894000000002,12.348959000000002,12.474626000000002,12.640178000000002,12.941944000000003,13.344891000000002,13.606454000000003,13.800192000000003,14.451592000000003,14.885499000000003,15.290699000000004,15.621995000000004,15.984718000000004,16.298714000000004,16.653017000000006,16.940114000000005,17.391537000000003,17.920034000000005,18.321932000000004,18.815776000000003,19.085638000000003,19.567478,20.568565,21.096816999999998,21.673719,21.963818,22.161861,22.425939999999997,22.825403999999995,23.169477999999994,23.566053999999994,23.879079999999995,24.537393999999995,24.814261999999996,25.166312999999995,25.526160999999995,25.980572999999996,26.375655999999996,26.594296999999997,27.010467999999996,27.515944999999995,27.839718999999995,28.133226999999994,28.573574999999995,29.232130999999995,29.616060999999995,29.764870999999996
9-2801687,,,,,,,,,0,0.471364,0.739048,1.383998,1.9176700000000002,2.2286780000000004,2.5479030000000003,2.98504,3.5836560000000004,3.9190610000000006,4.482865,6.53487,7.210139,7.8061549999999995,8.009193999999999,8.179284999999998,8.411594,9.026886999999999,9.488254999999999,9.958058,10.194099999999999,10.557861999999998,11.059982999999999,11.278967,11.639014,11.957079,12.082746,12.248298,12.550064,12.953011,13.214574,13.408312,14.059712000000001,14.493619,14.898819000000001,15.230115000000001,15.592838000000002,15.906834000000002,16.261137,16.548234,16.999657,17.528154,17.930052,18.423896,18.693758,19.175597999999997,20.176685,20.704936999999997,21.281838999999998,21.571938,21.769980999999998,22.034059999999997,22.433523999999995,22.777597999999994,23.174173999999994,23.487199999999994,24.145513999999995,24.422381999999995,24.774432999999995,25.134280999999994,25.588692999999996,25.983775999999995,26.202416999999997,26.618587999999995,27.124064999999995,27.447838999999995,27.741346999999994,28.181694999999994,28.840250999999995,29.224180999999994,29.372990999999995
10-2801184,,,,,,,,,,0,0.26768400000000003,0.9126340000000001,1.446306,1.757314,2.076539,2.513676,3.112292,3.4476970000000002,4.011501,6.063506,6.738775,7.334791,7.5378300000000005,7.707921000000001,7.940230000000001,8.555523,9.016891000000001,9.486694000000002,9.722736000000001,10.086498,10.588619000000001,10.807603000000002,11.167650000000002,11.485715000000003,11.611382000000003,11.776934000000002,12.078700000000003,12.481647000000002,12.743210000000003,12.936948000000003,13.588348000000003,14.022255000000003,14.427455000000004,14.758751000000004,15.121474000000005,15.435470000000004,15.789773000000004,16.076870000000003,16.528293,17.056790000000003,17.458688000000002,17.952532,18.222394,18.704234,19.705320999999998,20.233572999999996,20.810474999999997,21.100573999999998,21.298616999999997,21.562695999999995,21.962159999999994,22.306233999999993,22.702809999999992,23.015835999999993,23.674149999999994,23.951017999999994,24.303068999999994,24.662916999999993,25.117328999999994,25.512411999999994,25.731052999999996,26.147223999999994,26.652700999999993,26.976474999999994,27.269982999999993,27.710330999999993,28.368886999999994,28.752816999999993,28.901626999999994
