순번_정류장ID,63-2805248,64-2803365,65-2803370,66-2803373,67-2803375,68-2803378,69-2803142,70-2806165,71-2803367,72-2803368,73-2803371,74-2805243,75-2803363,76-2806596,77-2804983,78-2804932,79-2805302,80-2807338,81-2803379,82-2803381,83-2807010,84-2805325,85-2803211,86-2804850,87-2803212,88-2803210,89-2803361,90-2807505,91-2807521,92-2806171,93-2800565,94-2806015,95-2800567,96-2807460,97-2800347,98-2800346,99-2805193,100-2800592,101-2805250,102-2805252,103-2805254,104-2800680,105-2800722,106-2807301,107-2803514,108-2803093,109-2803107,110-2803121,111-2803125,112-2803225,113-2803233,114-2803124,115-2803100,116-2803087,117-2802637,118-2802652,119-2802647,120-2802648,121-2802649,122-2800819,123-2800815,124-2800817,125-2801800
63-2805248,0,0.6459590000000001,1.269795,1.684736,2.047921,2.484556,3.45201,3.8458360000000003,4.5215440000000005,5.13926,5.601196,5.936965,6.709083,7.282169,7.685757,8.154201,9.264269,10.847585,11.39352,11.910276,12.349641,16.263623,17.056905,20.201169,20.654592,22.292972000000002,22.592279,33.88256,43.617896,44.464455,45.955495,46.321903,46.517736,46.761331999999996,47.00663599999999,47.265100999999994,47.610130999999996,47.944199,48.702343,49.142713,49.606198,51.579102,52.386629,54.329698,54.852636000000004,55.654782000000004,55.91634500000001,56.11008300000001,56.51248300000001,56.69905600000001,57.131351000000016,57.909348000000016,58.42990500000001,58.72155500000001,59.205664000000006,59.40244800000001,59.79742400000001,60.252284,60.561195000000005,61.844741000000006,62.097224000000004,62.622251000000006,62.91232000000001
64-2803365,,0,0.623836,1.038777,1.4019620000000002,1.8385970000000003,2.806051,3.199877,3.875585,4.493301,4.9552369999999994,5.291005999999999,6.063123999999999,6.636209999999999,7.039797999999999,7.508241999999999,8.61831,10.201626,10.747561,11.264316999999998,11.703681999999999,15.617663999999998,16.410946,19.55521,20.008633,21.647013,21.94632,33.236601,42.971937,43.818495999999996,45.309535999999994,45.675943999999994,45.871776999999994,46.11537299999999,46.36067699999999,46.61914199999999,46.96417199999999,47.29823999999999,48.056383999999994,48.496753999999996,48.960238999999994,50.933142999999994,51.740669999999994,53.683738999999996,54.206677,55.008823,55.270386,55.464124000000005,55.866524000000005,56.05309700000001,56.48539200000001,57.26338900000001,57.78394600000001,58.075596000000004,58.559705,58.756489,59.151465,59.606325,59.915236,61.198782,61.451265,61.976292,62.266361
65-2803370,,,0,0.414941,0.778126,1.214761,2.1822150000000002,2.576041,3.2517490000000002,3.869465,4.331401,4.66717,5.4392879999999995,6.012373999999999,6.4159619999999995,6.884405999999999,7.994473999999999,9.57779,10.123725,10.640481000000001,11.079846000000002,14.993828,15.78711,18.931373999999998,19.384797,21.023177,21.322484,32.612764999999996,42.348101,43.19466,44.6857,45.052108,45.247941,45.491536999999994,45.73684099999999,45.99530599999999,46.34033599999999,46.674403999999996,47.432548,47.872918,48.336403,50.309307,51.116834,53.059903,53.582841,54.384987,54.646550000000005,54.84028800000001,55.24268800000001,55.42926100000001,55.861556000000014,56.639553000000014,57.16011000000001,57.45176000000001,57.935869000000004,58.132653000000005,58.527629000000005,58.982489,59.2914,60.574946000000004,60.827429,61.352456000000004,61.642525000000006
66-2803373,,,,0,0.363185,0.79982,1.767274,2.1611000000000002,2.8368080000000004,3.454524,3.9164600000000003,4.252229,5.024347,5.597433,6.001021,6.469465,7.579533,9.162849,9.708784,10.225539999999999,10.664905,14.578886999999998,15.372168999999998,18.516433,18.969856,20.608236,20.907543,32.197824,41.93316,42.779719,44.270759,44.637167,44.833,45.076595999999995,45.32189999999999,45.58036499999999,45.925394999999995,46.259463,47.017607,47.457977,47.921462,49.894366,50.701893,52.644962,53.1679,53.970046,54.231609000000006,54.42534700000001,54.82774700000001,55.01432000000001,55.446615000000016,56.224612000000015,56.74516900000001,57.03681900000001,57.520928000000005,57.717712000000006,58.112688000000006,58.567548,58.876459000000004,60.160005000000005,60.412488,60.937515000000005,61.22758400000001
67-2803375,,,,,0,0.43663500000000005,1.4040890000000001,1.7979150000000002,2.473623,3.0913389999999996,3.5532749999999997,3.8890439999999997,4.661162,5.234248,5.637836,6.10628,7.216348,8.799664,9.345599,9.862355,10.301720000000001,14.215702,15.008984,18.153247999999998,18.606671,20.245051,20.544358,31.834639,41.569975,42.416534,43.907574,44.273982,44.469815,44.713410999999994,44.95871499999999,45.21717999999999,45.56220999999999,45.896277999999995,46.654422,47.094792,47.558277,49.531181,50.338708,52.281777,52.804715,53.606861,53.868424000000005,54.06216200000001,54.46456200000001,54.65113500000001,55.083430000000014,55.86142700000001,56.38198400000001,56.67363400000001,57.157743,57.354527000000004,57.749503000000004,58.204363,58.513274,59.796820000000004,60.049303,60.57433,60.864399000000006
68-2803378,,,,,,0,0.967454,1.36128,2.036988,2.6547039999999997,3.11664,3.452409,4.224527,4.797613,5.201201,5.669645,6.779713,8.363029000000001,8.908964000000001,9.425720000000002,9.865085000000002,13.779067000000001,14.572349,17.716613000000002,18.170036000000003,19.808416000000005,20.107723000000004,31.398004000000004,41.133340000000004,41.979899,43.470939,43.837347,44.03318,44.276776,44.522079999999995,44.780545,45.125575,45.459643,46.217787,46.658157,47.121642,49.094546,49.902073,51.845142,52.368080000000006,53.17022600000001,53.43178900000001,53.62552700000001,54.02792700000001,54.214500000000015,54.64679500000002,55.42479200000002,55.945349000000014,56.23699900000001,56.72110800000001,56.91789200000001,57.31286800000001,57.767728000000005,58.07663900000001,59.36018500000001,59.612668000000006,60.13769500000001,60.42776400000001
69-2803142,,,,,,,0,0.393826,1.069534,1.68725,2.149186,2.484955,3.257073,3.830159,4.233747,4.702191,5.812259,7.395575,7.94151,8.458266,8.897631,12.811613000000001,13.604895,16.749159,17.202582,18.840962,19.140269,30.43055,40.165886,41.012445,42.503485,42.869893,43.065726,43.309321999999995,43.55462599999999,43.81309099999999,44.158120999999994,44.492188999999996,45.250333,45.690703,46.154188,48.127092,48.934619,50.877688,51.400626,52.202772,52.464335000000005,52.65807300000001,53.06047300000001,53.24704600000001,53.679341000000015,54.457338000000014,54.97789500000001,55.26954500000001,55.753654000000004,55.950438000000005,56.345414000000005,56.800274,57.109185000000004,58.392731000000005,58.645214,59.170241000000004,59.46031000000001
70-2806165,,,,,,,,0,0.675708,1.293424,1.7553599999999998,2.0911289999999996,2.8632469999999994,3.4363329999999994,3.8399209999999995,4.308364999999999,5.418432999999999,7.001748999999999,7.547683999999999,8.06444,8.503805,12.417787,13.211069,16.355333,16.808756000000002,18.447136000000004,18.746443000000003,30.036724000000003,39.77206,40.618619,42.109659,42.476067,42.6719,42.915496,43.160799999999995,43.419264999999996,43.764295,44.098363,44.856507,45.296877,45.760362,47.733266,48.540793,50.483862,51.006800000000005,51.808946000000006,52.07050900000001,52.26424700000001,52.66664700000001,52.853220000000015,53.28551500000002,54.06351200000002,54.584069000000014,54.87571900000001,55.35982800000001,55.55661200000001,55.95158800000001,56.40644800000001,56.715359000000014,57.998905000000015,58.25138800000001,58.776415000000014,59.06648400000002
71-2803367,,,,,,,,,0,0.6177159999999999,1.0796519999999998,1.4154209999999998,2.187539,2.760625,3.164213,3.632657,4.742725,6.326041,6.871976,7.388732,7.828097,11.742079,12.535361,15.679625,16.133048,17.771428,18.070735,29.361016,39.096351999999996,39.942910999999995,41.43395099999999,41.80035899999999,41.99619199999999,42.23978799999999,42.48509199999999,42.74355699999999,43.08858699999999,43.42265499999999,44.18079899999999,44.621168999999995,45.08465399999999,47.05755799999999,47.86508499999999,49.808153999999995,50.331092,51.133238,51.394801,51.588539000000004,51.990939000000004,52.17751200000001,52.60980700000001,53.38780400000001,53.908361000000006,54.200011,54.68412,54.880904,55.27588,55.73074,56.039651,57.323197,57.57568,58.100707,58.390776
72-2803368,,,,,,,,,,0,0.46193599999999996,0.7977049999999999,1.569823,2.142909,2.546497,3.014941,4.125009,5.708325,6.25426,6.771016,7.210381,11.124362999999999,11.917644999999998,15.061908999999998,15.515331999999999,17.153712,17.453018999999998,28.743299999999998,38.478635999999995,39.325194999999994,40.81623499999999,41.18264299999999,41.37847599999999,41.62207199999999,41.867375999999986,42.12584099999999,42.47087099999999,42.80493899999999,43.56308299999999,44.00345299999999,44.46693799999999,46.43984199999999,47.24736899999999,49.19043799999999,49.713376,50.515522,50.777085,50.970823,51.373223,51.559796000000006,51.99209100000001,52.77008800000001,53.290645000000005,53.582295,54.066404,54.263188,54.658164,55.113023999999996,55.421935,56.705481,56.957964,57.482991,57.77306
