순번_정류장ID,43-2807234,44-2806248,45-2803215,46-2803212,47-2803210,48-2803361,49-2807505,50-2807521,51-2806171,52-2800565,53-2806015,54-2800567,55-2800561,56-2800541,57-2800530,58-2800523,59-2800519,60-2800517,61-2800515,62-2805304,63-2800498,64-2800497,65-2800493,66-2800344,67-2800481,68-2800467,69-2800449,70-2800441,71-2800436,72-2800433,73-2800431,74-2800417,75-2800059,76-2800028,77-2800001,78-2800003,79-2800030,80-2800033,81-2800042,82-2800014
43-2807234,0,0.368709,17.999598,18.436049999999998,20.07443,20.373737,31.664018,41.399354,42.245913,43.736953,44.103361,44.299194,45.122613,46.732824,47.212964,47.497851,47.742068999999994,47.90110899999999,48.080755999999994,48.750668999999995,49.767337,50.047070999999995,50.547481,50.85825,51.108052,51.941597,52.598236,53.407183,53.701014,53.950863,54.536816,55.614913,56.140897,56.648353,57.072002,57.456872999999995,58.031234999999995,58.30123699999999,58.80309499999999,59.38926699999999
44-2806248,,0,17.630889,18.067341,19.705721,20.005028,31.295309,41.030645,41.877204,43.368244,43.734652,43.930485,44.753904,46.364115,46.844255,47.129141999999995,47.37335999999999,47.53239999999999,47.71204699999999,48.38195999999999,49.398627999999995,49.67836199999999,50.178771999999995,50.489540999999996,50.739343,51.572888,52.229527,53.038474,53.332305,53.582153999999996,54.16810699999999,55.24620399999999,55.77218799999999,56.27964399999999,56.70329299999999,57.088163999999985,57.662525999999986,57.932527999999984,58.43438599999998,59.02055799999998
45-2803215,,,0,0.43645200000000006,2.074832,2.3741389999999996,13.66442,23.399756,24.246315,25.737355,26.103763,26.299596,27.123015000000002,28.733226000000002,29.213366,29.498253000000002,29.742471000000002,29.901511000000003,30.081158000000002,30.751071000000003,31.767739000000002,32.047473000000004,32.547883000000006,32.858652000000006,33.10845400000001,33.94199900000001,34.59863800000001,35.40758500000001,35.70141600000001,35.95126500000001,36.53721800000001,37.61531500000001,38.14129900000001,38.64875500000001,39.072404000000006,39.457275,40.031637,40.301639,40.803497,41.389669
46-2803212,,,,0,1.63838,1.937687,13.227968,22.963304,23.809863,25.300902999999998,25.667310999999998,25.863144,26.686563,28.296774,28.776913999999998,29.061801,29.306019,29.465059,29.644706,30.314619,31.331287,31.611021,32.111431,32.422200000000004,32.672002000000006,33.50554700000001,34.162186000000005,34.97113300000001,35.264964000000006,35.514813000000004,36.10076600000001,37.17886300000001,37.70484700000001,38.212303000000006,38.635952,39.020823,39.595185,39.865187,40.367045,40.953216999999995
47-2803210,,,,,0,0.299307,11.589588000000001,21.324924000000003,22.171483000000002,23.662523,24.028931,24.224764,25.048183,26.658394,27.138534,27.423421,27.667639,27.826679000000002,28.006326,28.676239000000002,29.692907,29.972641000000003,30.473051,30.783820000000002,31.033622,31.867167000000002,32.523806,33.332753000000004,33.626584,33.876433,34.462385999999995,35.540482999999995,36.066466999999996,36.57392299999999,36.99757199999999,37.38244299999999,37.95680499999999,38.22680699999999,38.728664999999985,39.31483699999998
48-2803361,,,,,,0,11.290281,21.025617,21.872176,23.363216,23.729624,23.925457,24.748876000000003,26.359087000000002,26.839227,27.124114000000002,27.368332000000002,27.527372000000003,27.707019000000003,28.376932000000004,29.393600000000003,29.673334000000004,30.173744000000003,30.484513000000003,30.734315000000002,31.567860000000003,32.224499,33.033446000000005,33.327277,33.577126,34.163078999999996,35.241175999999996,35.76716,36.274615999999995,36.69826499999999,37.08313599999999,37.65749799999999,37.92749999999999,38.429357999999986,39.015529999999984
49-2807505,,,,,,,0,9.735336,10.581895,12.072935,12.439343,12.635176,13.458594999999999,15.068805999999999,15.548945999999999,15.833832999999998,16.078051,16.237091,16.416738,17.086651,18.103319,18.383053,18.883463,19.194232,19.444034,20.277579,20.934217999999998,21.743164999999998,22.036996,22.286845,22.872798,23.950895,24.476879,24.984335,25.407984000000003,25.792855000000003,26.367217000000004,26.637219000000005,27.139077000000004,27.725249000000005
50-2807521,,,,,,,,0,0.8465590000000001,2.337599,2.704007,2.8998399999999998,3.7232589999999997,5.33347,5.81361,6.098497,6.342715,6.501755,6.681402,7.3513150000000005,8.367983,8.647717,9.148127,9.458896000000001,9.708698000000002,10.542243000000003,11.198882000000003,12.007829000000003,12.301660000000004,12.551509000000003,13.137462000000003,14.215559000000002,14.741543000000002,15.248999000000001,15.672648,16.057519,16.631881,16.901883,17.403741,17.989913
51-2806171,,,,,,,,,0,1.49104,1.857448,2.053281,2.8767,4.486911,4.967051,5.251938,5.496156,5.655196,5.834843,6.504756,7.5214240000000006,7.801158000000001,8.301568000000001,8.612337000000002,8.862139000000003,9.695684000000004,10.352323000000004,11.161270000000004,11.455101000000004,11.704950000000004,12.290903000000004,13.369000000000003,13.894984000000003,14.402440000000002,14.826089000000001,15.210960000000002,15.785322000000003,16.055324000000002,16.557182,17.143354000000002
52-2800565,,,,,,,,,,0,0.366408,0.562241,1.3856600000000001,2.995871,3.476011,3.760898,4.005116,4.164156,4.343803,5.0137160000000005,6.030384000000001,6.310118000000001,6.8105280000000015,7.121297000000001,7.371099000000001,8.204644000000002,8.861283000000002,9.670230000000002,9.964061000000003,10.213910000000002,10.799863000000002,11.877960000000002,12.403944000000001,12.9114,13.335049,13.71992,14.294282,14.564284,15.066142000000001,15.652314
