순번_정류장ID,1-2805045,2-2805996,3-2803524,4-2803525,5-2803666,6-2804907,7-2803796,8-2802358,9-2804867,10-2802347,11-2803527,12-2806624,13-2805010,14-2805397,15-2805059,16-2805587,17-2804865,18-2805205,19-2805308,20-2805204,21-2802589,22-2802362,23-2802595,24-2802598,25-2805538,26-2802587,27-2802580,28-2802572,29-2802561,30-2802550,31-2802544,32-2802548,33-2802573,34-2802308,35-2802315,36-2802317,37-2802320,38-2802321,39-2802322,40-2802324,41-2805421,42-2806664,43-2806665,44-2805423,45-2805016,46-2804853,47-2805042,48-2804900,49-2804957,50-2803810,51-2801820,52-2801828,53-2801904,54-2804910,55-2801833,56-2802219,57-2802216,58-2802209,59-2805660,60-2806528,61-2806527,62-2806526,63-2806525,64-2807112,65-2806514,66-2804814,67-2802156,68-2802151,69-2802130,70-2802126,71-2802120,72-2802068,73-2802032,74-2802007,75-2802006,76-2802016,77-2802028,78-2802036,79-2802075,80-2802115,81-2801849,82-2802136,83-2802158,84-2802168,85-2802175,86-2801848,87-2802825,88-2802870,89-2802378,90-2802395,91-2802399,92-2802406,93-2802409,94-2802413,95-2802417,96-2802427,97-2802444,98-2802457,99-2802494,100-2802512,101-2802523,102-2802541,103-2802547,104-2802552,105-2802566,106-2802366,107-2802349,108-2802577,109-2802581,110-2804851,111-2802597,112-2802594,113-2802591,114-2802590,115-2805039,116-2805309,117-2805206,118-2804866,119-2805586,120-2805058,121-2805396,122-2805653,123-2806625,124-2803519,125-2802348,126-2802345,127-2802359,128-2803795,129-2804906,130-2805203,131-2803522,132-2803523,133-2805995,1-2804422,2-2807563,3-2807568,4-2807569,5-2804424
1-2805045,0,0.272508,0.5580419999999999,1.0320239999999998,1.7511329999999998,1.9411029999999998,2.3957819999999996,2.907266,3.224641,3.979062,4.427001,4.72988,4.944348,5.150491,5.3729309999999995,5.610917,5.97155,6.386862,6.7210849999999995,7.108364999999999,7.462002999999999,7.747795999999999,7.984659999999999,8.331774,9.711039999999999,10.213093999999998,10.675226999999998,11.003107999999997,11.202041999999997,11.464895999999998,11.676987999999998,12.487951999999998,12.932066999999998,13.554768999999999,14.068799999999998,14.540093999999998,14.927875999999998,15.452005999999997,15.924436999999998,16.392259,16.676123,16.951937,17.171569,17.397404,17.511470000000003,17.830638000000004,18.014883000000005,18.869127000000006,19.092610000000008,19.386088000000008,19.58271000000001,19.83658400000001,20.19607700000001,20.77870200000001,21.11655200000001,21.26484700000001,21.48330000000001,23.119589000000012,23.637648000000013,23.796335000000013,24.096429000000015,24.490631000000015,24.986617000000013,25.280587000000015,26.462141000000013,26.852552000000014,27.168715000000013,27.640395000000012,27.971195000000012,28.659369000000012,29.07049400000001,29.29547900000001,29.67171900000001,30.04693800000001,30.287020000000012,30.67049000000001,30.872441000000013,31.395925000000013,31.733479000000013,32.02163200000001,32.46227300000001,33.114106000000014,33.43904300000001,33.791764000000015,34.05704100000001,34.408845000000014,34.71874200000001,35.28388000000001,35.72722200000001,36.21315100000001,36.85785200000001,37.18441000000001,37.41850800000001,37.75141400000001,38.18565200000001,38.590235000000014,38.98088300000001,39.51795900000001,39.647205000000014,39.959505000000014,40.516674000000016,40.69394600000002,40.869562000000016,41.191673000000016,41.500928000000016,41.79659800000002,42.01351000000002,42.180540000000015,42.83909600000001,44.44833100000001,44.68524100000001,44.882486000000014,45.08368700000001,45.49817200000001,45.813443000000014,46.19672700000002,46.61479300000002,46.85008200000002,47.06137400000002,47.286219000000024,47.49282400000003,47.78502700000003,48.28620000000003,48.52901600000003,49.191650000000024,49.838444000000024,50.19786000000003,50.487545000000026,51.23207800000002,51.66547000000002,51.92059800000002,52.27099300000002,52.89594000000002,52.90695400000002,52.91123400000002,52.91473500000002,53.60544400000002,53.61401000000002
2-2805996,,0,0.285534,0.759516,1.478625,1.668595,2.123274,2.6347579999999997,2.952133,3.7065539999999997,4.1544929999999995,4.4573719999999994,4.6718399999999995,4.8779829999999995,5.100422999999999,5.3384089999999995,5.6990419999999995,6.114354,6.448576999999999,6.835856999999999,7.189494999999999,7.475287999999999,7.712151999999999,8.059266,9.438531999999999,9.940585999999998,10.402718999999998,10.730599999999997,10.929533999999997,11.192387999999998,11.404479999999998,12.215443999999998,12.659558999999998,13.282260999999998,13.796291999999998,14.267585999999998,14.655367999999998,15.179497999999997,15.651928999999997,16.119750999999997,16.403615,16.679429,16.899061,17.124896,17.238962,17.558130000000002,17.742375000000003,18.596619000000004,18.820102000000006,19.113580000000006,19.310202000000007,19.564076000000007,19.923569000000008,20.506194000000008,20.844044000000007,20.99233900000001,21.21079200000001,22.84708100000001,23.36514000000001,23.52382700000001,23.823921000000013,24.218123000000013,24.71410900000001,25.008079000000013,26.18963300000001,26.58004400000001,26.89620700000001,27.36788700000001,27.69868700000001,28.38686100000001,28.79798600000001,29.02297100000001,29.399211000000008,29.77443000000001,30.01451200000001,30.39798200000001,30.59993300000001,31.12341700000001,31.46097100000001,31.749124000000013,32.189765000000016,32.84159800000002,33.16653500000002,33.51925600000002,33.78453300000002,34.13633700000002,34.44623400000002,35.011372000000016,35.45471400000002,35.940643000000016,36.58534400000001,36.91190200000001,37.146000000000015,37.478906000000016,37.91314400000002,38.31772700000002,38.70837500000002,39.24545100000002,39.37469700000002,39.68699700000002,40.24416600000002,40.42143800000002,40.59705400000002,40.91916500000002,41.22842000000002,41.52409000000002,41.74100200000002,41.90803200000002,42.56658800000002,44.175823000000015,44.41273300000002,44.60997800000002,44.81117900000002,45.225664000000016,45.54093500000002,45.92421900000002,46.342285000000025,46.57757400000003,46.78886600000003,47.01371100000003,47.22031600000003,47.51251900000003,48.013692000000034,48.25650800000003,48.91914200000003,49.56593600000003,49.92535200000003,50.21503700000003,50.95957000000003,51.392962000000026,51.648090000000025,51.998485000000024,52.62343200000002,52.634446000000025,52.63872600000003,52.64222700000003,53.332936000000025,53.34150200000003
3-2803524,,,0,0.47398199999999996,1.193091,1.3830609999999999,1.83774,2.349224,2.666599,3.4210200000000004,3.8689590000000003,4.171838,4.386306,4.592449,4.814889,5.052875,5.413508,5.82882,6.163043,6.550323,6.903961,7.189754,7.4266179999999995,7.773732,9.152998,9.655052,10.117185,10.445065999999999,10.643999999999998,10.906854,11.118946,11.92991,12.374025,12.996727,13.510758,13.982052,14.369833999999999,14.893963999999999,15.366394999999999,15.834216999999999,16.118081,16.393895,16.613527,16.839362,16.953428000000002,17.272596000000004,17.456841000000004,18.311085000000006,18.534568000000007,18.828046000000008,19.02466800000001,19.27854200000001,19.63803500000001,20.22066000000001,20.55851000000001,20.70680500000001,20.92525800000001,22.56154700000001,23.079606000000013,23.238293000000013,23.538387000000014,23.932589000000014,24.428575000000013,24.722545000000014,25.904099000000013,26.294510000000013,26.610673000000013,27.082353000000012,27.413153000000012,28.101327000000012,28.51245200000001,28.73743700000001,29.11367700000001,29.48889600000001,29.728978000000012,30.11244800000001,30.314399000000012,30.837883000000012,31.175437000000013,31.463590000000014,31.904231000000014,32.55606400000001,32.88100100000001,33.233722000000014,33.49899900000001,33.85080300000001,34.16070000000001,34.72583800000001,35.16918000000001,35.65510900000001,36.29981000000001,36.62636800000001,36.86046600000001,37.19337200000001,37.62761000000001,38.032193000000014,38.42284100000001,38.95991700000001,39.08916300000001,39.401463000000014,39.958632000000016,40.13590400000002,40.311520000000016,40.633631000000015,40.942886000000016,41.23855600000002,41.45546800000002,41.622498000000014,42.28105400000001,43.89028900000001,44.12719900000001,44.324444000000014,44.52564500000001,44.94013000000001,45.25540100000001,45.63868500000002,46.05675100000002,46.29204000000002,46.50333200000002,46.728177000000024,46.93478200000003,47.22698500000003,47.72815800000003,47.97097400000003,48.633608000000024,49.280402000000024,49.63981800000003,49.929503000000025,50.67403600000002,51.10742800000002,51.36255600000002,51.71295100000002,52.33789800000002,52.34891200000002,52.35319200000002,52.35669300000002,53.04740200000002,53.05596800000002
4-2803525,,,,0,0.719109,0.909079,1.363758,1.875242,2.1926170000000003,2.947038,3.394977,3.697856,3.912324,4.118467,4.340907,4.578893,4.939526,5.354838,5.689061,6.076340999999999,6.4299789999999994,6.715771999999999,6.952635999999999,7.2997499999999995,8.679015999999999,9.181069999999998,9.643202999999998,9.971083999999998,10.170017999999997,10.432871999999998,10.644963999999998,11.455927999999998,11.900042999999998,12.522744999999999,13.036775999999998,13.508069999999998,13.895851999999998,14.419981999999997,14.892412999999998,15.360234999999998,15.644098999999997,15.919912999999998,16.139545,16.36538,16.479446,16.798614,16.982859,17.837103000000003,18.060586000000004,18.354064000000005,18.550686000000006,18.804560000000006,19.164053000000006,19.746678000000006,20.084528000000006,20.232823000000007,20.451276000000007,22.08756500000001,22.60562400000001,22.76431100000001,23.06440500000001,23.45860700000001,23.95459300000001,24.24856300000001,25.43011700000001,25.82052800000001,26.13669100000001,26.60837100000001,26.93917100000001,27.62734500000001,28.038470000000007,28.263455000000008,28.639695000000007,29.014914000000008,29.25499600000001,29.638466000000008,29.84041700000001,30.36390100000001,30.70145500000001,30.98960800000001,31.43024900000001,32.082082000000014,32.40701900000001,32.759740000000015,33.02501700000001,33.376821000000014,33.68671800000001,34.25185600000001,34.69519800000001,35.18112700000001,35.82582800000001,36.15238600000001,36.38648400000001,36.71939000000001,37.15362800000001,37.558211000000014,37.94885900000001,38.48593500000001,38.615181000000014,38.927481000000014,39.484650000000016,39.66192200000002,39.837538000000016,40.159649000000016,40.468904000000016,40.76457400000002,40.98148600000002,41.148516000000015,41.80707200000001,43.41630700000001,43.65321700000001,43.850462000000014,44.05166300000001,44.46614800000001,44.781419000000014,45.16470300000002,45.58276900000002,45.81805800000002,46.02935000000002,46.254195000000024,46.46080000000003,46.75300300000003,47.25417600000003,47.49699200000003,48.159626000000024,48.806420000000024,49.16583600000003,49.455521000000026,50.20005400000002,50.63344600000002,50.88857400000002,51.23896900000002,51.86391600000002,51.87493000000002,51.87921000000002,51.88271100000002,52.57342000000002,52.58198600000002
5-2803666,,,,,0,0.18997,0.644649,1.156133,1.473508,2.227929,2.675868,2.978747,3.193215,3.399358,3.621798,3.859784,4.220416999999999,4.6357289999999995,4.969951999999999,5.357231999999999,5.710869999999999,5.996662999999999,6.233526999999999,6.580640999999999,7.959906999999999,8.461960999999999,8.924093999999998,9.251974999999998,9.450908999999998,9.713762999999998,9.925854999999999,10.736818999999999,11.180933999999999,11.803636,12.317666999999998,12.788960999999999,13.176742999999998,13.700872999999998,14.173303999999998,14.641125999999998,14.924989999999998,15.200803999999998,15.420435999999999,15.646270999999999,15.760336999999998,16.079504999999997,16.263749999999998,17.117994,17.341477,17.634955,17.831577000000003,18.085451000000003,18.444944000000003,19.027569000000003,19.365419000000003,19.513714000000004,19.732167000000004,21.368456000000005,21.886515000000006,22.045202000000007,22.34529600000001,22.739498000000008,23.235484000000007,23.52945400000001,24.711008000000007,25.101419000000007,25.417582000000007,25.889262000000006,26.220062000000006,26.908236000000006,27.319361000000004,27.544346000000004,27.920586000000004,28.295805000000005,28.535887000000006,28.919357000000005,29.121308000000006,29.644792000000006,29.982346000000007,30.270499000000008,30.711140000000007,31.362973000000007,31.687910000000006,32.040631000000005,32.305908,32.657712000000004,32.967609,33.532747,33.976089,34.462018,35.106719,35.433277,35.667375,36.000281,36.434519,36.839102000000004,37.22975,37.766826,37.896072000000004,38.208372000000004,38.765541000000006,38.94281300000001,39.118429000000006,39.440540000000006,39.749795000000006,40.04546500000001,40.26237700000001,40.429407000000005,41.087963,42.697198,42.934108,43.131353000000004,43.332554,43.747039,44.062310000000004,44.44559400000001,44.86366000000001,45.09894900000001,45.31024100000001,45.535086000000014,45.74169100000002,46.03389400000002,46.53506700000002,46.77788300000002,47.440517000000014,48.087311000000014,48.44672700000002,48.736412000000016,49.48094500000001,49.91433700000001,50.16946500000001,50.51986000000001,51.14480700000001,51.15582100000001,51.16010100000001,51.16360200000001,51.85431100000001,51.86287700000001
6-2804907,,,,,,0,0.454679,0.9661630000000001,1.283538,2.037959,2.4858979999999997,2.7887769999999996,3.0032449999999997,3.2093879999999997,3.431828,3.6698139999999997,4.030447,4.445759,4.7799819999999995,5.167261999999999,5.520899999999999,5.806692999999999,6.043556999999999,6.390670999999999,7.769936999999999,8.271990999999998,8.734123999999998,9.062004999999997,9.260938999999997,9.523792999999998,9.735884999999998,10.546848999999998,10.990963999999998,11.613665999999998,12.127696999999998,12.598990999999998,12.986772999999998,13.510902999999997,13.983333999999997,14.451155999999997,14.735019999999997,15.010833999999997,15.230465999999998,15.456300999999998,15.570366999999997,15.889534999999997,16.073779999999996,16.928023999999997,17.151507,17.444985,17.641607,17.895481,18.254974,18.837599,19.175449,19.323744,19.542197,21.178486000000003,21.696545000000004,21.855232000000004,22.155326000000006,22.549528000000006,23.045514000000004,23.339484000000006,24.521038000000004,24.911449000000005,25.227612000000004,25.699292000000003,26.030092000000003,26.718266000000003,27.129391000000002,27.354376000000002,27.730616,28.105835000000003,28.345917000000004,28.729387000000003,28.931338000000004,29.454822000000004,29.792376000000004,30.080529000000006,30.521170000000005,31.173003000000005,31.497940000000003,31.850661000000002,32.115938,32.467742,32.777639,33.342777,33.786119,34.272048,34.916748999999996,35.243306999999994,35.477405,35.810311,36.244549,36.649132,37.03978,37.576856,37.706102,38.018402,38.575571000000004,38.752843000000006,38.928459000000004,39.25057,39.559825000000004,39.855495000000005,40.072407000000005,40.239437,40.897993,42.507228,42.744138,42.941383,43.142584,43.557069,43.87234,44.255624000000005,44.67369000000001,44.90897900000001,45.12027100000001,45.34511600000001,45.551721000000015,45.843924000000015,46.34509700000002,46.587913000000015,47.25054700000001,47.89734100000001,48.256757000000015,48.54644200000001,49.29097500000001,49.72436700000001,49.97949500000001,50.329890000000006,50.954837000000005,50.96585100000001,50.97013100000001,50.97363200000001,51.66434100000001,51.67290700000001
7-2803796,,,,,,,0,0.511484,0.828859,1.58328,2.031219,2.334098,2.548566,2.754709,2.9771490000000003,3.215135,3.575768,3.99108,4.325303,4.7125829999999995,5.066221,5.352014,5.588877999999999,5.935992,7.315258,7.817312,8.279445,8.607326,8.80626,9.069114,9.281206000000001,10.092170000000001,10.536285000000001,11.158987000000002,11.673018,12.144312000000001,12.532094,13.056224,13.528655,13.996477,14.280341,14.556155,14.775787000000001,15.001622000000001,15.115688,15.434856,15.619101,16.473345000000002,16.696828000000004,16.990306000000004,17.186928000000005,17.440802000000005,17.800295000000006,18.382920000000006,18.720770000000005,18.869065000000006,19.087518000000006,20.723807000000008,21.24186600000001,21.40055300000001,21.70064700000001,22.09484900000001,22.59083500000001,22.88480500000001,24.06635900000001,24.45677000000001,24.77293300000001,25.244613000000008,25.575413000000008,26.26358700000001,26.674712000000007,26.899697000000007,27.275937000000006,27.651156000000007,27.89123800000001,28.274708000000008,28.47665900000001,29.00014300000001,29.33769700000001,29.62585000000001,30.06649100000001,30.71832400000001,31.043261000000008,31.395982000000007,31.66125900000001,32.01306300000001,32.32296000000001,32.88809800000001,33.33144000000001,33.81736900000001,34.462070000000004,34.788628,35.022726000000006,35.35563200000001,35.78987000000001,36.19445300000001,36.58510100000001,37.12217700000001,37.25142300000001,37.56372300000001,38.12089200000001,38.298164000000014,38.47378000000001,38.79589100000001,39.10514600000001,39.40081600000001,39.617728000000014,39.78475800000001,40.44331400000001,42.052549000000006,42.28945900000001,42.48670400000001,42.68790500000001,43.10239000000001,43.41766100000001,43.80094500000001,44.219011000000016,44.45430000000002,44.66559200000002,44.89043700000002,45.09704200000002,45.389245000000024,45.890418000000025,46.13323400000002,46.79586800000002,47.44266200000002,47.80207800000002,48.09176300000002,48.83629600000002,49.269688000000016,49.524816000000015,49.875211000000014,50.50015800000001,50.511172000000016,50.51545200000002,50.51895300000002,51.209662000000016,51.21822800000002
8-2802358,,,,,,,,0,0.317375,1.071796,1.519735,1.8226140000000002,2.0370820000000003,2.2432250000000002,2.4656650000000004,2.7036510000000002,3.0642840000000002,3.4795960000000004,3.8138190000000005,4.201099,4.554737,4.84053,5.077394,5.424508,6.803774000000001,7.305828000000001,7.767961000000001,8.095842000000001,8.294776,8.557630000000001,8.769722000000002,9.580686000000002,10.024801000000002,10.647503000000002,11.161534000000001,11.632828000000002,12.020610000000001,12.544740000000001,13.017171000000001,13.484993000000001,13.768857,14.044671000000001,14.264303000000002,14.490138000000002,14.604204000000001,14.923372,15.107617000000001,15.961861,16.185344,16.478822,16.675444000000002,16.929318000000002,17.288811000000003,17.871436000000003,18.209286000000002,18.357581000000003,18.576034000000003,20.212323000000005,20.730382000000006,20.889069000000006,21.189163000000008,21.583365000000008,22.079351000000006,22.373321000000008,23.554875000000006,23.945286000000007,24.261449000000006,24.733129000000005,25.063929000000005,25.752103000000005,26.163228000000004,26.388213000000004,26.764453000000003,27.139672000000004,27.379754000000005,27.763224000000005,27.965175000000006,28.488659000000006,28.826213000000006,29.114366000000008,29.555007000000007,30.206840000000007,30.531777000000005,30.884498000000004,31.149775000000005,31.501579000000007,31.811476000000006,32.376614000000004,32.819956000000005,33.305885,33.950586,34.277144,34.511242,34.844148000000004,35.278386000000005,35.68296900000001,36.073617000000006,36.610693000000005,36.73993900000001,37.05223900000001,37.60940800000001,37.78668000000001,37.96229600000001,38.28440700000001,38.59366200000001,38.88933200000001,39.10624400000001,39.27327400000001,39.931830000000005,41.541065,41.777975000000005,41.97522000000001,42.176421000000005,42.590906000000004,42.90617700000001,43.28946100000001,43.70752700000001,43.942816000000015,44.154108000000015,44.37895300000002,44.58555800000002,44.87776100000002,45.37893400000002,45.62175000000002,46.28438400000002,46.93117800000002,47.29059400000002,47.58027900000002,48.324812000000016,48.75820400000001,49.01333200000001,49.36372700000001,49.98867400000001,49.99968800000001,50.003968000000015,50.007469000000015,50.69817800000001,50.706744000000015
9-2804867,,,,,,,,,0,0.754421,1.20236,1.505239,1.719707,1.92585,2.1482900000000003,2.386276,2.746909,3.162221,3.4964440000000003,3.8837240000000004,4.237362,4.523155,4.760019,5.107133,6.4863990000000005,6.988453000000001,7.450586,7.778467,7.977401,8.240255000000001,8.452347000000001,9.263311000000002,9.707426000000002,10.330128000000002,10.844159000000001,11.315453000000002,11.703235000000001,12.227365,12.699796000000001,13.167618000000001,13.451482,13.727296,13.946928000000002,14.172763000000002,14.286829000000001,14.605997,14.790242000000001,15.644486,15.867969,16.161447,16.358069,16.611943,16.971436,17.554061,17.891911,18.040206,18.258659,19.894948000000003,20.413007000000004,20.571694000000004,20.871788000000006,21.265990000000006,21.761976000000004,22.055946000000006,23.237500000000004,23.627911000000005,23.944074000000004,24.415754000000003,24.746554000000003,25.434728000000003,25.845853,26.070838000000002,26.447078,26.822297000000002,27.062379000000004,27.445849000000003,27.647800000000004,28.171284000000004,28.508838000000004,28.796991000000006,29.237632000000005,29.889465000000005,30.214402000000003,30.567123000000002,30.832400000000003,31.184204000000005,31.494101000000004,32.059239000000005,32.502581000000006,32.988510000000005,33.633211,33.959769,34.193867000000004,34.526773000000006,34.961011000000006,35.36559400000001,35.75624200000001,36.293318000000006,36.42256400000001,36.73486400000001,37.29203300000001,37.46930500000001,37.64492100000001,37.96703200000001,38.27628700000001,38.57195700000001,38.78886900000001,38.95589900000001,39.61445500000001,41.223690000000005,41.46060000000001,41.65784500000001,41.859046000000006,42.273531000000006,42.58880200000001,42.97208600000001,43.390152000000015,43.625441000000016,43.83673300000002,44.06157800000002,44.26818300000002,44.56038600000002,45.061559000000024,45.30437500000002,45.96700900000002,46.61380300000002,46.97321900000002,47.26290400000002,48.00743700000002,48.440829000000015,48.695957000000014,49.04635200000001,49.67129900000001,49.682313000000015,49.686593000000016,49.690094000000016,50.380803000000014,50.389369000000016
10-2802347,,,,,,,,,,0,0.44793900000000003,0.750818,0.965286,1.171429,1.393869,1.631855,1.992488,2.4078,2.742023,3.129303,3.4829410000000003,3.7687340000000003,4.005598,4.352712,5.731978,6.234032,6.696165,7.024045999999999,7.22298,7.485834,7.697926,8.50889,8.953005,9.575707,10.089737999999999,10.561031999999999,10.948813999999999,11.472943999999998,11.945374999999999,12.413196999999998,12.697060999999998,12.972874999999998,13.192506999999999,13.418341999999999,13.532407999999998,13.851575999999998,14.035820999999999,14.890064999999998,15.113547999999998,15.407025999999998,15.603647999999998,15.857521999999998,16.217014999999996,16.799639999999997,17.137489999999996,17.285784999999997,17.504237999999997,19.140527,19.658586,19.817273,20.117367,20.511569,21.007555,21.301525,22.483079,22.87349,23.189653,23.661333,23.992133,24.680307,25.091431999999998,25.316416999999998,25.692656999999997,26.067876,26.307958,26.691428,26.893379,27.416863,27.754417,28.04257,28.483211,29.135044,29.459981,29.812701999999998,30.077979,30.429783,30.73968,31.304818,31.748160000000002,32.234089000000004,32.87879,33.205348,33.439446000000004,33.772352000000005,34.206590000000006,34.61117300000001,35.00182100000001,35.538897000000006,35.66814300000001,35.98044300000001,36.53761200000001,36.71488400000001,36.89050000000001,37.21261100000001,37.52186600000001,37.81753600000001,38.03444800000001,38.20147800000001,38.860034000000006,40.469269000000004,40.706179000000006,40.90342400000001,41.104625000000006,41.519110000000005,41.83438100000001,42.21766500000001,42.635731000000014,42.871020000000016,43.082312000000016,43.30715700000002,43.51376200000002,43.80596500000002,44.30713800000002,44.54995400000002,45.21258800000002,45.85938200000002,46.21879800000002,46.50848300000002,47.25301600000002,47.686408000000014,47.94153600000001,48.29193100000001,48.91687800000001,48.927892000000014,48.932172000000016,48.935673000000016,49.626382000000014,49.634948000000016
