순번_정류장ID,37-2802694,38-2802692,39-2802713,40-2802744,41-2802767,42-2802785,43-2802812,44-2802844,45-2802867,46-2802393,47-2802395,48-2802397,49-2802399,50-2802401,51-2802403,52-2802404,53-2802223,54-2802225,55-2802247,56-2802368,57-2802456,58-2802482,59-2802509,60-2802516,61-2802530,62-2802542,63-2802367,64-2802541,65-2802547,66-2802552,67-2802566,68-2802366,69-2802579,70-2802577,71-2802581,72-2802565
37-2802694,0,0.547333,0.907122,1.321338,1.6339899999999998,1.980905,2.2826589999999998,2.5259509999999996,2.7511809999999994,3.7496109999999994,4.186914999999999,4.473749999999999,4.672843999999999,5.404501999999999,5.582364999999999,5.798938,6.232289,6.4338,7.005440999999999,7.416803,7.6275569999999995,8.041860999999999,8.280828,8.536107,8.939126,9.287051,9.590246,10.038369000000001,10.215641000000002,10.391257000000001,10.713368000000001,11.022623000000001,11.202275000000002,11.535204000000002,11.702234000000002,12.501393000000002
38-2802692,,0,0.35978899999999997,0.7740049999999999,1.086657,1.433572,1.7353260000000001,1.9786180000000002,2.2038480000000003,3.202278,3.6395820000000003,3.9264170000000003,4.125511,4.857169000000001,5.035032000000001,5.251605000000001,5.6849560000000015,5.8864670000000014,6.458108000000001,6.8694700000000015,7.080224000000001,7.494528000000001,7.7334950000000005,7.988774,8.391793,8.739718,9.042913,9.491036000000001,9.668308000000001,9.843924000000001,10.166035,10.475290000000001,10.654942000000002,10.987871000000002,11.154901000000002,11.954060000000002
39-2802713,,,0,0.414216,0.726868,1.073783,1.375537,1.618829,1.8440590000000001,2.842489,3.279793,3.566628,3.7657220000000002,4.497380000000001,4.675243000000001,4.891816000000001,5.325167000000001,5.526678000000001,6.098319000000001,6.5096810000000005,6.720435,7.134739,7.373705999999999,7.628984999999999,8.032003999999999,8.379928999999999,8.683124,9.131247,9.308519,9.484135,9.806246,10.115501,10.295153,10.628082000000001,10.795112000000001,11.594271
40-2802744,,,,0,0.312652,0.659567,0.9613210000000001,1.2046130000000002,1.4298430000000002,2.428273,2.865577,3.152412,3.351506,4.083164,4.261027,4.477600000000001,4.910951000000001,5.112462000000001,5.684103,6.095465000000001,6.3062190000000005,6.720523,6.95949,7.2147689999999995,7.617787999999999,7.965712999999999,8.268908,8.717031,8.894303,9.069919,9.39203,9.701285,9.880937000000001,10.213866000000001,10.380896000000002,11.180055000000001
41-2802767,,,,,0,0.34691500000000003,0.648669,0.891961,1.117191,2.115621,2.552925,2.83976,3.038854,3.770512,3.948375,4.164948,4.598299,4.79981,5.3714509999999995,5.782812999999999,5.993566999999999,6.407870999999998,6.646837999999998,6.902116999999998,7.305135999999997,7.6530609999999974,7.956255999999997,8.404378999999997,8.581650999999997,8.757266999999997,9.079377999999997,9.388632999999997,9.568284999999998,9.901213999999998,10.068243999999998,10.867402999999998
42-2802785,,,,,,0,0.301754,0.545046,0.7702760000000001,1.768706,2.20601,2.492845,2.691939,3.423597,3.60146,3.818033,4.251384,4.452895,5.0245359999999994,5.435898,5.646652,6.060955999999999,6.299922999999999,6.555201999999999,6.958220999999998,7.306145999999998,7.609340999999998,8.057463999999998,8.234735999999998,8.410351999999998,8.732462999999997,9.041717999999998,9.221369999999999,9.554298999999999,9.721328999999999,10.520487999999999
43-2802812,,,,,,,0,0.243292,0.468522,1.466952,1.904256,2.191091,2.3901850000000002,3.121843,3.299706,3.516279,3.94963,4.151141,4.722782,5.134143999999999,5.344897999999999,5.759201999999998,5.998168999999998,6.253447999999998,6.6564669999999975,7.0043919999999975,7.307586999999997,7.755709999999997,7.932981999999997,8.108597999999997,8.430708999999997,8.739963999999997,8.919615999999998,9.252544999999998,9.419574999999998,10.218733999999998
44-2802844,,,,,,,,0,0.22523,1.22366,1.6609639999999999,1.9477989999999998,2.146893,2.878551,3.0564139999999997,3.2729869999999996,3.7063379999999997,3.9078489999999997,4.479489999999999,4.890851999999999,5.1016059999999985,5.515909999999998,5.754876999999998,6.010155999999998,6.413174999999997,6.761099999999997,7.064294999999997,7.512417999999997,7.689689999999997,7.865305999999997,8.187416999999996,8.496671999999997,8.676323999999997,9.009252999999998,9.176282999999998,9.975441999999997
45-2802867,,,,,,,,,0,0.9984299999999999,1.4357339999999998,1.7225689999999998,1.9216629999999997,2.6533209999999996,2.8311839999999995,3.0477569999999994,3.4811079999999994,3.6826189999999994,4.2542599999999995,4.665621999999999,4.876375999999999,5.290679999999998,5.529646999999998,5.784925999999998,6.187944999999997,6.535869999999997,6.839064999999997,7.287187999999997,7.464459999999997,7.640075999999997,7.962186999999997,8.271441999999997,8.451093999999998,8.784022999999998,8.951052999999998,9.750211999999998
46-2802393,,,,,,,,,,0,0.43730399999999997,0.724139,0.923233,1.6548910000000001,1.8327540000000002,2.0493270000000003,2.4826780000000004,2.6841890000000004,3.2558300000000004,3.6671920000000005,3.8779460000000006,4.292250000000001,4.531217000000001,4.7864960000000005,5.189515,5.53744,5.840635,6.288758,6.46603,6.641646,6.963756999999999,7.273012,7.4526639999999995,7.7855929999999995,7.952622999999999,8.751781999999999
