순번_정류장ID,1-2807327,2-2802586,3-2802583,4-2802574,5-2802567,6-2802557,7-2802554,8-2807485,9-2807487,10-2802568,11-2802551,12-2802377,13-2802356,14-2802518,15-2802493,16-2805021,17-2802491,18-2802514,19-2802522,20-2802375,21-2802507,22-2802467,23-2806673,24-2802470,25-2802469,26-2802465,27-2802463,28-2802460,29-2802450,30-2802455,31-2802476,32-2802484,33-2802458,34-2802446,35-2802447,36-2802466,37-2805715,38-2802477,39-2802479,40-2802480,41-2802472,42-2802448,43-2802421,44-2802407,45-2802398,46-2802396,47-2802394,48-2802892,49-2802869,50-2802822,51-2802818,52-2802817,53-2802825,54-2802870
1-2807327,0,0.15498599999999998,0.45713499999999996,0.675569,0.936109,1.392285,1.710312,3.028434,3.528167,3.850177,4.490261,5.2486820000000005,5.593575,5.975948000000001,6.1949190000000005,6.553418000000001,6.647696000000001,6.899468000000001,7.102768,7.481196000000001,7.664888,8.287625,8.474485,8.864526,8.999651,9.154625,9.352668,9.616747,10.016211,10.360285000000001,10.745192000000001,11.200114000000001,11.702287000000002,12.097936000000002,12.201843000000002,12.503438000000003,12.731885000000002,12.971165000000003,13.344711000000002,13.531789000000002,13.723964000000002,14.036535000000002,14.381097000000002,14.745851000000002,15.419088000000002,15.880075000000001,16.304521,16.899942000000003,17.277947000000005,17.630345000000005,17.780559000000004,18.055888000000003,18.191687,18.501584
2-2802586,,0,0.302149,0.520583,0.781123,1.2372990000000001,1.5553260000000002,2.8734480000000002,3.373181,3.6951910000000003,4.335275,5.0936960000000004,5.438589,5.820962000000001,6.039933,6.398432000000001,6.492710000000001,6.7444820000000005,6.947782,7.3262100000000006,7.509902,8.132639000000001,8.319499,8.70954,8.844665,8.999639,9.197682,9.461761000000001,9.861225000000001,10.205299,10.590206,11.045128,11.547301000000001,11.942950000000002,12.046857000000001,12.348452000000002,12.576899000000001,12.816179000000002,13.189725000000001,13.376803,13.568978000000001,13.881549000000001,14.226111000000001,14.590865,15.264102000000001,15.725089,16.149535,16.744956000000002,17.122961000000004,17.475359000000005,17.625573000000003,17.900902000000002,18.036701,18.346598
3-2802583,,,0,0.21843400000000002,0.478974,0.93515,1.253177,2.571299,3.0710319999999998,3.393042,4.033126,4.7915470000000004,5.13644,5.518813000000001,5.737784,6.096283000000001,6.190561000000001,6.4423330000000005,6.645633,7.0240610000000006,7.207753,7.83049,8.01735,8.407391,8.542516,8.69749,8.895533,9.159612000000001,9.559076000000001,9.90315,10.288057,10.742979,11.245152000000001,11.640801000000002,11.744708000000001,12.046303000000002,12.274750000000001,12.514030000000002,12.887576000000001,13.074654,13.266829000000001,13.579400000000001,13.923962000000001,14.288716,14.961953000000001,15.42294,15.847386,16.442807000000002,16.820812000000004,17.173210000000005,17.323424000000003,17.598753000000002,17.734552,18.044449
4-2802574,,,,0,0.26054,0.716716,1.034743,2.352865,2.852598,3.174608,3.814692,4.573113,4.918006,5.300379,5.51935,5.877849,5.972127,6.223899,6.427199,6.805627,6.989319,7.612056,7.798916,8.188957,8.324082,8.479056,8.677099,8.941178,9.340642,9.684716000000002,10.069623000000002,10.524545000000002,11.026718000000002,11.422367000000003,11.526274000000003,11.827869000000003,12.056316000000002,12.295596000000003,12.669142000000003,12.856220000000002,13.048395000000003,13.360966000000003,13.705528000000003,14.070282000000002,14.743519000000003,15.204506000000002,15.628952000000002,16.224373,16.602378,16.954776000000003,17.10499,17.380319,17.516118,17.826014999999998
5-2802567,,,,,0,0.456176,0.774203,2.0923249999999998,2.5920579999999998,2.914068,3.5541519999999998,4.3125729999999995,4.657465999999999,5.039839,5.2588099999999995,5.617309,5.711587,5.963359,6.166658999999999,6.545087,6.728778999999999,7.351515999999999,7.5383759999999995,7.928417,8.063542,8.218516,8.416559,8.680638,9.080102,9.424176,9.809083,10.264005,10.766178,11.161827,11.265734,11.567329,11.795776,12.035056,12.408602,12.59568,12.787855,13.100426,13.444988,13.809742,14.482979,14.943966,15.368412,15.963833,16.341838,16.694236,16.84445,17.119778999999998,17.255577999999996,17.565474999999996
6-2802557,,,,,,0,0.318027,1.636149,2.135882,2.457892,3.097976,3.8563970000000003,4.20129,4.5836630000000005,4.802634,5.161133,5.2554110000000005,5.507183,5.710483,6.088911,6.272603,6.89534,7.0822,7.472241,7.607366000000001,7.762340000000001,7.960383000000001,8.224462,8.623926,8.968,9.352907,9.807829,10.310002,10.705651000000001,10.809558,11.111153000000002,11.3396,11.578880000000002,11.952426,12.139504,12.331679000000001,12.644250000000001,12.988812000000001,13.353566,14.026803000000001,14.48779,14.912236,15.507657,15.885662,16.23806,16.388274,16.663603,16.799401999999997,17.109298999999996
7-2802554,,,,,,,0,1.318122,1.817855,2.139865,2.779949,3.5383699999999996,3.8832629999999995,4.265636,4.484607,4.843106,4.937384,5.189156,5.392455999999999,5.770884,5.954575999999999,6.577312999999999,6.7641729999999995,7.154214,7.289339,7.444313,7.642356,7.906435,8.305899,8.649973,9.03488,9.489802,9.991975,10.387624,10.491531,10.793126,11.021573,11.260853000000001,11.634399,11.821477,12.013652,12.326223,12.670785,13.035539,13.708776,14.169763,14.594209,15.18963,15.567635,15.920033,16.070247,16.345575999999998,16.481374999999996,16.791271999999996
8-2807485,,,,,,,,0,0.499733,0.821743,1.461827,2.2202479999999998,2.5651409999999997,2.9475139999999995,3.1664849999999993,3.5249839999999995,3.6192619999999995,3.8710339999999994,4.0743339999999995,4.452762,4.636454,5.2591909999999995,5.446051,5.836092,5.971217,6.126191,6.324234000000001,6.588313,6.987777,7.331851,7.7167580000000005,8.17168,8.673853000000001,9.069502000000002,9.173409000000001,9.475004000000002,9.703451000000001,9.942731000000002,10.316277000000001,10.503355,10.695530000000002,11.008101000000002,11.352663000000002,11.717417000000001,12.390654000000001,12.851641,13.276087,13.871508,14.249513,14.601911000000001,14.752125000000001,15.027454,15.163253000000001,15.47315
9-2807487,,,,,,,,,0,0.32201,0.962094,1.720515,2.065408,2.447781,2.666752,3.025251,3.119529,3.371301,3.574601,3.953029,4.136721,4.7594579999999995,4.946318,5.336359,5.471484,5.626458,5.824501000000001,6.08858,6.488044,6.832118,7.2170250000000005,7.671947,8.17412,8.569769,8.673676,8.975271000000001,9.203718,9.442998000000001,9.816544,10.003622,10.195797,10.508368,10.85293,11.217684,11.890921,12.351908,12.776354,13.371775,13.74978,14.102177999999999,14.252391999999999,14.527720999999998,14.663519999999998,14.973416999999998
10-2802568,,,,,,,,,,0,0.640084,1.398505,1.743398,2.125771,2.3447419999999997,2.703241,2.797519,3.0492909999999998,3.252591,3.6310189999999998,3.814711,4.437448,4.624308,5.014349,5.1494740000000006,5.304448000000001,5.502491000000001,5.766570000000001,6.166034000000001,6.510108000000001,6.895015000000001,7.349937000000001,7.852110000000001,8.247759,8.351666,8.653261,8.881708,9.120988,9.494534,9.681612,9.873787,10.186358,10.53092,10.895674,11.568911,12.029898,12.454343999999999,13.049764999999999,13.427769999999999,13.780168,13.930382,14.205710999999999,14.34151,14.651406999999999
