순번_정류장ID,55-2802378,56-2802395,57-2802397,58-2802399,59-2802406,60-2802412,61-2802372,62-2802474,63-2802481,64-2802475,65-2805714,66-2802468,67-2802445,68-2802444,69-2802457,70-2802483,71-2802371,72-2802449,73-2802370,74-2802459,75-2802461,76-2805716,77-2802464,78-2806674,79-2802369,80-2802532,81-2802524,82-2802515,83-2802497,84-2805022,85-2802495,86-2802517,87-2802357,88-2802379,89-2802558,90-2802569,91-2807488,92-2807486,93-2802555,94-2802556,95-2802566,96-2802366,97-2802579,98-2802374
55-2802378,0,0.443342,0.7301770000000001,0.9292710000000001,1.573972,1.925247,2.3796589999999997,2.774742,3.0113519999999996,3.4894739999999995,3.7013679999999995,3.9508409999999996,4.208095999999999,4.353356,4.744003999999999,5.257974999999999,5.6688659999999995,6.269862999999999,6.471474999999999,6.838124999999999,7.121376999999999,7.410527999999999,7.644334,7.978871,8.826312,9.109122,9.31415,9.531766,9.788404,9.940805,10.318691,10.512182,10.885171999999999,11.230581999999998,11.885029999999999,12.556629,12.952895,13.382280999999999,14.607755999999998,14.917238999999999,15.432794999999999,15.742049999999999,15.921702,16.258764
56-2802395,,0,0.286835,0.485929,1.13063,1.481905,1.936317,2.3314,2.56801,3.046132,3.258026,3.507499,3.764754,3.910014,4.300662,4.814633,5.225524,5.826521,6.0281329999999995,6.394782999999999,6.6780349999999995,6.967186,7.200992,7.535529,8.38297,8.66578,8.870808,9.088424,9.345062,9.497463,9.875349,10.06884,10.44183,10.787239999999999,11.441688,12.113287,12.509553,12.938939,14.164413999999999,14.473897,14.989453,15.298708,15.47836,15.815422
57-2802397,,,0,0.199094,0.843795,1.1950699999999999,1.649482,2.044565,2.281175,2.759297,2.971191,3.220664,3.477919,3.623179,4.013827,4.527798,4.938689,5.539686,5.741298,6.1079479999999995,6.3911999999999995,6.680351,6.914157,7.248694,8.096135,8.378945,8.583973,8.801589,9.058227,9.210628,9.588514,9.782005,10.154995,10.500404999999999,11.154853,11.826452,12.222718,12.652104,13.877578999999999,14.187062,14.702618,15.011873,15.191525,15.528587
58-2802399,,,,0,0.644701,0.995976,1.450388,1.845471,2.082081,2.560203,2.772097,3.02157,3.2788250000000003,3.4240850000000003,3.8147330000000004,4.328704,4.7395950000000004,5.340592000000001,5.542204000000001,5.908854000000001,6.192106000000001,6.481257000000001,6.715063000000002,7.049600000000002,7.8970410000000015,8.179851000000001,8.384879000000002,8.602495000000001,8.859133000000002,9.011534000000001,9.389420000000001,9.582911000000001,9.955901,10.301311,10.955759,11.627358000000001,12.023624000000002,12.45301,13.678485,13.987968,14.503524,14.812779,14.992431000000002,15.329493000000001
59-2802406,,,,,0,0.351275,0.805687,1.2007700000000001,1.43738,1.915502,2.127396,2.376869,2.634124,2.779384,3.170032,3.6840029999999997,4.094894,4.695891,4.8975029999999995,5.264152999999999,5.5474049999999995,5.836556,6.070362,6.404899,7.25234,7.53515,7.740178,7.957794,8.214432,8.366833,8.744719,8.93821,9.3112,9.656609999999999,10.311058,10.982657,11.378923,11.808309,13.033783999999999,13.343266999999999,13.858823,14.168078,14.34773,14.684792
60-2802412,,,,,,0,0.454412,0.849495,1.0861049999999999,1.5642269999999998,1.7761209999999998,2.025594,2.2828489999999997,2.4281089999999996,2.8187569999999997,3.3327279999999995,3.7436189999999994,4.344615999999999,4.546227999999999,4.912877999999999,5.196129999999999,5.485281,5.719087,6.053624,6.901065,7.1838750000000005,7.388903000000001,7.6065190000000005,7.863157,8.015558,8.393444,8.586935,8.959925,9.305335,9.959783,10.631382,11.027648000000001,11.457034,12.682509,12.991992,13.507548,13.816803,13.996455000000001,14.333517
61-2802372,,,,,,,0,0.395083,0.6316930000000001,1.1098150000000002,1.3217090000000002,1.5711820000000003,1.8284370000000003,1.9736970000000003,2.364345,2.878316,3.2892069999999998,3.8902039999999998,4.091816,4.458466,4.741718,5.030869,5.264675,5.5992120000000005,6.446653,6.729463000000001,6.934491000000001,7.152107000000001,7.408745000000001,7.561146000000001,7.939032000000001,8.132523,8.505513,8.850923,9.505371,10.17697,10.573236000000001,11.002622,12.228097,12.53758,13.053136,13.362391,13.542043000000001,13.879105000000001
62-2802474,,,,,,,,0,0.23661,0.714732,0.9266260000000001,1.176099,1.433354,1.578614,1.969262,2.4832330000000002,2.894124,3.495121,3.696733,4.063383,4.346635,4.635786,4.869592000000001,5.204129000000001,6.051570000000001,6.334380000000001,6.539408000000002,6.757024000000001,7.013662000000001,7.166063000000001,7.543949000000001,7.737440000000001,8.110430000000001,8.45584,9.110288,9.781887000000001,10.178153000000002,10.607539000000001,11.833014,12.142497,12.658053,12.967308000000001,13.146960000000002,13.484022000000001
63-2802481,,,,,,,,,0,0.47812200000000005,0.6900160000000001,0.939489,1.196744,1.342004,1.7326519999999999,2.2466229999999996,2.6575139999999995,3.2585109999999995,3.4601229999999994,3.8267729999999993,4.110024999999999,4.399176,4.632982,4.967519,5.81496,6.097770000000001,6.302798000000001,6.520414000000001,6.777052,6.9294530000000005,7.307339000000001,7.5008300000000006,7.87382,8.21923,8.873678,9.545277,9.941543000000001,10.370929,11.596404,11.905887,12.421443,12.730698,12.910350000000001,13.247412
64-2802475,,,,,,,,,,0,0.211894,0.46136699999999997,0.718622,0.863882,1.25453,1.7685009999999999,2.179392,2.780389,2.982001,3.348651,3.631903,3.921054,4.15486,4.489397,5.336838,5.619648,5.824676,6.042292,6.2989299999999995,6.451331,6.829217,7.022708,7.395697999999999,7.741108,8.395556,9.067155,9.463421,9.892807,11.118281999999999,11.427764999999999,11.943321,12.252576,12.432228,12.76929
