순번_정류장ID,36-2801790,37-2801977,38-2805598,39-2802051,40-2802098,41-2802121,42-2802100,43-2806709,44-2802089,45-2802073,46-2802060,47-2804815,48-2802071,49-2802062,50-2802081,51-2802066,52-2802069,53-2802087,54-2804799,55-2802048,56-2802019,57-2801998,58-2801981,59-2801879,60-2801856,61-2801959,62-2801976,63-2801880,64-2802017,65-2801823,66-2802110,67-2801894,68-2801891,69-2801853,70-2805585,71-2805678,72-2805882,73-2806908,74-2806077,75-2805649,76-2806515,77-2806517,78-2805906,79-2806422
36-2801790,0,0.5229590000000001,0.916884,1.156281,1.6156129999999997,2.0490259999999996,2.5036559999999994,2.7040929999999994,3.0206949999999995,3.3284479999999994,3.5814789999999994,3.7356109999999996,3.9465169999999996,4.287705,4.6307849999999995,4.940619,5.215772,5.52242,5.820886000000001,6.207915000000001,6.499449000000001,6.7245370000000015,6.841083000000001,7.0511940000000015,7.263896000000002,7.465572000000002,7.741970000000002,7.998082000000002,8.164967000000003,8.889039000000002,9.217376000000002,9.419854,9.817492000000001,10.020262,10.236837000000001,10.592917000000002,10.965422000000002,11.214262000000002,11.440992000000001,11.965829000000001,12.507382000000002,12.948394000000002,13.294351000000002,13.627139000000003
37-2801977,,0,0.393925,0.6333219999999999,1.092654,1.526067,1.9806970000000002,2.181134,2.497736,2.805489,3.05852,3.2126520000000003,3.4235580000000003,3.764746,4.107826,4.417660000000001,4.692813000000001,4.999461000000001,5.297927000000001,5.6849560000000015,5.976490000000002,6.201578000000002,6.318124000000002,6.528235000000002,6.740937000000002,6.942613000000002,7.219011000000003,7.475123000000003,7.642008000000002,8.366080000000002,8.694417000000001,8.896895,9.294533000000001,9.497303,9.713878000000001,10.069958000000002,10.442463000000002,10.691303000000001,10.918033000000001,11.442870000000001,11.984423000000001,12.425435000000002,12.771392000000002,13.104180000000003
38-2805598,,,0,0.23939699999999997,0.6987289999999999,1.132142,1.586772,1.787209,2.103811,2.411564,2.664595,2.818727,3.029633,3.370821,3.713901,4.023735,4.298888000000001,4.605536000000001,4.904002000000001,5.291031000000001,5.5825650000000016,5.807653000000002,5.9241990000000015,6.134310000000002,6.347012000000002,6.548688000000002,6.825086000000002,7.081198000000002,7.248083000000002,7.9721550000000025,8.300492000000002,8.502970000000001,8.900608000000002,9.103378000000001,9.319953000000002,9.676033000000002,10.048538000000002,10.297378000000002,10.524108000000002,11.048945000000002,11.590498000000002,12.031510000000003,12.377467000000003,12.710255000000004
39-2802051,,,,0,0.45933199999999996,0.8927449999999999,1.347375,1.547812,1.864414,2.172167,2.425198,2.57933,2.790236,3.131424,3.474504,3.784338,4.059491,4.366139,4.664605000000001,5.051634000000001,5.343168000000001,5.568256000000002,5.684802000000001,5.894913000000002,6.107615000000002,6.309291000000002,6.585689000000002,6.841801000000002,7.008686000000002,7.732758000000002,8.061095000000002,8.263573000000001,8.661211000000002,8.863981,9.080556000000001,9.436636000000002,9.809141000000002,10.057981000000002,10.284711000000001,10.809548000000001,11.351101000000002,11.792113000000002,12.138070000000003,12.470858000000003
40-2802098,,,,,0,0.433413,0.888043,1.0884800000000001,1.4050820000000002,1.712835,1.9658660000000001,2.1199980000000003,2.3309040000000003,2.672092,3.015172,3.325006,3.600159,3.906807,4.205273,4.592302,4.8838360000000005,5.108924000000001,5.2254700000000005,5.435581000000001,5.648283000000001,5.849959000000001,6.126357000000001,6.382469000000001,6.549354000000001,7.273426000000001,7.601763000000001,7.804241000000001,8.201879000000002,8.404649000000001,8.621224000000002,8.977304000000002,9.349809000000002,9.598649000000002,9.825379000000002,10.350216000000001,10.891769000000002,11.332781000000002,11.678738000000003,12.011526000000003
41-2802121,,,,,,0,0.45463000000000003,0.6550670000000001,0.9716690000000001,1.279422,1.532453,1.686585,1.897491,2.238679,2.581759,2.891593,3.166746,3.473394,3.7718599999999998,4.158888999999999,4.450423,4.675511,4.792057,5.002168,5.21487,5.416546,5.692944000000001,5.949056000000001,6.115941,6.840013000000001,7.168350000000001,7.370828000000001,7.768466000000001,7.971236000000001,8.187811000000002,8.543891000000002,8.916396000000002,9.165236000000002,9.391966000000002,9.916803000000002,10.458356000000002,10.899368000000003,11.245325000000003,11.578113000000004
42-2802100,,,,,,,0,0.20043699999999998,0.517039,0.824792,1.077823,1.231955,1.442861,1.784049,2.127129,2.436963,2.712116,3.018764,3.31723,3.704259,3.995793,4.220881,4.337427,4.547538,4.7602400000000005,4.961916,5.238314000000001,5.494426000000001,5.661311,6.385383000000001,6.713720000000001,6.916198000000001,7.313836000000001,7.516606000000001,7.733181000000001,8.089261,8.461766,8.710606,8.937336,9.462173,10.003726,10.444738000000001,10.790695000000001,11.123483000000002
43-2806709,,,,,,,,0,0.316602,0.624355,0.877386,1.031518,1.242424,1.583612,1.926692,2.236526,2.511679,2.818327,3.116793,3.503822,3.795356,4.020444,4.13699,4.347101,4.5598030000000005,4.7614790000000005,5.037877000000001,5.293989000000001,5.4608740000000004,6.184946,6.513283,6.7157610000000005,7.113399,7.316169,7.532744,7.8888240000000005,8.261329,8.510169,8.736899,9.261735999999999,9.803289,10.244301,10.590258,10.923046000000001
44-2802089,,,,,,,,,0,0.307753,0.560784,0.7149159999999999,0.9258219999999999,1.26701,1.61009,1.919924,2.195077,2.501725,2.800191,3.18722,3.478754,3.703842,3.820388,4.030499,4.243201,4.444877,4.721275,4.977387,5.144272,5.8683440000000004,6.196681000000001,6.399159000000001,6.796797000000001,6.999567000000001,7.2161420000000005,7.572222000000001,7.944727000000001,8.193567000000002,8.420297000000001,8.945134000000001,9.486687000000002,9.927699000000002,10.273656000000003,10.606444000000003
45-2802073,,,,,,,,,,0,0.253031,0.407163,0.618069,0.959257,1.302337,1.612171,1.887324,2.193972,2.492438,2.879467,3.171001,3.396089,3.512635,3.722746,3.935448,4.137124,4.413522,4.669634,4.836519,5.5605910000000005,5.888928000000001,6.091406000000001,6.489044000000001,6.691814000000001,6.908389000000001,7.264469000000001,7.636974000000001,7.885814000000002,8.112544000000002,8.637381000000001,9.178934000000002,9.619946000000002,9.965903000000003,10.298691000000003
