순번_정류장ID,18-2802101,19-2802104,20-2802081,21-2802044,22-2801906,23-2802004,24-2802000,25-2803783,26-2803785,27-2805590,28-2803787,29-2803788,30-2806869,31-2805589,32-2803786,33-2803784,34-2803782,35-2803780,36-2805430,37-2805431
18-2802101,0,0.431055,1.091456,1.827947,2.022117,2.406669,3.406517,4.080427,4.379106,5.207396,5.752997000000001,6.248017000000001,6.577897000000001,6.892109000000001,7.544533000000001,7.885396000000001,8.517081000000001,8.827381,9.208747,9.952126
19-2802104,,0,0.660401,1.396892,1.591062,1.975614,2.975462,3.6493719999999996,3.9480509999999995,4.7763409999999995,5.321942,5.816962,6.146842,6.461054000000001,7.113478000000001,7.454341,8.086026,8.396326,8.777692,9.521071
20-2802081,,,0,0.736491,0.930661,1.315213,2.315061,2.9889710000000003,3.28765,4.11594,4.661541,5.156561,5.486441,5.8006530000000005,6.453077,6.79394,7.425625,7.735925,8.117291,8.860669999999999
21-2802044,,,,0,0.19417,0.578722,1.57857,2.2524800000000003,2.551159,3.379449,3.92505,4.42007,4.74995,5.0641620000000005,5.716586,6.057449,6.689134,6.999434,7.3808,8.124179
22-2801906,,,,,0,0.384552,1.3843999999999999,2.0583099999999996,2.3569889999999996,3.1852789999999995,3.7308799999999995,4.225899999999999,4.5557799999999995,4.869992,5.522416,5.8632789999999995,6.4949639999999995,6.805263999999999,7.186629999999999,7.930008999999999
23-2802004,,,,,,0,0.999848,1.6737579999999999,1.9724369999999998,2.8007269999999997,3.3463279999999997,3.8413479999999995,4.171227999999999,4.48544,5.1378639999999995,5.478726999999999,6.110411999999999,6.420711999999999,6.802077999999999,7.545456999999999
24-2802000,,,,,,,0,0.67391,0.9725889999999999,1.800879,2.3464799999999997,2.8414999999999995,3.1713799999999996,3.4855919999999996,4.1380159999999995,4.478878999999999,5.110563999999999,5.420863999999999,5.802229999999999,6.545608999999999
25-2803783,,,,,,,,0,0.298679,1.1269689999999999,1.67257,2.1675899999999997,2.49747,2.811682,3.4641059999999997,3.804969,4.436654,4.746954,5.1283199999999995,5.871699
26-2803785,,,,,,,,,0,0.82829,1.373891,1.868911,2.198791,2.513003,3.1654269999999998,3.50629,4.137975,4.448275,4.829641,5.57302
27-2805590,,,,,,,,,,0,0.545601,1.040621,1.370501,1.684713,2.337137,2.678,3.309685,3.619985,4.001351,4.74473
28-2803787,,,,,,,,,,,0,0.49501999999999996,0.8249,1.139112,1.7915359999999998,2.132399,2.764084,3.0743840000000002,3.45575,4.199129
29-2803788,,,,,,,,,,,,0,0.32988,0.644092,1.296516,1.6373790000000001,2.269064,2.579364,2.96073,3.704109
30-2806869,,,,,,,,,,,,,0,0.314212,0.966636,1.307499,1.939184,2.249484,2.6308499999999997,3.3742289999999997
31-2805589,,,,,,,,,,,,,,0,0.652424,0.993287,1.624972,1.935272,2.316638,3.060017
32-2803786,,,,,,,,,,,,,,,0,0.340863,0.9725480000000001,1.282848,1.6642139999999999,2.407593
33-2803784,,,,,,,,,,,,,,,,0,0.631685,0.9419850000000001,1.3233510000000002,2.06673
34-2803782,,,,,,,,,,,,,,,,,0,0.3103,0.691666,1.4350450000000001
35-2803780,,,,,,,,,,,,,,,,,,0,0.381366,1.1247449999999999
36-2805430,,,,,,,,,,,,,,,,,,,0,0.743379
37-2805431,,,,,,,,,,,,,,,,,,,,0
