순번_정류장ID,15-2806750,16-2802786,17-2802779,18-2802765,19-2802746,20-2802633,21-2802772,22-2802788,23-2802805,24-2802836,25-2802837,26-2802838,27-2802852,28-2802880,29-2802890,30-2802893
15-2806750,0,0.386959,0.752759,1.140374,1.441391,1.605112,2.476907,2.814553,3.082356,3.569356,4.146451,4.444641,4.6807989999999995,5.114801,5.358784,5.680288
16-2802786,,0,0.3658,0.753415,1.054432,1.218153,2.089948,2.427594,2.695397,3.182397,3.759492,4.057682,4.293839999999999,4.727842,4.971825,5.293329
17-2802779,,,0,0.387615,0.688632,0.852353,1.724148,2.061794,2.3295969999999997,2.816597,3.3936919999999997,3.6918819999999997,3.9280399999999998,4.362042,4.606025,4.927529
18-2802765,,,,0,0.30101700000000003,0.46473800000000004,1.3365330000000002,1.674179,1.941982,2.428982,3.006077,3.304267,3.540425,3.974427,4.2184099999999995,4.539914
19-2802746,,,,,0,0.163721,1.035516,1.3731620000000002,1.6409650000000002,2.127965,2.70506,3.00325,3.239408,3.67341,3.917393,4.238897
20-2802633,,,,,,0,0.8717950000000001,1.209441,1.477244,1.964244,2.5413390000000002,2.839529,3.0756870000000003,3.5096890000000003,3.7536720000000003,4.075176000000001
21-2802772,,,,,,,0,0.337646,0.605449,1.092449,1.6695440000000001,1.967734,2.203892,2.637894,2.8818770000000002,3.2033810000000003
22-2802788,,,,,,,,0,0.267803,0.7548030000000001,1.3318980000000002,1.6300880000000002,1.8662460000000003,2.3002480000000003,2.5442310000000004,2.8657350000000004
23-2802805,,,,,,,,,0,0.48700000000000004,1.064095,1.362285,1.598443,2.032445,2.276428,2.597932
24-2802836,,,,,,,,,,0,0.577095,0.8752850000000001,1.111443,1.545445,1.789428,2.110932
25-2802837,,,,,,,,,,,0,0.29819,0.534348,0.96835,1.212333,1.5338370000000001
26-2802838,,,,,,,,,,,,0,0.23615799999999998,0.6701600000000001,0.9141430000000001,1.2356470000000002
27-2802852,,,,,,,,,,,,,0,0.43400200000000005,0.6779850000000001,0.9994890000000001
28-2802880,,,,,,,,,,,,,,0,0.243983,0.5654870000000001
29-2802890,,,,,,,,,,,,,,,0,0.321504
30-2802893,,,,,,,,,,,,,,,,0
