순번_정류장ID,1-2801418,2-2801431,3-2801452,4-2801487,5-2801510,6-2801523,7-2801563,8-2801598,9-2801623,10-2801653,11-2801676,12-2801186,13-2801710,14-2801727,15-2801744
1-2801418,0,0.213046,0.537961,0.704971,0.935746,1.370288,1.538333,1.792135,1.960888,2.324605,2.727399,2.963654,3.208108,3.721952,4.186351
2-2801431,,0,0.324915,0.491925,0.7227,1.157242,1.325287,1.5790890000000002,1.7478420000000001,2.111559,2.5143530000000003,2.750608,2.9950620000000003,3.5089060000000005,3.9733050000000003
3-2801452,,,0,0.16701,0.397785,0.832327,1.000372,1.254174,1.4229269999999998,1.786644,2.189438,2.425693,2.670147,3.183991,3.6483899999999996
4-2801487,,,,0,0.230775,0.6653169999999999,0.8333619999999999,1.087164,1.255917,1.619634,2.022428,2.258683,2.503137,3.0169810000000004,3.48138
5-2801510,,,,,0,0.434542,0.602587,0.856389,1.025142,1.388859,1.7916530000000002,2.027908,2.272362,2.786206,3.2506049999999997
6-2801523,,,,,,0,0.168045,0.42184699999999997,0.5906,0.9543170000000001,1.3571110000000002,1.5933660000000003,1.8378200000000002,2.3516640000000004,2.816063
7-2801563,,,,,,,0,0.25380199999999997,0.42255499999999996,0.786272,1.189066,1.425321,1.669775,2.183619,2.648018
8-2801598,,,,,,,,0,0.168753,0.53247,0.935264,1.171519,1.415973,1.929817,2.3942159999999997
9-2801623,,,,,,,,,0,0.363717,0.7665109999999999,1.002766,1.24722,1.761064,2.225463
10-2801653,,,,,,,,,,0,0.402794,0.639049,0.8835029999999999,1.397347,1.861746
11-2801676,,,,,,,,,,,0,0.23625500000000002,0.48070900000000005,0.994553,1.458952
12-2801186,,,,,,,,,,,,0,0.244454,0.7582979999999999,1.222697
13-2801710,,,,,,,,,,,,,0,0.513844,0.978243
14-2801727,,,,,,,,,,,,,,0,0.46439899999999995
15-2801744,,,,,,,,,,,,,,,0
