순번_정류장ID,1-2801174,2-2801729,3-2801714,4-2801712,5-2801701,6-2805300,7-2801168,8-2801686,9-2801182,10-2801679,11-2801662,12-2801655,13-2801660,14-2801669,15-2801633,16-2801192,17-2801636,18-2801601,19-2801541,20-2801577,21-2801607
1-2801174,0,0.23830300000000001,0.612555,0.724621,1.00745,1.133246,1.27814,1.533198,1.7319390000000001,1.91547,2.244013,2.474669,2.816294,3.120639,3.7997520000000002,4.051306,4.417245,4.712131,5.181456000000001,5.446350000000001,5.764036000000001
2-2801729,,0,0.374252,0.486318,0.769147,0.894943,1.0398370000000001,1.2948950000000001,1.4936360000000002,1.6771670000000003,2.00571,2.2363660000000003,2.5779910000000004,2.8823360000000005,3.5614490000000005,3.8130030000000006,4.178942000000001,4.473828000000001,4.943153000000001,5.2080470000000005,5.525733000000001
3-2801714,,,0,0.11206600000000001,0.394895,0.520691,0.665585,0.920643,1.119384,1.302915,1.631458,1.862114,2.203739,2.508084,3.1871970000000003,3.4387510000000003,3.8046900000000003,4.099576000000001,4.568901,4.833795,5.151481
4-2801712,,,,0,0.282829,0.408625,0.553519,0.808577,1.007318,1.190849,1.519392,1.750048,2.091673,2.396018,3.0751310000000003,3.3266850000000003,3.6926240000000004,3.9875100000000003,4.456835,4.721729,5.039415
5-2801701,,,,,0,0.125796,0.27069,0.525748,0.7244889999999999,0.9080199999999999,1.2365629999999999,1.4672189999999998,1.808844,2.1131889999999998,2.792302,3.043856,3.409795,3.704681,4.174006,4.4389,4.756586
6-2805300,,,,,,0,0.144894,0.399952,0.5986929999999999,0.7822239999999999,1.1107669999999998,1.3414229999999998,1.6830479999999999,1.987393,2.666506,2.91806,3.283999,3.578885,4.04821,4.313104,4.63079
7-2801168,,,,,,,0,0.255058,0.453799,0.63733,0.965873,1.196529,1.538154,1.842499,2.521612,2.7731660000000002,3.1391050000000003,3.4339910000000002,3.9033160000000002,4.16821,4.485896
8-2801686,,,,,,,,0,0.198741,0.382272,0.710815,0.941471,1.283096,1.587441,2.266554,2.5181080000000002,2.8840470000000002,3.1789330000000002,3.6482580000000002,3.913152,4.230838
9-2801182,,,,,,,,,0,0.183531,0.5120739999999999,0.7427299999999999,1.084355,1.3887,2.067813,2.319367,2.685306,2.980192,3.449517,3.714411,4.032097
10-2801679,,,,,,,,,,0,0.328543,0.559199,0.9008240000000001,1.2051690000000002,1.8842820000000002,2.1358360000000003,2.5017750000000003,2.7966610000000003,3.2659860000000003,3.5308800000000002,3.8485660000000004
11-2801662,,,,,,,,,,,0,0.230656,0.572281,0.876626,1.555739,1.807293,2.173232,2.468118,2.937443,3.202337,3.520023
12-2801655,,,,,,,,,,,,0,0.341625,0.6459699999999999,1.3250829999999998,1.5766369999999998,1.9425759999999999,2.237462,2.706787,2.971681,3.289367
13-2801660,,,,,,,,,,,,,0,0.304345,0.9834579999999999,1.235012,1.600951,1.895837,2.3651619999999998,2.6300559999999997,2.947742
14-2801669,,,,,,,,,,,,,,0,0.679113,0.9306669999999999,1.296606,1.591492,2.060817,2.325711,2.643397
15-2801633,,,,,,,,,,,,,,,0,0.251554,0.6174930000000001,0.912379,1.381704,1.646598,1.9642840000000001
16-2801192,,,,,,,,,,,,,,,,0,0.365939,0.660825,1.13015,1.395044,1.71273
17-2801636,,,,,,,,,,,,,,,,,0,0.29488600000000004,0.764211,1.029105,1.346791
18-2801601,,,,,,,,,,,,,,,,,,0,0.469325,0.734219,1.051905
19-2801541,,,,,,,,,,,,,,,,,,,0,0.264894,0.5825800000000001
20-2801577,,,,,,,,,,,,,,,,,,,,0,0.317686
21-2801607,,,,,,,,,,,,,,,,,,,,,0
