순번_정류장ID,1-2804988,2-2804989,3-2801267,4-2805951,5-2805952,6-2801278,7-2801295,8-2801313,9-2801175,10-2801333,11-2801340,12-2801361,13-2801373,14-2801382,15-2801402,16-2801437,17-2801457,18-2801477,19-2801517,20-2801541,21-2801577,22-2801607,23-2801626,24-2801663,25-2801672,26-2801691,27-2801718,28-2801744,29-2801725,30-2801708,31-2801694,32-2801196,33-2801657,34-2801618,35-2801596,36-2801554,37-2801187,38-2801581,39-2801606,40-2800694,41-2800708,42-2800710
1-2804988,0,0.6173770000000001,1.18465,1.538704,1.748195,2.018487,2.263965,2.5995709999999996,2.7543429999999995,3.0688319999999996,3.3367949999999995,3.7863599999999993,4.0235199999999995,4.262073999999999,4.581811999999999,4.8825639999999995,5.097246999999999,5.282331999999999,5.615059,6.026731,6.291625,6.609311,6.797463,7.260847,7.552068,8.156795,8.473945,9.044548,9.508947000000001,9.758562000000001,10.002221,10.390052,10.778173,10.988924,11.194191,11.70068,11.876223,12.083888,12.500769,13.4439,13.896851999999999,14.209064
2-2804989,,0,0.5672729999999999,0.9213269999999999,1.1308179999999999,1.4011099999999999,1.646588,1.982194,2.136966,2.451455,2.719418,3.168983,3.4061429999999997,3.644697,3.964435,4.265187,4.47987,4.664955,4.997682,5.409354,5.674248,5.9919340000000005,6.180086,6.643470000000001,6.934691000000001,7.539418000000001,7.856568000000001,8.427171000000001,8.891570000000002,9.141185000000002,9.384844000000001,9.772675000000001,10.160796000000001,10.371547000000001,10.576814,11.083303,11.258846,11.466511,11.883392,12.826523,13.279475,13.591687
3-2801267,,,0,0.354054,0.563545,0.8338369999999999,1.079315,1.414921,1.569693,1.884182,2.152145,2.6017099999999997,2.8388699999999996,3.0774239999999997,3.397162,3.697914,3.912597,4.097682,4.430409,4.842081,5.106975,5.424661,5.612813,6.0761970000000005,6.367418000000001,6.972145000000001,7.289295000000001,7.859898000000001,8.324297000000001,8.573912000000002,8.817571000000001,9.205402000000001,9.593523000000001,9.804274000000001,10.009541,10.51603,10.691573,10.899238,11.316119,12.25925,12.712202,13.024414
4-2805951,,,,0,0.20949099999999998,0.479783,0.725261,1.060867,1.215639,1.530128,1.7980909999999999,2.2476559999999997,2.4848159999999995,2.7233699999999996,3.0431079999999997,3.34386,3.558543,3.7436279999999997,4.0763549999999995,4.488027,4.752921,5.070607,5.2587589999999995,5.722142999999999,6.013363999999999,6.618091,6.9352409999999995,7.505844,7.970243,8.219858,8.463517,8.851348,9.239469,9.45022,9.655486999999999,10.161976,10.337518999999999,10.545183999999999,10.962064999999999,11.905195999999998,12.358147999999998,12.670359999999999
5-2805952,,,,,0,0.27029200000000003,0.5157700000000001,0.8513760000000001,1.006148,1.320637,1.5886,2.038165,2.2753249999999996,2.5138789999999998,2.833617,3.134369,3.349052,3.534137,3.8668639999999996,4.278536,4.54343,4.861116,5.049268,5.512651999999999,5.803872999999999,6.4086,6.72575,7.296353,7.760752,8.010367,8.254026,8.641857,9.029978,9.240729,9.445996,9.952485,10.128027999999999,10.335693,10.752574,11.695704999999998,12.148656999999998,12.460868999999999
6-2801278,,,,,,0,0.24547800000000003,0.581084,0.7358560000000001,1.050345,1.318308,1.767873,2.005033,2.243587,2.5633250000000003,2.8640770000000004,3.0787600000000004,3.2638450000000003,3.596572,4.008244,4.273138,4.5908240000000005,4.778976,5.24236,5.533581,6.138308,6.455458,7.026061,7.490460000000001,7.740075000000001,7.983734000000001,8.371565,8.759686,8.970437,9.175704,9.682193,9.857736,10.065401,10.482282,11.425412999999999,11.878364999999999,12.190577
7-2801295,,,,,,,0,0.335606,0.490378,0.804867,1.07283,1.522395,1.759555,1.998109,2.317847,2.618599,2.833282,3.018367,3.351094,3.762766,4.02766,4.345346,4.533498,4.996881999999999,5.2881029999999996,5.89283,6.20998,6.780583,7.244982,7.494597000000001,7.738256000000001,8.126087,8.514208,8.724959,8.930226,9.436715,9.612257999999999,9.819923,10.236804,11.179934999999999,11.632886999999998,11.945098999999999
8-2801313,,,,,,,,0,0.154772,0.46926099999999993,0.7372239999999999,1.1867889999999999,1.423949,1.6625029999999998,1.982241,2.282993,2.497676,2.6827609999999997,3.0154879999999995,3.4271599999999998,3.6920539999999997,4.00974,4.1978919999999995,4.661275999999999,4.952496999999999,5.557224,5.8743739999999995,6.444977,6.909376,7.158991,7.40265,7.790481000000001,8.178602000000001,8.389353000000002,8.59462,9.101109000000001,9.276652,9.484317,9.901198,10.844329,11.297281,11.609493
9-2801175,,,,,,,,,0,0.31448899999999996,0.582452,1.032017,1.269177,1.507731,1.827469,2.128221,2.342904,2.527989,2.860716,3.2723880000000003,3.5372820000000003,3.8549680000000004,4.04312,4.506504,4.797725,5.402452,5.719602,6.290205,6.7546040000000005,7.004219000000001,7.247878000000001,7.635709000000001,8.023830000000002,8.234581000000002,8.439848000000001,8.946337000000002,9.12188,9.329545000000001,9.746426000000001,10.689557,11.142509,11.454721000000001
10-2801333,,,,,,,,,,0,0.267963,0.7175279999999999,0.954688,1.193242,1.51298,1.813732,2.028415,2.2135,2.546227,2.9578990000000003,3.2227930000000002,3.5404790000000004,3.7286310000000005,4.1920150000000005,4.483236000000001,5.087963,5.405113,5.975716,6.4401150000000005,6.689730000000001,6.933389000000001,7.321220000000001,7.709341000000001,7.920092000000001,8.125359000000001,8.631848000000002,8.807391,9.015056000000001,9.431937000000001,10.375068,10.82802,11.140232000000001
11-2801340,,,,,,,,,,,0,0.44956499999999994,0.6867249999999999,0.925279,1.245017,1.545769,1.760452,1.9455369999999998,2.278264,2.6899360000000003,2.9548300000000003,3.2725160000000004,3.4606680000000005,3.9240520000000005,4.215273000000001,4.82,5.13715,5.707753,6.1721520000000005,6.421767000000001,6.665426000000001,7.053257000000001,7.441378000000001,7.652129000000001,7.857396000000001,8.363885000000002,8.539428000000001,8.747093000000001,9.163974000000001,10.107105,10.560057,10.872269000000001
12-2801361,,,,,,,,,,,,0,0.23715999999999998,0.47571399999999997,0.795452,1.0962040000000002,1.3108870000000001,1.495972,1.828699,2.240371,2.505265,2.822951,3.0111030000000003,3.4744870000000003,3.7657080000000005,4.3704350000000005,4.687585,5.2581880000000005,5.722587000000001,5.972202000000001,6.215861000000001,6.6036920000000014,6.991813000000001,7.2025640000000015,7.407831000000002,7.914320000000002,8.089863000000001,8.297528000000002,8.714409000000002,9.657540000000001,10.110492,10.422704000000001
13-2801373,,,,,,,,,,,,,0,0.238554,0.558292,0.859044,1.073727,1.258812,1.591539,2.0032110000000003,2.2681050000000003,2.5857910000000004,2.7739430000000005,3.2373270000000005,3.5285480000000007,4.133275000000001,4.450425000000001,5.021028000000001,5.485427000000001,5.735042000000002,5.978701000000002,6.366532000000002,6.754653000000002,6.965404000000002,7.170671000000002,7.677160000000002,7.852703000000003,8.060368000000002,8.477249000000002,9.420380000000002,9.873332000000001,10.185544000000002
14-2801382,,,,,,,,,,,,,,0,0.319738,0.62049,0.8351729999999999,1.0202579999999999,1.3529849999999999,1.764657,2.029551,2.3472370000000002,2.5353890000000003,2.9987730000000004,3.2899940000000005,3.8947210000000005,4.211871,4.782474000000001,5.246873000000001,5.496488000000001,5.740147000000001,6.1279780000000015,6.516099000000001,6.7268500000000016,6.932117000000002,7.438606000000002,7.614149000000002,7.8218140000000025,8.238695000000003,9.181826000000003,9.634778000000003,9.946990000000003
15-2801402,,,,,,,,,,,,,,,0,0.300752,0.515435,0.70052,1.033247,1.444919,1.709813,2.027499,2.2156510000000003,2.6790350000000003,2.9702560000000005,3.5749830000000005,3.8921330000000003,4.4627360000000005,4.927135000000001,5.176750000000001,5.420409000000001,5.808240000000001,6.196361000000001,6.4071120000000015,6.612379000000002,7.118868000000002,7.294411000000002,7.502076000000002,7.9189570000000025,8.862088000000002,9.315040000000002,9.627252000000002
16-2801437,,,,,,,,,,,,,,,,0,0.21468299999999998,0.399768,0.732495,1.144167,1.409061,1.726747,1.9148990000000001,2.378283,2.6695040000000003,3.2742310000000003,3.591381,4.161984,4.626383000000001,4.875998000000001,5.119657000000001,5.507488000000001,5.895609000000001,6.106360000000001,6.311627000000001,6.818116000000002,6.993659000000002,7.201324000000002,7.618205000000002,8.561336000000002,9.014288000000002,9.326500000000003
17-2801457,,,,,,,,,,,,,,,,,0,0.185085,0.5178119999999999,0.929484,1.194378,1.512064,1.7002160000000002,2.1636,2.4548210000000004,3.0595480000000004,3.376698,3.9473010000000004,4.411700000000001,4.661315000000001,4.904974000000001,5.292805000000001,5.680926000000001,5.891677000000001,6.0969440000000015,6.603433000000002,6.778976000000002,6.986641000000002,7.403522000000002,8.346653000000002,8.799605000000001,9.111817000000002
18-2801477,,,,,,,,,,,,,,,,,,0,0.332727,0.744399,1.009293,1.3269790000000001,1.5151310000000002,1.9785150000000002,2.2697360000000004,2.8744630000000004,3.1916130000000003,3.7622160000000004,4.226615000000001,4.476230000000001,4.719889000000001,5.107720000000001,5.495841000000001,5.706592000000001,5.9118590000000015,6.418348000000002,6.593891000000002,6.801556000000002,7.218437000000002,8.161568000000003,8.614520000000002,8.926732000000003
19-2801517,,,,,,,,,,,,,,,,,,,0,0.41167200000000004,0.676566,0.994252,1.182404,1.645788,1.937009,2.541736,2.858886,3.4294890000000002,3.893888,4.143503,4.387162,4.774993,5.163114,5.373865,5.579132,6.085621000000001,6.261164000000001,6.468829000000001,6.885710000000001,7.8288410000000015,8.281793000000002,8.594005000000003
20-2801541,,,,,,,,,,,,,,,,,,,,0,0.264894,0.5825800000000001,0.7707320000000001,1.2341160000000002,1.5253370000000002,2.130064,2.447214,3.017817,3.4822159999999998,3.7318309999999997,3.9754899999999997,4.363321,4.751442,4.962193,5.16746,5.673949,5.849492000000001,6.057157000000001,6.474038000000001,7.417169000000001,7.870121000000001,8.182333000000002
21-2801577,,,,,,,,,,,,,,,,,,,,,0,0.317686,0.505838,0.969222,1.260443,1.86517,2.18232,2.752923,3.217322,3.4669369999999997,3.710596,4.098427,4.486548,4.697299,4.902566,5.409055,5.584598000000001,5.792263000000001,6.209144000000001,7.152275000000001,7.605227000000001,7.917439000000001
22-2801607,,,,,,,,,,,,,,,,,,,,,,0,0.18815199999999999,0.651536,0.9427570000000001,1.547484,1.8646340000000001,2.435237,2.8996359999999997,3.1492509999999996,3.3929099999999996,3.7807409999999995,4.168862,4.379613,4.58488,5.091369,5.2669120000000005,5.474577000000001,5.891458000000001,6.834589000000001,7.287541000000001,7.599753000000001
23-2801626,,,,,,,,,,,,,,,,,,,,,,,0,0.463384,0.754605,1.359332,1.676482,2.247085,2.711484,2.961099,3.204758,3.592589,3.9807099999999997,4.191460999999999,4.3967279999999995,4.903217,5.07876,5.286425,5.703306,6.646437000000001,7.099389,7.411601
24-2801663,,,,,,,,,,,,,,,,,,,,,,,,0,0.291221,0.895948,1.213098,1.783701,2.2481,2.497715,2.741374,3.129205,3.5173259999999997,3.728077,3.933344,4.439833,4.615376,4.823041000000001,5.239922000000001,6.183053000000001,6.636005000000001,6.9482170000000005
25-2801672,,,,,,,,,,,,,,,,,,,,,,,,,0,0.604727,0.9218770000000001,1.49248,1.956879,2.206494,2.4501530000000002,2.837984,3.226105,3.436856,3.642123,4.148612,4.324155,4.531820000000001,4.948701000000001,5.891832000000001,6.344784000000001,6.656996
26-2801691,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.31715,0.887753,1.352152,1.601767,1.845426,2.233257,2.621378,2.832129,3.037396,3.5438850000000004,3.7194280000000006,3.9270930000000006,4.343974000000001,5.287105000000001,5.740057000000001,6.052269000000001
27-2801718,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.570603,1.035002,1.284617,1.528276,1.916107,2.304228,2.5149790000000003,2.7202460000000004,3.2267350000000006,3.402278000000001,3.609943000000001,4.026824000000001,4.9699550000000015,5.422907000000001,5.735119000000001
28-2801744,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.46439899999999995,0.7140139999999999,0.957673,1.345504,1.733625,1.944376,2.149643,2.6561320000000004,2.8316750000000006,3.0393400000000006,3.4562210000000007,4.399352,4.852304,5.164516
29-2801725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.249615,0.493274,0.881105,1.269226,1.4799769999999999,1.685244,2.191733,2.3672760000000004,2.5749410000000004,2.9918220000000004,3.934953,4.387905,4.700117
30-2801708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24365900000000001,0.63149,1.019611,1.230362,1.435629,1.9421180000000002,2.117661,2.325326,2.742207,3.685338,4.13829,4.450501999999999
