순번_정류장ID,1-2801292,2-2801313,3-2801175,4-2801333,5-2801158,6-2801367,7-2801346,8-2801335,9-2801377,10-2801392,11-2801397,12-2801410,13-2801427,14-2801443,15-2801471,16-2801475,17-2801483,18-2801502,19-2801525,20-2801540,21-2801559,22-2801587,23-2801614,24-2801192,25-2801636,26-2801601,27-2801541,28-2801577,29-2801607,30-2801626
1-2801292,0,0.31467399999999995,0.4694459999999999,0.7839349999999998,1.0760279999999998,1.5163049999999998,2.030564,2.247496,2.600797,2.845828,2.974345,3.15084,3.292405,3.489535,3.713444,3.862129,3.9994229999999997,4.209457,4.369832,4.49207,4.569796,4.709901,5.0098,5.518683,5.884622,6.179508,6.648833,6.913727,7.231413,7.4195649999999995
2-2801313,,0,0.154772,0.46926099999999993,0.7613539999999999,1.201631,1.71589,1.9328219999999998,2.286123,2.531154,2.659671,2.836166,2.977731,3.174861,3.39877,3.547455,3.6847489999999996,3.8947829999999994,4.055158,4.177396,4.255122,4.395227,4.695126,5.204009,5.569948,5.864834,6.334159,6.599053,6.916739,7.104890999999999
3-2801175,,,0,0.31448899999999996,0.606582,1.046859,1.561118,1.77805,2.131351,2.376382,2.504899,2.681394,2.822959,3.020089,3.243998,3.392683,3.5299769999999997,3.7400109999999995,3.9003859999999997,4.0226239999999995,4.10035,4.240455,4.540354,5.049237,5.415176,5.710062,6.179387,6.444281,6.761967,6.950119
4-2801333,,,,0,0.292093,0.73237,1.246629,1.463561,1.816862,2.061893,2.19041,2.366905,2.50847,2.7056,2.929509,3.078194,3.2154879999999997,3.4255219999999995,3.5858969999999997,3.7081349999999995,3.7858609999999997,3.925966,4.225865,4.734748,5.100687,5.395573,5.864898,6.129792,6.447478,6.63563
5-2801158,,,,,0,0.44027700000000003,0.954536,1.171468,1.524769,1.7698,1.898317,2.074812,2.216377,2.413507,2.637416,2.786101,2.9233949999999997,3.1334289999999996,3.2938039999999997,3.4160419999999996,3.4937679999999998,3.633873,3.933772,4.442655,4.808594,5.10348,5.572805000000001,5.837699000000001,6.155385000000001,6.343537
6-2801367,,,,,,0,0.514259,0.731191,1.084492,1.329523,1.45804,1.634535,1.7761,1.97323,2.197139,2.345824,2.4831179999999997,2.6931519999999995,2.8535269999999997,2.9757649999999995,3.0534909999999997,3.193596,3.493495,4.002378,4.368317,4.663203,5.132528000000001,5.397422000000001,5.715108000000001,5.90326
7-2801346,,,,,,,0,0.216932,0.570233,0.815264,0.943781,1.120276,1.261841,1.458971,1.68288,1.8315649999999999,1.968859,2.178893,2.339268,2.461506,2.539232,2.6793370000000003,2.979236,3.488119,3.854058,4.148944,4.618269,4.883163,5.200849,5.3890009999999995
8-2801335,,,,,,,,0,0.35330100000000003,0.5983320000000001,0.7268490000000001,0.9033440000000001,1.044909,1.2420390000000001,1.465948,1.614633,1.751927,1.961961,2.1223360000000002,2.244574,2.3223000000000003,2.4624050000000004,2.7623040000000003,3.2711870000000003,3.6371260000000003,3.9320120000000003,4.401337,4.666231,4.983917,5.172069
9-2801377,,,,,,,,,0,0.245031,0.373548,0.5500430000000001,0.691608,0.888738,1.112647,1.261332,1.398626,1.60866,1.769035,1.891273,1.968999,2.109104,2.409003,2.9178859999999998,3.2838249999999998,3.5787109999999998,4.048036,4.31293,4.630616,4.8187679999999995
10-2801392,,,,,,,,,,0,0.12851700000000002,0.30501200000000006,0.44657700000000006,0.643707,0.867616,1.0163010000000001,1.1535950000000001,1.3636290000000002,1.5240040000000001,1.6462420000000002,1.7239680000000002,1.864073,2.1639720000000002,2.672855,3.038794,3.33368,3.803005,4.067899000000001,4.385585000000001,4.573737
11-2801397,,,,,,,,,,,0,0.176495,0.31806,0.51519,0.7390990000000001,0.887784,1.025078,1.235112,1.395487,1.517725,1.595451,1.7355559999999999,2.035455,2.5443379999999998,2.910277,3.2051629999999998,3.6744879999999998,3.9393819999999997,4.257067999999999,4.445219999999999
12-2801410,,,,,,,,,,,,0,0.141565,0.33869499999999997,0.562604,0.711289,0.848583,1.058617,1.2189919999999999,1.34123,1.4189559999999999,1.5590609999999998,1.8589599999999997,2.3678429999999997,2.7337819999999997,3.0286679999999997,3.4979929999999997,3.7628869999999996,4.080572999999999,4.268724999999999
13-2801427,,,,,,,,,,,,,0,0.19713,0.42103900000000005,0.569724,0.707018,0.9170520000000001,1.0774270000000001,1.1996650000000002,1.2773910000000002,1.417496,1.717395,2.2262779999999998,2.5922169999999998,2.8871029999999998,3.3564279999999997,3.6213219999999997,3.939008,4.12716
