순번_정류장ID,1-2804988,2-2804989,3-2801243,4-2801242,5-2801247,6-2801249,7-2801253,8-2801256,9-2801265,10-2801273,11-2801294,12-2801318,13-2801325,14-2801351,15-2801363,16-2801379,17-2801433,18-2801465,19-2805642,20-2801563,21-2801598,22-2801623,23-2801653,24-2801676,25-2801186,26-2801710,27-2801727,28-2801745,29-2806034,30-2801174,31-2801722,32-2801714,33-2801712,34-2801701,35-2805300,36-2801168,37-2801686,38-2801182,39-2801662,40-2801640,41-2801579,42-2801521,43-2800236,44-2801472,45-2801453,46-2801416,47-2801198,48-2801378,49-2801197,50-2801346,51-2801327,52-2801308,53-2801284,54-2801274,55-2801269,56-2805502,57-2801259
1-2804988,0,0.6173770000000001,1.042229,1.216903,1.534773,1.810532,2.086481,2.449262,2.739053,2.878639,3.2465360000000003,3.692724,3.873135,4.686782,5.094444,5.368617,5.877938,6.210124,6.6007240000000005,6.896883000000001,7.064928000000001,7.318730000000001,7.487483000000001,7.851200000000001,8.253994,8.490249,8.734703,9.238420999999999,9.595659,10.296274,10.667108,10.90883,11.020896,11.303725,11.429521,11.574415,11.829473,12.028214,12.540288,12.768119,13.334895000000001,13.522578000000001,13.791597000000001,14.137651000000002,14.412572000000003,14.779626000000002,14.982627000000003,15.394435000000003,15.663438000000003,16.021464,16.281594000000002,16.532778,16.999085,17.22547,17.432054,17.670393,17.893164000000002
2-2804989,,0,0.42485200000000006,0.599526,0.917396,1.193155,1.469104,1.831885,2.121676,2.261262,2.629159,3.075347,3.2557579999999997,4.069405,4.477067,4.75124,5.260561,5.592747,5.983347,6.2795060000000005,6.447551000000001,6.701353000000001,6.870106000000001,7.233823000000001,7.636617000000001,7.872872000000001,8.117326,8.621044,8.978282,9.678897,10.049731,10.291452999999999,10.403519,10.686347999999999,10.812143999999998,10.957037999999999,11.212095999999999,11.410836999999999,11.922911,12.150742,12.717518,12.905201,13.17422,13.520274,13.795195000000001,14.162249000000001,14.365250000000001,14.777058000000002,15.046061000000002,15.404087000000002,15.664217000000002,15.915401000000003,16.381708000000003,16.608093000000004,16.814677000000003,17.053016000000003,17.275787000000005
3-2801243,,,0,0.174674,0.492544,0.768303,1.044252,1.407033,1.6968239999999999,1.8364099999999999,2.204307,2.6504950000000003,2.830906,3.644553,4.052215,4.326388000000001,4.8357090000000005,5.167895000000001,5.558495000000001,5.854654000000001,6.022699000000001,6.276501000000001,6.445254000000001,6.808971000000001,7.2117650000000015,7.448020000000001,7.692474000000002,8.196192000000002,8.553430000000002,9.254045000000001,9.624879000000002,9.866601000000001,9.978667000000002,10.261496000000001,10.387292,10.532186000000001,10.787244000000001,10.985985000000001,11.498059000000001,11.725890000000001,12.292666000000002,12.480349000000002,12.749368000000002,13.095422000000003,13.370343000000004,13.737397000000003,13.940398000000004,14.352206000000004,14.621209000000004,14.979235000000005,15.239365000000005,15.490549000000005,15.956856000000005,16.183241000000006,16.389825000000005,16.628164000000005,16.850935000000007
4-2801242,,,,0,0.31787,0.593629,0.869578,1.232359,1.52215,1.6617359999999999,2.029633,2.475821,2.6562319999999997,3.4698789999999997,3.877541,4.151714,4.661035,4.993221,5.383821,5.6799800000000005,5.848025000000001,6.101827000000001,6.270580000000001,6.634297000000001,7.037091000000001,7.273346000000001,7.517800000000001,8.021518,8.378756000000001,9.079371000000002,9.450205000000002,9.691927000000002,9.803993000000002,10.086822000000002,10.212618,10.357512000000002,10.612570000000002,10.811311000000002,11.323385000000002,11.551216000000002,12.117992000000003,12.305675000000003,12.574694000000003,12.920748000000003,13.195669000000004,13.562723000000004,13.765724000000004,14.177532000000005,14.446535000000004,14.804561000000005,15.064691000000005,15.315875000000005,15.782182000000006,16.008567000000006,16.215151000000006,16.453490000000006,16.676261000000007
5-2801247,,,,,0,0.27575900000000003,0.5517080000000001,0.9144890000000001,1.20428,1.343866,1.711763,2.1579509999999997,2.3383619999999996,3.1520089999999996,3.559671,3.833844,4.343165,4.675351,5.065951,5.36211,5.530155000000001,5.783957000000001,5.952710000000001,6.316427000000001,6.719221000000001,6.955476000000001,7.199930000000001,7.703648000000001,8.060886000000002,8.761501000000003,9.132335000000003,9.374057000000002,9.486123000000003,9.768952000000002,9.894748000000002,10.039642000000002,10.294700000000002,10.493441000000002,11.005515000000003,11.233346000000003,11.800122000000004,11.987805000000003,12.256824000000003,12.602878000000004,12.877799000000005,13.244853000000004,13.447854000000005,13.859662000000005,14.128665000000005,14.486691000000006,14.746821000000006,14.998005000000006,15.464312000000007,15.690697000000007,15.897281000000007,16.135620000000007,16.358391000000008
6-2801249,,,,,,0,0.275949,0.63873,0.9285209999999999,1.068107,1.4360039999999998,1.8821919999999999,2.0626029999999997,2.8762499999999998,3.283912,3.558085,4.067406,4.399592,4.790192,5.0863510000000005,5.254396000000001,5.508198000000001,5.676951000000001,6.040668000000001,6.443462000000001,6.679717000000001,6.924171000000001,7.427889000000001,7.785127000000001,8.485742000000002,8.856576000000002,9.098298000000002,9.210364000000002,9.493193000000002,9.618989000000001,9.763883000000002,10.018941000000002,10.217682000000002,10.729756000000002,10.957587000000002,11.524363000000003,11.712046000000003,11.981065000000003,12.327119000000003,12.602040000000004,12.969094000000004,13.172095000000004,13.583903000000005,13.852906000000004,14.210932000000005,14.471062000000005,14.722246000000005,15.188553000000006,15.414938000000006,15.621522000000006,15.859861000000006,16.082632000000007
7-2801253,,,,,,,0,0.362781,0.6525719999999999,0.7921579999999999,1.1600549999999998,1.6062429999999999,1.786654,2.600301,3.007963,3.2821360000000004,3.7914570000000003,4.123643,4.5142430000000004,4.810402000000001,4.978447000000001,5.232249000000001,5.401002000000001,5.764719000000001,6.167513000000001,6.403768000000001,6.648222000000001,7.1519400000000015,7.509178000000001,8.209793000000001,8.580627000000002,8.822349,8.934415000000001,9.217244,9.34304,9.487934000000001,9.742992000000001,9.941733000000001,10.453807000000001,10.681638000000001,11.248414000000002,11.436097000000002,11.705116000000002,12.051170000000003,12.326091000000003,12.693145000000003,12.896146000000003,13.307954000000004,13.576957000000004,13.934983000000004,14.195113000000005,14.446297000000005,14.912604000000005,15.138989000000006,15.345573000000005,15.583912000000005,15.806683000000005
8-2801256,,,,,,,,0,0.28979099999999997,0.42937699999999995,0.7972739999999999,1.243462,1.423873,2.23752,2.645182,2.9193550000000004,3.4286760000000003,3.7608620000000004,4.151462,4.447621000000001,4.615666000000001,4.869468000000001,5.038221000000001,5.401938000000001,5.804732000000001,6.040987000000001,6.285441000000001,6.7891590000000015,7.146397000000001,7.847012000000001,8.217846000000002,8.459568,8.571634000000001,8.854463,8.980259,9.125153000000001,9.380211000000001,9.578952000000001,10.091026000000001,10.318857000000001,10.885633000000002,11.073316000000002,11.342335000000002,11.688389000000003,11.963310000000003,12.330364000000003,12.533365000000003,12.945173000000004,13.214176000000004,13.572202000000004,13.832332000000005,14.083516000000005,14.549823000000005,14.776208000000006,14.982792000000005,15.221131000000005,15.443902000000005
9-2801265,,,,,,,,,0,0.139586,0.5074829999999999,0.9536709999999999,1.1340819999999998,1.9477289999999998,2.355391,2.6295640000000002,3.138885,3.4710710000000002,3.8616710000000003,4.157830000000001,4.325875000000001,4.579677000000001,4.748430000000001,5.112147000000001,5.514941000000001,5.751196000000001,5.995650000000001,6.499368000000001,6.856606000000001,7.557221000000001,7.928055000000001,8.169777000000002,8.281843000000002,8.564672000000002,8.690468000000001,8.835362000000002,9.090420000000002,9.289161000000002,9.801235000000002,10.029066000000002,10.595842000000003,10.783525000000003,11.052544000000003,11.398598000000003,11.673519000000004,12.040573000000004,12.243574000000004,12.655382000000005,12.924385000000004,13.282411000000005,13.542541000000005,13.793725000000006,14.260032000000006,14.486417000000007,14.693001000000006,14.931340000000006,15.154111000000006
10-2801273,,,,,,,,,,0,0.367897,0.814085,0.9944959999999999,1.8081429999999998,2.2158049999999996,2.489978,2.9992989999999997,3.331485,3.722085,4.018244,4.186289,4.440091000000001,4.608844,4.972561000000001,5.375355000000001,5.611610000000001,5.856064000000001,6.359782000000001,6.717020000000001,7.417635000000001,7.788469000000001,8.030191,8.142257,8.425086,8.550882,8.695776,8.950834,9.149575,9.661649,9.88948,10.456256000000002,10.643939000000001,10.912958000000001,11.259012000000002,11.533933000000003,11.900987000000002,12.103988000000003,12.515796000000003,12.784799000000003,13.142825000000004,13.402955000000004,13.654139000000004,14.120446000000005,14.346831000000005,14.553415000000005,14.791754000000005,15.014525000000004
11-2801294,,,,,,,,,,,0,0.44618800000000003,0.626599,1.4402460000000001,1.847908,2.122081,2.631402,2.963588,3.354188,3.650347,3.8183920000000002,4.0721940000000005,4.240947,4.6046640000000005,5.007458000000001,5.2437130000000005,5.488167000000001,5.991885000000001,6.3491230000000005,7.0497380000000005,7.420572000000001,7.662294000000001,7.7743600000000015,8.057189000000001,8.182985,8.327879000000001,8.582937000000001,8.781678000000001,9.293752000000001,9.521583000000001,10.088359000000002,10.276042000000002,10.545061000000002,10.891115000000003,11.166036000000004,11.533090000000003,11.736091000000004,12.147899000000004,12.416902000000004,12.774928000000005,13.035058000000005,13.286242000000005,13.752549000000005,13.978934000000006,14.185518000000005,14.423857000000005,14.646628000000005
12-2801318,,,,,,,,,,,,0,0.180411,0.994058,1.40172,1.675893,2.185214,2.5174000000000003,2.9080000000000004,3.204159,3.372204,3.626006,3.794759,4.158476,4.56127,4.797525,5.041979,5.5456970000000005,5.902935,6.60355,6.974384000000001,7.216106000000001,7.328172000000001,7.611001000000002,7.736797000000002,7.881691000000002,8.136749000000002,8.335490000000002,8.847564000000002,9.075395000000002,9.642171000000003,9.829854000000003,10.098873000000003,10.444927000000003,10.719848000000004,11.086902000000004,11.289903000000004,11.701711000000005,11.970714000000005,12.328740000000005,12.588870000000005,12.840054000000006,13.306361000000006,13.532746000000007,13.739330000000006,13.977669000000006,14.200440000000006
13-2801325,,,,,,,,,,,,,0,0.813647,1.221309,1.495482,2.004803,2.336989,2.727589,3.023748,3.1917929999999997,3.4455949999999995,3.6143479999999997,3.9780649999999995,4.380858999999999,4.617113999999999,4.861567999999999,5.365285999999999,5.722523999999999,6.423138999999999,6.793972999999999,7.035695,7.147761,7.4305900000000005,7.556386000000001,7.701280000000001,7.956338000000001,8.155079,8.667153,8.894984000000001,9.461760000000002,9.649443000000002,9.918462000000002,10.264516000000002,10.539437000000003,10.906491000000003,11.109492000000003,11.521300000000004,11.790303000000003,12.148329000000004,12.408459000000004,12.659643000000004,13.125950000000005,13.352335000000005,13.558919000000005,13.797258000000005,14.020029000000005
14-2801351,,,,,,,,,,,,,,0,0.40766199999999997,0.681835,1.1911559999999999,1.523342,1.913942,2.210101,2.378146,2.631948,2.800701,3.164418,3.567212,3.803467,4.047921,4.551639,4.9088769999999995,5.6094919999999995,5.980326,6.222048,6.3341140000000005,6.616943000000001,6.742739000000001,6.887633000000001,7.142691000000001,7.341432000000001,7.853506000000001,8.081337000000001,8.648113000000002,8.835796000000002,9.104815000000002,9.450869000000003,9.725790000000003,10.092844000000003,10.295845000000003,10.707653000000004,10.976656000000004,11.334682000000004,11.594812000000005,11.845996000000005,12.312303000000005,12.538688000000006,12.745272000000005,12.983611000000005,13.206382000000005
15-2801363,,,,,,,,,,,,,,,0,0.274173,0.783494,1.11568,1.50628,1.8024390000000001,1.9704840000000001,2.224286,2.3930390000000004,2.756756,3.1595500000000003,3.395805,3.6402590000000004,4.1439770000000005,4.501215,5.20183,5.5726640000000005,5.814386000000001,5.926452000000001,6.209281000000001,6.335077000000001,6.479971000000001,6.735029000000001,6.933770000000001,7.445844000000001,7.673675000000001,8.240451000000002,8.428134000000002,8.697153000000002,9.043207000000002,9.318128000000003,9.685182000000003,9.888183000000003,10.299991000000004,10.568994000000004,10.927020000000004,11.187150000000004,11.438334000000005,11.904641000000005,12.131026000000006,12.337610000000005,12.575949000000005,12.798720000000005
16-2801379,,,,,,,,,,,,,,,,0,0.509321,0.841507,1.232107,1.5282660000000001,1.6963110000000001,1.950113,2.118866,2.482583,2.885377,3.121632,3.366086,3.8698040000000002,4.227042,4.927657,5.298491,5.5402130000000005,5.652279000000001,5.935108000000001,6.060904000000002,6.2057980000000015,6.4608560000000015,6.6595970000000015,7.171671000000002,7.399502000000002,7.966278000000002,8.153961000000002,8.422980000000003,8.769034000000003,9.043955000000004,9.411009000000004,9.614010000000004,10.025818000000005,10.294821000000004,10.652847000000005,10.912977000000005,11.164161000000005,11.630468000000006,11.856853000000006,12.063437000000006,12.301776000000006,12.524547000000005
17-2801433,,,,,,,,,,,,,,,,,0,0.33218600000000004,0.722786,1.018945,1.18699,1.440792,1.609545,1.973262,2.376056,2.612311,2.856765,3.3604830000000003,3.7177210000000005,4.418336,4.78917,5.030892000000001,5.142958000000001,5.4257870000000015,5.551583000000002,5.696477000000002,5.951535000000002,6.150276000000002,6.662350000000002,6.890181000000002,7.456957000000002,7.644640000000002,7.913659000000002,8.259713000000001,8.534634000000002,8.901688000000002,9.104689000000002,9.516497000000003,9.785500000000003,10.143526000000003,10.403656000000003,10.654840000000004,11.121147000000004,11.347532000000005,11.554116000000004,11.792455000000004,12.015226000000004
18-2801465,,,,,,,,,,,,,,,,,,0,0.3906,0.686759,0.854804,1.108606,1.277359,1.641076,2.04387,2.280125,2.524579,3.0282970000000002,3.3855350000000004,4.08615,4.456984,4.6987060000000005,4.810772000000001,5.093601000000001,5.219397000000002,5.3642910000000015,5.6193490000000015,5.8180900000000015,6.330164000000002,6.557995000000002,7.124771000000002,7.312454000000002,7.581473000000002,7.927527000000001,8.202448000000002,8.569502000000002,8.772503000000002,9.184311000000003,9.453314000000002,9.811340000000003,10.071470000000003,10.322654000000004,10.788961000000004,11.015346000000005,11.221930000000004,11.460269000000004,11.683040000000004
19-2805642,,,,,,,,,,,,,,,,,,,0,0.296159,0.464204,0.7180059999999999,0.8867589999999999,1.250476,1.65327,1.8895250000000001,2.133979,2.637697,2.9949350000000003,3.6955500000000003,4.066384,4.308106,4.420172000000001,4.703001,4.828797000000001,4.9736910000000005,5.2287490000000005,5.427490000000001,5.939564000000001,6.167395000000001,6.734171000000001,6.921854000000001,7.190873000000001,7.536927,7.811848,8.178902,8.381903000000001,8.793711000000002,9.062714000000001,9.420740000000002,9.680870000000002,9.932054000000003,10.398361000000003,10.624746000000004,10.831330000000003,11.069669000000003,11.292440000000003
20-2801563,,,,,,,,,,,,,,,,,,,,0,0.168045,0.42184699999999997,0.5906,0.9543170000000001,1.3571110000000002,1.5933660000000003,1.8378200000000002,2.3415380000000003,2.6987760000000005,3.3993910000000005,3.7702250000000004,4.011947,4.124013000000001,4.406842000000001,4.532638000000001,4.677532000000001,4.932590000000001,5.131331000000001,5.643405000000001,5.8712360000000015,6.438012000000001,6.625695000000001,6.894714000000001,7.240768000000001,7.515689000000001,7.882743000000001,8.085744000000002,8.497552000000002,8.766555000000002,9.124581000000003,9.384711000000003,9.635895000000003,10.102202000000004,10.328587000000004,10.535171000000004,10.773510000000003,10.996281000000003
21-2801598,,,,,,,,,,,,,,,,,,,,,0,0.25380199999999997,0.42255499999999996,0.786272,1.189066,1.425321,1.669775,2.173493,2.5307310000000003,3.2313460000000003,3.60218,3.843902,3.955968,4.238797,4.364593,4.509487,4.764545,4.963286,5.47536,5.703191,6.269967,6.45765,6.726669,7.072723,7.347644,7.714698,7.917699000000001,8.329507000000001,8.598510000000001,8.956536000000002,9.216666000000002,9.467850000000002,9.934157000000003,10.160542000000003,10.367126000000003,10.605465000000002,10.828236000000002
22-2801623,,,,,,,,,,,,,,,,,,,,,,0,0.168753,0.53247,0.935264,1.171519,1.415973,1.9196909999999998,2.276929,2.977544,3.348378,3.5900999999999996,3.7021659999999996,3.9849949999999996,4.110791,4.255685,4.510743,4.709484,5.221558,5.449389,6.016165,6.203848,6.472867,6.818921,7.0938419999999995,7.460896,7.663897,8.075705000000001,8.344708,8.702734000000001,8.962864000000001,9.214048000000002,9.680355000000002,9.906740000000003,10.113324000000002,10.351663000000002,10.574434000000002
23-2801653,,,,,,,,,,,,,,,,,,,,,,,0,0.363717,0.7665109999999999,1.002766,1.24722,1.750938,2.1081760000000003,2.8087910000000003,3.179625,3.421347,3.533413,3.816242,3.9420379999999997,4.086932,4.34199,4.540731,5.052805,5.280636,5.847412,6.035095,6.304114,6.650168,6.925089,7.292142999999999,7.495144,7.9069519999999995,8.175955,8.533981,8.794111000000001,9.045295000000001,9.511602000000002,9.737987000000002,9.944571000000002,10.182910000000001,10.405681000000001
24-2801676,,,,,,,,,,,,,,,,,,,,,,,,0,0.402794,0.639049,0.8835029999999999,1.3872209999999998,1.7444589999999998,2.445074,2.815908,3.0576299999999996,3.1696959999999996,3.4525249999999996,3.5783209999999994,3.7232149999999993,3.9782729999999993,4.177013999999999,4.689087999999999,4.916918999999999,5.483694999999999,5.671377999999999,5.940396999999999,6.286450999999999,6.561371999999999,6.928425999999998,7.131426999999999,7.543234999999998,7.812237999999998,8.170263999999998,8.430393999999998,8.681577999999998,9.147884999999999,9.37427,9.580853999999999,9.819192999999999,10.041963999999998
25-2801186,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23625500000000002,0.48070900000000005,0.984427,1.341665,2.04228,2.4131139999999998,2.6548359999999995,2.7669019999999995,3.0497309999999995,3.1755269999999993,3.320420999999999,3.575478999999999,3.7742199999999992,4.286293999999999,4.514124999999999,5.080900999999999,5.268583999999999,5.537602999999999,5.883656999999999,6.1585779999999986,6.525631999999998,6.7286329999999985,7.140440999999998,7.409443999999998,7.767469999999998,8.027599999999998,8.278783999999998,8.745090999999999,8.971476,9.178059999999999,9.416398999999998,9.639169999999998
26-2801710,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.244454,0.7481720000000001,1.10541,1.806025,2.176859,2.4185809999999996,2.5306469999999996,2.8134759999999996,2.9392719999999994,3.0841659999999993,3.3392239999999993,3.5379649999999994,4.050038999999999,4.277869999999999,4.844645999999999,5.032328999999999,5.301347999999999,5.647401999999999,5.922322999999999,6.289376999999998,6.492377999999999,6.904185999999998,7.173188999999998,7.531214999999998,7.791344999999998,8.042528999999998,8.508835999999999,8.735221,8.941804999999999,9.180143999999999,9.402914999999998
27-2801727,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.503718,0.860956,1.561571,1.9324050000000002,2.1741270000000004,2.2861930000000004,2.5690220000000004,2.694818,2.839712,3.09477,3.293511,3.805585,4.033416,4.600192,4.787875,5.056894,5.402947999999999,5.677868999999999,6.044922999999999,6.247923999999999,6.659731999999999,6.928734999999999,7.2867609999999985,7.546890999999999,7.798074999999999,8.264382,8.490767,8.697351,8.93569,9.158460999999999
28-2801745,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.357238,1.057853,1.428687,1.670409,1.782475,2.0653040000000003,2.1911,2.335994,2.591052,2.789793,3.301867,3.5296980000000002,4.096474000000001,4.284157,4.553176000000001,4.89923,5.174151,5.541205,5.744206,6.156014,6.4250169999999995,6.783042999999999,7.0431729999999995,7.294357,7.760663999999999,7.987048999999999,8.193632999999998,8.431971999999998,8.654742999999998
