순번_정류장ID,24-2807210,25-2800306,26-2800305,27-2800402,28-2805665,29-2804856,30-2800418,31-2803564,32-2800309,33-2800480,34-2800491,35-2800494,36-2800496,37-2806801,38-2806794,39-2806796,40-2806798,41-2806792,42-2805387,43-2800921,44-2800916,45-2806929,46-2800913,47-2800908
24-2807210,0,0.223894,0.360962,0.574511,0.840468,1.085459,3.057514,3.683821,3.897385,4.145811,4.503044,4.934892,5.357651,5.874998,6.269094,6.8160169999999995,8.087609,8.796991,9.423497000000001,9.974178000000002,10.559068000000002,10.806005000000003,11.097118000000002,11.935242000000002
25-2800306,,0,0.137068,0.35061699999999996,0.616574,0.8615649999999999,2.83362,3.4599269999999995,3.6734909999999994,3.9219169999999997,4.27915,4.710997999999999,5.133756999999999,5.651103999999999,6.0451999999999995,6.592122999999999,7.863714999999999,8.573096999999999,9.199603,9.750284,10.335174,10.582111000000001,10.873224,11.711348000000001
26-2800305,,,0,0.213549,0.479506,0.724497,2.6965519999999996,3.3228589999999993,3.536422999999999,3.7848489999999995,4.142081999999999,4.573929999999999,4.996688999999999,5.514035999999999,5.908131999999999,6.455054999999999,7.726646999999999,8.436029,9.062535,9.613216000000001,10.198106000000001,10.445043000000002,10.736156000000001,11.574280000000002
27-2800402,,,,0,0.265957,0.510948,2.483003,3.10931,3.3228739999999997,3.5713,3.928533,4.360380999999999,4.7831399999999995,5.3004869999999995,5.694583,6.241505999999999,7.513097999999999,8.22248,8.848986,9.399667,9.984557,10.231494000000001,10.522607,11.360731000000001
28-2805665,,,,,0,0.244991,2.217046,2.8433529999999996,3.0569169999999994,3.3053429999999997,3.6625759999999996,4.094423999999999,4.517182999999999,5.034529999999999,5.4286259999999995,5.975548999999999,7.247140999999999,7.956522999999999,8.583029,9.13371,9.7186,9.965537000000001,10.25665,11.094774000000001
29-2804856,,,,,,0,1.972055,2.598362,2.8119259999999997,3.060352,3.417585,3.849433,4.2721919999999995,4.7895389999999995,5.183635,5.730557999999999,7.002149999999999,7.711531999999999,8.338038,8.888719,9.473609,9.720546,10.011659,10.849783
30-2800418,,,,,,,0,0.626307,0.8398709999999999,1.0882969999999998,1.4455299999999998,1.8773779999999998,2.300137,2.817484,3.2115799999999997,3.7585029999999997,5.030094999999999,5.739476999999999,6.365982999999999,6.916663999999999,7.501553999999999,7.748490999999999,8.039603999999999,8.877728
31-2803564,,,,,,,,0,0.21356399999999998,0.46199,0.819223,1.251071,1.6738300000000002,2.191177,2.585273,3.132196,4.4037880000000005,5.11317,5.739676,6.290357,6.875247,7.122184,7.413297,8.251421
32-2800309,,,,,,,,,0,0.24842600000000004,0.605659,1.037507,1.4602659999999998,1.9776129999999998,2.371709,2.918632,4.190224000000001,4.899606,5.526112,6.076793,6.661683,6.90862,7.199733,8.037857
33-2800480,,,,,,,,,,0,0.35723299999999997,0.7890809999999999,1.21184,1.729187,2.123283,2.670206,3.941798,4.65118,5.277686,5.828367,6.413257,6.660194,6.951307,7.7894309999999995
34-2800491,,,,,,,,,,,0,0.43184799999999995,0.8546069999999999,1.371954,1.76605,2.312973,3.584565,4.293947,4.920453,5.471134,6.056024,6.302961,6.594074,7.432198
35-2800494,,,,,,,,,,,,0,0.422759,0.940106,1.3342019999999999,1.881125,3.152717,3.8620989999999997,4.488605,5.039286,5.624175999999999,5.871112999999999,6.1622259999999995,7.000349999999999
36-2800496,,,,,,,,,,,,,0,0.517347,0.911443,1.4583659999999998,2.729958,3.4393399999999996,4.065846,4.616527,5.201416999999999,5.448353999999999,5.739466999999999,6.577590999999999
37-2806801,,,,,,,,,,,,,,0,0.394096,0.9410189999999999,2.212611,2.9219929999999996,3.5484989999999996,4.09918,4.684069999999999,4.931006999999999,5.222119999999999,6.060243999999999
38-2806794,,,,,,,,,,,,,,,0,0.5469229999999999,1.818515,2.5278970000000003,3.1544030000000003,3.7050840000000003,4.289974,4.536911,4.828024,5.666148
39-2806796,,,,,,,,,,,,,,,,0,1.271592,1.980974,2.60748,3.1581609999999998,3.7430509999999995,3.9899879999999994,4.281101,5.119224999999999
40-2806798,,,,,,,,,,,,,,,,,0,0.709382,1.335888,1.8865690000000002,2.4714590000000003,2.7183960000000003,3.0095090000000004,3.8476330000000005
41-2806792,,,,,,,,,,,,,,,,,,0,0.626506,1.177187,1.762077,2.009014,2.3001270000000003,3.1382510000000003
42-2805387,,,,,,,,,,,,,,,,,,,0,0.5506810000000001,1.135571,1.382508,1.673621,2.511745
43-2800921,,,,,,,,,,,,,,,,,,,,0,0.5848899999999999,0.8318269999999999,1.1229399999999998,1.961064
44-2800916,,,,,,,,,,,,,,,,,,,,,0,0.246937,0.53805,1.376174
45-2806929,,,,,,,,,,,,,,,,,,,,,,0,0.291113,1.129237
46-2800913,,,,,,,,,,,,,,,,,,,,,,,0,0.838124
47-2800908,,,,,,,,,,,,,,,,,,,,,,,,0
