순번_정류장ID,1-2802961,2-2802973,3-2802967,4-2802963,5-2802956,6-2802984,7-2804818,8-2802964,9-2802971,10-2802975,11-2802981,12-2802624,13-2802636,14-2802955,15-2802945,16-2802936,17-2802918,18-2802892,19-2802866,20-2802839,21-2802845,22-2802861,23-2802872,24-2802881,25-2802885,26-2802851,27-2802823,28-2802783,29-2802757,30-2802733,31-2802706
1-2802961,0,0.274073,0.7672700000000001,1.1093190000000002,1.6075150000000002,2.5777940000000004,2.7486110000000004,3.257048,3.4858130000000003,3.784495,4.046352000000001,4.347718,5.107419,5.231115,5.361791,5.707536,6.143512,6.59077,6.970318,7.096306,7.363612,7.598581,7.778062,7.984100000000001,8.276153,8.458551,8.882572,9.357891,9.59619,10.018786,10.222963
2-2802973,,0,0.49319700000000005,0.835246,1.333442,2.3037210000000004,2.4745380000000003,2.9829750000000006,3.2117400000000007,3.5104220000000006,3.7722790000000006,4.073645000000001,4.833346000000001,4.957042,5.087718000000001,5.433463000000001,5.869439000000001,6.3166970000000005,6.696245,6.822233000000001,7.089539,7.324508000000001,7.503989000000001,7.710027000000001,8.002080000000001,8.184478,8.608499,9.083818,9.322117,9.744713,9.94889
3-2802967,,,0,0.342049,0.840245,1.810524,1.981341,2.4897780000000003,2.7185430000000004,3.0172250000000003,3.2790820000000003,3.580448,4.340149,4.463845,4.594521,4.940266,5.376242,5.8235,6.203048,6.329036,6.596342,6.831311,7.010792,7.216830000000001,7.508883000000001,7.691281000000001,8.115302000000002,8.590621000000002,8.828920000000002,9.251516000000002,9.455693000000002
4-2802963,,,,0,0.498196,1.4684750000000002,1.6392920000000002,2.147729,2.376494,2.675176,2.937033,3.238399,3.9981,4.121796,4.252472,4.598217,5.034193,5.481451,5.860999,5.986987,6.254293,6.489262,6.668743,6.8747810000000005,7.166834000000001,7.349232000000001,7.773253,8.248572000000001,8.486871,8.909467000000001,9.113644
5-2802956,,,,,0,0.9702790000000001,1.141096,1.6495330000000001,1.878298,2.17698,2.438837,2.7402029999999997,3.499904,3.6235999999999997,3.7542759999999995,4.100021,4.535997,4.983255,5.3628029999999995,5.488791,5.756097,5.991066,6.170547,6.376585,6.6686380000000005,6.851036000000001,7.275057,7.750376,7.988675,8.411271,8.615447999999999
6-2802984,,,,,,0,0.170817,0.679254,0.908019,1.206701,1.468558,1.769924,2.5296250000000002,2.653321,2.783997,3.129742,3.565718,4.012976,4.392524,4.518512,4.785818,5.020787,5.200268,5.406306000000001,5.698359000000001,5.880757000000001,6.304778000000001,6.7800970000000005,7.018396,7.4409920000000005,7.645169
7-2804818,,,,,,,0,0.508437,0.737202,1.035884,1.297741,1.599107,2.3588080000000002,2.482504,2.61318,2.958925,3.394901,3.842159,4.221707,4.347695000000001,4.615001,4.849970000000001,5.029451000000001,5.235489000000001,5.527542000000001,5.709940000000001,6.133961000000001,6.609280000000001,6.8475790000000005,7.270175000000001,7.4743520000000006
8-2802964,,,,,,,,0,0.228765,0.527447,0.789304,1.09067,1.850371,1.974067,2.104743,2.450488,2.886464,3.3337220000000003,3.7132700000000005,3.8392580000000005,4.1065640000000005,4.341533000000001,4.521014000000001,4.727052000000001,5.0191050000000015,5.2015030000000015,5.625524000000001,6.100843000000001,6.339142000000001,6.761738000000001,6.965915000000001
9-2802971,,,,,,,,,0,0.298682,0.560539,0.8619049999999999,1.6216059999999999,1.745302,1.875978,2.221723,2.657699,3.104957,3.4845050000000004,3.6104930000000004,3.8777990000000004,4.112768000000001,4.292249000000001,4.498287000000001,4.790340000000001,4.972738000000001,5.396759000000001,5.872078000000001,6.110377000000001,6.532973000000001,6.737150000000001
10-2802975,,,,,,,,,,0,0.261857,0.563223,1.322924,1.44662,1.577296,1.923041,2.359017,2.8062750000000003,3.185823,3.311811,3.579117,3.814086,3.993567,4.199605,4.491658,4.674056,5.098077,5.573396,5.811694999999999,6.234291,6.438467999999999
11-2802981,,,,,,,,,,,0,0.30136599999999997,1.061067,1.184763,1.315439,1.661184,2.09716,2.5444180000000003,2.923966,3.049954,3.31726,3.552229,3.73171,3.937748,4.229801,4.412199,4.83622,5.311539,5.549837999999999,5.972434,6.176610999999999
12-2802624,,,,,,,,,,,,0,0.7597010000000001,0.8833970000000001,1.014073,1.359818,1.795794,2.243052,2.6226000000000003,2.7485880000000003,3.0158940000000003,3.2508630000000003,3.4303440000000003,3.6363820000000002,3.9284350000000003,4.110833,4.534854,5.010173,5.248472,5.671068,5.875245
13-2802636,,,,,,,,,,,,,0,0.123696,0.254372,0.600117,1.0360930000000002,1.483351,1.862899,1.988887,2.256193,2.491162,2.670643,2.876681,3.168734,3.351132,3.7751530000000004,4.250472,4.488771,4.911367,5.115544
14-2802955,,,,,,,,,,,,,,0,0.130676,0.476421,0.912397,1.359655,1.739203,1.865191,2.132497,2.367466,2.546947,2.752985,3.045038,3.227436,3.6514569999999997,4.1267759999999996,4.365074999999999,4.787671,4.991847999999999
