순번_정류장ID,14-2802694,15-2802689,16-2802708,17-2802731,18-2802755,19-2802776,20-2802813,21-2802853,22-2802878,23-2802904,24-2802924
14-2802694,0,0.6419779999999999,1.010068,1.265423,1.668393,2.134989,2.389878,2.651923,3.038979,3.295584,3.7984169999999997
15-2802689,,0,0.36809000000000003,0.623445,1.026415,1.493011,1.7479,2.009945,2.397001,2.653606,3.1564389999999998
16-2802708,,,0,0.255355,0.658325,1.124921,1.37981,1.641855,2.028911,2.285516,2.7883489999999997
17-2802731,,,,0,0.40297,0.8695660000000001,1.124455,1.3864999999999998,1.773556,2.030161,2.532994
18-2802755,,,,,0,0.466596,0.7214849999999999,0.9835299999999999,1.3705859999999999,1.6271909999999998,2.1300239999999997
19-2802776,,,,,,0,0.254889,0.516934,0.9039900000000001,1.160595,1.6634280000000001
20-2802813,,,,,,,0,0.262045,0.6491009999999999,0.9057059999999999,1.4085389999999998
21-2802853,,,,,,,,0,0.387056,0.643661,1.1464940000000001
22-2802878,,,,,,,,,0,0.256605,0.7594380000000001
23-2802904,,,,,,,,,,0,0.502833
24-2802924,,,,,,,,,,,0
