순번_정류장ID,1-2800962,2-2800970,3-2800990,4-2801011,5-2800891,6-2800844,7-2800890,8-2801050,9-2801053,10-2801076,11-2801091,12-2801256,13-2801265,14-2801273,15-2801294,16-2801318,17-2801368,18-2801362,19-2801369,20-2801402,21-2801422,22-2804871
1-2800962,0,0.18753599999999998,0.48662099999999997,0.816454,1.306744,1.4627169999999998,1.655471,1.938157,2.124508,2.348235,2.5540179999999997,3.2696129999999997,3.559404,3.69899,4.0668869999999995,4.513075,5.321985,5.507184,5.690620999999999,5.980162999999999,6.296517999999999,6.627901999999999
2-2800970,,0,0.299085,0.628918,1.119208,1.275181,1.467935,1.750621,1.936972,2.160699,2.366482,3.082077,3.371868,3.511454,3.879351,4.325539,5.134449,5.319648,5.503085,5.7926269999999995,6.108981999999999,6.440365999999999
3-2800990,,,0,0.329833,0.8201229999999999,0.976096,1.16885,1.451536,1.6378869999999999,1.8616139999999999,2.0673969999999997,2.7829919999999997,3.072783,3.212369,3.580266,4.026454,4.835364,5.020563,5.204,5.493542,5.809896999999999,6.141280999999999
4-2801011,,,,0,0.49028999999999995,0.6462629999999999,0.8390169999999999,1.121703,1.3080539999999998,1.5317809999999998,1.7375639999999999,2.453159,2.74295,2.882536,3.250433,3.6966210000000004,4.505531,4.69073,4.874167,5.163709,5.480064,5.8114479999999995
5-2800891,,,,,0,0.155973,0.348727,0.631413,0.8177639999999999,1.041491,1.247274,1.962869,2.25266,2.392246,2.7601430000000002,3.2063310000000005,4.0152410000000005,4.20044,4.383877,4.673419,4.989774,5.321158
6-2800844,,,,,,0,0.192754,0.47544,0.661791,0.885518,1.091301,1.806896,2.096687,2.236273,2.6041700000000003,3.050358,3.859268,4.044467,4.227904,4.517446,4.833800999999999,5.165184999999999
7-2800890,,,,,,,0,0.282686,0.469037,0.6927639999999999,0.898547,1.614142,1.9039329999999999,2.043519,2.411416,2.8576040000000003,3.6665140000000003,3.851713,4.03515,4.324692,4.6410469999999995,4.972430999999999
8-2801050,,,,,,,,0,0.186351,0.410078,0.615861,1.331456,1.6212469999999999,1.7608329999999999,2.12873,2.5749180000000003,3.3838280000000003,3.569027,3.7524640000000002,4.042006000000001,4.358361,4.689745
9-2801053,,,,,,,,,0,0.223727,0.42951,1.145105,1.434896,1.574482,1.9423789999999999,2.388567,3.197477,3.382676,3.566113,3.855655,4.17201,4.503394
10-2801076,,,,,,,,,,0,0.205783,0.921378,1.211169,1.350755,1.7186519999999998,2.16484,2.97375,3.158949,3.342386,3.631928,3.948283,4.279667
11-2801091,,,,,,,,,,,0,0.715595,1.005386,1.1449719999999999,1.5128689999999998,1.9590569999999998,2.7679669999999996,2.9531659999999995,3.1366029999999996,3.4261449999999996,3.7424999999999997,4.073884
12-2801256,,,,,,,,,,,,0,0.28979099999999997,0.42937699999999995,0.7972739999999999,1.243462,2.052372,2.237571,2.421008,2.71055,3.026905,3.358289
13-2801265,,,,,,,,,,,,,0,0.139586,0.5074829999999999,0.9536709999999999,1.762581,1.9477799999999998,2.131217,2.420759,2.737114,3.068498
14-2801273,,,,,,,,,,,,,,0,0.367897,0.814085,1.622995,1.8081939999999999,1.991631,2.281173,2.597528,2.928912
15-2801294,,,,,,,,,,,,,,,0,0.44618800000000003,1.255098,1.4402970000000002,1.6237340000000002,1.9132760000000002,2.2296310000000004,2.5610150000000003
16-2801318,,,,,,,,,,,,,,,,0,0.80891,0.994109,1.177546,1.467088,1.783443,2.114827
17-2801368,,,,,,,,,,,,,,,,,0,0.185199,0.36863599999999996,0.6581779999999999,0.9745329999999999,1.305917
18-2801362,,,,,,,,,,,,,,,,,,0,0.183437,0.47297900000000004,0.789334,1.120718
19-2801369,,,,,,,,,,,,,,,,,,,0,0.289542,0.605897,0.937281
20-2801402,,,,,,,,,,,,,,,,,,,,0,0.316355,0.6477390000000001
21-2801422,,,,,,,,,,,,,,,,,,,,,0,0.331384
22-2804871,,,,,,,,,,,,,,,,,,,,,,0
