순번_정류장ID,1-2800648,2-2800328,3-2800640,4-2800634,5-2800624,6-2800619,7-2806214,8-2806242,9-2806244,10-2801157,11-2801155,12-2801151,13-2801145,14-2806923,15-2806925,16-2801129,17-2806922,18-2801115,19-2801098,20-2801070,21-2801041,22-2801025,23-2801029,24-2801014,25-2801002,26-2800973,27-2800961,28-2800957,29-2800953,30-2800950,31-2800945,32-2800942,33-2800937,34-2800935,35-2800931,36-2800930,37-2800932,38-2806921,39-2806896,40-2800875,41-2800826,42-2800919,43-2800914,44-2800911,45-2800904,46-2800889
1-2800648,0,0.321606,0.685343,1.354218,1.6345129999999999,2.097248,2.697071,3.006689,3.802314,4.198377,4.485685999999999,4.9842569999999995,5.285552999999999,5.607902999999999,5.961139999999999,6.1744259999999995,6.542802999999999,6.841774999999999,7.087835999999999,7.4398089999999995,7.859997999999999,8.088377,8.339929,8.518733,8.840967,9.070575999999999,9.212560999999999,9.377780999999999,9.559864,9.749001999999999,10.102905999999999,10.427501999999999,10.638499,10.841866999999999,11.084155999999998,11.254414999999998,11.700645999999999,12.471436999999998,12.867089999999997,13.063663999999998,13.527849999999997,13.946657999999998,14.110856999999998,14.647893999999997,15.036958999999998,15.273078999999997
2-2800328,,0,0.363737,1.0326119999999999,1.3129069999999998,1.775642,2.375465,2.685083,3.480708,3.8767709999999997,4.16408,4.662651,4.963947,5.286297,5.639534,5.85282,6.221197,6.520169,6.76623,7.118203,7.538392,7.766771,8.018323,8.197127,8.519361,8.74897,8.890955,9.056175,9.238258,9.427396,9.7813,10.105896,10.316893,10.520261,10.76255,10.932808999999999,11.37904,12.149830999999999,12.545483999999998,12.742057999999998,13.206243999999998,13.625051999999998,13.789250999999998,14.326287999999998,14.715352999999999,14.951472999999998
3-2800640,,,0,0.668875,0.94917,1.411905,2.0117279999999997,2.3213459999999997,3.1169709999999995,3.5130339999999993,3.8003429999999994,4.298913999999999,4.600209999999999,4.922559999999999,5.275796999999999,5.489082999999999,5.857459999999999,6.156431999999999,6.402492999999999,6.754465999999999,7.174654999999999,7.403033999999999,7.654585999999999,7.83339,8.155624,8.385233,8.527218,8.692438,8.874521,9.063659,9.417563,9.742159,9.953156,10.156524,10.398812999999999,10.569071999999998,11.015303,11.786093999999999,12.181746999999998,12.378320999999998,12.842506999999998,13.261314999999998,13.425513999999998,13.962550999999998,14.351615999999998,14.587735999999998
4-2800634,,,,0,0.28029499999999996,0.7430300000000001,1.342853,1.652471,2.448096,2.844159,3.131468,3.630039,3.931335,4.253685,4.606922,4.820208,5.188585,5.487557,5.733618,6.085591,6.50578,6.734159,6.985711,7.164515000000001,7.4867490000000005,7.7163580000000005,7.8583430000000005,8.023563000000001,8.205646000000002,8.394784000000001,8.748688000000001,9.073284000000001,9.284281000000002,9.487649000000001,9.729938,9.900197,10.346428,11.117218999999999,11.512871999999998,11.709445999999998,12.173631999999998,12.592439999999998,12.756638999999998,13.293675999999998,13.682740999999998,13.918860999999998
5-2800624,,,,,0,0.46273500000000006,1.0625580000000001,1.372176,2.167801,2.5638639999999997,2.8511729999999997,3.349744,3.65104,3.97339,4.326627,4.539913,4.90829,5.207262,5.453323,5.805296,6.225485,6.453864,6.7054160000000005,6.884220000000001,7.206454000000001,7.436063000000001,7.578048000000001,7.7432680000000005,7.925351000000001,8.114489,8.468393,8.792989,9.003986000000001,9.207354,9.449643,9.619902,10.066133,10.836924,11.232577,11.429151,11.893336999999999,12.312145,12.476344,13.013380999999999,13.402446,13.638565999999999
6-2800619,,,,,,0,0.599823,0.9094409999999999,1.705066,2.101129,2.388438,2.887009,3.1883049999999997,3.510655,3.863892,4.077178,4.445555,4.744527,4.990588,5.342561,5.76275,5.991129,6.242681,6.4214850000000006,6.7437190000000005,6.973328,7.115313,7.280533,7.462616000000001,7.651754,8.005658,8.330254,8.541251,8.744619,8.986908,9.157167,9.603397999999999,10.374188999999998,10.769841999999997,10.966415999999997,11.430601999999997,11.849409999999997,12.013608999999997,12.550645999999997,12.939710999999997,13.175830999999997
7-2806214,,,,,,,0,0.309618,1.105243,1.501306,1.788615,2.287186,2.588482,2.910832,3.264069,3.477355,3.8457320000000004,4.144704,4.390765,4.742738,5.162927,5.391306,5.642858,5.821662000000001,6.143896000000001,6.373505000000001,6.515490000000001,6.68071,6.862793,7.051931,7.405835,7.730430999999999,7.941427999999999,8.144796,8.387084999999999,8.557343999999999,9.003574999999998,9.774365999999997,10.170018999999996,10.366592999999996,10.830778999999996,11.249586999999996,11.413785999999996,11.950822999999996,12.339887999999997,12.576007999999996
8-2806242,,,,,,,,0,0.795625,1.191688,1.4789970000000001,1.9775680000000002,2.2788640000000004,2.6012140000000006,2.9544510000000006,3.1677370000000007,3.536114000000001,3.835086000000001,4.0811470000000005,4.433120000000001,4.853309,5.081688000000001,5.333240000000001,5.512044000000001,5.834278000000001,6.063887000000001,6.205872000000001,6.371092000000001,6.553175000000001,6.742313000000001,7.096217000000001,7.420813000000001,7.631810000000001,7.835178000000001,8.077467,8.247726,8.693957000000001,9.464748,9.860401,10.056975,10.521161,10.939969,11.104168,11.641205,12.03027,12.26639
9-2806244,,,,,,,,,0,0.396063,0.6833720000000001,1.181943,1.483239,1.8055889999999999,2.158826,2.372112,2.740489,3.039461,3.2855220000000003,3.6374950000000004,4.057684,4.286063,4.537615000000001,4.716419000000001,5.038653000000001,5.268262000000001,5.410247000000001,5.575467000000001,5.75755,5.946688,6.300592,6.625188,6.8361849999999995,7.039553,7.281841999999999,7.452100999999999,7.898331999999999,8.669122999999999,9.064775999999998,9.261349999999998,9.725535999999998,10.144343999999998,10.308542999999998,10.845579999999998,11.234644999999999,11.470764999999998
10-2801157,,,,,,,,,,0,0.28730900000000004,0.78588,1.087176,1.409526,1.762763,1.9760490000000002,2.3444260000000003,2.6433980000000004,2.8894590000000004,3.2414320000000005,3.6616210000000007,3.8900000000000006,4.141552000000001,4.320356000000001,4.642590000000001,4.872199000000001,5.014184000000001,5.179404000000001,5.361487,5.550625,5.904529,6.229125,6.440122,6.64349,6.885778999999999,7.056037999999999,7.502268999999999,8.27306,8.668712999999999,8.865286999999999,9.329472999999998,9.748280999999999,9.912479999999999,10.449516999999998,10.838581999999999,11.074701999999998
11-2801155,,,,,,,,,,,0,0.498571,0.799867,1.122217,1.475454,1.6887400000000001,2.0571170000000003,2.3560890000000003,2.6021500000000004,2.9541230000000005,3.3743120000000006,3.6026910000000005,3.8542430000000003,4.033047000000001,4.355281000000001,4.584890000000001,4.726875000000001,4.892095,5.074178,5.263316,5.61722,5.941815999999999,6.152812999999999,6.356180999999999,6.598469999999999,6.768728999999999,7.214959999999999,7.985750999999999,8.381403999999998,8.577977999999998,9.042163999999998,9.460971999999998,9.625170999999998,10.162207999999998,10.551272999999998,10.787392999999998
12-2801151,,,,,,,,,,,,0,0.301296,0.623646,0.976883,1.190169,1.558546,1.857518,2.103579,2.455552,2.875741,3.10412,3.355672,3.534476,3.85671,4.0863190000000005,4.2283040000000005,4.393524,4.575607,4.764745,5.118649,5.443244999999999,5.654241999999999,5.857609999999999,6.099898999999999,6.270157999999999,6.716388999999999,7.487179999999999,7.882832999999999,8.079406999999998,8.543592999999998,8.962400999999998,9.126599999999998,9.663636999999998,10.052701999999998,10.288821999999998
13-2801145,,,,,,,,,,,,,0,0.32235,0.6755869999999999,0.8888729999999999,1.25725,1.556222,1.802283,2.154256,2.5744450000000003,2.802824,3.0543760000000004,3.2331800000000004,3.5554140000000003,3.7850230000000002,3.9270080000000003,4.092228,4.274311000000001,4.463449000000001,4.817353000000001,5.141949,5.352946,5.556314,5.798603,5.968862,6.415093,7.185884,7.581537,7.778111,8.242297,8.661105000000001,8.825304000000001,9.362341,9.751406000000001,9.987526
14-2806923,,,,,,,,,,,,,,0,0.35323699999999997,0.566523,0.9349000000000001,1.233872,1.4799330000000002,1.831906,2.252095,2.480474,2.7320260000000003,2.9108300000000003,3.233064,3.462673,3.604658,3.7698780000000003,3.9519610000000003,4.1410990000000005,4.4950030000000005,4.819599,5.030596,5.233964,5.476253,5.6465119999999995,6.092743,6.863534,7.259187,7.455761,7.919947,8.338754999999999,8.502953999999999,9.039990999999999,9.429056,9.665175999999999
15-2806925,,,,,,,,,,,,,,,0,0.213286,0.581663,0.8806350000000001,1.1266960000000001,1.478669,1.8988580000000002,2.127237,2.3787890000000003,2.5575930000000002,2.879827,3.109436,3.251421,3.4166410000000003,3.5987240000000003,3.787862,4.1417660000000005,4.466362,4.677359,4.880727,5.123016,5.2932749999999995,5.7395059999999996,6.510297,6.90595,7.102524,7.56671,7.985518,8.149717,8.686754,9.075819000000001,9.311939
16-2801129,,,,,,,,,,,,,,,,0,0.368377,0.667349,0.9134099999999999,1.265383,1.685572,1.913951,2.165503,2.344307,2.666541,2.89615,3.038135,3.203355,3.385438,3.574576,3.92848,4.253076,4.464073,4.667441,4.90973,5.079988999999999,5.5262199999999995,6.2970109999999995,6.692664,6.889238,7.3534239999999995,7.772232,7.936431,8.473468,8.862533,9.098653
17-2806922,,,,,,,,,,,,,,,,,0,0.29897199999999996,0.545033,0.897006,1.317195,1.5455739999999998,1.7971259999999998,1.9759299999999997,2.298164,2.527773,2.669758,2.834978,3.017061,3.206199,3.560103,3.884699,4.095696,4.299064,4.541353000000001,4.711612000000001,5.157843000000001,5.928634000000001,6.324287000000001,6.520861000000001,6.985047000000001,7.403855000000001,7.568054000000001,8.105091000000002,8.494156000000002,8.730276000000002
18-2801115,,,,,,,,,,,,,,,,,,0,0.246061,0.598034,1.0182229999999999,1.2466019999999998,1.4981539999999998,1.6769579999999997,1.9991919999999999,2.228801,2.370786,2.536006,2.718089,2.907227,3.261131,3.585727,3.7967239999999998,4.0000919999999995,4.242381,4.41264,4.858871,5.629662,6.025315,6.221889,6.686075,7.104883,7.269082,7.806119,8.195184,8.431303999999999
19-2801098,,,,,,,,,,,,,,,,,,,0,0.351973,0.772162,1.0005410000000001,1.2520930000000001,1.430897,1.7531310000000002,1.9827400000000002,2.124725,2.2899450000000003,2.4720280000000003,2.661166,3.01507,3.3396660000000002,3.550663,3.7540310000000003,3.9963200000000003,4.1665790000000005,4.6128100000000005,5.3836010000000005,5.779254000000001,5.975828000000001,6.440014000000001,6.858822000000001,7.023021000000001,7.560058000000001,7.949123,8.185243
20-2801070,,,,,,,,,,,,,,,,,,,,0,0.42018900000000003,0.648568,0.90012,1.078924,1.4011580000000001,1.630767,1.772752,1.937972,2.120055,2.3091929999999996,2.6630969999999996,2.9876929999999997,3.1986899999999996,3.4020579999999994,3.6443469999999993,3.8146059999999995,4.2608369999999995,5.0316279999999995,5.427281,5.623855,6.088041,6.506849,6.671048,7.208085,7.597149999999999,7.833269999999999
