순번_정류장ID,1-2806577,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2804135,10-2803684,11-2803685,12-2803686,13-2803687,14-2804667,15-2803688,16-2803689,17-2803690,18-2803691,19-2803740,20-2803692,21-2803694,22-2803696,23-2803698,24-2804776,25-2804737,26-2806144,27-2806401,28-2804747,29-2804305,30-2804302,31-2807404,32-2806100,33-2806102,34-2806104,35-2806106,36-2806108,37-2806110,38-2806112,39-2806114,40-2806116,41-2806118,42-2806120,43-2806122,44-2806124,45-2806126,46-2806128,47-2806130,48-2806132,49-2806135,50-2806137,51-2806139,52-2806141,53-2806142
1-2806577,0,0.816361,1.087655,1.399972,1.539221,1.789903,2.0797280000000002,2.7192480000000003,3.1828960000000004,3.6100340000000006,4.022207000000001,4.760811,5.230422,5.874502,6.2350259999999995,6.776078,7.000869,8.061354999999999,8.859074,9.07997,9.368883,9.820081,10.162286,10.474949,10.959348,12.258076,13.011609,13.589482,13.879855000000001,14.474306,15.437289,17.862588,18.570985,18.911909,19.391702000000002,20.289144000000004,20.500564000000004,21.122411000000003,21.446561000000003,21.693920000000002,21.985295,22.180583000000002,22.577070000000003,22.779375,23.070278000000002,23.327006,23.678485000000002,24.146680000000003,24.557622000000002,24.745112000000002,25.822115000000004,26.603427000000003,27.116695000000004
2-2800268,,0,0.271294,0.583611,0.7228600000000001,0.9735420000000001,1.2633670000000001,1.9028870000000002,2.3665350000000003,2.793673,3.205846,3.9444500000000002,4.414061,5.058141,5.418665,5.9597169999999995,6.184507999999999,7.244993999999999,8.042713,8.263608999999999,8.552522,9.00372,9.345925,9.658588,10.142987,11.441715,12.195248,12.773121,13.063494,13.657945,14.620928,17.046227,17.754624,18.095548,18.575341,19.472783000000003,19.684203000000004,20.306050000000003,20.630200000000002,20.877559,21.168934,21.364222,21.760709000000002,21.963014,22.253917,22.510645,22.862124,23.330319000000003,23.741261,23.928751000000002,25.005754000000003,25.787066000000003,26.300334000000003
3-2800264,,,0,0.312317,0.451566,0.702248,0.992073,1.631593,2.095241,2.522379,2.934552,3.673156,4.142767,4.786847,5.147371,5.688423,5.913214,6.9737,7.771419,7.992315,8.281228,8.732426,9.074631,9.387294,9.871693,11.170421000000001,11.923954000000002,12.501827000000002,12.792200000000003,13.386651000000002,14.349634000000002,16.774933,17.483330000000002,17.824254000000003,18.304047000000004,19.201489000000006,19.412909000000006,20.034756000000005,20.358906000000005,20.606265000000004,20.897640000000003,21.092928000000004,21.489415000000005,21.691720000000004,21.982623000000004,22.239351000000003,22.590830000000004,23.059025000000005,23.469967000000004,23.657457000000004,24.734460000000006,25.515772000000005,26.029040000000006
4-2807245,,,,0,0.139249,0.389931,0.679756,1.319276,1.782924,2.2100619999999997,2.622235,3.360839,3.83045,4.47453,4.8350539999999995,5.376106,5.600897,6.661383,7.459102,7.679997999999999,7.968910999999999,8.420109,8.762314,9.074977,9.559376,10.858104,11.611637000000002,12.189510000000002,12.479883000000003,13.074334000000002,14.037317000000002,16.462616,17.171013000000002,17.511937000000003,17.991730000000004,18.889172000000006,19.100592000000006,19.722439000000005,20.046589000000004,20.293948000000004,20.585323000000002,20.780611000000004,21.177098000000004,21.379403000000003,21.670306000000004,21.927034000000003,22.278513000000004,22.746708000000005,23.157650000000004,23.345140000000004,24.422143000000005,25.203455000000005,25.716723000000005
5-2800262,,,,,0,0.250682,0.5405070000000001,1.180027,1.643675,2.0708130000000002,2.4829860000000004,3.2215900000000004,3.6912010000000004,4.335281,4.695805,5.2368570000000005,5.461648,6.522134,7.319853,7.540749,7.829662,8.28086,8.623065,8.935728000000001,9.420127,10.718855000000001,11.472388000000002,12.050261000000003,12.340634000000003,12.935085000000003,13.898068000000002,16.323367,17.031764000000003,17.372688000000004,17.852481000000004,18.749923000000006,18.961343000000006,19.583190000000005,19.907340000000005,20.154699000000004,20.446074000000003,20.641362000000004,21.037849000000005,21.240154000000004,21.531057000000004,21.787785000000003,22.139264000000004,22.607459000000006,23.018401000000004,23.205891000000005,24.282894000000006,25.064206000000006,25.577474000000006
6-2807367,,,,,,0,0.289825,0.929345,1.392993,1.820131,2.232304,2.970908,3.440519,4.084599,4.445123,4.986174999999999,5.210965999999999,6.271451999999999,7.069170999999999,7.290066999999999,7.578979999999999,8.030178,8.372383,8.685046,9.169445,10.468173,11.221706000000001,11.799579000000001,12.089952000000002,12.684403000000001,13.647386000000001,16.072685,16.781082,17.122006000000003,17.601799000000003,18.499241000000005,18.710661000000005,19.332508000000004,19.656658000000004,19.904017000000003,20.195392000000002,20.390680000000003,20.787167000000004,20.989472000000003,21.280375000000003,21.537103000000002,21.888582000000003,22.356777000000005,22.767719000000003,22.955209000000004,24.032212000000005,24.813524000000005,25.326792000000005
7-2800265,,,,,,,0,0.63952,1.103168,1.530306,1.9424789999999998,2.681083,3.150694,3.7947740000000003,4.155298,4.696350000000001,4.921141,5.9816270000000005,6.779346,7.000242,7.289155,7.740353,8.082558,8.395221000000001,8.879620000000001,10.178348000000002,10.931881,11.509754000000001,11.800127000000002,12.394578000000001,13.357561,15.782860000000001,16.491257,16.832181000000002,17.311974000000003,18.209416000000004,18.420836000000005,19.042683000000004,19.366833000000003,19.614192000000003,19.905567,20.100855000000003,20.497342000000003,20.699647000000002,20.990550000000002,21.247278,21.598757000000003,22.066952000000004,22.477894000000003,22.665384000000003,23.742387000000004,24.523699000000004,25.036967000000004
8-2803682,,,,,,,,0,0.46364799999999995,0.890786,1.302959,2.041563,2.511174,3.1552540000000002,3.515778,4.05683,4.2816209999999995,5.3421069999999995,6.139825999999999,6.360721999999999,6.649634999999999,7.100832999999999,7.443037999999999,7.755700999999998,8.240099999999998,9.538827999999999,10.292361,10.870234,11.160607,11.755058,12.718041,15.14334,15.851737,16.192661,16.672454000000002,17.569896000000004,17.781316000000004,18.403163000000003,18.727313000000002,18.974672,19.266047,19.461335000000002,19.857822000000002,20.060127,20.35103,20.607758,20.959237,21.427432000000003,21.838374,22.025864000000002,23.102867000000003,23.884179000000003,24.397447000000003
9-2804135,,,,,,,,,0,0.427138,0.8393109999999999,1.577915,2.047526,2.691606,3.05213,3.593182,3.8179730000000003,4.878459,5.676178,5.897074,6.185987,6.637185,6.9793899999999995,7.292052999999999,7.776451999999999,9.07518,9.828713,10.406586,10.696959000000001,11.29141,12.254393,14.679692000000001,15.388089,15.729013,16.208806,17.106248,17.317668,17.939515,18.263665,18.511024,18.802398999999998,18.997687,19.394174,19.596479,19.887382,20.144109999999998,20.495589,20.963784,21.374726,21.562216,22.639219,23.420531,23.933799
10-2803684,,,,,,,,,,0,0.41217299999999996,1.150777,1.620388,2.264468,2.6249919999999998,3.166044,3.390835,4.451321,5.24904,5.469936,5.758849,6.210046999999999,6.552251999999999,6.864914999999999,7.349313999999999,8.648041999999998,9.401574999999998,9.979447999999998,10.269820999999999,10.864271999999998,11.827254999999997,14.252553999999998,14.960950999999998,15.301874999999997,15.781667999999998,16.679109999999998,16.89053,17.512376999999997,17.836526999999997,18.083885999999996,18.375260999999995,18.570548999999996,18.967035999999997,19.169340999999996,19.460243999999996,19.716971999999995,20.068450999999996,20.536645999999998,20.947587999999996,21.135077999999996,22.212080999999998,22.993392999999998,23.506660999999998
