순번_정류장ID,49-2804554,50-2804552,51-2804550,52-2804548,53-2804072,54-2804545,55-2804546,56-2804068,57-2804542,58-2804540,59-2804538,60-2804536,61-2804065,62-2800297,63-2800261,64-2803997,65-2800290,66-2800289,67-2803934,68-2800286,69-2803932,70-2803596,71-2800283,72-2800281,73-2800280,74-2800278,75-2806663,76-2804031,77-2800260,78-2800275,79-2804713,80-2803598,81-2803600,82-2800273,83-2803601,84-2804331,85-2803581,86-2800271,87-2805489,88-2807150,89-2804581,90-2804582,91-2800267,92-2804032
49-2804554,0,0.46726899999999993,0.640798,1.026503,1.260629,1.653421,1.8198210000000001,2.172892,2.360315,3.0891830000000002,3.598549,3.8154830000000004,4.396331,4.615599,5.206131999999999,5.745659999999999,6.111850999999999,6.568655999999999,7.875639999999999,8.761802,9.048062,10.039529,10.483958,11.193398,11.765617,11.902551,12.843377,13.484694000000001,13.717422000000001,14.043101,14.221245,14.732381,15.17531,15.377919,15.559535,15.813855,16.295187,16.802117,17.166366,17.507301,17.808553999999997,18.168741999999998,18.807467,19.363705
50-2804552,,0,0.173529,0.559234,0.7933600000000001,1.186152,1.3525520000000002,1.7056230000000001,1.893046,2.6219140000000003,3.1312800000000003,3.3482140000000005,3.9290620000000005,4.1483300000000005,4.738863,5.278391,5.644582,6.101387,7.408371,8.294533,8.580793,9.57226,10.016689,10.726129,11.298348,11.435282,12.376108,13.017425000000001,13.250153000000001,13.575832,13.753976,14.265112,14.708041,14.91065,15.092266,15.346586,15.827918,16.334848,16.699097000000002,17.040032000000004,17.341285000000003,17.701473000000004,18.340198000000004,18.896436000000005
51-2804550,,,0,0.385705,0.619831,1.012623,1.179023,1.5320939999999998,1.7195169999999997,2.448385,2.957751,3.174685,3.7555330000000002,3.9748010000000003,4.565334,5.104862,5.4710529999999995,5.927858,7.2348419999999996,8.121004,8.407264,9.398731,9.84316,10.5526,11.124819,11.261753,12.202579,12.843896,13.076624,13.402303,13.580447,14.091583,14.534512,14.737121,14.918737,15.173057,15.654389,16.161319,16.525568,16.866503,17.167756,17.527944,18.166669000000002,18.722907000000003
52-2804548,,,,0,0.23412600000000003,0.6269180000000001,0.7933180000000001,1.146389,1.333812,2.0626800000000003,2.5720460000000003,2.7889800000000005,3.3698280000000005,3.5890960000000005,4.179629,4.719157,5.085348,5.542153,6.849137,7.7352989999999995,8.021559,9.013026,9.457455,10.166895,10.739114,10.876048,11.816874,12.458191000000001,12.690919000000001,13.016598,13.194742,13.705878,14.148807,14.351416,14.533032,14.787352,15.268684,15.775614000000001,16.139863000000002,16.480798,16.782051,17.142239,17.780964,18.337202
53-2804072,,,,,0,0.39279200000000003,0.559192,0.912263,1.0996860000000002,1.8285540000000002,2.3379200000000004,2.5548540000000006,3.1357020000000007,3.3549700000000007,3.9455030000000004,4.485031,4.851222,5.308027,6.615011,7.501173,7.787433,8.7789,9.223329,9.932769,10.504988,10.641922000000001,11.582748,12.224065000000001,12.456793000000001,12.782472,12.960616,13.471752,13.914681,14.11729,14.298906,14.553226,15.034558,15.541488000000001,15.905737,16.246672,16.547925,16.908113,17.546838,18.103076
54-2804545,,,,,,0,0.1664,0.519471,0.706894,1.435762,1.945128,2.162062,2.74291,2.962178,3.5527110000000004,4.092239,4.45843,4.915235,6.222219,7.108381,7.394641,8.386108,8.830537,9.539977,10.112196,10.249130000000001,11.189956,11.831273000000001,12.064001000000001,12.38968,12.567824,13.07896,13.521889,13.724498,13.906114,14.160434,14.641766,15.148696000000001,15.512945,15.85388,16.155133,16.515321,17.154046,17.710284
55-2804546,,,,,,,0,0.353071,0.540494,1.269362,1.778728,1.995662,2.57651,2.795778,3.386311,3.925839,4.29203,4.748835,6.055819,6.941981,7.228241000000001,8.219708,8.664137,9.373577000000001,9.945796000000001,10.082730000000002,11.023556000000001,11.664873000000002,11.897601000000002,12.22328,12.401424,12.912560000000001,13.355489,13.558098000000001,13.739714000000001,13.994034000000001,14.475366000000001,14.982296000000002,15.346545,15.68748,15.988733,16.348921,16.987646,17.543884000000002
56-2804068,,,,,,,,0,0.187423,0.9162910000000001,1.4256570000000002,1.6425910000000001,2.223439,2.442707,3.03324,3.572768,3.938959,4.395764,5.702748,6.58891,6.875170000000001,7.866637000000001,8.311066,9.020506000000001,9.592725000000002,9.729659000000002,10.670485000000001,11.311802000000002,11.544530000000002,11.870209000000001,12.048353,12.559489000000001,13.002418,13.205027000000001,13.386643000000001,13.640963000000001,14.122295000000001,14.629225000000002,14.993474,15.334409,15.635662,15.99585,16.634575,17.190813000000002
57-2804542,,,,,,,,,0,0.7288680000000001,1.238234,1.455168,2.036016,2.255284,2.8458170000000003,3.385345,3.751536,4.208341,5.515325,6.4014869999999995,6.687747,7.679214,8.123643,8.833083,9.405302,9.542236,10.483062,11.124379000000001,11.357107000000001,11.682786,11.86093,12.372066,12.814995,13.017604,13.19922,13.45354,13.934872,14.441802000000001,14.806051,15.146986,15.448239000000001,15.808427000000002,16.447152000000003,17.003390000000003
58-2804540,,,,,,,,,,0,0.509366,0.7263,1.3071479999999998,1.5264159999999998,2.116949,2.6564769999999998,3.022668,3.479473,4.786457,5.672619000000001,5.958879000000001,6.9503460000000015,7.394775000000002,8.104215000000002,8.676434000000002,8.813368000000002,9.754194000000002,10.395511000000003,10.628239000000002,10.953918000000002,11.132062000000001,11.643198000000002,12.086127000000001,12.288736000000002,12.470352000000002,12.724672000000002,13.206004000000002,13.712934000000002,14.077183000000002,14.418118000000002,14.719371000000002,15.079559000000003,15.718284000000004,16.274522000000005
