순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2804748,5-2800272,6-2803582,7-2803603,8-2803602,9-2800274,10-2803847,11-2806301,12-2803848,13-2806298,14-2803849,15-2803851,16-2803852,17-2803854,18-2806296,19-2803605,20-2803855,21-2803856,22-2806231,23-2803857,24-2806295,25-2806293,26-2804201,27-2806291,28-2807291,29-2804203,30-2804206,31-2804332,32-2804208,33-2804210,34-2804212,35-2804579,36-2803703,37-2806885,38-2807292,39-2806887,40-2806889,41-2806892,42-2807113,43-2807410,44-2807114,45-2806973,46-2807115,47-2806952,48-2807116,49-2807117,50-2807120,51-2806975,52-2806976,53-2806977,54-2807136,55-2806955,56-2806956,57-2807133,58-2806958,59-2806959,60-2806978,61-2806960,62-2806961,63-2806962
1-2800269,0,0.41885600000000006,0.775061,1.216895,1.343418,1.730049,1.9700739999999999,2.1342399999999997,2.3960009999999996,2.7858639999999997,3.5499169999999998,3.869557,4.150482,4.6594880000000005,5.250293000000001,5.731132000000001,5.891259000000001,6.225085000000001,6.719396000000001,7.039803000000001,7.477903000000001,7.833264000000002,8.185478000000002,8.364036000000002,8.721814000000002,8.976198000000002,9.351470000000003,9.542272000000002,9.778519000000003,9.974164000000004,10.519432000000004,11.069991000000003,11.567985000000004,11.902872000000004,12.432939000000005,12.612322000000004,12.812411000000004,13.389547000000004,13.738593000000003,14.320970000000003,14.839403000000003,16.720438,17.198789,17.701808,18.348685,19.477907,19.715390999999997,20.132339999999996,20.383453999999997,21.250245999999997,21.795761999999996,23.154270999999998,23.455264999999997,23.759908999999997,24.004956999999997,24.38358,24.68751,25.03133,25.395105,25.696042000000002,26.040015,27.33671,28.372481
2-2805488,,0,0.356205,0.7980389999999999,0.9245619999999999,1.3111929999999998,1.5512179999999998,1.7153839999999998,1.9771449999999997,2.367008,3.131061,3.450701,3.731626,4.240632,4.831436999999999,5.312275999999999,5.472402999999999,5.806228999999999,6.300539999999999,6.620946999999999,7.059047,7.414408,7.766622,7.94518,8.302958,8.557342,8.932614000000001,9.123416,9.359663000000001,9.555308000000002,10.100576000000002,10.651135000000002,11.149129000000002,11.484016000000002,12.014083000000003,12.193466000000003,12.393555000000003,12.970691000000002,13.319737000000002,13.902114000000001,14.420547000000001,16.301582,16.779933,17.282951999999998,17.929828999999998,19.059050999999997,19.296534999999995,19.713483999999994,19.964597999999995,20.831389999999995,21.376905999999995,22.735414999999996,23.036408999999995,23.341052999999995,23.586100999999996,23.964723999999997,24.268653999999998,24.612474,24.976249,25.277186,25.621159,26.917854,27.953625
3-2807373,,,0,0.441834,0.568357,0.954988,1.1950129999999999,1.359179,1.62094,2.010803,2.774856,3.0944960000000004,3.3754210000000002,3.8844270000000005,4.475232,4.956071,5.116198,5.450024,5.944335,6.264742,6.702842,7.058203000000001,7.410417000000001,7.5889750000000005,7.946753,8.201137000000001,8.576409000000002,8.767211000000001,9.003458000000002,9.199103000000003,9.744371000000003,10.294930000000003,10.792924000000003,11.127811000000003,11.657878000000004,11.837261000000003,12.037350000000004,12.614486000000003,12.963532000000002,13.545909000000002,14.064342000000002,15.945377,16.423728,16.926747,17.573624,18.702845999999997,18.940329999999996,19.357278999999995,19.608392999999996,20.475184999999996,21.020700999999995,22.379209999999997,22.680203999999996,22.984847999999996,23.229895999999997,23.608518999999998,23.912449,24.256269,24.620044,24.920981,25.264954,26.561649,27.59742
4-2804748,,,,0,0.126523,0.513154,0.753179,0.9173450000000001,1.179106,1.568969,2.333022,2.6526620000000003,2.933587,3.4425930000000005,4.033398,4.514237,4.674364,5.00819,5.502501,5.822908,6.261008,6.616369000000001,6.968583000000001,7.147141,7.504919,7.759303,8.134575,8.325377,8.561624,8.757269,9.302537000000001,9.853096,10.351090000000001,10.685977000000001,11.216044000000002,11.395427000000002,11.595516000000002,12.172652000000001,12.521698,13.104075,13.622508,15.503543,15.981894,16.484913,17.13179,18.261011999999997,18.498495999999996,18.915444999999995,19.166558999999996,20.033350999999996,20.578866999999995,21.937375999999997,22.238369999999996,22.543013999999996,22.788061999999996,23.166684999999998,23.470615,23.814435,24.17821,24.479147,24.82312,26.119815,27.155586
5-2800272,,,,,0,0.386631,0.626656,0.790822,1.052583,1.4424460000000001,2.206499,2.526139,2.807064,3.31607,3.906875,4.387714,4.547841,4.881667,5.375978,5.696385,6.134485000000001,6.489846000000001,6.842060000000001,7.020618000000001,7.378396,7.63278,8.008052000000001,8.198854,8.435101000000001,8.630746000000002,9.176014000000002,9.726573000000002,10.224567000000002,10.559454000000002,11.089521000000003,11.268904000000003,11.468993000000003,12.046129000000002,12.395175000000002,12.977552000000001,13.495985000000001,15.377020000000002,15.855371000000002,16.35839,17.005267,18.134489,18.371972999999997,18.788921999999996,19.040035999999997,19.906827999999997,20.452343999999997,21.810852999999998,22.111846999999997,22.416490999999997,22.661538999999998,23.040162,23.344092,23.687912,24.051687,24.352624000000002,24.696597,25.993292,27.029063
6-2803582,,,,,,0,0.240025,0.40419099999999997,0.665952,1.055815,1.819868,2.139508,2.420433,2.9294390000000003,3.5202440000000004,4.001083,4.1612100000000005,4.495036000000001,4.989347,5.309754000000001,5.747854000000001,6.103215000000001,6.455429000000001,6.633987000000001,6.991765000000001,7.246149000000001,7.621421000000001,7.812223,8.04847,8.244115,8.789383,9.339942,9.837936000000001,10.172823000000001,10.702890000000002,10.882273000000001,11.082362000000002,11.659498000000001,12.008544,12.590921,13.109354,14.990389,15.46874,15.971759,16.618636000000002,17.747858,17.985342,18.402290999999998,18.653405,19.520197,20.065713,21.424222,21.725216,22.02986,22.274908,22.653531,22.957461000000002,23.301281000000003,23.665056000000003,23.965993000000005,24.309966000000003,25.606661000000003,26.642432000000003
7-2803603,,,,,,,0,0.164166,0.42592700000000006,0.81579,1.5798429999999999,1.899483,2.180408,2.689414,3.280219,3.7610580000000002,3.9211850000000004,4.2550110000000005,4.749322,5.069729000000001,5.507829000000001,5.863190000000001,6.215404000000001,6.393962000000001,6.751740000000001,7.006124000000001,7.3813960000000005,7.572198,7.808445,8.00409,8.549358,9.099917,9.597911,9.932798,10.462865,10.642248,10.842337,11.419473,11.768519,12.350895999999999,12.869328999999999,14.750363999999998,15.228714999999998,15.731733999999998,16.378611,17.507832999999998,17.745316999999996,18.162265999999995,18.413379999999997,19.280171999999997,19.825687999999996,21.184196999999998,21.485190999999997,21.789834999999997,22.034882999999997,22.413505999999998,22.717436,23.061256,23.425031,23.725968,24.069941,25.366636,26.402407
8-2803602,,,,,,,,0,0.261761,0.651624,1.415677,1.7353170000000002,2.016242,2.5252480000000004,3.1160530000000004,3.5968920000000004,3.7570190000000006,4.090845000000001,4.5851560000000005,4.905563000000001,5.343663000000001,5.699024000000001,6.0512380000000014,6.229796000000001,6.587574000000001,6.841958000000001,7.217230000000001,7.408032,7.644279,7.839924,8.385192,8.935751,9.433745,9.768632,10.298699000000001,10.478082,10.678171,11.255307,11.604353,12.186729999999999,12.705162999999999,14.586198,15.064549,15.567568,16.214445,17.343667,17.581151,17.998099999999997,18.249214,19.116006,19.661521999999998,21.020031,21.321025,21.625669,21.870717,22.24934,22.55327,22.897090000000002,23.260865000000003,23.561802000000004,23.905775000000002,25.20247,26.238241000000002
9-2800274,,,,,,,,,0,0.389863,1.153916,1.4735559999999999,1.7544809999999997,2.2634869999999996,2.8542919999999996,3.3351309999999996,3.4952579999999998,3.829084,4.323395,4.643802,5.081902,5.437263000000001,5.789477000000001,5.968035,6.325813,6.580197,6.955469,7.146271,7.382517999999999,7.578162999999999,8.123430999999998,8.673989999999998,9.171983999999998,9.506870999999999,10.036938,10.216320999999999,10.416409999999999,10.993545999999998,11.342591999999998,11.924968999999997,12.443401999999997,14.324436999999996,14.802787999999996,15.305806999999996,15.952683999999996,17.081905999999996,17.319389999999995,17.736338999999994,17.987452999999995,18.854244999999995,19.399760999999994,20.758269999999996,21.059263999999995,21.363907999999995,21.608955999999996,21.987578999999997,22.291508999999998,22.635329,22.999104,23.300041,23.644014,24.940709,25.97648
10-2803847,,,,,,,,,,0,0.764053,1.083693,1.364618,1.8736240000000002,2.464429,2.945268,3.105395,3.4392210000000003,3.9335320000000005,4.253939000000001,4.692039000000001,5.047400000000001,5.3996140000000015,5.578172000000001,5.935950000000001,6.190334000000001,6.565606000000001,6.756408,6.992655,7.1883,7.733568,8.284127,8.782121,9.117008,9.647075000000001,9.826458,10.026547,10.603683,10.952729,11.535105999999999,12.053538999999999,13.934573999999998,14.412924999999998,14.915943999999998,15.562820999999998,16.692042999999998,16.929526999999997,17.346475999999996,17.597589999999997,18.464381999999997,19.009897999999996,20.368406999999998,20.669400999999997,20.974044999999997,21.219092999999997,21.597716,21.901646,22.245466,22.609241,22.910178000000002,23.254151,24.550846,25.586617
