순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2804336,8-2804260,9-2807394,10-2804761,11-2804759,12-2804258,13-2804256,14-2806229,15-2804245,16-2804774,17-2804243,18-2804242,19-2806329,20-2804240,21-2804238,22-2804236,23-2804234,24-2806330,25-2803714,26-2803715,27-2803720,28-2803719,29-2803711,30-2806217,31-2803708,32-2806218,33-2803710,34-2803712,35-2804341,36-2804214,37-2804216,38-2804221,39-2806332,40-2807154,41-2804222,42-2804224,43-2804226,44-2807152,45-2804228,46-2804230,47-2807140,48-2807113,49-2807410,50-2807114,51-2806973,52-2807115,53-2806952,54-2807116,55-2807117,56-2807120,57-2806975,58-2806976,59-2806977,60-2807136,61-2806955,62-2806956,63-2807133,64-2806958,65-2806959,66-2806978,67-2806960,68-2806961,69-2806962
1-2800270,0,0.789313,1.060607,1.372924,1.512173,1.762855,2.107892,2.1861990000000002,2.4182520000000003,2.6695450000000003,2.9398910000000003,3.410299,3.8990370000000003,4.175292000000001,4.752605000000001,6.11068,7.036361,7.887842,8.433001,8.888068,9.457548000000001,9.716488000000002,10.184233000000003,10.900259000000002,11.240325000000002,11.482891000000002,12.418972000000002,13.088326000000002,13.319567000000003,13.438625000000004,13.791193000000003,14.455130000000004,14.588296000000003,14.788285000000004,15.456228000000003,16.144203000000005,16.520375000000005,17.299123000000005,17.596923000000004,18.243830000000003,18.465326,18.885072,19.254743,19.598765,19.827778,20.189266,20.570721,22.322295999999998,22.800646999999998,23.303665999999996,23.950542999999996,25.079764999999995,25.317248999999993,25.734197999999992,25.985311999999993,26.852103999999994,27.397619999999993,28.756128999999994,29.057122999999994,29.361766999999993,29.606814999999994,29.985437999999995,30.289367999999996,30.633187999999997,30.996962999999997,31.2979,31.641872999999997,32.938568,33.97433899999999
2-2800268,,0,0.271294,0.583611,0.7228600000000001,0.9735420000000001,1.3185790000000002,1.396886,1.6289390000000001,1.8802320000000001,2.1505780000000003,2.6209860000000003,3.1097240000000004,3.3859790000000003,3.963292,5.321367,6.247048,7.098529,7.643688,8.098755,8.668235000000001,8.927175000000002,9.394920000000003,10.110946000000002,10.451012000000002,10.693578000000002,11.629659000000002,12.299013000000002,12.530254000000003,12.649312000000004,13.001880000000003,13.665817000000004,13.798983000000003,13.998972000000004,14.666915000000003,15.354890000000003,15.731062000000003,16.50981,16.80761,17.454517,17.676012999999998,18.095758999999997,18.465429999999998,18.809451999999997,19.038464999999995,19.399952999999996,19.781407999999995,21.532982999999994,22.011333999999994,22.514352999999993,23.161229999999993,24.29045199999999,24.52793599999999,24.94488499999999,25.19599899999999,26.06279099999999,26.60830699999999,27.96681599999999,28.26780999999999,28.57245399999999,28.81750199999999,29.19612499999999,29.500054999999993,29.843874999999993,30.207649999999994,30.508586999999995,30.852559999999993,32.149255,33.18502599999999
3-2800264,,,0,0.312317,0.451566,0.702248,1.047285,1.125592,1.357645,1.608938,1.879284,2.349692,2.8384300000000002,3.114685,3.691998,5.050072999999999,5.975753999999999,6.827234999999999,7.372393999999999,7.827460999999999,8.396940999999998,8.655880999999999,9.123626,9.839652,10.179718,10.422284,11.358365,12.027719,12.25896,12.378018,12.730586,13.394523000000001,13.527689,13.727678000000001,14.395621,15.083596,15.459768,16.238516,16.536316,17.183222999999998,17.404718999999996,17.824464999999996,18.194135999999997,18.538157999999996,18.767170999999994,19.128658999999995,19.510113999999994,21.261688999999993,21.740039999999993,22.24305899999999,22.88993599999999,24.01915799999999,24.25664199999999,24.673590999999988,24.92470499999999,25.79149699999999,26.33701299999999,27.69552199999999,27.99651599999999,28.30115999999999,28.54620799999999,28.92483099999999,29.22876099999999,29.572580999999992,29.936355999999993,30.237292999999994,30.581265999999992,31.877960999999992,32.91373199999999
4-2807245,,,,0,0.139249,0.389931,0.7349680000000001,0.8132750000000001,1.045328,1.296621,1.566967,2.037375,2.526113,2.802368,3.3796809999999997,4.737755999999999,5.663436999999999,6.514917999999999,7.060076999999999,7.5151439999999985,8.084623999999998,8.343563999999999,8.811309,9.527334999999999,9.867401,10.109967,11.046047999999999,11.715402,11.946643,12.065701,12.418269,13.082206000000001,13.215372,13.415361,14.083304,14.771279,15.147451,15.926199,16.223999,16.870905999999998,17.092401999999996,17.512147999999996,17.881818999999997,18.225840999999996,18.454853999999994,18.816341999999995,19.197796999999994,20.949371999999993,21.427722999999993,21.93074199999999,22.57761899999999,23.70684099999999,23.94432499999999,24.361273999999987,24.61238799999999,25.47917999999999,26.024695999999988,27.38320499999999,27.68419899999999,27.98884299999999,28.23389099999999,28.61251399999999,28.91644399999999,29.260263999999992,29.624038999999993,29.924975999999994,30.268948999999992,31.565643999999992,32.60141499999999
5-2800262,,,,,0,0.250682,0.595719,0.674026,0.9060790000000001,1.157372,1.427718,1.898126,2.386864,2.663119,3.240432,4.598507,5.524188,6.375668999999999,6.920827999999999,7.375894999999999,7.9453749999999985,8.204315,8.67206,9.388086,9.728152,9.970718,10.906799,11.576153,11.807394,11.926452000000001,12.279020000000001,12.942957000000002,13.076123,13.276112000000001,13.944055,14.63203,15.008202,15.786950000000001,16.08475,16.731657,16.953152999999997,17.372898999999997,17.742569999999997,18.086591999999996,18.315604999999994,18.677092999999996,19.058547999999995,20.810122999999994,21.288473999999994,21.791492999999992,22.438369999999992,23.56759199999999,23.80507599999999,24.222024999999988,24.47313899999999,25.33993099999999,25.88544699999999,27.24395599999999,27.54494999999999,27.84959399999999,28.09464199999999,28.47326499999999,28.777194999999992,29.121014999999993,29.484789999999993,29.785726999999994,30.129699999999993,31.426394999999992,32.46216599999999
6-2807367,,,,,,0,0.345037,0.423344,0.655397,0.90669,1.177036,1.647444,2.136182,2.4124369999999997,2.98975,4.347825,5.273506,6.124987,6.670146,7.125213,7.694692999999999,7.953632999999999,8.421377999999999,9.137403999999998,9.477469999999999,9.720035999999999,10.656116999999998,11.325470999999999,11.556712,11.67577,12.028338,12.692275,12.825441,13.02543,13.693373,14.381348,14.75752,15.536268,15.834068,16.480975,16.702471,17.122217,17.491888,17.83591,18.064922999999997,18.426410999999998,18.807865999999997,20.559440999999996,21.037791999999996,21.540810999999994,22.187687999999994,23.316909999999993,23.55439399999999,23.97134299999999,24.22245699999999,25.08924899999999,25.63476499999999,26.993273999999992,27.29426799999999,27.59891199999999,27.843959999999992,28.222582999999993,28.526512999999994,28.870332999999995,29.234107999999996,29.535044999999997,29.879017999999995,31.175712999999995,32.21148399999999
7-2804336,,,,,,,0,0.078307,0.31036,0.561653,0.8319989999999999,1.3024069999999999,1.7911449999999998,2.0673999999999997,2.6447129999999994,4.002787999999999,4.928468999999999,5.779949999999999,6.3251089999999985,6.780175999999998,7.349655999999998,7.608595999999998,8.076340999999998,8.792366999999997,9.132432999999997,9.374998999999997,10.311079999999997,10.980433999999997,11.211674999999998,11.330732999999999,11.683300999999998,12.347237999999999,12.480403999999998,12.680392999999999,13.348335999999998,14.036310999999998,14.412482999999998,15.191230999999998,15.489030999999999,16.135938,16.357433999999998,16.777179999999998,17.146850999999998,17.490872999999997,17.719885999999995,18.081373999999997,18.462828999999996,20.214403999999995,20.692754999999995,21.195773999999993,21.842650999999993,22.97187299999999,23.20935699999999,23.62630599999999,23.87741999999999,24.74421199999999,25.28972799999999,26.64823699999999,26.94923099999999,27.25387499999999,27.49892299999999,27.87754599999999,28.181475999999993,28.525295999999994,28.889070999999994,29.190007999999995,29.533980999999994,30.830675999999993,31.866446999999994
8-2804260,,,,,,,,0,0.232053,0.483346,0.753692,1.2241,1.712838,1.989093,2.5664059999999997,3.9244809999999997,4.850161999999999,5.701642999999999,6.246801999999999,6.7018689999999985,7.271348999999999,7.530288999999999,7.998033999999999,8.714059999999998,9.054125999999998,9.296691999999998,10.232772999999998,10.902126999999998,11.133367999999999,11.252426,11.604994,12.268931,12.402097,12.602086,13.270029,13.958003999999999,14.334176,15.112924,15.410724,16.057631,16.279127,16.698873,17.068544,17.412565999999998,17.641578999999997,18.003066999999998,18.384521999999997,20.136096999999996,20.614447999999996,21.117466999999994,21.764343999999994,22.893565999999993,23.13104999999999,23.54799899999999,23.79911299999999,24.66590499999999,25.21142099999999,26.569929999999992,26.87092399999999,27.17556799999999,27.420615999999992,27.799238999999993,28.103168999999994,28.446988999999995,28.810763999999995,29.111700999999996,29.455673999999995,30.752368999999995,31.788139999999995
9-2807394,,,,,,,,,0,0.251293,0.521639,0.9920469999999999,1.480785,1.75704,2.334353,3.692428,4.6181090000000005,5.46959,6.014749,6.469816,7.039296,7.298236,7.765981,8.482007,8.822073,9.064639,10.00072,10.670074,10.901315,11.020373000000001,11.372941,12.036878000000002,12.170044,12.370033000000001,13.037976,13.725951,14.102123,14.880871,15.178671000000001,15.825578000000002,16.047074000000002,16.466820000000002,16.836491000000002,17.180513,17.409526,17.771014,18.152469,19.904044,20.382395,20.885413999999997,21.532290999999997,22.661512999999996,22.898996999999994,23.315945999999993,23.567059999999994,24.433851999999995,24.979367999999994,26.337876999999995,26.638870999999995,26.943514999999994,27.188562999999995,27.567185999999996,27.871115999999997,28.214935999999998,28.578711,28.879648,29.223620999999998,30.520315999999998,31.556086999999998
10-2804761,,,,,,,,,,0,0.27034600000000003,0.740754,1.229492,1.505747,2.0830599999999997,3.4411349999999996,4.366816,5.218297,5.763456,6.218522999999999,6.788003,7.046943,7.514688,8.230713999999999,8.57078,8.813346,9.749426999999999,10.418781,10.650022,10.76908,11.121648,11.785585000000001,11.918751,12.11874,12.786683,13.474658,13.85083,14.629578,14.927378000000001,15.574285000000001,15.795781000000002,16.215527,16.585198000000002,16.92922,17.158233,17.519721,17.901176,19.652751,20.131102,20.634120999999997,21.280997999999997,22.410219999999995,22.647703999999994,23.064652999999993,23.315766999999994,24.182558999999994,24.728074999999993,26.086583999999995,26.387577999999994,26.692221999999994,26.937269999999994,27.315892999999996,27.619822999999997,27.963642999999998,28.327417999999998,28.628355,28.972327999999997,30.269022999999997,31.304793999999998
