순번_정류장ID,1-2806577,2-2800268,3-2804133,4-2804131,5-2806884,6-2806882,7-2807172,8-2807174,9-2807175,10-2807176,11-2807177,12-2807178,13-2807179,14-2807173,15-2806881,16-2806883,17-2804130,18-2804132,19-2800267,20-2804032
1-2806577,0,0.816361,1.4696639999999999,1.6851969999999998,2.2183279999999996,2.7191909999999995,3.1646629999999996,3.5411659999999996,3.8412349999999997,4.158932999999999,4.456443999999999,4.611139,4.8639269999999994,5.249808999999999,5.695492999999999,6.183990999999999,6.7398609999999985,6.947234999999998,7.497082999999998,8.135807999999997
2-2800268,,0,0.653303,0.8688359999999999,1.401967,1.90283,2.348302,2.724805,3.024874,3.342572,3.640083,3.794778,4.047566,4.433447999999999,4.879131999999999,5.367629999999999,5.923499999999999,6.130873999999999,6.6807219999999985,7.3194469999999985
3-2804133,,,0,0.215533,0.748664,1.249527,1.6949990000000001,2.071502,2.3715710000000003,2.6892690000000004,2.9867800000000004,3.1414750000000002,3.3942630000000005,3.7801450000000005,4.225829000000001,4.714327000000001,5.2701970000000005,5.477571,6.027419,6.666144
4-2804131,,,,0,0.533131,1.033994,1.4794660000000002,1.8559690000000002,2.156038,2.473736,2.7712470000000002,2.925942,3.17873,3.564612,4.010296,4.498794,5.054664,5.2620379999999995,5.811885999999999,6.450610999999999
5-2806884,,,,,0,0.5008630000000001,0.9463350000000001,1.3228380000000002,1.622907,1.9406050000000001,2.238116,2.392811,2.645599,3.031481,3.477165,3.9656629999999997,4.521533,4.7289069999999995,5.278754999999999,5.917479999999999
6-2806882,,,,,,0,0.44547200000000003,0.8219750000000001,1.1220440000000003,1.4397420000000003,1.7372530000000004,1.8919480000000004,2.1447360000000004,2.5306180000000005,2.9763020000000004,3.4648000000000003,4.02067,4.228044,4.777892,5.416617
7-2807172,,,,,,,0,0.37650300000000003,0.6765720000000001,0.99427,1.291781,1.446476,1.699264,2.085146,2.53083,3.019328,3.575198,3.782572,4.33242,4.971145
8-2807174,,,,,,,,0,0.30006900000000003,0.617767,0.915278,1.069973,1.322761,1.7086430000000001,2.1543270000000003,2.642825,3.1986950000000003,3.4060690000000005,3.9559170000000003,4.594642
9-2807175,,,,,,,,,0,0.317698,0.615209,0.769904,1.0226920000000002,1.4085740000000002,1.8542580000000002,2.342756,2.898626,3.1060000000000003,3.655848,4.294573
10-2807176,,,,,,,,,,0,0.297511,0.452206,0.704994,1.090876,1.53656,2.025058,2.580928,2.7883020000000003,3.33815,3.976875
11-2807177,,,,,,,,,,,0,0.154695,0.40748300000000004,0.7933650000000001,1.239049,1.727547,2.283417,2.490791,3.040639,3.679364
12-2807178,,,,,,,,,,,,0,0.252788,0.6386700000000001,1.084354,1.572852,2.128722,2.336096,2.885944,3.524669
13-2807179,,,,,,,,,,,,,0,0.385882,0.831566,1.320064,1.875934,2.083308,2.633156,3.271881
14-2807173,,,,,,,,,,,,,,0,0.445684,0.934182,1.490052,1.6974259999999999,2.247274,2.885999
15-2806881,,,,,,,,,,,,,,,0,0.48849799999999993,1.044368,1.251742,1.80159,2.440315
16-2806883,,,,,,,,,,,,,,,,0,0.55587,0.7632439999999999,1.313092,1.951817
17-2804130,,,,,,,,,,,,,,,,,0,0.20737399999999998,0.757222,1.395947
18-2804132,,,,,,,,,,,,,,,,,,0,0.549848,1.1885729999999999
19-2800267,,,,,,,,,,,,,,,,,,,0,0.638725
20-2804032,,,,,,,,,,,,,,,,,,,,0
