순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2800284,21-2800285,22-2803933,23-2800287,24-2800288,25-2804793,26-2800291,27-2800297,28-2803996,29-2803994,30-2803951
1-2800269,0,0.41885600000000006,0.775061,1.343418,1.730049,1.9700739999999999,2.1342399999999997,2.3960009999999996,2.7858639999999997,3.3335209999999997,3.5393429999999997,3.8124939999999996,4.0860639999999995,4.773737,5.677312,5.837807,6.387967,7.09026,7.531562,8.366773,8.805546,9.702931,11.017553999999999,11.452880999999998,11.873538999999997,12.383741999999998,13.579764999999998,13.728004999999998,14.032137999999998,14.859536999999998
2-2805488,,0,0.356205,0.924562,1.311193,1.551218,1.715384,1.9771450000000002,2.3670080000000002,2.9146650000000003,3.1204870000000002,3.393638,3.667208,4.354881,5.258456,5.418951,5.969111,6.671404,7.112706,7.947917,8.38669,9.284075,10.598697999999999,11.034025,11.454683,11.964886,13.160909,13.309149,13.613282,14.440681
3-2807373,,,0,0.568357,0.954988,1.1950129999999999,1.359179,1.62094,2.010803,2.55846,2.764282,3.037433,3.311003,3.9986759999999997,4.902251,5.062746,5.612906,6.315199,6.756501,7.591712,8.030485,8.92787,10.242493,10.67782,11.098478,11.608681,12.804704000000001,12.952944,13.257077,14.084476
4-2800272,,,,0,0.386631,0.626656,0.790822,1.052583,1.4424460000000001,1.990103,2.195925,2.469076,2.7426459999999997,3.430319,4.333894,4.494389,5.044549,5.746842,6.188144,7.0233550000000005,7.462128000000001,8.359513000000002,9.674136,10.109463000000002,10.530121000000001,11.040324000000002,12.236347000000002,12.384587000000002,12.688720000000002,13.516119000000002
5-2803582,,,,,0,0.240025,0.40419099999999997,0.665952,1.055815,1.603472,1.809294,2.082445,2.3560149999999997,3.0436879999999995,3.9472629999999995,4.107758,4.657918,5.360211,5.801513,6.636724,7.075497,7.972882,9.287505,9.722832,10.14349,10.653693,11.849716,11.997956,12.302089,13.129488
6-2803603,,,,,,0,0.164166,0.42592700000000006,0.81579,1.3634469999999999,1.5692689999999998,1.8424199999999997,2.1159899999999996,2.8036629999999994,3.7072379999999994,3.8677329999999994,4.417892999999999,5.1201859999999995,5.561488,6.396699,6.835472,7.732857,9.04748,9.482807000000001,9.903465,10.413668000000001,11.609691000000002,11.757931000000001,12.062064000000001,12.889463000000001
7-2803602,,,,,,,0,0.261761,0.651624,1.199281,1.405103,1.678254,1.9518239999999998,2.6394969999999995,3.5430719999999996,3.7035669999999996,4.253727,4.95602,5.397322,6.232533,6.671306,7.568691,8.883314,9.318641,9.739298999999999,10.249502,11.445525,11.593765,11.897898,12.725297
8-2800274,,,,,,,,0,0.389863,0.9375199999999999,1.1433419999999999,1.416493,1.6900629999999999,2.3777359999999996,3.2813109999999996,3.4418059999999997,3.9919659999999997,4.694259,5.135561,5.970772,6.4095450000000005,7.30693,8.621553,9.05688,9.477538,9.987741,11.183764,11.332004,11.636137,12.463536
9-2803847,,,,,,,,,0,0.547657,0.7534789999999999,1.02663,1.3001999999999998,1.9878729999999998,2.8914479999999996,3.0519429999999996,3.6021029999999996,4.304396,4.745698,5.580909,6.019682,6.917067,8.23169,8.667017000000001,9.087675,9.597878000000001,10.793901000000002,10.942141000000001,11.246274000000001,12.073673000000001
10-2803599,,,,,,,,,,0,0.20582199999999998,0.478973,0.752543,1.440216,2.343791,2.504286,3.054446,3.756739,4.198041,5.033252,5.472025,6.36941,7.684033,8.11936,8.540018,9.050221,10.246244,10.394484,10.698617,11.526016
