순번_정류장ID,25-2807612,26-2807610,27-2807614,28-2804239,29-2806328,30-2804241,31-2804335,32-2804773,33-2804244,34-2806230,35-2804257,36-2804259,37-2804758,38-2804760,39-2807395,40-2804261,41-2804337,42-2807368,43-2804602,44-2803580,45-2800263,46-2800267
25-2807612,0,0.62456,2.000997,2.611155,3.0704900000000004,3.5780070000000004,4.461303,5.534429,6.718683,7.317858,7.625915,8.08234,8.51019,8.819557,9.069545,9.281207,9.378212,9.751557,9.977994,10.127162,10.347173,10.599196
26-2807610,,0,1.3764370000000001,1.986595,2.44593,2.953447,3.8367430000000002,4.9098690000000005,6.094123000000001,6.693298,7.001355,7.4577800000000005,7.885630000000001,8.194997,8.444985,8.656647000000001,8.753652,9.126997000000001,9.353434000000002,9.502602000000001,9.722613,9.974636
27-2807614,,,0,0.610158,1.069493,1.57701,2.460306,3.5334320000000004,4.7176860000000005,5.316861,5.624918,6.081343,6.509193000000001,6.818560000000001,7.068548000000001,7.28021,7.3772150000000005,7.75056,7.976997,8.126165,8.346176,8.598199
28-2804239,,,,0,0.45933500000000005,0.966852,1.850148,2.923274,4.107528,4.706703,5.01476,5.471185,5.8990350000000005,6.208402,6.4583900000000005,6.670052,6.767057,7.140402,7.366839,7.516007,7.7360180000000005,7.988041000000001
29-2806328,,,,,0,0.507517,1.3908129999999999,2.463939,3.648193,4.247368,4.555425,5.01185,5.4397,5.749067,5.999055,6.210717,6.307722,6.681067,6.907503999999999,7.056672,7.276683,7.528706000000001
30-2804241,,,,,,0,0.8832959999999999,1.9564219999999999,3.140676,3.739851,4.047908,4.504333,4.932183,5.24155,5.491538,5.7032,5.800205,6.17355,6.399986999999999,6.549155,6.769166,7.021189000000001
31-2804335,,,,,,,0,1.073126,2.2573800000000004,2.856555,3.164612,3.621037,4.048887,4.358254,4.608242,4.819903999999999,4.9169089999999995,5.290253999999999,5.516690999999999,5.665858999999999,5.88587,6.137893
32-2804773,,,,,,,,0,1.1842540000000001,1.7834290000000002,2.091486,2.547911,2.975761,3.285128,3.535116,3.746778,3.8437829999999997,4.217128,4.4435649999999995,4.592733,4.812744,5.064767000000001
33-2804244,,,,,,,,,0,0.599175,0.907232,1.3636570000000001,1.7915070000000002,2.100874,2.3508620000000002,2.5625240000000002,2.659529,3.032874,3.2593110000000003,3.4084790000000003,3.62849,3.880513
34-2806230,,,,,,,,,,0,0.308057,0.7644820000000001,1.1923320000000002,1.5016990000000001,1.7516870000000002,1.9633490000000002,2.0603540000000002,2.4336990000000003,2.6601360000000005,2.8093040000000005,3.0293150000000004,3.2813380000000003
35-2804257,,,,,,,,,,,0,0.456425,0.884275,1.193642,1.4436300000000002,1.6552920000000002,1.7522970000000002,2.125642,2.352079,2.5012469999999998,2.7212579999999997,2.9732809999999996
36-2804259,,,,,,,,,,,,0,0.42785,0.737217,0.987205,1.198867,1.295872,1.669217,1.895654,2.044822,2.264833,2.5168559999999998
37-2804758,,,,,,,,,,,,,0,0.309367,0.559355,0.7710170000000001,0.8680220000000001,1.241367,1.467804,1.616972,1.836983,2.089006
38-2804760,,,,,,,,,,,,,,0,0.24998800000000002,0.46165,0.558655,0.9319999999999999,1.158437,1.307605,1.5276159999999999,1.779639
39-2807395,,,,,,,,,,,,,,,0,0.211662,0.30866699999999997,0.682012,0.908449,1.057617,1.277628,1.5296509999999999
40-2804261,,,,,,,,,,,,,,,,0,0.097005,0.47035,0.696787,0.845955,1.065966,1.3179889999999999
41-2804337,,,,,,,,,,,,,,,,,0,0.373345,0.599782,0.74895,0.968961,1.220984
42-2807368,,,,,,,,,,,,,,,,,,0,0.226437,0.37560499999999997,0.5956159999999999,0.8476389999999999
43-2804602,,,,,,,,,,,,,,,,,,,0,0.149168,0.36917900000000003,0.621202
44-2803580,,,,,,,,,,,,,,,,,,,,0,0.220011,0.472034
45-2800263,,,,,,,,,,,,,,,,,,,,,0,0.252023
46-2800267,,,,,,,,,,,,,,,,,,,,,,0
