순번_정류장ID,63-2805739,64-2800372,65-2800317,66-2804990,67-2807301,68-2806057,69-2805448,70-2806181,71-2806179,72-2803071,73-2803082,74-2803093,75-2803107,76-2803121,77-2803125,78-2803232,79-2803181,80-2803260,81-2803270,82-2803269,83-2803273,84-2803279,85-2803289,86-2802621,87-2802809,88-2802806,89-2802840,90-2802886,91-2802934,92-2802959,93-2802964,94-2802971,95-2802991,96-2803006,97-2803002,98-2802614,99-2803020,100-2802429,101-2802369,102-2802529,103-2802539,104-2802558,105-2802569,106-2806918,107-2804444,108-2805586,109-2805058,110-2805396,111-2805653,112-2806625,113-2803519,114-2802348,115-2804908,116-2805203,117-2805055,118-2802388,119-2806726,120-2806051,121-2806052,122-2803665,123-2803663,124-2802587,125-2802580,126-2802578,127-2802585
63-2805739,0,0.451985,0.952761,1.475231,1.828525,2.062183,2.317027,2.555902,2.737601,3.0393670000000004,3.4423140000000005,3.7038770000000003,3.8976150000000005,4.300015,4.733922,5.1391219999999995,5.387409,5.837534,6.063982,6.552844,6.908067,7.567439,8.048558,8.781389,9.133961000000001,9.662458,10.064356,10.5582,11.119893999999999,11.520157,12.028594,12.306416,12.722527000000001,13.008165000000002,13.212861000000002,13.826900000000002,14.827987000000002,15.833646000000002,16.013901,16.304329,17.027365,17.698964,19.253061,19.662091999999998,20.145039999999998,20.356332,20.581176999999997,20.787781999999996,21.079984999999997,21.581158,21.823974,22.521427,23.236037,23.78629,24.274187,24.639543,25.370991,25.763423,26.676814,27.383505,29.146493,29.648547,29.91221,30.197884000000002,30.406098000000004
64-2800372,,0,0.500776,1.0232459999999999,1.3765399999999999,1.6101979999999998,1.8650419999999999,2.103917,2.285616,2.587382,2.990329,3.251892,3.44563,3.84803,4.281937,4.687137,4.935424,5.385549,5.611997000000001,6.100859000000001,6.456082,7.115454000000001,7.596573,8.329404,8.681976,9.210473,9.612371,10.106214999999999,10.667908999999998,11.068171999999999,11.576609,11.854431,12.270542,12.556180000000001,12.760876000000001,13.374915000000001,14.376002000000002,15.381661000000001,15.561916000000002,15.852344000000002,16.575380000000003,17.246979000000003,18.801076000000002,19.210107,19.693055,19.904347,20.129192,20.335797,20.628,21.129173,21.371989000000003,22.069442000000002,22.784052000000003,23.334305000000004,23.822202000000004,24.187558000000003,24.919006000000003,25.311438000000003,26.224829000000003,26.931520000000003,28.694508000000003,29.196562000000004,29.460225000000005,29.745899000000005,29.954113000000007
65-2800317,,,0,0.52247,0.875764,1.109422,1.364266,1.603141,1.78484,2.0866059999999997,2.489553,2.7511159999999997,2.944854,3.347254,3.781161,4.186361,4.434648,4.884773,5.1112210000000005,5.600083000000001,5.955306,6.6146780000000005,7.095797,7.828628,8.1812,8.709697,9.111595,9.605438999999999,10.167132999999998,10.567395999999999,11.075833,11.353655,11.769766,12.055404000000001,12.260100000000001,12.874139000000001,13.875226000000001,14.880885000000001,15.061140000000002,15.351568000000002,16.074604,16.746203,18.3003,18.709331,19.192279,19.403571,19.628415999999998,19.835020999999998,20.127224,20.628397,20.871213,21.568666,22.283276,22.833529000000002,23.321426000000002,23.686782,24.41823,24.810662,25.724053,26.430744,28.193732,28.695786000000002,28.959449000000003,29.245123000000003,29.453337000000005
66-2804990,,,,0,0.353294,0.586952,0.841796,1.080671,1.26237,1.564136,1.967083,2.228646,2.422384,2.824784,3.2586910000000002,3.6638910000000005,3.9121780000000004,4.362303000000001,4.588751000000001,5.077613000000001,5.432836000000001,6.092208000000001,6.573327000000001,7.306158000000001,7.658730000000001,8.187227000000002,8.589125000000001,9.082969,9.644663,10.044926,10.553363000000001,10.831185000000001,11.247296000000002,11.532934000000003,11.737630000000003,12.351669000000003,13.352756000000003,14.358415000000003,14.538670000000003,14.829098000000004,15.552134000000004,16.223733000000003,17.77783,18.186861,18.669809,18.881101,19.105946,19.312551,19.604754,20.105927,20.348743000000002,21.046196000000002,21.760806000000002,22.311059000000004,22.798956000000004,23.164312000000002,23.895760000000003,24.288192000000002,25.201583000000003,25.908274000000002,27.671262000000002,28.173316000000003,28.436979000000004,28.722653000000005,28.930867000000006
67-2807301,,,,,0,0.233658,0.488502,0.7273769999999999,0.909076,1.210842,1.613789,1.875352,2.06909,2.47149,2.9053970000000002,3.3105970000000005,3.5588840000000004,4.009009000000001,4.235457000000001,4.724319000000001,5.079542000000001,5.738914000000001,6.220033000000001,6.952864000000001,7.305436000000001,7.833933000000001,8.235831000000001,8.729675,9.291369,9.691632,10.200069000000001,10.477891000000001,10.894002000000002,11.179640000000003,11.384336000000003,11.998375000000003,12.999462000000003,14.005121000000003,14.185376000000003,14.475804000000004,15.198840000000004,15.870439000000005,17.424536000000003,17.833567000000002,18.316515000000003,18.527807000000003,18.752652,18.959257,19.25146,19.752633000000003,19.995449000000004,20.692902000000004,21.407512000000004,21.957765000000006,22.445662000000006,22.811018000000004,23.542466000000005,23.934898000000004,24.848289000000005,25.554980000000004,27.317968000000004,27.820022000000005,28.083685000000006,28.369359000000006,28.577573000000008
68-2806057,,,,,,0,0.254844,0.493719,0.6754180000000001,0.977184,1.380131,1.641694,1.835432,2.237832,2.671739,3.0769390000000003,3.3252260000000002,3.775351,4.001799,4.490661,4.845884,5.505256,5.986375,6.719206,7.071778,7.600275,8.002172999999999,8.496016999999998,9.057710999999998,9.457973999999998,9.966410999999999,10.244233,10.660344,10.945982,11.150678000000001,11.764717000000001,12.765804000000001,13.771463,13.951718000000001,14.242146000000002,14.965182000000002,15.636781000000003,17.190878,17.599909,18.082857,18.294149,18.518994,18.725599,19.017802,19.518975,19.761791000000002,20.459244,21.173854000000002,21.724107000000004,22.212004000000004,22.577360000000002,23.308808000000003,23.701240000000002,24.614631000000003,25.321322000000002,27.084310000000002,27.586364000000003,27.850027000000004,28.135701000000005,28.343915000000006
69-2805448,,,,,,,0,0.238875,0.420574,0.72234,1.125287,1.38685,1.5805879999999999,1.9829879999999998,2.416895,2.822095,3.070382,3.520507,3.746955,4.235817,4.59104,5.250412,5.7315309999999995,6.4643619999999995,6.816934,7.345431,7.747329,8.241173,8.802866999999999,9.20313,9.711567,9.989389000000001,10.405500000000002,10.691138000000002,10.895834000000002,11.509873000000002,12.510960000000003,13.516619000000002,13.696874000000003,13.987302000000003,14.710338000000004,15.381937000000004,16.936034000000003,17.345065,17.828013000000002,18.039305000000002,18.26415,18.470755,18.762958,19.264131000000003,19.506947000000004,20.204400000000003,20.919010000000004,21.469263000000005,21.957160000000005,22.322516000000004,23.053964000000004,23.446396000000004,24.359787000000004,25.066478000000004,26.829466000000004,27.331520000000005,27.595183000000006,27.880857000000006,28.089071000000008
70-2806181,,,,,,,,0,0.181699,0.483465,0.886412,1.147975,1.341713,1.744113,2.17802,2.58322,2.8315069999999998,3.2816319999999997,3.5080799999999996,3.9969419999999998,4.352164999999999,5.011537,5.492655999999999,6.225486999999999,6.578059,7.106555999999999,7.5084539999999995,8.002298,8.563991999999999,8.964255,9.472692,9.750514,10.166625000000002,10.452263000000002,10.656959000000002,11.270998000000002,12.272085000000002,13.277744000000002,13.457999000000003,13.748427000000003,14.471463000000004,15.143062000000004,16.697159000000003,17.10619,17.589138000000002,17.800430000000002,18.025275,18.23188,18.524083,19.025256000000002,19.268072000000004,19.965525000000003,20.680135000000003,21.230388000000005,21.718285000000005,22.083641000000004,22.815089000000004,23.207521000000003,24.120912000000004,24.827603000000003,26.590591000000003,27.092645000000005,27.356308000000006,27.641982000000006,27.850196000000008
71-2806179,,,,,,,,,0,0.301766,0.7047129999999999,0.9662759999999999,1.1600139999999999,1.562414,1.996321,2.401521,2.6498079999999997,3.0999329999999996,3.3263809999999996,3.8152429999999997,4.170465999999999,4.829838,5.310956999999999,6.043787999999999,6.39636,6.924856999999999,7.3267549999999995,7.820599,8.382292999999999,8.782556,9.290993,9.568815,9.984926000000002,10.270564000000002,10.475260000000002,11.089299000000002,12.090386000000002,13.096045000000002,13.276300000000003,13.566728000000003,14.289764000000003,14.961363000000004,16.515460000000004,16.924491000000003,17.407439000000004,17.618731000000004,17.843576000000002,18.050181000000002,18.342384000000003,18.843557000000004,19.086373000000005,19.783826000000005,20.498436000000005,21.048689000000007,21.536586000000007,21.901942000000005,22.633390000000006,23.025822000000005,23.939213000000006,24.645904000000005,26.408892000000005,26.910946000000006,27.174609000000007,27.460283000000008,27.66849700000001
72-2803071,,,,,,,,,,0,0.402947,0.6645099999999999,0.8582479999999999,1.2606479999999998,1.6945549999999998,2.099755,2.348042,2.798167,3.024615,3.513477,3.8687,4.528072,5.0091909999999995,5.7420219999999995,6.094594,6.623091,7.024989,7.518833,8.080527,8.48079,8.989227000000001,9.267049000000002,9.683160000000003,9.968798000000003,10.173494000000003,10.787533000000003,11.788620000000003,12.794279000000003,12.974534000000004,13.264962000000004,13.987998000000005,14.659597000000005,16.213694000000004,16.622725000000003,17.105673000000003,17.316965000000003,17.54181,17.748415,18.040618000000002,18.541791000000003,18.784607000000005,19.482060000000004,20.196670000000005,20.746923000000006,21.234820000000006,21.600176000000005,22.331624000000005,22.724056000000004,23.637447000000005,24.344138000000004,26.107126000000004,26.609180000000006,26.872843000000007,27.158517000000007,27.36673100000001
