순번_정류장ID,1-2807210,2-2800306,3-2800402,4-2800418,5-2800405,6-2800400,7-2800398,8-2800394,9-2800048,10-2800021,11-2800019,12-2800037,13-2806866,14-2806867,15-2800010,16-2804466,17-2800012,18-2800017,19-2807495,20-2807489,21-2807492,22-2807529,23-2807537,24-2807540,25-2807523,26-2807538,27-2807562,28-2807513,29-2807519,30-2803390,31-2803570,32-2803568,33-2805046,34-2805648,35-2803394,36-2803396,37-2803397,38-2803400,39-2803403
1-2807210,0,0.360962,1.0854590000000002,1.6215100000000002,3.043635,3.280981,3.771802,4.843369,5.378109,5.955974,6.561802,7.396569,8.056295,8.520987,9.14099,10.804561,12.867104,15.211483999999999,18.936994,22.925171,26.339914999999998,27.769571999999997,28.917179999999995,30.309865999999996,32.79255799999999,34.24959599999999,36.64549099999999,38.40350699999999,39.23726899999999,40.065448999999994,41.312734999999996,41.999860999999996,42.857060999999995,43.23096699999999,43.74514599999999,44.36043299999999,44.85548099999999,45.74410299999999,47.21656099999999
2-2800306,,0,0.7244970000000001,1.260548,2.6826730000000003,2.9200190000000004,3.4108400000000003,4.482407,5.0171470000000005,5.5950120000000005,6.20084,7.035607000000001,7.695333000000001,8.160025000000001,8.780028000000001,10.443599,12.506142,14.850522000000002,18.576032,22.564209,25.978953,27.40861,28.556218,29.948904000000002,32.431596,33.888633999999996,36.284529,38.042545,38.876307,39.704487,40.951773,41.638899,42.496099,42.870005,43.384184,43.999471,44.494519,45.383140999999995,46.855599
3-2800402,,,0,0.536051,1.9581760000000001,2.195522,2.686343,3.75791,4.29265,4.870515,5.476343,6.31111,6.970836,7.435528000000001,8.055531,9.719102,11.781645,14.126024999999998,17.851535,21.839712,25.254455999999998,26.684112999999996,27.831720999999995,29.224406999999996,31.707098999999996,33.164137,35.560032,37.318048,38.15181,38.97999,40.227276,40.914402,41.771602,42.145508,42.659687,43.274974,43.770022,44.658643999999995,46.131102
4-2800418,,,,0,1.422125,1.6594710000000001,2.1502920000000003,3.2218590000000003,3.7565990000000005,4.3344640000000005,4.940292,5.775059000000001,6.434785000000001,6.899477000000001,7.519480000000001,9.183051,11.245594,13.589974000000002,17.315484,21.303661,24.718405,26.148062,27.29567,28.688356000000002,31.171048000000003,32.628086,35.023981000000006,36.781997000000004,37.615759000000004,38.44393900000001,39.69122500000001,40.37835100000001,41.23555100000001,41.609457000000006,42.123636000000005,42.73892300000001,43.233971000000004,44.122593,45.595051000000005
5-2800405,,,,,0,0.237346,0.728167,1.799734,2.334474,2.9123390000000002,3.518167,4.352934,5.01266,5.477352000000001,6.097355,7.760926,9.823469000000001,12.167849,15.893359,19.881536,23.29628,24.725937,25.873545,27.266231,29.748923,31.205961000000002,33.601856000000005,35.359872,36.193634,37.021814000000006,38.26910000000001,38.95622600000001,39.81342600000001,40.187332000000005,40.701511,41.316798000000006,41.811846,42.700468,44.172926000000004
6-2800400,,,,,,0,0.490821,1.5623879999999999,2.0971279999999997,2.6749929999999997,3.2808209999999995,4.115588,4.775314,5.240006,5.860009,7.52358,9.586123,11.930503000000002,15.656013000000002,19.644190000000002,23.058934,24.488591,25.636198999999998,27.028885,29.511577,30.968615,33.36451,35.122526,35.956288,36.784468000000004,38.03175400000001,38.718880000000006,39.576080000000005,39.949986,40.464165,41.079452,41.5745,42.463122,43.93558
7-2800398,,,,,,,0,1.071567,1.606307,2.184172,2.7899999999999996,3.6247669999999994,4.284492999999999,4.749185,5.369187999999999,7.0327589999999995,9.095302,11.439682000000001,15.165192000000001,19.153369,22.568113,23.99777,25.145378,26.538064000000002,29.020756000000002,30.477794000000003,32.873689000000006,34.631705000000004,35.465467000000004,36.29364700000001,37.54093300000001,38.22805900000001,39.08525900000001,39.459165000000006,39.973344000000004,40.58863100000001,41.083679000000004,41.972301,43.444759000000005
8-2800394,,,,,,,,0,0.53474,1.1126049999999998,1.7184329999999997,2.5531999999999995,3.2129259999999995,3.6776179999999994,4.2976209999999995,5.961192,8.023735,10.368115,14.093625,18.081802,21.496546,22.926202999999997,24.073811,25.466497,27.949189,29.406227,31.802122,33.560138,34.3939,35.222080000000005,36.46936600000001,37.15649200000001,38.013692000000006,38.387598000000004,38.901777,39.517064000000005,40.012112,40.900734,42.373192
9-2800048,,,,,,,,,0,0.577865,1.1836929999999999,2.01846,2.678186,3.142878,3.762881,5.426452,7.488995000000001,9.833375,13.558885,17.547062,20.961806,22.391462999999998,23.539071,24.931757,27.414449,28.871487000000002,31.267382,33.025398,33.85916,34.687340000000006,35.93462600000001,36.62175200000001,37.47895200000001,37.852858000000005,38.367037,38.982324000000006,39.477372,40.365994,41.838452000000004
10-2800021,,,,,,,,,,0,0.6058279999999999,1.440595,2.100321,2.565013,3.185016,4.848587,6.91113,9.255510000000001,12.981020000000001,16.969197,20.383941,21.813598,22.961205999999997,24.353892,26.836584,28.293622,30.689517,32.447533,33.281295,34.109475,35.356761000000006,36.043887000000005,36.901087000000004,37.274993,37.789172,38.404459,38.899507,39.788129,41.260587
11-2800019,,,,,,,,,,,0,0.834767,1.494493,1.9591850000000002,2.5791880000000003,4.242759,6.305302000000001,8.649682000000002,12.375192000000002,16.363369000000002,19.778113,21.20777,22.355378,23.748064000000003,26.230756000000003,27.687794000000004,30.083689000000003,31.841705000000005,32.675467000000005,33.50364700000001,34.75093300000001,35.43805900000001,36.29525900000001,36.66916500000001,37.183344000000005,37.79863100000001,38.293679000000004,39.182301,40.654759000000006
12-2800037,,,,,,,,,,,,0,0.659726,1.124418,1.744421,3.407992,5.470535,7.814915,11.540424999999999,15.528602,18.943346,20.373002999999997,21.520610999999995,22.913296999999996,25.395988999999997,26.853026999999997,29.248921999999997,31.006937999999998,31.8407,32.66888,33.916166000000004,34.603292,35.460492,35.834398,36.348577,36.963864,37.458912,38.347533999999996,39.819992
13-2806866,,,,,,,,,,,,,0,0.464692,1.084695,2.748266,4.810809000000001,7.155189000000001,10.880699,14.868876,18.28362,19.713276999999998,20.860884999999996,22.253570999999997,24.736262999999997,26.193300999999998,28.589195999999998,30.347212,31.180974,32.009154,33.256440000000005,33.943566000000004,34.800766,35.174672,35.688851,36.304138,36.799186,37.687808,39.160266
14-2806867,,,,,,,,,,,,,,0,0.620003,2.2835739999999998,4.346117,6.690497,10.416007,14.404184,17.818928,19.248585,20.396192999999997,21.788878999999998,24.271570999999998,25.728609,28.124503999999998,29.88252,30.716282,31.544462,32.791748,33.478874,34.336073999999996,34.709979999999995,35.22415899999999,35.839445999999995,36.33449399999999,37.22311599999999,38.69557399999999
15-2800010,,,,,,,,,,,,,,,0,1.663571,3.726114,6.070494,9.796004,13.784181,17.198925,18.628581999999998,19.77619,21.168876,23.651568,25.108606,27.504501,29.262517000000003,30.096279000000003,30.924459000000002,32.171745,32.858871,33.716071,34.089977,34.604155999999996,35.219443,35.714490999999995,36.60311299999999,38.075571
16-2804466,,,,,,,,,,,,,,,,0,2.0625430000000002,4.406923000000001,8.132433,12.120610000000001,15.535354000000002,16.965011,18.112619000000002,19.505305000000003,21.987997000000004,23.445035000000004,25.840930000000004,27.598946000000005,28.432708000000005,29.260888000000005,30.508174000000004,31.195300000000003,32.0525,32.426406,32.940585,33.555872,34.05092,34.939541999999996,36.412
17-2800012,,,,,,,,,,,,,,,,,0,2.34438,6.06989,10.058067,13.472811,14.902468,16.050076,17.442762000000002,19.925454000000002,21.382492000000003,23.778387000000002,25.536403000000004,26.370165000000004,27.198345000000003,28.445631000000002,29.132757,29.989957,30.363863000000002,30.878042,31.493329,31.988377,32.876999,34.349457
