순번_정류장ID,38-2803402,39-2803401,40-2803398,41-2803385,42-2803384,43-2805647,44-2805047,45-2803567,46-2803569,47-2803391,48-2803573,49-2803572,50-2807547,51-2807522,52-2807539,53-2807536,54-2807530,55-2807491,56-2807490,57-2800900,58-2800403,59-2800435,60-2800469,61-2803595,62-2800465,63-2800462,64-2800460,65-2800453,66-2800450,67-2805195,68-2800473,69-2800476,70-2800490,71-2806252,72-2806258
38-2803402,0,0.668988,1.206951,1.8492830000000002,2.389864,2.7346530000000002,3.6592070000000003,4.2153030000000005,5.639967,6.327676,7.21056,7.900353,8.449107,15.570004999999998,16.960523,18.111379999999997,19.532916999999998,22.891533,26.868501,36.198434999999996,38.90881099999999,41.124280999999996,42.920413999999994,43.22225999999999,43.74154599999999,44.014329999999994,44.26046699999999,44.68536799999999,45.02729099999999,45.35557099999999,45.81138199999999,46.024813999999985,47.11858999999998,48.280385999999986,49.73799899999999
39-2803401,,0,0.537963,1.180295,1.720876,2.065665,2.990219,3.5463150000000003,4.970979,5.658688,6.5415719999999995,7.231364999999999,7.780118999999999,14.901017,16.291535,17.442391999999998,18.863929,22.222545,26.199513,35.529447,38.239822999999994,40.455293,42.251425999999995,42.55327199999999,43.072557999999994,43.345341999999995,43.59147899999999,44.01637999999999,44.35830299999999,44.68658299999999,45.14239399999999,45.355825999999986,46.449601999999985,47.61139799999999,49.06901099999999
40-2803398,,,0,0.642332,1.182913,1.5277020000000001,2.452256,3.0083520000000004,4.433016,5.120725,6.003609,6.693402,7.242156,14.363053999999998,15.753571999999998,16.904428999999997,18.325965999999998,21.684582,25.66155,34.991484,37.701859999999996,39.91733,41.713463,42.015308999999995,42.534594999999996,42.807379,43.053515999999995,43.47841699999999,43.820339999999995,44.148619999999994,44.60443099999999,44.81786299999999,45.91163899999999,47.07343499999999,48.53104799999999
41-2803385,,,,0,0.5405810000000001,0.8853700000000001,1.809924,2.3660200000000002,3.790684,4.4783930000000005,5.361277,6.05107,6.599824,13.720721999999999,15.111239999999999,16.262096999999997,17.683633999999998,21.04225,25.019218,34.349152,37.05952799999999,39.274998,41.071130999999994,41.37297699999999,41.89226299999999,42.165046999999994,42.41118399999999,42.83608499999999,43.17800799999999,43.50628799999999,43.96209899999999,44.175530999999985,45.26930699999998,46.431102999999986,47.88871599999999
42-2803384,,,,,0,0.344789,1.269343,1.8254390000000003,3.250103,3.937812,4.820696,5.510489,6.0592429999999995,13.180140999999999,14.570659,15.721516,17.143053,20.501669,24.478637,33.808571,36.518947,38.734417,40.53055,40.832395999999996,41.351682,41.624466,41.870602999999996,42.295503999999994,42.637426999999995,42.965706999999995,43.42151799999999,43.63494999999999,44.72872599999999,45.89052199999999,47.34813499999999
43-2805647,,,,,,0,0.9245540000000001,1.4806500000000002,2.905314,3.593023,4.475907,5.1657,5.714454,12.835352,14.22587,15.376727,16.798264,20.15688,24.133848,33.463782,36.174158,38.389628,40.185761,40.487607,41.006893,41.279677,41.525814,41.950714999999995,42.292638,42.620917999999996,43.07672899999999,43.29016099999999,44.38393699999999,45.54573299999999,47.00334599999999
44-2805047,,,,,,,0,0.556096,1.98076,2.668469,3.5513529999999998,4.241146,4.789899999999999,11.910798,13.301316,14.452173,15.87371,19.232326,23.209294,32.539228,35.249604,37.465074,39.261207,39.563053,40.082339,40.355123,40.601259999999996,41.026160999999995,41.368083999999996,41.696363999999996,42.15217499999999,42.36560699999999,43.45938299999999,44.62117899999999,46.07879199999999
45-2803567,,,,,,,,0,1.424664,2.112373,2.9952569999999996,3.6850499999999995,4.233803999999999,11.354702,12.74522,13.896077,15.317614,18.67623,22.653198,31.983131999999998,34.693507999999994,36.908978,38.705110999999995,39.00695699999999,39.526242999999994,39.799026999999995,40.04516399999999,40.47006499999999,40.81198799999999,41.14026799999999,41.59607899999999,41.809510999999986,42.903286999999985,44.06508299999999,45.52269599999999
46-2803569,,,,,,,,,0,0.687709,1.5705930000000001,2.260386,2.80914,9.930038,11.320556,12.471413,13.89295,17.251566,21.228534,30.558467999999998,33.268843999999994,35.484314,37.280446999999995,37.58229299999999,38.101578999999994,38.374362999999995,38.62049999999999,39.04540099999999,39.38732399999999,39.71560399999999,40.17141499999999,40.384846999999986,41.478622999999985,42.64041899999999,44.09803199999999
47-2803391,,,,,,,,,,0,0.882884,1.572677,2.1214310000000003,9.242329,10.632847,11.783704,13.205241000000001,16.563857000000002,20.540825,29.870759,32.581134999999996,34.796605,36.592738,36.894583999999995,37.413869999999996,37.686654,37.932790999999995,38.35769199999999,38.699614999999994,39.027894999999994,39.48370599999999,39.69713799999999,40.79091399999999,41.95270999999999,43.41032299999999
