순번_정류장ID,1-2805970,2-2803298,3-2803190,4-2805833,5-2803288,6-2803285,7-2803650,8-2803291,9-2803296,10-2803179,11-2807270,12-2805247,13-2805248,14-2805965,15-2803365,16-2803370,17-2803373,18-2805943,19-2805200,20-2805242,21-2806544,22-2806546,23-2806550,24-2806552,25-2804982,26-2806595,27-2803362,28-2805244,29-2805238
1-2805970,0,1.866134,2.197344,2.499131,2.9707700000000004,3.4210750000000005,3.6633020000000007,3.925341000000001,4.073867000000001,4.370509000000001,15.616667,16.453453,17.059385,17.377522,17.705344999999998,18.329181,18.744121999999997,19.265053999999996,19.734912999999995,20.326291999999995,21.077751999999997,21.709821999999996,23.540884999999996,24.673653999999996,24.964397999999996,25.370337999999997,25.928785999999995,26.717211999999996,27.070823999999995
2-2803298,,0,0.33121,0.632997,1.1046360000000002,1.5549410000000001,1.797168,2.0592070000000002,2.207733,2.504375,13.750532999999999,14.587318999999999,15.193250999999998,15.511387999999998,15.839210999999999,16.463047,16.877988,17.398919999999997,17.868778999999996,18.460157999999996,19.211617999999998,19.843687999999997,21.674750999999997,22.807519999999997,23.098263999999997,23.504203999999998,24.062651999999996,24.851077999999998,25.204689999999996
3-2803190,,,0,0.30178699999999997,0.773426,1.223731,1.4659579999999999,1.7279969999999998,1.8765229999999997,2.1731649999999996,13.419322999999999,14.256108999999999,14.862040999999998,15.180177999999998,15.508000999999998,16.131836999999997,16.546777999999996,17.067709999999995,17.537568999999994,18.128947999999994,18.880407999999996,19.512477999999994,21.343540999999995,22.476309999999994,22.767053999999995,23.172993999999996,23.731441999999994,24.519867999999995,24.873479999999994
4-2805833,,,,0,0.47163900000000003,0.9219440000000001,1.164171,1.42621,1.574736,1.871378,13.117536,13.954322,14.560253999999999,14.878390999999999,15.206214,15.83005,16.244991,16.765922999999997,17.235781999999997,17.827160999999997,18.578621,19.210690999999997,21.041753999999997,22.174522999999997,22.465266999999997,22.871207,23.429654999999997,24.218080999999998,24.571692999999996
5-2803288,,,,,0,0.450305,0.692532,0.9545710000000001,1.103097,1.399739,12.645897,13.482683,14.088614999999999,14.406752,14.734575,15.358411,15.773352000000001,16.294284,16.764143,17.355522,18.106982000000002,18.739052,20.570115,21.702884,21.993628,22.399568000000002,22.958016,23.746442000000002,24.100054
6-2803285,,,,,,0,0.242227,0.504266,0.652792,0.9494340000000001,12.195592,13.032378,13.638309999999999,13.956446999999999,14.28427,14.908106,15.323047,15.843979000000001,16.313838,16.905217,17.656677000000002,18.288747,20.11981,21.252579,21.543323,21.949263000000002,22.507711,23.296137,23.649749
7-2803650,,,,,,,0,0.26203899999999997,0.41056499999999996,0.7072069999999999,11.953365,12.790151,13.396082999999999,13.71422,14.042043,14.665879,15.080820000000001,15.601752000000001,16.071611,16.66299,17.414450000000002,18.04652,19.877583,21.010352,21.301096,21.707036000000002,22.265484,23.053910000000002,23.407522
8-2803291,,,,,,,,0,0.148526,0.445168,11.691326,12.528112,13.134044,13.452181,13.780004,14.40384,14.818781000000001,15.339713000000001,15.809572000000001,16.400951000000003,17.152411000000004,17.784481000000003,19.615544000000003,20.748313000000003,21.039057000000003,21.444997000000004,22.003445000000003,22.791871000000004,23.145483000000002
9-2803296,,,,,,,,,0,0.296642,11.5428,12.379586,12.985517999999999,13.303655,13.631478,14.255314,14.670255000000001,15.191187000000001,15.661046,16.252425000000002,17.003885000000004,17.635955000000003,19.467018000000003,20.599787000000003,20.890531000000003,21.296471000000004,21.854919000000002,22.643345000000004,22.996957000000002
10-2803179,,,,,,,,,,0,11.246158,12.082944,12.688875999999999,13.007012999999999,13.334836,13.958672,14.373613,14.894545,15.364404,15.955783,16.707243000000002,17.339313,19.170376,20.303145,20.593889,20.999829000000002,21.558277,22.346703,22.700315
